# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.000240416, 0.000291186, 0.000301435, 0.000392956, 0.00039665, 0.000335756, 0.000437402, 0.000453965, 0.000494, 0.000145544, 0.000187856, 0.000335518, 0.0002602, 0.000613739, 0.000569301, 0.000701539, 0.000509847, 0.000436211, 0.000469932, 0.00112947, 0.000966558, 0.000789569, 0.00122746, 0.00170955, 0.00197145, 0.00241263, 0.00216797, 0.00203843, 0.00174144, 0.00143663, 0.0015509, 0.00238052, 0.00334917, 0.00340133, 0.00589015, 0.0120721, 0.0174133, 0.0289013, 0.0341328, 0.0290038
0.01, 0.0319375, 0.000287611, 0.000474102, 0.000200132, 0.000178798, 0.000356372, 0.000241608, 0.000391288, 0.000494835, 0.000424772, 0.000245422, 0.000312637, 0.000441454, 0.000573113, 0.000360781, 0.000432517, 0.000473149, 0.000331704, 0.000503532, 0.000796001, 0.000796954, 0.000931782, 0.00083769, 0.00100526, 0.00162386, 0.00167361, 0.00208946, 0.00222745, 0.00244592, 0.00200773, 0.00116852, 0.0013058, 0.00170753, 0.00409776, 0.00535032, 0.00795802, 0.0145524, 0.0192616, 0.0241558, 0.0268231, 0.0336654
0.02, 0.0319375, 0.000564773, 0.000466595, 0.000205853, 0.000195127, 0.00014614, 0.00023553, 0.000269973, 0.000619339, 0.000253884, 0.000317046, 0.000356491, 0.000669613, 0.000764912, 0.00068093, 0.000634945, 0.000513183, 0.000598609, 0.000473983, 0.000881045, 0.000881522, 0.000908796, 0.00105599, 0.00153424, 0.00186948, 0.00192386, 0.00232319, 0.00210183, 0.00234757, 0.00221936, 0.00151305, 0.00165909, 0.00191648, 0.00354567, 0.00488089, 0.00853841, 0.0116764, 0.0145546, 0.0213838, 0.0243555, 0.0232374
0.03, 0.0319375, 0.000499839, 0.000279149, 0.00020049, 0.000127665, 0.000196557, 0.000389738, 0.000420005, 0.000483992, 0.000479226, 0.000394743, 0.000481609, 0.000751928, 0.0008203, 0.000476604, 0.000708329, 0.000730963, 0.000811962, 0.000333373, 0.000685099, 0.000708806, 0.000600992, 0.000885571, 0.00163076, 0.00167301, 0.0019655, 0.00201987, 0.00264854, 0.0020991, 0.00127616, 0.00136628, 0.00179618, 0.00177024, 0.00291292, 0.00587451, 0.00747538, 0.0106088, 0.011825, 0.0212417, 0.0258338, 0.0251365
0.04, 0.0319375, 0.000377822, 0.000172123, 8.38006e-05, 0.000203708, 0.000217414, 0.000414405, 0.000457301, 0.000429657, 0.000535941, 0.000382112, 0.000294999, 0.000677237, 0.000516162, 0.000558935, 0.00033659, 0.000633278, 0.000685814, 0.000423938, 0.000968226, 0.000636732, 0.00113411, 0.000951433, 0.000962271, 0.0011453, 0.00144949, 0.00209779, 0.00230083, 0.00175655, 0.00169182, 0.00157982, 0.00159208, 0.00179214, 0.00326529, 0.00522533, 0.00773826, 0.0128441, 0.0152067, 0.0236083, 0.0282302, 0.0276865
0.05, 0.0319375, 0.000266516, 0.000180824, 0.000137796, 0.00029488, 0.000222539, 0.000270926, 0.000288445, 0.000269138, 0.000676761, 0.000489592, 0.000294761, 0.000489234, 0.000427512, 0.000473626, 0.000743351, 0.00058181, 0.000906652, 0.000533915, 0.000984661, 0.000865919, 0.000929639, 0.00122936, 0.00149365, 0.00173716, 0.00217987, 0.00193385, 0.00184616, 0.00181867, 0.00227122, 0.00172145, 0.00191148, 0.00157078, 0.00294335, 0.00515536, 0.0087327, 0.0118818, 0.0123491, 0.0188952, 0.0257211, 0.0260993
0.06, 0.0319375, 0.000156152, 0.000188214, 0.000157344, 0.000362092, 0.000301912, 0.000198464, 0.000457182, 0.000619577, 0.00051783, 0.000307751, 0.000284512, 0.000421197, 0.000402131, 0.000338259, 0.000695106, 0.000714166, 0.000625176, 0.000598252, 0.000518903, 0.000978111, 0.000909749, 0.00143235, 0.00185746, 0.00173954, 0.00226313, 0.00131413, 0.00174144, 0.00285492, 0.00231677, 0.00182736, 0.00203581, 0.00203462, 0.00318175, 0.00611577, 0.00904522, 0.00989319, 0.0174546, 0.0217342, 0.0198545, 0.0293538
0.07, 0.0319375, 0.00011503, 0.000194769, 0.000224803, 0.000186426, 0.000129095, 0.000218606, 0.000199656, 0.000595035, 0.000357921, 0.000515566, 0.000762649, 0.000652815, 0.000435138, 0.000395816, 0.000501626, 0.000544638, 0.000536655, 0.000657938, 0.000696178, 0.000959651, 0.000930115, 0.000942382, 0.00144473, 0.00148984, 0.00161244, 0.00127246, 0.00164278, 0.00265805, 0.00160315, 0.00159863, 0.00168991, 0.0019028, 0.00229822, 0.00459425, 0.0100669, 0.00882239, 0.0132225, 0.020094, 0.0317253, 0.0396865
0.08, 0.0319375, 0.000295715, 0.000221586, 0.000160324, 0.000108951, 0.000322052, 0.000374962, 0.00019024, 0.000617314, 0.000455633, 0.00066723, 0.000579904, 0.000435138, 0.000395697, 0.000589435, 0.000688078, 0.000388785, 0.000197629, 0.000560722, 0.000661035, 0.00080148, 0.000738705, 0.00126877, 0.00092678, 0.0015002, 0.00167432, 0.00194836, 0.0020414, 0.00265936, 0.00129997, 0.00168944, 0.00177512, 0.00188435, 0.00294989, 0.00436045, 0.00807355, 0.0113784, 0.0165982, 0.0189998, 0.0325373, 0.027857
0.09, 0.0319375, 0.000321098, 0.000284155, 0.00018297, 0.000296787, 0.000267589, 0.000225161, 0.000326103, 0.000396888, 0.000378299, 0.000341834, 0.000486613, 0.00070547, 0.000421316, 0.000665801, 0.000574424, 0.000188214, 0.000284393, 0.000512588, 0.000674616, 0.000787663, 0.0006577, 0.00122663, 0.0013014, 0.0017155, 0.00157875, 0.00145353, 0.00297948, 0.00234757, 0.00195991, 0.00159756, 0.00145151, 0.00167896, 0.00317058, 0.0052149, 0.00891349, 0.0128922, 0.0171687, 0.020896, 0.0253803, 0.0272285
