# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00736924, 0.00512465, 0.00720297, 0.0067356, 0.00928678, 0.00791023, 0.00495231, 0.0123113, 0.00889789, 0.0351925, 0.0208909, 0.00573869, 0.00581502, 0.0148319, 0.01147, 0.00826084, 0.0132684, 0.0137982, 0.0320096, 0.0125179, 0.00801927, 0.00803406, 0.0125438, 0.0106067, 0.0185659, 0.01519, 0.0170284, 0.0154822, 0.0268797, 0.017748, 0.0175928, 0.0204787, 0.0194359, 0.0125887, 0.00687472, 0.0152864, 0.0140547, 0.0135606, 0.0187637, 0.00483285
0.01, 0.0319375, 0.0113275, 0.00650775, 0.00563711, 0.00623922, 0.00609136, 0.00665709, 0.00450192, 0.00854455, 0.00936, 0.0375982, 0.025187, 0.00614361, 0.0103432, 0.0183585, 0.0139786, 0.0096434, 0.0120512, 0.0138799, 0.0305725, 0.00888667, 0.0060115, 0.00954528, 0.0104014, 0.0111253, 0.025688, 0.0169871, 0.0134798, 0.0104827, 0.0200131, 0.017226, 0.0175368, 0.0244619, 0.0213944, 0.00977291, 0.0060788, 0.0169758, 0.0132499, 0.0144577, 0.0186779, 0.00578171
0.02, 0.0319375, 0.00968543, 0.00198834, 0.00136366, 0.00320148, 0.00531415, 0.0139938, 0.00814143, 0.00624633, 0.00443606, 0.0376923, 0.0239711, 0.00668042, 0.0115912, 0.0187167, 0.0132837, 0.00887733, 0.00974434, 0.0133779, 0.032699, 0.00739243, 0.00597548, 0.0135293, 0.014941, 0.0114801, 0.0254272, 0.0102159, 0.0128243, 0.0104372, 0.015825, 0.017883, 0.0154193, 0.0216741, 0.0235445, 0.0124639, 0.00750378, 0.0201029, 0.0181055, 0.0156426, 0.0135303, 0.00598804
0.03, 0.0319375, 0.011122, 0.0105694, 0.00577164, 0.0105863, 0.0102974, 0.0136732, 0.0161954, 0.00587285, 0.00539597, 0.0307838, 0.0190842, 0.0078142, 0.0159073, 0.0206092, 0.0126406, 0.00724332, 0.010407, 0.00953536, 0.0334474, 0.00709408, 0.00545916, 0.0108445, 0.0137694, 0.0150517, 0.0243871, 0.0131879, 0.0124111, 0.00730877, 0.0164814, 0.0132149, 0.0127115, 0.0173077, 0.0203641, 0.0148738, 0.00715787, 0.0161895, 0.0193486, 0.011301, 0.0114749, 0.00767106
0.04, 0.0319375, 0.0140699, 0.0131542, 0.00945861, 0.0138755, 0.00759689, 0.0119786, 0.0140637, 0.00978637, 0.00585152, 0.0332307, 0.0202102, 0.00697511, 0.0177845, 0.0177102, 0.00646582, 0.00687732, 0.0101426, 0.0071845, 0.0340399, 0.00951789, 0.00804281, 0.0127665, 0.0116169, 0.0152549, 0.0253977, 0.0166042, 0.0141743, 0.00747928, 0.0187179, 0.0155577, 0.0144038, 0.0182187, 0.0206751, 0.0207249, 0.0066848, 0.0188865, 0.0244569, 0.0110686, 0.0105333, 0.00861322
0.05, 0.0319375, 0.0136772, 0.00492763, 0.009765, 0.0183021, 0.00668989, 0.0145531, 0.0132624, 0.00782827, 0.0122018, 0.0391375, 0.023835, 0.0106258, 0.0135838, 0.0121318, 0.00846642, 0.0102916, 0.00786884, 0.0120613, 0.0387598, 0.00924627, 0.0101235, 0.0134155, 0.0066154, 0.0116213, 0.0294032, 0.0182618, 0.00899489, 0.00800106, 0.0164161, 0.0176417, 0.0174811, 0.0189256, 0.0206749, 0.0167135, 0.00895638, 0.0202668, 0.0188178, 0.0130414, 0.010932, 0.00791248
0.06, 0.0319375, 0.00912012, 0.00726735, 0.00663352, 0.00820575, 0.00685767, 0.0111406, 0.00857658, 0.00661375, 0.0121308, 0.0401158, 0.0225177, 0.00675916, 0.0096297, 0.00848664, 0.0102807, 0.0103406, 0.00960845, 0.0118268, 0.0316052, 0.00937264, 0.00909661, 0.0152831, 0.00890888, 0.0102127, 0.0302128, 0.0176401, 0.013867, 0.00923209, 0.0175328, 0.0132567, 0.0135854, 0.015042, 0.0205941, 0.0130613, 0.0114039, 0.0237238, 0.0175728, 0.0146727, 0.0120958, 0.0080149
0.07, 0.0319375, 0.00897906, 0.00804943, 0.00389021, 0.00590023, 0.00957622, 0.00483854, 0.00805487, 0.00692243, 0.0111784, 0.0374987, 0.0206729, 0.00525901, 0.0112406, 0.0087275, 0.00779704, 0.0087509, 0.00927119, 0.00769957, 0.0333822, 0.0100256, 0.00807663, 0.0118458, 0.0119318, 0.0115695, 0.0288151, 0.0126457, 0.012292, 0.0115758, 0.0201869, 0.0153443, 0.0128383, 0.0145229, 0.0254988, 0.0159875, 0.0150623, 0.0263582, 0.0168703, 0.0164109, 0.0115099, 0.00854148
0.08, 0.0319375, 0.0118947, 0.00809673, 0.00588482, 0.00509037, 0.00985932, 0.00562359, 0.00852363, 0.00529328, 0.00513105, 0.0407857, 0.0234121, 0.00841252, 0.0115638, 0.00779456, 0.0076687, 0.00886245, 0.00754448, 0.00932729, 0.032558, 0.00766574, 0.00635342, 0.0106414, 0.0179892, 0.0140992, 0.0300006, 0.0116053, 0.0130694, 0.0131417, 0.0200775, 0.0153316, 0.0101848, 0.0125713, 0.0226361, 0.0159609, 0.0194509, 0.0261835, 0.0158945, 0.0150207, 0.0146924, 0.00852576
0.09, 0.0319375, 0.00982379, 0.00453479, 0.00339503, 0.00796003, 0.0084598, 0.0140593, 0.0101874, 0.00569815, 0.00359092, 0.0386993, 0.0238692, 0.0135361, 0.00891408, 0.0111202, 0.00996094, 0.00283958, 0.00571961, 0.0100423, 0.0331881, 0.00744462, 0.0110599, 0.0108784, 0.0137822, 0.00908586, 0.0241014, 0.0118743, 0.0168687, 0.0167367, 0.0199271, 0.0135564, 0.00769106, 0.00939307, 0.0231429, 0.0181175, 0.0170072, 0.0228296, 0.0183726, 0.0112713, 0.0171989, 0.0103656
