# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.578758, 1.21671, 1.12757, 1.25982, 1.07535, 0.775941, 0.489539, 0.732655, 0.786236, 1.03286, 0.876201, 0.959983, 0.807685, 0.548645, 0.638107, 0.842528, 0.624887, 0.725409, 0.712232, 0.82604, 1.02606, 1.02579, 1.02788, 0.680632, 0.629459, 0.625718, 0.702648, 0.726653, 0.865826, 0.800839, 0.92767, 0.676002, 0.798376, 0.693888, 0.63232, 0.805955, 0.650827, 0.708043, 0.607547, 0.360761
0.01, 0.0319375, 1.02885, 1.21469, 1.16678, 1.06439, 1.16869, 1.24834, 0.532744, 1.09856, 0.761055, 0.896934, 1.02153, 1.29769, 0.900178, 0.772521, 0.779396, 0.998133, 0.987557, 0.794166, 0.650319, 1.03573, 0.977219, 0.813982, 0.908275, 0.940603, 0.726872, 0.592274, 0.683512, 0.794883, 0.792996, 0.794726, 1.02718, 0.830455, 0.990936, 0.888191, 0.6192, 0.82916, 0.609028, 0.608126, 0.543424, 0.427837
0.02, 0.0319375, 1.11115, 1.23841, 0.74268, 0.694476, 0.651708, 1.1285, 0.841515, 1.33318, 1.01866, 1.14385, 1.08443, 1.22507, 1.1502, 0.903239, 0.608762, 0.854376, 0.734379, 0.684032, 0.712666, 0.878854, 0.722538, 0.877204, 0.601726, 0.812434, 0.694476, 0.760187, 0.949291, 0.723752, 0.799463, 0.836983, 1.09287, 0.993999, 0.888922, 0.846131, 0.745841, 0.834719, 0.732593, 0.587376, 0.659947, 0.382131
0.03, 0.0319375, 0.901499, 0.816079, 1.29998, 1.35803, 0.567374, 0.662726, 1.00398, 0.830819, 0.609674, 0.892786, 1.01129, 0.831378, 0.946247, 0.840798, 0.93172, 0.797028, 0.794934, 0.667567, 0.835622, 0.828121, 0.753264, 0.747244, 0.668108, 0.87619, 0.789984, 1.00757, 0.941112, 0.786103, 0.761922, 0.806594, 0.859841, 1.11554, 0.784858, 0.587158, 0.890905, 0.79541, 0.71921, 0.667166, 0.680114, 0.369209
0.04, 0.0319375, 1.13052, 1.16965, 0.776901, 1.1734, 0.99754, 0.392394, 0.530893, 0.789844, 0.836752, 0.761466, 0.714375, 0.835954, 0.735364, 1.30789, 0.978281, 0.573301, 0.485378, 0.569136, 0.782405, 1.00275, 0.933466, 0.86425, 0.76278, 0.744173, 0.666346, 0.741245, 0.722922, 0.746068, 0.86337, 0.938681, 0.958935, 0.995629, 0.791592, 0.539059, 0.729221, 0.804394, 0.595967, 0.617968, 0.647264, 0.310853
0.05, 0.0319375, 1.06508, 1.19269, 1.04, 1.18522, 1.01981, 0.76392, 0.95421, 0.993154, 1.14108, 0.910267, 0.711124, 0.85223, 0.650713, 0.967936, 0.882062, 0.895812, 0.741414, 0.310511, 0.50437, 0.806135, 0.876702, 0.894866, 0.737857, 0.668174, 0.661791, 0.676123, 0.782992, 0.826125, 0.945523, 0.797341, 0.745795, 1.00202, 0.95479, 0.822513, 0.661614, 0.863904, 0.713246, 0.686851, 0.671029, 0.41013
0.06, 0.0319375, 1.09002, 1.57347, 1.29349, 0.869721, 0.841304, 1.2144, 1.04908, 1.26563, 1.24377, 0.94859, 0.758233, 0.897919, 0.9231, 0.707566, 0.705737, 0.804213, 0.668761, 0.395882, 0.559073, 0.734281, 0.810566, 0.7358, 0.637715, 0.650776, 0.683105, 0.782191, 1.04381, 0.762288, 0.896515, 0.828552, 0.689581, 0.985549, 0.945707, 0.922287, 0.684814, 0.827339, 0.682476, 0.626813, 0.524983, 0.495424
0.07, 0.0319375, 0.746895, 0.970965, 0.920014, 1.07027, 1.18459, 1.13316, 0.956945, 0.945579, 0.832327, 0.907943, 0.80074, 0.813725, 0.814896, 0.696538, 0.614356, 0.934279, 0.715128, 0.510368, 0.724023, 0.732844, 0.615173, 0.75607, 0.703257, 0.71349, 0.579913, 0.637264, 0.768192, 0.752828, 0.850887, 0.826241, 0.779835, 0.752162, 0.818397, 0.893249, 0.755268, 0.687116, 0.561336, 0.587006, 0.496248, 0.303709
0.08, 0.0319375, 0.818391, 1.03082, 0.959328, 1.04563, 1.04043, 1.14771, 1.35932, 0.989784, 0.798279, 0.920601, 0.788497, 0.947808, 0.791413, 0.924341, 0.958555, 0.892896, 0.87623, 0.519196, 0.794708, 0.751755, 0.720342, 0.73362, 0.732185, 0.722776, 0.721328, 0.784768, 0.674193, 0.783379, 0.894363, 0.59697, 0.6251, 0.967615, 0.878991, 0.783026, 0.789039, 0.731034, 0.815066, 0.542954, 0.552515, 0.334693
0.09, 0.0319375, 1.08896, 1.58505, 0.730042, 1.02348, 0.810604, 1.14319, 1.07401, 0.668109, 0.815578, 1.21452, 1.24528, 1.00518, 0.944661, 0.96664, 0.991492, 0.795619, 0.72117, 0.555128, 0.812655, 0.881673, 0.623162, 0.581081, 0.663733, 0.732592, 0.841514, 0.895838, 0.770618, 0.787265, 0.530263, 0.649564, 0.922363, 0.933535, 0.729164, 0.772341, 0.804688, 0.741911, 0.782291, 0.563781, 0.60583, 0.393618
