# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.000297145, 0.000382946, 0.000379014, 0.000103945, 0.000191551, 0.000233146, 0.000151384, 0.000346839, 0.00031371, 0.000311326, 0.000281294, 0.000529745, 0.00047577, 0.000590746, 0.000654841, 0.000727865, 0.000612191, 0.000418456, 0.000318357, 0.000445624, 0.000290948, 0.000497813, 0.000621245, 0.000650194, 0.000996212, 0.00112351, 0.00140961, 0.0014702, 0.00120329, 0.00107159, 0.000959175, 0.00120496, 0.00137366, 0.00208875, 0.00252286, 0.00308027, 0.00490877, 0.00624633, 0.0066263, 0.00684417
0.01, 0.0319375, 0.000273905, 0.000345647, 0.000262584, 0.000124924, 0.000150669, 9.66741e-05, 0.000121824, 0.000379014, 0.000383304, 0.000415239, 0.000333492, 0.000726912, 0.000861869, 0.000476724, 0.000484945, 0.000431683, 0.000370076, 0.000427989, 0.00056525, 0.000513779, 0.000578475, 0.00053463, 0.000443718, 0.000625891, 0.000697608, 0.00106826, 0.00119019, 0.00131985, 0.000923803, 0.000813034, 0.00125818, 0.00116328, 0.00138092, 0.0016867, 0.00221056, 0.00341131, 0.00434396, 0.00568298, 0.00729481, 0.00583516
0.02, 0.0319375, 0.000166402, 0.000316331, 0.000351844, 0.000178202, 0.00012552, 0.000206568, 0.000224803, 0.000358398, 0.000473149, 0.000316093, 0.000191193, 0.000302627, 0.000731082, 0.000483158, 0.00038664, 0.000217057, 0.000345647, 0.000509728, 0.000582049, 0.000668064, 0.00101336, 0.000699156, 0.000753, 0.000911059, 0.000871398, 0.00100288, 0.00100669, 0.00149055, 0.00106266, 0.00109517, 0.00121412, 0.000885571, 0.00141199, 0.00135449, 0.00216631, 0.00330664, 0.0037692, 0.00558317, 0.00777658, 0.00825269
0.03, 0.0319375, 0.000175341, 0.000140776, 0.00024852, 0.000161992, 0.000171051, 0.000182374, 0.000515209, 0.000489354, 0.000484945, 0.000442288, 0.000337544, 0.000355538, 0.000496383, 0.000336829, 0.000350652, 0.000613739, 0.000423699, 0.000486613, 0.000652458, 0.000520571, 0.000608497, 0.00071643, 0.000750141, 0.0007773, 0.000806483, 0.000846504, 0.000851983, 0.000954173, 0.000827328, 0.00136723, 0.00107957, 0.000887, 0.00123306, 0.00165909, 0.00221317, 0.00424769, 0.00457763, 0.00474695, 0.00687164, 0.0100775
0.04, 0.0319375, 0.000377703, 9.03566e-05, 0.000107759, 0.000228856, 0.000261511, 0.000368766, 0.000481847, 0.000477438, 0.000318476, 0.000323601, 0.000249951, 0.000300839, 0.000401297, 0.000208475, 0.000182493, 0.000483277, 0.000443479, 0.000471242, 0.000714047, 0.000691413, 0.000459565, 0.00058467, 0.000631967, 0.000625057, 0.000895576, 0.000759194, 0.00109446, 0.00110494, 0.000984541, 0.00142913, 0.0010766, 0.00115257, 0.00148472, 0.00156554, 0.00230749, 0.00411248, 0.00440366, 0.00515062, 0.00525486, 0.0076881
0.05, 0.0319375, 0.000358875, 0.000231239, 0.000102396, 0.000145902, 0.000227068, 0.000259366, 0.000332062, 0.000314663, 0.000231597, 0.00020192, 0.000363999, 0.000455872, 0.000559531, 0.000359351, 0.00034386, 0.000541183, 0.00067414, 0.000730248, 0.000594797, 0.000616241, 0.000480417, 0.000699276, 0.000957865, 0.000710473, 0.000868182, 0.000959532, 0.000741326, 0.000636137, 0.000831258, 0.00118281, 0.00121246, 0.0011122, 0.0011534, 0.0017011, 0.00221698, 0.00456826, 0.00555614, 0.00551465, 0.00523233, 0.00571
0.06, 0.0319375, 0.000148762, 0.000233504, 0.000128261, 0.000250785, 0.000305606, 0.00028046, 0.000364833, 0.000326938, 0.000155079, 0.000267708, 0.000477438, 0.000490664, 0.000476962, 0.000263775, 0.000324197, 0.000548451, 0.000756931, 0.000950719, 0.000516043, 0.000493166, 0.000786353, 0.000917014, 0.00107386, 0.000608497, 0.000997761, 0.000962509, 0.000759075, 0.00103754, 0.000958698, 0.00109636, 0.00135949, 0.00139449, 0.00129211, 0.00184187, 0.00184473, 0.00409313, 0.00506345, 0.00579274, 0.00601138, 0.00678556
0.07, 0.0319375, 2.49144e-05, 0.000124208, 0.000183565, 0.000173911, 0.000395816, 0.000260796, 0.000287968, 0.000233265, 0.000147809, 0.000279149, 0.000184519, 0.000494, 0.000444552, 0.000371745, 0.000402608, 0.000545115, 0.000473745, 0.000495549, 0.000551787, 0.00045051, 0.000649122, 0.000539396, 0.000791356, 0.000577283, 0.000921302, 0.000742756, 0.000872112, 0.000842216, 0.000850911, 0.00103968, 0.00127092, 0.00147318, 0.00160006, 0.00188245, 0.00230036, 0.00426514, 0.0044033, 0.0068849, 0.0059705, 0.0072019
0.08, 0.0319375, 0.000181182, 0.000339093, 0.000242204, 0.000125758, 0.00039951, 0.000139108, 0.000113242, 0.000170455, 0.000346005, 0.000191551, 0.000219202, 0.000484468, 0.000529864, 0.000510443, 0.000390811, 0.0006054, 0.000776704, 0.000317761, 0.000386521, 0.000602183, 0.00045325, 0.000582287, 0.000883308, 0.000468502, 0.000635541, 0.000506154, 0.00082566, 0.000779682, 0.00116019, 0.0014821, 0.00105171, 0.00101038, 0.00170764, 0.00207067, 0.00255651, 0.00320528, 0.00437339, 0.00513414, 0.00695297, 0.00786269
0.09, 0.0319375, 0.00029345, 0.000199536, 0.000196676, 0.000140419, 0.000262703, 0.00012254, 0.000203827, 0.000514494, 0.000496503, 0.000173315, 0.000503771, 0.000433351, 0.000556195, 0.000447054, 0.000480536, 0.000509728, 0.000515924, 0.000377226, 0.000373175, 0.00052212, 0.000713571, 0.000724411, 0.000846385, 0.000651386, 0.000595869, 0.000625534, 0.000853174, 0.000889502, 0.000980016, 0.00137616, 0.00115471, 0.00100407, 0.00136259, 0.00211171, 0.00327788, 0.00294977, 0.00377656, 0.00477056, 0.00766645, 0.00822218
0.1, 0.0319375, 0.000170455, 0.000162111, 0.000307751, 0.000253168, 0.000214911, 0.000186426, 0.000380205, 0.000379014, 0.000314782, 0.000210263, 0.000408447, 0.000282009, 0.000397484, 0.000318953, 0.000624104, 0.000550834, 0.000465046, 0.000431087, 0.000462902, 0.000649599, 0.000664133, 0.000549642, 0.000621722, 0.000761815, 0.000526647, 0.000854961, 0.00117495, 0.000724292, 0.000878663, 0.00106862, 0.00124889, 0.00109481, 0.00161505, 0.00236327, 0.00250336, 0.00304271, 0.00456422, 0.00514125, 0.00692645, 0.00863036
0.11, 0.0319375, 0.000114911, 0.000357087, 0.000174507, 0.000205496, 0.000208356, 0.000224923, 0.000311565, 0.000360066, 0.000248044, 0.000321456, 0.00030644, 0.000278315, 0.0003553, 0.000423938, 0.000652577, 0.00046028, 0.000391764, 0.000369719, 0.000374485, 0.000562033, 0.000616599, 0.00050806, 0.000663299, 0.000893194, 0.000578951, 0.00111565, 0.00125127, 0.000744185, 0.00114757, 0.00135592, 0.001204, 0.00115816, 0.00150936, 0.00193587, 0.00216524, 0.00340192, 0.00423487, 0.00647518, 0.00919725, 0.00792171
0.12, 0.0319375, 0.00010764, 0.000275336, 0.000341357, 0.000245541, 0.000299171, 0.000216103, 0.000183923, 0.000466238, 0.000419648, 0.000309896, 0.000425248, 0.000415001, 0.000392122, 0.000346839, 0.000426678, 0.000565607, 0.000298098, 0.000349341, 0.000355538, 0.000311565, 0.000538085, 0.000494596, 0.000833045, 0.000819109, 0.000785638, 0.000757407, 0.000900221, 0.000725006, 0.00075979, 0.000844837, 0.00107147, 0.00124532, 0.00161208, 0.00162707, 0.0020985, 0.00373179, 0.00354484, 0.00588316, 0.00696872, 0.0083248
0.13, 0.0319375, 0.000260915, 0.0001844, 0.000170932, 0.000154722, 0.000296549, 0.00012695, 0.000358875, 0.000369719, 8.54694e-05, 0.000309181, 0.000454442, 0.000185711, 0.000231954, 0.000344098, 0.00032658, 0.000463974, 0.000508894, 0.000510681, 0.000386164, 0.000332539, 0.000527719, 0.000473149, 0.000988233, 0.000680692, 0.000757884, 0.000815298, 0.00124853, 0.00132009, 0.000973704, 0.000786353, 0.00101479, 0.00126401, 0.00146341, 0.0017437, 0.00223006, 0.00349827, 0.00436758, 0.00523257, 0.00643894, 0.00810855
