# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0112065, 0.00998892, 0.00862729, 0.00836334, 0.00668231, 0.0060256, 0.00741929, 0.00782768, 0.00596872, 0.00519047, 0.0059308, 0.00623318, 0.00578349, 0.00536822, 0.00566816, 0.00523174, 0.00491791, 0.00458997, 0.00483048, 0.00497307, 0.00472228, 0.00485468, 0.00499442, 0.00470104, 0.00440805, 0.00454298, 0.00495907, 0.00470294, 0.00446217, 0.00480782, 0.00486144, 0.00465714, 0.00469902, 0.00477507, 0.00484792, 0.00513603, 0.00522664, 0.00532755, 0.00565572, 0.00581241
0.01, 0.0319375, 0.103553, 0.0879065, 0.0773004, 0.0689556, 0.0610992, 0.0553436, 0.0629166, 0.0680861, 0.0517306, 0.0467572, 0.0516206, 0.0548041, 0.050658, 0.0469788, 0.0495924, 0.0459811, 0.0431176, 0.0403392, 0.0422945, 0.0438271, 0.0413598, 0.0426392, 0.0437479, 0.0412263, 0.0388254, 0.0398541, 0.0434797, 0.0412786, 0.0391942, 0.0421814, 0.0426473, 0.0408443, 0.0412675, 0.0418875, 0.0425083, 0.0450115, 0.0457674, 0.0466369, 0.0494487, 0.0507827
0.02, 0.0319375, 0.125439, 0.105565, 0.0932649, 0.0843971, 0.0730681, 0.0661127, 0.0761791, 0.0822604, 0.0626851, 0.0559688, 0.0621379, 0.0658156, 0.0609363, 0.0566569, 0.0597162, 0.055322, 0.0520179, 0.0486236, 0.0509593, 0.052673, 0.0498749, 0.0513382, 0.0527076, 0.0496979, 0.0467304, 0.0480189, 0.0523651, 0.0497281, 0.0472201, 0.0507839, 0.0513598, 0.0492092, 0.0496793, 0.0504448, 0.0511938, 0.054174, 0.0550949, 0.056139, 0.0594994, 0.0611084
0.03, 0.0319375, 0.0171092, 0.0144877, 0.0125399, 0.012256, 0.00961412, 0.00863107, 0.0106454, 0.0112934, 0.00861145, 0.00740486, 0.00845094, 0.00888442, 0.00824441, 0.00767603, 0.00809295, 0.00745503, 0.00703288, 0.00655288, 0.00688668, 0.00707407, 0.00674022, 0.00691876, 0.00712225, 0.00670801, 0.0062763, 0.00647423, 0.00706815, 0.0067041, 0.00635934, 0.00684678, 0.0069274, 0.00663743, 0.00669072, 0.0068025, 0.00690704, 0.00731327, 0.00744473, 0.0075892, 0.00805416, 0.00827976
0.04, 0.0319375, 0.000842455, 0.0007692, 0.00069046, 0.000608974, 0.000527839, 0.000450152, 0.000461353, 0.000443479, 0.000308704, 0.000282367, 0.000334445, 0.000394267, 0.000387355, 0.00035816, 0.000358517, 0.00030501, 0.000274382, 0.000268662, 0.000303818, 0.000323482, 0.000288922, 0.000280579, 0.000294165, 0.000294046, 0.000275455, 0.000266636, 0.000294999, 0.000293093, 0.000269138, 0.000285108, 0.000301077, 0.000280103, 0.000282724, 0.000294999, 0.000289041, 0.000315974, 0.000314067, 0.000325627, 0.000340404, 0.000354823
0.05, 0.0319375, 0.0347675, 0.0395913, 0.0493816, 0.0460836, 0.0342639, 0.0246228, 0.0318195, 0.0410941, 0.0283314, 0.0222371, 0.0281882, 0.0317235, 0.0258367, 0.025424, 0.0266656, 0.0236281, 0.0237077, 0.0214104, 0.022427, 0.0231499, 0.022201, 0.022753, 0.0239928, 0.0216519, 0.0199686, 0.021819, 0.023142, 0.022103, 0.0207408, 0.0222143, 0.0225235, 0.0221085, 0.0221685, 0.0222347, 0.0231855, 0.0243386, 0.025246, 0.0252071, 0.0275116, 0.0269341
0.06, 0.0319375, 0.155158, 0.11313, 0.0728485, 0.0722985, 0.0646229, 0.04879, 0.054, 0.0566881, 0.0421471, 0.0405502, 0.0400723, 0.0447877, 0.0415993, 0.0357651, 0.0383006, 0.0357631, 0.0326587, 0.0314346, 0.0326894, 0.0334332, 0.0316629, 0.032596, 0.0336922, 0.0320654, 0.0311878, 0.0309158, 0.0329778, 0.0328337, 0.029796, 0.0351699, 0.0427631, 0.0377399, 0.031842, 0.0335436, 0.0342694, 0.0347024, 0.036297, 0.0378307, 0.040047, 0.0428416
0.07, 0.0319375, 0.107618, 0.07571, 0.0682049, 0.0452578, 0.0566368, 0.0288466, 0.0472897, 0.0434905, 0.0315472, 0.0334647, 0.0342734, 0.0348541, 0.033204, 0.0297198, 0.0320005, 0.0299689, 0.027497, 0.0259508, 0.0298521, 0.0272388, 0.0251335, 0.026564, 0.0319333, 0.027547, 0.0286245, 0.026969, 0.0286382, 0.0311407, 0.0289188, 0.0351273, 0.0586989, 0.0394808, 0.026262, 0.0292978, 0.0283501, 0.0294156, 0.0308648, 0.0362853, 0.0364997, 0.0369677
0.08, 0.0319375, 0.0275433, 0.0235323, 0.0171251, 0.0183172, 0.0157111, 0.010659, 0.0162725, 0.0141173, 0.0120256, 0.0107588, 0.0179256, 0.0152591, 0.0118056, 0.0119825, 0.0184859, 0.0189437, 0.0159831, 0.0129318, 0.0119684, 0.0142564, 0.0116493, 0.0131669, 0.0209382, 0.018302, 0.0143712, 0.0110244, 0.0206811, 0.0266602, 0.0211962, 0.0239673, 0.0566986, 0.0296136, 0.0181415, 0.0203237, 0.0198589, 0.014031, 0.015572, 0.0224098, 0.027094, 0.0181587
0.09, 0.0319375, 0.046558, 0.0307453, 0.0330836, 0.0268424, 0.0227411, 0.0244857, 0.0224377, 0.0275659, 0.0198963, 0.0190954, 0.0253038, 0.0229886, 0.022585, 0.0179446, 0.0230129, 0.0173748, 0.0180156, 0.0166901, 0.0187394, 0.0224972, 0.0186517, 0.0187915, 0.0183995, 0.0213811, 0.0210263, 0.0192977, 0.0188226, 0.0190076, 0.0230001, 0.0311063, 0.071142, 0.0378772, 0.02383, 0.0227006, 0.0218279, 0.0220151, 0.0240123, 0.0271003, 0.0310146, 0.0255685
0.1, 0.0319375, 0.075128, 0.07025, 0.0754655, 0.0682069, 0.030465, 0.0113529, 0.0141089, 0.0226664, 0.0356124, 0.022483, 0.0306709, 0.0534014, 0.0596201, 0.029815, 0.0188493, 0.019842, 0.0243686, 0.0375894, 0.0264031, 0.0320137, 0.0195308, 0.0197388, 0.0208927, 0.0241927, 0.0190184, 0.018376, 0.0198669, 0.0219937, 0.0220153, 0.0268782, 0.0260287, 0.0188216, 0.0189191, 0.0202754, 0.0191127, 0.0210297, 0.0206082, 0.0228325, 0.0204024, 0.0208276
