# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.55288, 0.535137, 0.6436, 0.316847, 0.27892, 0.323045, 0.293568, 0.144066, 0.121855, 0.131338, 0.162503, 0.0909714, 0.208697, 0.413998, 0.55271, 0.514351, 0.708754, 0.360601, 0.267453, 0.358157, 0.494551, 0.448818, 0.339553, 0.248486, 0.233048, 0.409878, 0.495085, 0.292228, 0.271592, 0.128938, 0.114659, 0.108957, 0.160169, 0.202268, 0.224861, 0.288634, 0.425595, 0.413714, 0.331088, 0.241212
0.01, 0.0319375, 0.525575, 0.390699, 0.479066, 0.313666, 0.2456, 0.138079, 0.393384, 0.216605, 0.118487, 0.15422, 0.186298, 0.0928341, 0.163293, 0.315169, 0.512355, 0.596808, 0.530444, 0.228184, 0.249877, 0.37857, 0.387581, 0.343563, 0.316754, 0.372382, 0.216003, 0.326184, 0.415494, 0.360879, 0.27371, 0.172113, 0.154673, 0.0950151, 0.144741, 0.201576, 0.200244, 0.318589, 0.435541, 0.30582, 0.2848, 0.276997
0.02, 0.0319375, 0.68063, 0.400898, 0.64075, 0.39882, 0.129961, 0.191723, 0.423699, 0.204449, 0.15862, 0.112177, 0.260977, 0.209493, 0.259582, 0.414613, 0.454799, 0.591113, 0.542772, 0.26287, 0.281524, 0.269808, 0.397134, 0.464779, 0.37017, 0.28179, 0.164678, 0.377448, 0.626089, 0.358829, 0.299023, 0.149424, 0.142601, 0.0968227, 0.11633, 0.180021, 0.163041, 0.234506, 0.323848, 0.24134, 0.235999, 0.217539
0.03, 0.0319375, 0.836454, 0.671886, 0.611596, 0.5538, 0.221769, 0.416421, 0.416216, 0.305525, 0.162021, 0.152179, 0.246745, 0.19332, 0.266306, 0.397707, 0.562708, 0.561734, 0.62592, 0.256545, 0.29093, 0.356197, 0.444272, 0.630238, 0.410228, 0.261796, 0.189396, 0.423781, 0.50949, 0.346921, 0.241038, 0.133007, 0.17008, 0.110965, 0.131999, 0.198533, 0.202161, 0.208282, 0.192973, 0.186762, 0.172428, 0.103854
0.04, 0.0319375, 0.575611, 0.726674, 1.16889, 0.763641, 0.250418, 0.348368, 0.361038, 0.290404, 0.203034, 0.135703, 0.205242, 0.312023, 0.278738, 0.334907, 0.33439, 0.417247, 0.614108, 0.318247, 0.368141, 0.66379, 0.395532, 0.563832, 0.456646, 0.221287, 0.200824, 0.294789, 0.500258, 0.418249, 0.339959, 0.192333, 0.160067, 0.111539, 0.114526, 0.181342, 0.155921, 0.20579, 0.151571, 0.157785, 0.134434, 0.0927394
0.05, 0.0319375, 0.31987, 0.568239, 0.798515, 0.905609, 0.530344, 0.472621, 0.483179, 0.386729, 0.352097, 0.121464, 0.198072, 0.227617, 0.250157, 0.490246, 0.292416, 0.577454, 0.67155, 0.269175, 0.321224, 0.559216, 0.355105, 0.408573, 0.327132, 0.205006, 0.16806, 0.240511, 0.487982, 0.476304, 0.351078, 0.225713, 0.178606, 0.133694, 0.1108, 0.167211, 0.153016, 0.187038, 0.157678, 0.159696, 0.139642, 0.11937
0.06, 0.0319375, 0.423351, 0.589331, 0.716284, 0.60822, 0.316268, 0.708419, 0.762739, 0.459162, 0.3603, 0.24412, 0.313959, 0.20856, 0.166432, 0.383661, 0.374287, 0.773681, 0.49423, 0.135139, 0.247557, 0.275246, 0.328398, 0.373522, 0.312646, 0.303374, 0.220483, 0.258335, 0.506923, 0.53029, 0.417912, 0.263013, 0.207572, 0.160455, 0.145775, 0.16764, 0.171891, 0.140051, 0.145583, 0.201769, 0.161659, 0.117831
0.07, 0.0319375, 0.373699, 0.728607, 1.00561, 0.508225, 0.381725, 0.536597, 0.654496, 0.425796, 0.315958, 0.249537, 0.266908, 0.251847, 0.34919, 0.37492, 0.358163, 0.723396, 0.428855, 0.187007, 0.296154, 0.304807, 0.454884, 0.405109, 0.49359, 0.294771, 0.250945, 0.330275, 0.415034, 0.41136, 0.346238, 0.235243, 0.165771, 0.109064, 0.133974, 0.198108, 0.136126, 0.102469, 0.128009, 0.115043, 0.151839, 0.112691
0.08, 0.0319375, 0.371777, 0.848464, 1.08637, 0.913118, 0.546721, 0.717189, 0.713571, 0.370533, 0.245221, 0.117087, 0.155549, 0.30298, 0.301329, 0.427346, 0.441158, 0.770199, 0.457989, 0.177247, 0.247396, 0.333596, 0.454752, 0.594267, 0.52209, 0.274479, 0.194235, 0.345244, 0.43458, 0.469374, 0.33877, 0.193562, 0.158374, 0.100248, 0.128533, 0.198877, 0.175649, 0.131918, 0.0910267, 0.104824, 0.113395, 0.0662829
0.09, 0.0319375, 0.480577, 0.498254, 0.499763, 1.17341, 0.501306, 0.399543, 0.489262, 0.457174, 0.459792, 0.429522, 0.460348, 0.483714, 0.40155, 0.3714, 0.560577, 0.69256, 0.273184, 0.0884679, 0.271987, 0.358306, 0.305021, 0.552427, 0.453674, 0.328905, 0.183452, 0.313036, 0.416096, 0.53274, 0.275449, 0.274049, 0.218842, 0.127343, 0.152254, 0.261491, 0.24625, 0.123704, 0.0876587, 0.118517, 0.131312, 0.0855076
