# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 3.23052e-05, 6.09141e-05, 7.53374e-05, 5.86492e-05, 9.66741e-05, 8.49926e-05, 8.5827e-05, 0.000111335, 8.51118e-05, 7.14038e-05, 9.71508e-05, 9.38133e-05, 5.853e-05, 6.53246e-05, 5.04243e-05, 6.62782e-05, 0.000126473, 0.000291663, 0.000288207, 0.000490188, 0.000529388, 0.000850911, 0.00120341, 0.000927257, 0.0016429, 0.0021744, 0.00147472, 0.0012602, 0.0014202, 0.00088307, 0.000916419, 0.00177476, 0.00344137, 0.0070092, 0.00812712, 0.0138987, 0.0195799, 0.0225259, 0.0254072, 0.0310499
0.01, 0.0319375, 7.3311e-05, 6.35365e-05, 6.34173e-05, 6.68742e-05, 0.000111931, 5.74572e-05, 0.000105614, 8.39198e-05, 4.70866e-05, 7.31918e-05, 0.000100846, 4.74442e-05, 5.19739e-05, 4.98282e-05, 5.57884e-05, 7.93902e-05, 7.9271e-05, 0.000309896, 0.000275097, 0.000517115, 0.000688912, 0.00109219, 0.00155947, 0.000936784, 0.00128377, 0.00117876, 0.00148532, 0.00182926, 0.000997761, 0.000907367, 0.00112256, 0.00141473, 0.00312638, 0.00462391, 0.0086612, 0.0134068, 0.0153834, 0.0234388, 0.0260716, 0.0262785
0.02, 0.0319375, 8.5231e-05, 4.66097e-05, 6.12717e-05, 5.62652e-05, 0.000143279, 6.75894e-05, 5.31659e-05, 8.08206e-05, 7.42646e-05, 4.83978e-05, 7.11654e-05, 5.38811e-05, 4.94706e-05, 4.88746e-05, 4.75634e-05, 8.98798e-05, 0.000157106, 0.000328844, 0.000494596, 0.000517235, 0.000532009, 0.000669017, 0.000933092, 0.000821372, 0.000927257, 0.000820181, 0.0016285, 0.00209589, 0.00128485, 0.00143627, 0.00111172, 0.00104933, 0.00277622, 0.00582924, 0.00793779, 0.0134592, 0.0145276, 0.0201641, 0.0238062, 0.023922
0.03, 0.0319375, 4.07687e-05, 4.208e-05, 6.09141e-05, 2.78946e-05, 0.000127188, 6.75894e-05, 6.4967e-05, 0.000166283, 0.000121109, 6.05565e-05, 8.71382e-05, 0.000148405, 9.23829e-05, 5.41196e-05, 5.25699e-05, 0.00011658, 0.00018881, 0.000177487, 0.000445267, 0.000575258, 0.000499005, 0.000764316, 0.000708448, 0.00108457, 0.00150174, 0.00133663, 0.00170336, 0.00188221, 0.00200797, 0.00152745, 0.000888072, 0.00168658, 0.00307801, 0.00521359, 0.00532174, 0.0102066, 0.0104843, 0.0142536, 0.0204225, 0.0237626
0.04, 0.0319375, 5.82916e-05, 8.18934e-05, 7.4503e-05, 3.77886e-05, 5.44772e-05, 3.44509e-05, 5.98413e-05, 0.000193339, 0.000141253, 5.06627e-05, 6.6159e-05, 0.000113362, 5.92453e-05, 3.2186e-05, 5.05435e-05, 6.98542e-05, 0.000121824, 0.000244826, 0.000277004, 0.000420363, 0.00066997, 0.00112113, 0.000987638, 0.00110672, 0.0018433, 0.00161148, 0.00236672, 0.002278, 0.00160982, 0.00137866, 0.00115221, 0.00192302, 0.00262797, 0.00499477, 0.00954375, 0.0106246, 0.010767, 0.0175153, 0.0280234, 0.022124
0.05, 0.0319375, 5.74572e-05, 8.7615e-05, 6.6755e-05, 7.17614e-05, 9.82236e-05, 2.36032e-05, 0.000111574, 0.00014018, 0.000152338, 6.7947e-05, 9.14293e-05, 7.95094e-05, 5.84108e-05, 3.88615e-05, 6.7351e-05, 5.7934e-05, 0.000124208, 0.000252096, 0.000271522, 0.000394982, 0.000595988, 0.00106707, 0.00098216, 0.0012296, 0.00139021, 0.00129318, 0.00237314, 0.00216916, 0.00180296, 0.00148639, 0.00104504, 0.00123067, 0.0026294, 0.00483404, 0.00902053, 0.0125369, 0.0177483, 0.0212449, 0.0262008, 0.0230753
0.06, 0.0319375, 8.30854e-05, 7.00926e-05, 0.000102276, 9.01182e-05, 0.000145306, 9.14293e-05, 5.47156e-05, 0.000112527, 0.000165806, 8.2847e-05, 7.91518e-05, 8.09398e-05, 6.24637e-05, 5.78148e-05, 8.68998e-05, 6.42517e-05, 0.000184757, 0.000289994, 0.000397484, 0.000484111, 0.000581096, 0.000930472, 0.00070416, 0.00101967, 0.00164981, 0.00160018, 0.00298578, 0.00214799, 0.00242808, 0.00125984, 0.000932259, 0.00140759, 0.00412186, 0.00537391, 0.00809626, 0.0138847, 0.0173735, 0.0176229, 0.0207077, 0.0286547
0.07, 0.0319375, 0.000117653, 7.60526e-05, 5.81724e-05, 4.23184e-05, 6.52054e-05, 0.000100727, 0.000115388, 7.43838e-05, 9.22637e-05, 4.9113e-05, 8.35622e-05, 6.50862e-05, 8.4635e-05, 4.69674e-05, 5.54308e-05, 0.000101323, 0.000166164, 0.000339331, 0.000311803, 0.000563105, 0.00048423, 0.000921063, 0.00122746, 0.00137175, 0.00140604, 0.00154721, 0.00221424, 0.00154364, 0.0016479, 0.00104837, 0.00112351, 0.00127449, 0.00349007, 0.00645268, 0.00872514, 0.0100226, 0.0121681, 0.0220129, 0.0268537, 0.0353872
0.08, 0.0319375, 7.35494e-05, 7.1523e-05, 6.09141e-05, 7.24766e-05, 4.95898e-05, 9.1191e-05, 0.000109786, 0.000162588, 7.41454e-05, 6.62782e-05, 0.000123732, 0.000121109, 8.60654e-05, 5.65036e-05, 5.88877e-05, 8.83302e-05, 0.000128023, 0.000176772, 0.000167833, 0.000463021, 0.000723696, 0.000805411, 0.00113709, 0.00146651, 0.00147044, 0.00173502, 0.00148008, 0.00140044, 0.0014477, 0.00123389, 0.00101634, 0.00101586, 0.00338862, 0.0081795, 0.0102629, 0.0129342, 0.0184818, 0.0249264, 0.0333856, 0.030114
0.09, 0.0319375, 6.12717e-05, 4.9709e-05, 3.23052e-05, 4.04111e-05, 4.98282e-05, 3.18284e-05, 7.7483e-05, 0.000148524, 7.0927e-05, 3.86231e-05, 9.81044e-05, 0.000148047, 6.6755e-05, 4.12456e-05, 4.55369e-05, 8.9999e-05, 8.35622e-05, 0.000120513, 0.000168429, 0.000425487, 0.000442288, 0.000952386, 0.00103932, 0.00121496, 0.00125949, 0.00139866, 0.00178547, 0.00194789, 0.00217844, 0.00144651, 0.000818156, 0.00127877, 0.00326184, 0.0053464, 0.00973572, 0.0119689, 0.0191197, 0.0240198, 0.0233002, 0.0269091
