# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00271666, 0.00137068, 0.00219164, 0.00250788, 0.00252857, 0.00111542, 0.00189875, 0.00371944, 0.00357192, 0.00360672, 0.00213145, 0.00400123, 0.00191112, 0.00265104, 0.00248564, 0.00358154, 0.00574781, 0.00309631, 0.00299375, 0.00289391, 0.00380946, 0.00690313, 0.00482443, 0.00387323, 0.00248136, 0.00346643, 0.00460955, 0.00512263, 0.00408707, 0.00404302, 0.00465239, 0.00304949, 0.00535079, 0.00464041, 0.00428449, 0.00500331, 0.00560024, 0.00420911, 0.00352951, 0.00197109
0.01, 0.0319375, 0.00247839, 0.00296807, 0.00220247, 0.00306256, 0.00163671, 0.00146627, 0.00241239, 0.00256864, 0.00132509, 0.00326933, 0.00370649, 0.00489347, 0.00172157, 0.00171907, 0.00197597, 0.00296819, 0.0072677, 0.0026703, 0.00214252, 0.0021468, 0.002459, 0.00463661, 0.00341523, 0.00434858, 0.00284053, 0.00425992, 0.00575742, 0.00441968, 0.00336937, 0.00537237, 0.00468846, 0.00342687, 0.00371991, 0.00446335, 0.00423974, 0.00428508, 0.00457455, 0.00375459, 0.00338351, 0.00246186
0.02, 0.0319375, 0.00286312, 0.0024722, 0.00351003, 0.00246816, 0.00222019, 0.000950123, 0.00319221, 0.00223839, 0.00234817, 0.00340691, 0.00297188, 0.00301906, 0.00208042, 0.0016485, 0.00351395, 0.00255306, 0.00443178, 0.00346061, 0.00276743, 0.00251394, 0.0030382, 0.00271904, 0.00470804, 0.00468538, 0.00305864, 0.00439677, 0.00565003, 0.00434396, 0.00412637, 0.00408422, 0.00443772, 0.00475324, 0.00405442, 0.00483949, 0.00505882, 0.00612051, 0.00610534, 0.00564386, 0.0041608, 0.00234579
0.03, 0.0319375, 0.00334299, 0.00207328, 0.00161493, 0.00135294, 0.0030893, 0.00236981, 0.00228811, 0.00204414, 0.00156614, 0.00203962, 0.00242012, 0.00221151, 0.00280737, 0.00266174, 0.00279417, 0.00335202, 0.0056428, 0.00255294, 0.0023754, 0.00370388, 0.0047816, 0.00297354, 0.00281807, 0.00317379, 0.00430894, 0.00382086, 0.00719196, 0.00639606, 0.00598306, 0.00400171, 0.00440852, 0.00443653, 0.00469155, 0.00492099, 0.0041697, 0.00609954, 0.0060397, 0.00542146, 0.00493345, 0.00226301
0.04, 0.0319375, 0.00308906, 0.0036028, 0.00425576, 0.00202867, 0.00245508, 0.00182581, 0.00193468, 0.00232688, 0.003071, 0.00284862, 0.00155423, 0.00251834, 0.00258933, 0.00175667, 0.00379473, 0.00416044, 0.00585496, 0.004027, 0.00251905, 0.00356622, 0.00280321, 0.00377965, 0.0032092, 0.00490462, 0.0027742, 0.00262095, 0.00396561, 0.00442775, 0.00499204, 0.0041361, 0.00401394, 0.00451165, 0.00479833, 0.00417896, 0.00436401, 0.00476606, 0.00463269, 0.00477934, 0.0060038, 0.00269098
0.05, 0.0319375, 0.00265734, 0.00381445, 0.00309952, 0.0029449, 0.00245389, 0.000699633, 0.00152472, 0.00225005, 0.00306173, 0.00259848, 0.0022234, 0.00302988, 0.0017506, 0.0026011, 0.00266411, 0.00279679, 0.00314325, 0.00369699, 0.0034523, 0.00342319, 0.00232664, 0.00362739, 0.00291459, 0.00453337, 0.0034435, 0.00198727, 0.00367229, 0.00432639, 0.00727587, 0.00556124, 0.00467719, 0.00460801, 0.00491636, 0.00377359, 0.00435535, 0.00416056, 0.00441018, 0.00419356, 0.00422858, 0.00252762
0.06, 0.0319375, 0.0035478, 0.00198608, 0.00464112, 0.00343115, 0.00218736, 0.000935832, 0.00138771, 0.00238444, 0.00294169, 0.00318912, 0.00227264, 0.00248873, 0.00144806, 0.00187959, 0.00285195, 0.00199905, 0.00229691, 0.00314123, 0.00354044, 0.00251477, 0.00244045, 0.00254628, 0.00283899, 0.0040606, 0.00297366, 0.00302548, 0.00382763, 0.00385993, 0.00579594, 0.00594668, 0.00517137, 0.00577828, 0.00633861, 0.0038477, 0.00513153, 0.00471765, 0.00643159, 0.00506274, 0.00397285, 0.00260502
0.07, 0.0319375, 0.00120781, 0.0010791, 0.00226741, 0.003754, 0.00176726, 0.00147937, 0.00223125, 0.00166706, 0.00152031, 0.00180915, 0.00244212, 0.00481387, 0.00291043, 0.00232212, 0.00479429, 0.00243094, 0.00239027, 0.00288463, 0.00358344, 0.002322, 0.0034321, 0.00463246, 0.0035073, 0.00399838, 0.00372561, 0.00310356, 0.00296035, 0.00298495, 0.00436128, 0.00541778, 0.00511824, 0.00608568, 0.00545454, 0.00479109, 0.00522012, 0.00406475, 0.00649236, 0.00546082, 0.00417279, 0.00315193
0.08, 0.0319375, 0.00184997, 0.00162636, 0.00339717, 0.00387311, 0.00312875, 0.0029613, 0.00281545, 0.00171324, 0.00289438, 0.00201582, 0.00132128, 0.00248576, 0.00205984, 0.00180927, 0.00400883, 0.00258148, 0.00193349, 0.00213871, 0.00223316, 0.00333408, 0.00435262, 0.00335951, 0.00372407, 0.00483593, 0.00447237, 0.00437802, 0.00384449, 0.00457419, 0.00461905, 0.0050026, 0.00459769, 0.00481351, 0.00407081, 0.00342034, 0.00396704, 0.00320897, 0.00444804, 0.00420318, 0.00406499, 0.00258029
0.09, 0.0319375, 0.00116971, 0.00228097, 0.00307314, 0.00201475, 0.00271024, 0.00285147, 0.00243023, 0.0029903, 0.0045393, 0.00142175, 0.00135663, 0.00143687, 0.00254866, 0.00232462, 0.00389472, 0.00189102, 0.00255829, 0.00358653, 0.00257898, 0.00275637, 0.00343257, 0.00372264, 0.00404469, 0.00535743, 0.00423, 0.00473058, 0.0042985, 0.00595995, 0.00644652, 0.00392607, 0.0058533, 0.00463459, 0.00354139, 0.00360316, 0.00595237, 0.00290639, 0.00443511, 0.00432069, 0.00409194, 0.00172609
