# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.312308, 0.221824, 0.22755, 0.228479, 0.980518, 0.857889, 0.215208, 0.123746, 0.209788, 0.305548, 0.491208, 0.577507, 0.517736, 0.872795, 0.318424, 0.504976, 0.624089, 0.371698, 0.387664, 0.586956, 0.639657, 0.42638, 0.519326, 0.57749, 0.490259, 0.476855, 0.519057, 0.462381, 0.852696, 0.681741, 0.623144, 0.708767, 0.464833, 0.507029, 0.652288, 0.551875, 0.521854, 0.591223, 0.594291, 0.714072, 0.69773, 0.967237, 1.25791, 1.39184, 1.32525, 1.42838, 1.11909, 0.813896, 0.651279, 0.631906
0.01, 0.0319375, 0.222422, 0.152357, 0.203167, 0.530193, 1.08334, 0.847446, 0.329171, 0.293537, 0.199546, 0.615633, 0.530631, 0.515108, 0.707912, 0.891434, 0.412662, 0.532209, 0.618255, 0.487552, 0.41191, 0.800192, 0.377081, 0.396359, 0.472693, 0.391203, 0.472149, 0.538547, 0.574772, 0.577644, 0.706443, 0.728485, 0.787981, 0.800976, 0.591294, 0.602674, 0.597888, 0.560163, 0.65383, 0.721865, 0.470281, 0.727707, 0.767689, 0.860472, 1.33109, 1.44017, 1.2852, 1.43031, 0.953567, 0.751878, 0.711975, 0.717388
0.02, 0.0319375, 0.253454, 0.182447, 0.119738, 0.403801, 0.986036, 0.603548, 0.390592, 0.554901, 0.586233, 0.518686, 0.327122, 0.382384, 0.509425, 0.68431, 0.515677, 0.460874, 0.760088, 0.605477, 0.719438, 0.831301, 0.473032, 0.366241, 0.453645, 0.58722, 0.450607, 0.555836, 0.485908, 0.504213, 0.586819, 0.937447, 0.845281, 0.696906, 0.616328, 0.697935, 0.622742, 0.571483, 0.700165, 0.786207, 0.682308, 1.09694, 0.95076, 0.881427, 1.36726, 1.44397, 1.34936, 1.32074, 0.788761, 0.672599, 0.820668, 0.7334
0.03, 0.0319375, 0.31564, 0.201635, 0.259838, 0.414231, 0.943031, 0.789453, 0.425364, 0.4896, 0.447956, 0.356401, 0.315636, 0.348159, 0.539696, 0.776349, 0.34085, 0.522306, 0.579037, 0.568127, 0.678724, 0.789119, 0.458673, 0.641652, 0.494259, 0.636041, 0.586854, 0.504186, 0.423156, 0.673067, 0.600841, 0.864023, 0.786966, 0.592136, 0.736693, 0.718391, 0.841242, 0.558664, 0.456269, 0.670567, 0.721364, 0.894631, 0.950491, 1.17665, 1.22418, 1.22554, 1.62457, 1.33797, 0.861165, 0.678727, 0.916394, 0.784625
0.04, 0.0319375, 0.214113, 0.0412919, 0.171739, 0.34248, 0.965974, 0.788733, 0.444211, 0.511016, 0.340459, 0.333027, 0.267822, 0.413584, 0.582284, 0.864085, 0.428577, 0.269395, 0.295234, 0.531387, 0.478018, 0.652294, 0.612009, 0.553924, 0.360266, 0.523563, 0.644434, 0.450693, 0.64663, 0.871146, 0.809711, 0.846788, 0.805709, 0.691202, 0.803803, 0.764505, 0.654009, 0.534531, 0.684808, 0.797757, 0.698482, 0.85297, 0.783298, 0.973481, 1.02412, 1.4533, 1.5775, 1.37272, 0.947076, 0.768189, 0.779877, 0.79188
0.05, 0.0319375, 0.200289, 0.198061, 0.162878, 0.374873, 0.982832, 0.636919, 0.494381, 0.408126, 0.458312, 0.242972, 0.30161, 0.453259, 0.495928, 0.739094, 0.461175, 0.52397, 0.701713, 0.537961, 0.535787, 0.650531, 0.517277, 0.522552, 0.365121, 0.493757, 0.443301, 0.580603, 0.703727, 0.619804, 0.670603, 0.732422, 0.760736, 0.775779, 0.623578, 0.591554, 0.475604, 0.54038, 0.783788, 0.670268, 0.675032, 0.807871, 0.839683, 1.0092, 1.13014, 1.45099, 1.5234, 1.49954, 1.06534, 0.841584, 0.610183, 0.741
0.06, 0.0319375, 0.105988, 0.294619, 0.316327, 0.230394, 0.897522, 0.74814, 0.495955, 0.229051, 0.280913, 0.329233, 0.451408, 0.420234, 0.457874, 0.737642, 0.318549, 0.57558, 0.907125, 0.570307, 0.362176, 0.518088, 0.286693, 0.497251, 0.414004, 0.476509, 0.452016, 0.61651, 0.677697, 0.742744, 0.662544, 0.748707, 0.546779, 0.715658, 0.6867, 0.669514, 0.627544, 0.456549, 0.518464, 0.715659, 0.603819, 0.647072, 0.840898, 0.887237, 1.06568, 1.55484, 1.62064, 1.49109, 1.20785, 0.749119, 0.588411, 0.597888
0.07, 0.0319375, 0.33565, 0.224461, 0.170729, 0.389933, 1.09106, 0.830265, 0.496763, 0.274134, 0.362729, 0.340711, 0.40328, 0.283183, 0.319676, 0.676045, 0.268809, 0.25577, 0.577722, 0.46433, 0.417529, 0.858806, 0.563753, 0.342877, 0.517917, 0.590567, 0.54574, 0.589668, 0.455145, 0.681955, 0.812307, 0.609865, 0.559009, 0.658963, 0.649165, 0.702602, 0.467613, 0.412268, 0.555452, 0.681216, 0.608141, 0.636656, 0.67203, 0.994205, 1.38921, 1.76403, 1.45896, 1.31373, 1.01385, 0.920763, 0.695053, 0.57141
0.08, 0.0319375, 0.31155, 0.0471417, 0.227242, 0.390789, 1.01169, 0.787355, 0.477694, 0.267194, 0.274747, 0.369145, 0.372176, 0.460159, 0.374366, 0.74671, 0.532689, 0.31141, 0.500601, 0.600652, 0.573279, 0.758463, 0.413401, 0.429113, 0.519323, 0.558275, 0.478188, 0.595231, 0.54931, 0.663738, 0.871961, 0.586685, 0.840774, 0.729208, 0.846073, 0.691009, 0.61938, 0.521446, 0.47263, 0.59402, 0.597095, 0.770657, 0.853151, 0.797664, 1.48877, 1.65515, 1.51404, 1.45472, 1.02677, 0.931164, 0.648096, 0.671723
0.09, 0.0319375, 0.244558, 0.206331, 0.201579, 0.568419, 1.09186, 0.719855, 0.354076, 0.40577, 0.450814, 0.477754, 0.304846, 0.234124, 0.444501, 0.835882, 0.703663, 0.487365, 0.710677, 0.637721, 0.314474, 0.683527, 0.503527, 0.493259, 0.62339, 0.519109, 0.531531, 0.543594, 0.622096, 0.61173, 0.721496, 0.517904, 1.03364, 0.767339, 0.91326, 0.706867, 0.770978, 0.471695, 0.520709, 0.830834, 0.639373, 0.859903, 0.744596, 0.8012, 1.43184, 1.88177, 1.42966, 1.08054, 1.01873, 0.643955, 0.713575, 0.678773
0.1, 0.0319375, 0.217736, 0.200084, 0.352456, 0.327634, 1.00862, 0.857696, 0.390526, 0.398125, 0.281767, 0.271058, 0.245387, 0.289898, 0.347394, 0.585468, 0.616481, 0.488959, 0.573657, 0.289731, 0.423282, 0.923927, 0.63018, 0.599419, 0.651529, 0.359325, 0.533946, 0.764421, 0.748819, 0.643165, 0.825443, 0.626807, 0.73816, 0.565746, 0.774008, 0.747198, 0.878771, 0.639084, 0.515567, 0.630399, 0.508891, 0.861313, 0.829566, 1.09763, 1.20019, 1.57141, 1.7197, 1.40186, 0.97378, 0.688957, 0.786651, 0.48193
0.11, 0.0319375, 0.306259, 0.179377, 0.227607, 0.432572, 0.992125, 0.770974, 0.440972, 0.404468, 0.369025, 0.198991, 0.346221, 0.461988, 0.677816, 0.794361, 0.41493, 0.589909, 0.457911, 0.121237, 0.64869, 1.05631, 0.558314, 0.505265, 0.297959, 0.274819, 0.602084, 0.727899, 0.829816, 1.06985, 1.09858, 0.745333, 0.538964, 0.720579, 0.771948, 0.622412, 0.84375, 0.475275, 0.489264, 0.715753, 0.575497, 0.659765, 0.689805, 1.07096, 1.03128, 1.46681, 1.52663, 1.31257, 0.977116, 0.797112, 0.730309, 0.537233
0.12, 0.0319375, 0.353984, 0.204314, 0.157532, 0.44897, 0.96684, 0.679271, 0.433599, 0.27271, 0.224397, 0.205217, 0.504698, 0.302667, 0.512151, 0.745069, 0.358891, 0.625657, 0.343412, 0.236301, 0.566387, 0.783419, 0.61071, 0.561415, 0.228672, 0.39465, 0.489353, 0.698944, 0.640383, 0.791137, 0.945047, 0.821891, 0.586922, 0.77134, 0.754475, 0.476124, 0.630691, 0.453357, 0.506496, 0.611472, 0.612624, 0.732539, 0.848475, 0.888445, 1.23597, 1.51941, 1.58214, 1.32847, 1.07781, 0.6676, 0.800834, 0.557611
