# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.123897, 0.0965794, 1.13417, 1.6759, 0.310977, 0.125277, 0.162769, 0.162013, 0.193557, 0.193374, 0.284799, 0.418347, 0.357048, 0.212386, 0.208508, 0.346913, 0.516757, 0.394226, 0.488842, 0.408339, 0.350699, 0.351148, 0.225512, 0.339514, 0.357205, 0.166995, 0.365196, 0.297531, 0.341222, 0.441783, 0.552765, 1.04527, 0.489504, 0.256106, 0.223866, 0.338737, 0.344469, 0.392903, 0.631386, 0.811722, 1.05366, 1.61604, 1.97216, 2.29987, 1.99824, 1.64954, 0.641762, 0.354075, 0.313792, 0.415964
0.01, 0.0319375, 0.201866, 0.0601892, 0.979806, 1.71743, 0.275289, 0.207455, 0.187918, 0.357973, 0.271099, 0.263486, 0.450579, 0.3921, 0.461951, 0.398999, 0.353865, 0.275852, 0.28734, 0.407998, 0.427086, 0.367836, 0.357757, 0.401245, 0.22063, 0.264893, 0.225664, 0.178271, 0.214979, 0.339233, 0.418346, 0.382767, 0.495326, 1.13476, 0.50414, 0.304613, 0.350164, 0.342833, 0.248804, 0.318307, 0.603211, 0.868976, 0.93951, 1.40057, 1.82429, 1.92409, 2.22609, 1.74362, 0.75203, 0.389022, 0.363945, 0.441401
0.02, 0.0319375, 0.189157, 0.105138, 0.760768, 1.72368, 0.467435, 0.340276, 0.376735, 0.199158, 0.33145, 0.412728, 0.354561, 0.263381, 0.295849, 0.445957, 0.302762, 0.366173, 0.199537, 0.309105, 0.322522, 0.390977, 0.301675, 0.495626, 0.248305, 0.285416, 0.297654, 0.291947, 0.406939, 0.335212, 0.223411, 0.165586, 0.334466, 1.04502, 0.64497, 0.402545, 0.490775, 0.298917, 0.278549, 0.287085, 0.731341, 1.00941, 1.2957, 1.63691, 1.68283, 2.02451, 1.97204, 1.36309, 0.534851, 0.375711, 0.344994, 0.42955
0.03, 0.0319375, 0.162329, 0.125379, 0.633733, 1.73724, 0.512099, 0.251584, 0.256379, 0.263254, 0.292399, 0.343142, 0.37926, 0.476147, 0.439158, 0.372576, 0.189479, 0.296333, 0.223128, 0.289064, 0.376639, 0.42508, 0.356278, 0.449714, 0.248152, 0.22598, 0.35055, 0.457438, 0.480087, 0.294363, 0.352647, 0.247336, 0.328755, 0.827925, 0.653757, 0.350709, 0.34166, 0.277706, 0.359396, 0.27368, 0.547285, 0.846797, 1.2034, 1.36464, 1.87701, 2.16528, 1.57185, 1.24934, 0.596634, 0.362519, 0.335392, 0.408593
0.04, 0.0319375, 0.0871607, 0.0732786, 0.546958, 1.75855, 0.685512, 0.215886, 0.261991, 0.376384, 0.258152, 0.411347, 0.239947, 0.48896, 0.420966, 0.31917, 0.198063, 0.317519, 0.335476, 0.300315, 0.418455, 0.64241, 0.405002, 0.302626, 0.285634, 0.307294, 0.189625, 0.244286, 0.497593, 0.514697, 0.423729, 0.338501, 0.375577, 0.684854, 0.789254, 0.277147, 0.244678, 0.234197, 0.253057, 0.272893, 0.595174, 0.93125, 1.11841, 1.66682, 2.08114, 2.31874, 1.68466, 1.6276, 0.589704, 0.41439, 0.339097, 0.343986
0.05, 0.0319375, 0.0611024, 0.11387, 0.469485, 1.74066, 0.679383, 0.114055, 0.241902, 0.246268, 0.254221, 0.258833, 0.434986, 0.620921, 0.45496, 0.351449, 0.448173, 0.6538, 0.594453, 0.313093, 0.460644, 0.552378, 0.529678, 0.401501, 0.362507, 0.508912, 0.346286, 0.278847, 0.362691, 0.489611, 0.576025, 0.508239, 0.352457, 0.536467, 0.746385, 0.290014, 0.351185, 0.272364, 0.270632, 0.317455, 0.736039, 0.990886, 1.06835, 1.75978, 1.76249, 2.0725, 1.96987, 1.56441, 0.67545, 0.462368, 0.363655, 0.353697
0.06, 0.0319375, 0.168204, 0.193609, 0.387276, 1.69903, 0.938002, 0.329735, 0.404953, 0.195834, 0.174883, 0.397838, 0.416905, 0.587492, 0.361812, 0.349588, 0.447628, 0.550417, 0.304581, 0.393055, 0.383948, 0.262631, 0.360507, 0.370662, 0.254781, 0.37398, 0.404148, 0.222008, 0.300466, 0.525413, 0.523038, 0.405254, 0.346451, 0.375353, 0.802748, 0.353834, 0.355208, 0.293076, 0.221776, 0.350098, 0.815395, 0.929079, 0.88541, 1.58328, 1.96593, 2.03488, 1.81632, 1.59837, 0.816063, 0.524355, 0.33969, 0.451244
0.07, 0.0319375, 0.195087, 0.252251, 0.289901, 1.66481, 0.927249, 0.36493, 0.239702, 0.284537, 0.124508, 0.252151, 0.349786, 0.506257, 0.608343, 0.366745, 0.229025, 0.370951, 0.404753, 0.567106, 0.454942, 0.301393, 0.353979, 0.484244, 0.166443, 0.292746, 0.389459, 0.203733, 0.269046, 0.371712, 0.277075, 0.378904, 0.321295, 0.48263, 0.788955, 0.441576, 0.431814, 0.340623, 0.318343, 0.263368, 0.716586, 1.02571, 0.959436, 1.55114, 2.01496, 2.37702, 1.90369, 1.51277, 0.821503, 0.475574, 0.311137, 0.484008
0.08, 0.0319375, 0.176752, 0.252251, 0.328123, 1.6004, 1.016, 0.309649, 0.315686, 0.252558, 0.139553, 0.286744, 0.447347, 0.480567, 0.62356, 0.601245, 0.308024, 0.43474, 0.468938, 0.393337, 0.42871, 0.319373, 0.422086, 0.372828, 0.35366, 0.377196, 0.37917, 0.271842, 0.187419, 0.264307, 0.410698, 0.420524, 0.429127, 0.677762, 0.769112, 0.533212, 0.31936, 0.441929, 0.381315, 0.283083, 0.772513, 1.07214, 0.926746, 1.42148, 1.7428, 2.50968, 2.33209, 1.78829, 0.731685, 0.471338, 0.294282, 0.472454
0.09, 0.0319375, 0.153502, 0.167979, 0.262115, 1.51772, 1.0907, 0.153178, 0.196444, 0.303687, 0.200243, 0.21688, 0.284599, 0.259301, 0.468905, 0.425829, 0.323698, 0.231115, 0.26287, 0.276742, 0.353554, 0.390956, 0.364868, 0.35657, 0.356847, 0.405906, 0.40512, 0.240654, 0.330266, 0.461141, 0.393853, 0.469239, 0.402364, 0.457643, 0.480409, 0.446262, 0.399368, 0.364634, 0.408212, 0.388436, 0.757218, 0.841959, 1.06172, 1.5303, 2.17747, 2.18839, 2.09992, 1.61804, 0.803194, 0.498965, 0.286506, 0.433278
