# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.0110378, 0.00351454, 0.00393521, 0.0101666, 0.0127788, 0.00675063, 0.0106707, 0.00849597, 0.0077683, 0.00686572, 0.00908645, 0.0083845, 0.0064117, 0.00799432, 0.00716166, 0.00372763, 0.00595829, 0.00554464, 0.00534771, 0.00482395, 0.00763344, 0.0113803, 0.0130496, 0.00603615, 0.00633944, 0.00541802, 0.0077127, 0.0111663, 0.0105285, 0.00887592, 0.0109005, 0.00883066, 0.00747893, 0.00486595, 0.0060634, 0.00498374, 0.00696079, 0.00758092, 0.00771176, 0.00555424, 0.00610831, 0.00675087, 0.00545513, 0.00526411, 0.00434241, 0.00554227, 0.00543462, 0.00473995, 0.00497247, 0.00435559
0.01, 0.0319375, 0.00653878, 0.0023773, 0.00443321, 0.00874405, 0.00509464, 0.00963088, 0.0104141, 0.00864277, 0.00997877, 0.00954717, 0.00644285, 0.00597453, 0.00447546, 0.0119632, 0.00970774, 0.00594265, 0.00617501, 0.00530443, 0.00323297, 0.007811, 0.0102651, 0.00847375, 0.00722131, 0.00609788, 0.00847671, 0.00651581, 0.00841879, 0.00808892, 0.0104793, 0.0109682, 0.0128603, 0.0101395, 0.00667272, 0.005829, 0.0046518, 0.004958, 0.00751786, 0.00659196, 0.00572198, 0.00441066, 0.00760706, 0.00669261, 0.00513698, 0.00492538, 0.00407746, 0.00552781, 0.00532957, 0.00536478, 0.00512738, 0.00438751
0.02, 0.0319375, 0.0151354, 0.00514434, 0.00436473, 0.00333741, 0.00382573, 0.00521371, 0.0163384, 0.0127415, 0.0104362, 0.00807332, 0.00371944, 0.00790633, 0.0154817, 0.0108432, 0.0108155, 0.0178559, 0.0114571, 0.00923339, 0.0141831, 0.0165354, 0.0118956, 0.0172726, 0.0170484, 0.0174314, 0.0126899, 0.0058725, 0.00787097, 0.00655418, 0.0116338, 0.00975367, 0.0129977, 0.011321, 0.00920186, 0.00715858, 0.00463874, 0.00781964, 0.0066546, 0.00790432, 0.00591931, 0.00674981, 0.00741574, 0.00480224, 0.00413836, 0.00368084, 0.00506297, 0.00436841, 0.0065447, 0.0061153, 0.00534652, 0.00474541
0.03, 0.0319375, 0.0199391, 0.0134161, 0.00808644, 0.00633364, 0.0085754, 0.00510449, 0.0134265, 0.0184448, 0.0244907, 0.0158084, 0.00733267, 0.0168261, 0.0271615, 0.0159704, 0.0158274, 0.0153944, 0.0251735, 0.0149198, 0.021183, 0.0285278, 0.0148938, 0.0224688, 0.0156759, 0.0251422, 0.0148547, 0.00772193, 0.0113439, 0.00853285, 0.0144247, 0.0116157, 0.0134843, 0.0105301, 0.012703, 0.0107749, 0.00647945, 0.00686098, 0.0079469, 0.0091409, 0.0074064, 0.00709052, 0.0121282, 0.00464302, 0.00442538, 0.00406523, 0.00648703, 0.00552496, 0.00612655, 0.00637687, 0.00657538, 0.00586053
0.04, 0.0319375, 0.0351808, 0.0185818, 0.00343115, 0.0108689, 0.00670161, 0.00511255, 0.0116593, 0.0153825, 0.012013, 0.00803524, 0.0140575, 0.00926859, 0.0115482, 0.00810844, 0.00904014, 0.00878777, 0.0140762, 0.0135474, 0.0119049, 0.0103098, 0.0113904, 0.00911173, 0.00547351, 0.00895047, 0.00689698, 0.00475977, 0.008896, 0.00930674, 0.0134626, 0.014068, 0.0135842, 0.0137221, 0.014365, 0.0103921, 0.00613745, 0.00504305, 0.00691533, 0.00804541, 0.0075737, 0.00781159, 0.0110187, 0.00573964, 0.00483475, 0.00568547, 0.00720971, 0.00497105, 0.00441101, 0.00551915, 0.00571498, 0.00407769
0.05, 0.0319375, 0.0342318, 0.0103425, 0.010005, 0.00764007, 0.00684109, 0.00398093, 0.00712414, 0.0139151, 0.0105294, 0.0107722, 0.00971176, 0.00899229, 0.0135606, 0.00987206, 0.0098389, 0.00815964, 0.0109585, 0.00850803, 0.0138998, 0.0082061, 0.0129857, 0.0083767, 0.00349661, 0.00546971, 0.00681161, 0.00612963, 0.00785074, 0.00730995, 0.00924013, 0.0113309, 0.0100391, 0.0126192, 0.0091943, 0.00654293, 0.0048211, 0.00498991, 0.00573312, 0.00796771, 0.0102671, 0.00966654, 0.0103912, 0.00782236, 0.00560735, 0.00623721, 0.00645907, 0.00501411, 0.00529364, 0.00642058, 0.00456292, 0.00399494
0.06, 0.0319375, 0.0190381, 0.00502917, 0.00658047, 0.00722285, 0.00474482, 0.00382015, 0.0160306, 0.0138991, 0.00845839, 0.0121464, 0.00637415, 0.00816413, 0.0151745, 0.011641, 0.00890699, 0.00556337, 0.00894078, 0.00992034, 0.0103105, 0.0100799, 0.0099358, 0.00859632, 0.00618141, 0.00971365, 0.00651971, 0.0056972, 0.00691485, 0.0116424, 0.00905585, 0.0074361, 0.00920209, 0.0123146, 0.010608, 0.00900127, 0.00569128, 0.00504613, 0.00664335, 0.00835034, 0.00972946, 0.0075123, 0.00841382, 0.00835601, 0.00812629, 0.00734368, 0.00684784, 0.00736841, 0.00520968, 0.00598733, 0.003925, 0.00452744
0.07, 0.0319375, 0.0154049, 0.00159185, 0.004086, 0.00260788, 0.00104885, 0.00534795, 0.0144126, 0.011375, 0.00463803, 0.0097127, 0.00799302, 0.0100799, 0.00766243, 0.0101196, 0.0109587, 0.00616719, 0.0110398, 0.00908101, 0.00768621, 0.00534878, 0.00606968, 0.00849408, 0.0100693, 0.0132517, 0.00721883, 0.00540498, 0.00632973, 0.00949592, 0.0109955, 0.00923918, 0.0104068, 0.00875184, 0.0101109, 0.00983642, 0.0065267, 0.00647518, 0.00638623, 0.00922489, 0.00686027, 0.00697357, 0.00706484, 0.00537368, 0.0075459, 0.00490937, 0.00567551, 0.00482134, 0.00389045, 0.00485563, 0.00570301, 0.00478539
0.08, 0.0319375, 0.014635, 0.00519213, 0.00621399, 0.0106173, 0.0077722, 0.00419119, 0.00672589, 0.00686027, 0.0102636, 0.00799255, 0.00633743, 0.00966654, 0.00793105, 0.0129562, 0.0114097, 0.0121878, 0.0100916, 0.00730049, 0.00524526, 0.00546082, 0.00585282, 0.00927024, 0.00800355, 0.0125551, 0.00577081, 0.00539111, 0.0079553, 0.00930638, 0.0110066, 0.0152257, 0.0112412, 0.00800603, 0.00642437, 0.00786884, 0.0112175, 0.00808845, 0.00549295, 0.00659752, 0.00600806, 0.0063867, 0.00468775, 0.00634904, 0.00880408, 0.00452993, 0.00686655, 0.00417136, 0.00392726, 0.00605676, 0.00568997, 0.00528249
0.09, 0.0319375, 0.012295, 0.00728025, 0.0128833, 0.0216456, 0.0113929, 0.00490782, 0.0127082, 0.00828012, 0.0124462, 0.00892058, 0.00881991, 0.0107432, 0.0110573, 0.0130158, 0.0125408, 0.0111111, 0.0119984, 0.010592, 0.0124773, 0.00746662, 0.00924001, 0.00856417, 0.00619918, 0.00944137, 0.00435143, 0.00492431, 0.00726344, 0.0113975, 0.00937547, 0.00826463, 0.00912212, 0.0129299, 0.00826108, 0.00523091, 0.00814261, 0.00699381, 0.00580234, 0.00637308, 0.00493523, 0.00645102, 0.00660593, 0.00566828, 0.00639417, 0.00421896, 0.00485076, 0.00446145, 0.00417564, 0.00769969, 0.00846571, 0.00628862
0.1, 0.0319375, 0.0185536, 0.00191826, 0.00988658, 0.00856181, 0.00528107, 0.00266946, 0.00890108, 0.00826084, 0.00979274, 0.011775, 0.00412257, 0.0133312, 0.0117041, 0.00507543, 0.00650373, 0.00990075, 0.0119049, 0.0138362, 0.0092106, 0.0102053, 0.00888903, 0.0102779, 0.00826735, 0.00645742, 0.00398117, 0.005678, 0.00643681, 0.00746296, 0.00851311, 0.0140116, 0.0112069, 0.00998549, 0.0122674, 0.00789084, 0.0060903, 0.0055514, 0.00458309, 0.00595889, 0.00517707, 0.0058591, 0.00707336, 0.00583588, 0.00395481, 0.00515857, 0.0054677, 0.00453847, 0.00575256, 0.00614444, 0.00839845, 0.0085468
0.11, 0.0319375, 0.0177537, 0.00307635, 0.0069995, 0.00816413, 0.00372039, 0.00195729, 0.00952497, 0.0116134, 0.0148833, 0.0123876, 0.00883822, 0.010152, 0.00923304, 0.00979593, 0.00750153, 0.00665259, 0.00604835, 0.015812, 0.00913736, 0.00867917, 0.0109838, 0.0129331, 0.00995988, 0.00569685, 0.00621624, 0.00474375, 0.00918709, 0.00924402, 0.0116603, 0.0164749, 0.00973844, 0.00830104, 0.00977102, 0.00817016, 0.00514303, 0.00422407, 0.00456577, 0.0077379, 0.00644095, 0.00461181, 0.00547043, 0.00532909, 0.00393688, 0.00603425, 0.00624822, 0.00406618, 0.00428603, 0.00517493, 0.00666846, 0.00587771
0.12, 0.0319375, 0.0118323, 0.00210445, 0.00471255, 0.0137956, 0.00628957, 0.00376659, 0.00975036, 0.00692361, 0.0184391, 0.0126964, 0.00498682, 0.00787688, 0.00939697, 0.00699216, 0.0100119, 0.00789474, 0.00673394, 0.0143831, 0.00864596, 0.00616032, 0.00917882, 0.0101469, 0.00508575, 0.00804032, 0.00600806, 0.00484625, 0.00988729, 0.0107144, 0.016821, 0.0153079, 0.00916677, 0.0128276, 0.0114448, 0.00600439, 0.00489003, 0.00584038, 0.00565975, 0.00740995, 0.0053936, 0.00498742, 0.00554547, 0.0042344, 0.00503724, 0.00456612, 0.004491, 0.0032767, 0.00537107, 0.00548003, 0.00553966, 0.00480473
0.13, 0.0319375, 0.0224025, 0.00565382, 0.0094246, 0.00985471, 0.00544553, 0.00266863, 0.00795742, 0.00651924, 0.0169196, 0.013047, 0.00781147, 0.00684204, 0.00781656, 0.00898922, 0.00832492, 0.00516094, 0.0119446, 0.012942, 0.00615037, 0.0066469, 0.00984728, 0.0069248, 0.0044605, 0.00644439, 0.00553634, 0.00367822, 0.00963974, 0.00939614, 0.0113026, 0.0108143, 0.00729196, 0.00985448, 0.0131937, 0.00575066, 0.00616447, 0.00508112, 0.00315941, 0.00703406, 0.00828685, 0.00401536, 0.00710556, 0.0048179, 0.0045323, 0.00445101, 0.0046105, 0.00361219, 0.00675241, 0.00573833, 0.00553634, 0.00473497
