# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.206741, 0.146925, 0.151742, 0.26606, 0.543171, 0.384435, 0.565028, 0.412313, 0.311913, 0.432096, 0.392858, 0.312193, 0.351669, 0.409328, 0.493198, 0.561642, 0.581459, 0.658047, 0.571409, 0.486751, 0.364879, 0.402854, 0.353313, 0.473071, 0.446621, 0.43463, 0.542349, 0.446798, 0.689029, 0.842347, 0.847439, 0.582768, 0.42631, 0.674656, 0.378443, 0.428696, 0.675952, 0.708189, 0.514517, 0.789326, 0.916284, 1.04161, 1.42798, 1.80218, 1.80231, 1.24006, 1.01901, 0.885732, 0.782659, 0.565834
0.01, 0.0319375, 0.123739, 0.129378, 0.267624, 0.38082, 0.636366, 0.29221, 0.522088, 0.517292, 0.391872, 0.42729, 0.254685, 0.492914, 0.284084, 0.360181, 0.526194, 0.563115, 0.689572, 0.490754, 0.520995, 0.542092, 0.529179, 0.398899, 0.513866, 0.535046, 0.453831, 0.376285, 0.40796, 0.536089, 0.784902, 0.608505, 0.734918, 0.668817, 0.685322, 0.770728, 0.563029, 0.420723, 0.60208, 0.523074, 0.496279, 0.699411, 0.785051, 0.763461, 1.46668, 1.94129, 1.72506, 1.4487, 0.997171, 0.791156, 0.66642, 0.685193
0.02, 0.0319375, 0.271307, 0.0302651, 0.208865, 0.25341, 0.608835, 0.478938, 0.397082, 0.548152, 0.416276, 0.588425, 0.545047, 0.450707, 0.286126, 0.351054, 0.229034, 0.701112, 0.88413, 0.610229, 0.450866, 0.508298, 0.607161, 0.35909, 0.866899, 0.8234, 0.782836, 0.599731, 0.306502, 0.585986, 1.0986, 0.942833, 0.718268, 0.56877, 0.747133, 0.769391, 0.50598, 0.440004, 0.525986, 0.755058, 0.530669, 0.605843, 0.792586, 0.905092, 1.25291, 1.77314, 1.60248, 1.33637, 0.852919, 0.725757, 0.692627, 0.679781
0.03, 0.0319375, 0.221937, 0.113803, 0.250715, 0.341999, 0.591302, 0.518015, 0.59537, 0.71325, 0.354992, 0.625527, 0.552883, 0.410703, 0.334506, 0.19595, 0.354263, 0.600403, 0.796034, 0.914445, 0.631745, 0.766049, 0.486051, 0.372752, 0.567392, 0.886317, 0.910212, 0.904542, 0.494357, 0.56955, 1.21493, 0.921156, 0.74961, 0.579888, 0.713368, 0.548211, 0.497211, 0.51957, 0.570031, 0.873632, 0.532374, 0.604845, 0.975785, 0.775743, 1.20658, 1.60118, 1.68641, 1.39206, 0.976011, 0.591786, 0.560674, 0.64188
0.04, 0.0319375, 0.11083, 0.119257, 0.295855, 0.353793, 0.582108, 0.50174, 0.525415, 0.55635, 0.273307, 0.642223, 0.556287, 0.45947, 0.262687, 0.253672, 0.460123, 0.669492, 0.670104, 0.674354, 0.556632, 0.618853, 0.525873, 0.477323, 0.564582, 0.542332, 0.527932, 0.482924, 0.402079, 0.458795, 1.0037, 0.902816, 0.81421, 0.492213, 0.525541, 0.58267, 0.61899, 0.491316, 0.559771, 0.732551, 0.497447, 0.938929, 1.28335, 0.892725, 1.19777, 2.17233, 2.1117, 1.35865, 0.978583, 0.873995, 0.606601, 0.629203
0.05, 0.0319375, 0.238583, 0.181724, 0.173038, 0.359351, 0.759517, 0.427504, 0.639866, 0.66266, 0.562933, 0.404221, 0.328418, 0.307413, 0.457936, 0.465703, 0.296562, 0.597977, 0.875673, 0.738461, 0.547148, 0.688685, 0.703847, 0.450172, 0.676769, 0.683456, 0.596013, 0.438025, 0.310085, 0.435122, 0.637224, 0.899172, 0.721903, 0.596839, 0.83811, 0.805119, 0.746926, 0.496434, 0.643273, 0.806147, 0.625398, 0.986176, 1.24073, 0.945443, 1.42274, 1.99675, 1.83026, 1.53885, 1.01749, 0.849549, 0.629658, 0.628834
0.06, 0.0319375, 0.442976, 0.0931956, 0.157387, 0.293535, 0.837679, 0.5222, 0.627209, 0.715791, 0.443801, 0.178194, 0.17627, 0.463516, 0.41067, 0.45345, 0.548672, 0.86839, 0.927303, 0.607994, 0.452467, 0.426997, 0.518019, 0.353606, 0.741159, 0.623231, 0.774094, 0.487871, 0.355992, 0.498779, 0.847232, 0.641815, 0.512845, 0.574724, 0.895534, 0.668838, 0.510221, 0.369057, 0.570605, 0.850472, 0.574025, 0.876576, 1.0465, 0.730461, 1.30595, 1.78981, 1.59976, 1.40563, 1.01128, 0.708808, 0.76656, 0.737931
0.07, 0.0319375, 0.308778, 0.143178, 0.144992, 0.360227, 0.825723, 0.582467, 0.59001, 0.333136, 0.326547, 0.2528, 0.302349, 0.426912, 0.439711, 0.621534, 0.588473, 0.560921, 0.495853, 0.784996, 0.662213, 0.365369, 0.66644, 0.37873, 0.44959, 0.677754, 0.88988, 0.704825, 0.389992, 0.609599, 0.959165, 0.608298, 0.499579, 0.585732, 0.633167, 0.656743, 0.364889, 0.457218, 0.645651, 0.687524, 0.584579, 0.63091, 1.08935, 0.816387, 1.30375, 1.51602, 1.51901, 1.363, 0.988832, 0.825389, 0.632658, 0.731785
0.08, 0.0319375, 0.191576, 0.181511, 0.264208, 0.324129, 0.752089, 0.565791, 0.628899, 0.33659, 0.322512, 0.397174, 0.369381, 0.423712, 0.347855, 0.459822, 0.383331, 0.383074, 0.674551, 0.530976, 0.709224, 0.577089, 0.748591, 0.464324, 0.657378, 0.961503, 0.643716, 0.713039, 0.379059, 0.593809, 0.893986, 0.778469, 0.379652, 0.59735, 0.523482, 0.54639, 0.529809, 0.654154, 0.784346, 0.552391, 0.588054, 0.778304, 1.05398, 1.06124, 1.25399, 1.82315, 1.64929, 1.29782, 0.934577, 1.00299, 0.622378, 0.668374
0.09, 0.0319375, 0.14347, 0.198329, 0.12472, 0.172415, 0.662411, 0.399209, 0.358095, 0.517176, 0.355999, 0.444458, 0.484927, 0.584382, 0.435454, 0.374542, 0.654349, 0.466381, 0.889354, 0.715676, 0.666449, 0.798435, 0.541812, 0.580381, 0.746735, 0.912196, 0.899661, 0.72523, 0.439035, 0.644832, 1.12075, 0.805441, 0.526177, 0.544334, 0.709982, 0.643931, 0.596206, 0.669832, 0.927602, 0.557906, 0.375658, 0.883804, 1.04555, 0.91222, 1.28794, 1.88002, 1.59839, 1.28305, 0.982033, 0.935661, 0.619992, 0.621389
