# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0319375, 0.00509429, 0.00247779, 0.00816791, 0.0109275, 0.00587285, 0.00340846, 0.00628542, 0.00266185, 0.00467078, 0.00945837, 0.0040993, 0.0112882, 0.00887391, 0.00641407, 0.00257613, 0.00516319, 0.00431333, 0.00311331, 0.00389425, 0.00231796, 0.00300932, 0.00286776, 0.00235459, 0.00339491, 0.00351835, 0.00342188, 0.00167301, 0.00366445, 0.00379058, 0.00374402, 0.00323214, 0.00396977, 0.00274222, 0.00242226, 0.00384592, 0.00336949, 0.00228632, 0.00399209, 0.00329274, 0.00341998, 0.00370222, 0.00371041, 0.00482988, 0.00350801, 0.00406641, 0.0039662, 0.00408636, 0.00337032, 0.00435571, 0.00305697
0.01, 0.0319375, 0.0133299, 0.00423416, 0.00765107, 0.00999907, 0.0087431, 0.00167682, 0.00490984, 0.00238147, 0.00308728, 0.00661742, 0.0156213, 0.00811328, 0.00744911, 0.0103159, 0.00783785, 0.0139287, 0.0105296, 0.00658521, 0.00583599, 0.00443784, 0.00570218, 0.0042814, 0.00465939, 0.00452696, 0.003944, 0.00298709, 0.00340691, 0.00318698, 0.00325198, 0.00493523, 0.00321824, 0.00436283, 0.00412589, 0.00328383, 0.00456244, 0.00342925, 0.00299351, 0.00341618, 0.00355778, 0.00412756, 0.00368666, 0.00413919, 0.00375994, 0.00448329, 0.00305377, 0.0028542, 0.00383214, 0.00396074, 0.00267981, 0.00316441
0.02, 0.0319375, 0.0179927, 0.00702436, 0.00993852, 0.019276, 0.0144315, 0.0127674, 0.0220765, 0.0167361, 0.015803, 0.018726, 0.0141006, 0.0119734, 0.0112236, 0.018675, 0.0210678, 0.0256057, 0.0298084, 0.0242034, 0.0162538, 0.00635733, 0.0166135, 0.0195481, 0.0174288, 0.0102249, 0.00910807, 0.00813421, 0.0106585, 0.0110618, 0.00581051, 0.012537, 0.0149673, 0.00964741, 0.00628791, 0.011181, 0.009533, 0.0052047, 0.0117078, 0.011955, 0.00685885, 0.0125014, 0.00731528, 0.0128574, 0.0112941, 0.00755477, 0.010105, 0.00845508, 0.00697156, 0.00494424, 0.00554749, 0.00584465
0.03, 0.0319375, 0.0133204, 0.00456541, 0.0123945, 0.0340972, 0.0186166, 0.0174322, 0.0263601, 0.0193476, 0.0165588, 0.0141342, 0.00738936, 0.0107325, 0.00925453, 0.0253888, 0.0245666, 0.034157, 0.0339567, 0.0276386, 0.0110127, 0.00422799, 0.0210064, 0.026243, 0.0174452, 0.00969145, 0.00842777, 0.0109359, 0.0120171, 0.013825, 0.00759121, 0.0172751, 0.0191855, 0.0120168, 0.00622157, 0.0144517, 0.0121138, 0.00625983, 0.013598, 0.0139078, 0.00691746, 0.0156003, 0.00825966, 0.0156592, 0.0123663, 0.00699168, 0.0132644, 0.0108515, 0.00908704, 0.00793649, 0.00733764, 0.0067485
0.04, 0.0319375, 0.025538, 0.00332814, 0.0249511, 0.0254356, 0.0176611, 0.0135682, 0.0160862, 0.0155876, 0.0115899, 0.0108624, 0.00986451, 0.00792384, 0.00944019, 0.0138838, 0.00783371, 0.0107729, 0.0100436, 0.00910251, 0.00571273, 0.00378357, 0.0119043, 0.0109509, 0.0116791, 0.00416911, 0.00347261, 0.00670469, 0.00729066, 0.00765569, 0.00425185, 0.00560178, 0.0102748, 0.0101177, 0.00374735, 0.00960739, 0.00958743, 0.0045164, 0.00515216, 0.00477555, 0.00504483, 0.00688857, 0.00656803, 0.00599716, 0.00665602, 0.00515394, 0.00541992, 0.00499655, 0.00404136, 0.00580008, 0.00534297, 0.00373547
0.05, 0.0319375, 0.0458644, 0.0199544, 0.0576526, 0.112374, 0.0965104, 0.0688827, 0.0584546, 0.0439292, 0.0579288, 0.0437738, 0.0369412, 0.0209077, 0.0145044, 0.0110483, 0.0101497, 0.00732972, 0.00883291, 0.00851961, 0.00323321, 0.0036382, 0.00752921, 0.00606897, 0.00396086, 0.00336688, 0.00463044, 0.00383357, 0.00476131, 0.00432864, 0.00404671, 0.00486891, 0.00792384, 0.00651865, 0.00867905, 0.00790385, 0.0038813, 0.00430301, 0.0073696, 0.00811009, 0.00397428, 0.00571676, 0.00512322, 0.00528913, 0.00512204, 0.00352179, 0.00542679, 0.00348698, 0.00339848, 0.00439226, 0.0052302, 0.003773
0.06, 0.0319375, 0.0288801, 0.0336213, 0.0336178, 0.0940125, 0.118702, 0.0904685, 0.0752647, 0.0208383, 0.0463163, 0.0435356, 0.0419426, 0.0233179, 0.0237082, 0.0139371, 0.00676129, 0.00545892, 0.00588553, 0.00472951, 0.00416471, 0.00450275, 0.00505716, 0.00569946, 0.00578468, 0.00644012, 0.0047339, 0.00530395, 0.00565453, 0.00370732, 0.00416661, 0.00579854, 0.00816094, 0.00788871, 0.0107271, 0.00847505, 0.00672861, 0.0052851, 0.00752969, 0.0079553, 0.00596695, 0.0069171, 0.0057298, 0.00900718, 0.00795612, 0.0052117, 0.00717693, 0.00527063, 0.00580791, 0.00395196, 0.00498706, 0.00386135
0.07, 0.0319375, 0.0485697, 0.0372541, 0.0535937, 0.0791993, 0.0782421, 0.210905, 0.215798, 0.0776902, 0.0775691, 0.106245, 0.0953875, 0.0698536, 0.0418514, 0.0182952, 0.00955166, 0.00614041, 0.00722581, 0.00588968, 0.00791828, 0.00393949, 0.00548477, 0.00519557, 0.00520873, 0.00774098, 0.00721906, 0.0118551, 0.00676248, 0.00408838, 0.0049395, 0.00495219, 0.00857233, 0.0190824, 0.0206819, 0.0116996, 0.00751265, 0.0031347, 0.00548406, 0.0064252, 0.00814426, 0.00870257, 0.0073309, 0.0133684, 0.0127955, 0.00643159, 0.00861121, 0.00694682, 0.00427511, 0.00365138, 0.00485717, 0.00407009
0.08, 0.0319375, 0.0293103, 0.0223832, 0.0189583, 0.036669, 0.0461685, 0.199035, 0.174717, 0.0460156, 0.053954, 0.0764463, 0.072925, 0.0335234, 0.0228913, 0.0144105, 0.00550018, 0.0065421, 0.00541186, 0.00443202, 0.00420769, 0.00222376, 0.00455093, 0.00607122, 0.00577543, 0.00462308, 0.00468882, 0.00869571, 0.00369426, 0.00339456, 0.00329987, 0.00256281, 0.00833793, 0.0143477, 0.0115542, 0.00774133, 0.00529198, 0.00347059, 0.00529091, 0.00599444, 0.0056991, 0.00375495, 0.00695581, 0.00811825, 0.00662606, 0.00378879, 0.00814107, 0.0070794, 0.00330759, 0.00334513, 0.00329773, 0.00375542
0.09, 0.0319375, 0.0204412, 0.021742, 0.0316565, 0.0431331, 0.0331347, 0.154382, 0.0885246, 0.0752668, 0.0842134, 0.116587, 0.0575923, 0.0524871, 0.0399429, 0.0166744, 0.0094977, 0.00700636, 0.00988694, 0.00480568, 0.00469582, 0.00561126, 0.00425968, 0.00303879, 0.00435749, 0.00723883, 0.00545312, 0.00430123, 0.00438502, 0.00391218, 0.00416685, 0.00251133, 0.00566615, 0.00831014, 0.00845354, 0.00570372, 0.00528961, 0.00381682, 0.00519687, 0.00767698, 0.00749893, 0.00454868, 0.00467873, 0.00544991, 0.0055188, 0.00353082, 0.00654826, 0.00601351, 0.00288154, 0.00349209, 0.00342129, 0.00347712
