# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 1.13591, 1.07036, 0.107217, 0.397678, 0.382595, 0.894278, 2.14264, 2.68675, 1.64119, 0.785318, 0.419764, 0.531138, 0.815983, 0.507844, 0.00716699, -0.257801, 0.11147, 0.41815, 0.157545, -0.0989955, 0.155681, -0.61611, -0.247994, -0.0543969, -0.404818, -0.442844, -0.359774, -0.438437, -0.396686, -0.650861
0.02, 0.0319375, 1.22996, 1.19118, -0.400698, -0.0428114, 0.109412, 0.115136, 1.90568, 2.2926, 1.82158, 0.757107, 0.721986, 0.397879, 0.144386, 0.236489, -0.471947, -0.63971, 0.670125, 0.486879, 0.08069, 0.102533, 0.0567604, -0.196494, -0.211399, 0.0545583, -0.483624, -0.130907, -0.489008, -0.151385, -0.197202, -0.16943
0.04, 0.0319375, 0.341616, 0.743809, 0.0605782, 0.521205, 0.51611, 0.867067, 2.16582, 2.26613, 2.05788, 0.650442, 0.189834, 0.918775, 0.394576, 0.67422, 0.00736593, -0.354228, 0.335232, 0.728413, 0.242041, 0.201668, 0.244982, -0.361353, -0.365634, -0.277617, -0.352453, -0.288593, -0.143836, 0.0977106, 0.129681, -0.543423
0.06, 0.0319375, 1.06151, 1.14932, 0.105557, -0.356902, 0.00722557, 0.953551, 2.68446, 2.74134, 1.89637, 1.10446, 0.763873, 0.361656, 0.194693, -0.079094, -0.53026, -0.931625, 0.414217, 0.305017, 0.19085, 0.314745, 0.139942, -0.200327, -0.246049, -0.207644, -0.435101, -0.410907, -0.370459, -0.368602, -0.50574, -0.636536
0.08, 0.0319375, 0.933536, 0.28682, -0.0136841, -1.20521, -0.417277, 0.356605, 2.5548, 2.55029, 2.04697, 1.33046, 0.729255, 0.545429, 1.12417, 0.623488, -0.07773, -0.209691, 0.51184, 0.745049, -0.0688517, -0.00441936, -0.0775502, -0.464695, -0.432141, -0.370983, -0.471232, -0.430888, -0.451868, -0.572069, -0.603485, -0.824771
0.1, 0.0319375, 0.777892, 1.14995, 0.139559, 0.0837777, 0.48656, 0.585599, 2.43705, 2.10419, 1.36169, 0.745666, 0.199657, 0.0195275, 0.639952, 0.243398, 0.127216, -0.524892, 0.370277, 0.36515, 0.375068, -0.38335, -0.266166, -0.528467, -0.463086, -0.592129, -0.20833, -0.297357, -0.266768, -0.4941, -0.635391, -0.536897
0.12, 0.0319375, 0.953961, 0.699351, -0.351602, -0.837392, -0.00246895, 0.999678, 2.69225, 2.4106, 1.5179, 0.727561, -0.340452, 0.254135, 0.799072, 0.582793, -0.336205, 0.0781118, -0.132415, 0.677666, 0.0545042, -0.0986277, -0.084326, -0.507776, -0.369625, -0.57754, -0.506433, -0.505465, -0.734564, -0.519447, -0.367875, -0.490812
0.14, 0.0319375, 0.243112, 0.803862, 0.409779, 0.333193, 0.233424, 1.07404, 2.49215, 2.00659, 1.40471, 1.23126, 0.437691, -0.13054, 0.18937, 0.700574, -0.172853, -0.576468, -0.0824216, 0.4231, -0.132273, -0.335533, -0.527909, -0.916814, -0.704327, -0.587991, -0.511944, -0.552153, -0.410923, -0.558505, -0.793673, -0.86832
0.16, 0.0319375, 1.20428, 0.109596, -0.706216, -0.150509, 0.462594, 0.246793, 2.02074, 2.06605, 0.898963, 0.381532, -0.0415517, -0.421099, 0.412362, -0.111389, 0.092829, -0.104013, 0.522833, 0.655871, -0.0969987, -0.106913, 0.239496, -0.140305, -0.402994, -0.622289, -0.628455, -0.51972, -0.353106, -0.212124, -0.470016, -0.687666
0.18, 0.0319375, 0.750115, 0.292952, -0.846893, -0.858638, 0.411983, 1.17255, 2.24223, 2.25399, 1.22364, 0.736535, 0.593378, -0.230777, 0.934326, 0.577049, -0.0883077, -0.0362371, 0.660588, 0.160679, 0.0699259, 0.2351, 0.186378, -0.669069, -0.540342, -0.495411, -0.598097, -0.540694, -0.5158, -0.556022, -0.580443, -0.730869
0.2, 0.0319375, 0.375166, 0.157298, 0.40498, -0.608345, 0.453996, 0.520521, 1.72616, 2.602, 1.73208, 0.605355, 0.297653, 0.0874236, 0.242912, 0.311078, 0.0125168, -0.455729, 0.130976, 0.510893, 0.0360402, -0.842363, -0.494793, -0.358672, -0.389959, -0.816056, -0.702439, -0.562844, -0.838304, -0.780902, -0.780268, -0.928792
0.22, 0.0319375, 1.11648, 0.616229, 0.21687, -0.268639, 0.636331, 1.10242, 2.5622, 2.43517, 1.8099, 1.0498, 0.727598, 0.0571008, 0.0148056, 0.182905, 0.0827782, -0.518171, 0.0691488, 0.787651, -0.0652895, -0.193032, -0.402905, -0.898584, -0.552842, -0.521535, -0.382203, -0.61202, -0.756347, -0.614346, -0.918059, -0.823147
0.24, 0.0319375, 1.1808, -0.0587664, -0.383319, 0.139507, 0.327068, 1.31157, 1.93024, 2.63269, 2.49014, 1.15918, 0.7878, 0.443298, 0.15555, -0.0349553, 0.253841, -0.399273, -0.0979234, 0.698792, -0.169044, -0.615723, -0.178585, -0.663106, -0.612297, -0.608185, -0.472647, -0.523986, -0.827699, -0.571291, -0.827311, -0.898836
0.26, 0.0319375, 1.73518, 0.437665, -0.2336, 0.404879, 0.160637, 0.291036, 2.35753, 2.57685, 2.01811, 1.05355, 0.978527, 0.247211, 0.606332, 0.399933, 0.29995, 0.20978, 0.215181, 0.601532, 0.180242, -0.0984726, 0.0950875, -0.478711, -0.635522, -0.639287, -0.727752, -0.443065, -0.406895, -0.476213, -0.801002, -0.699977
0.28, 0.0319375, 1.57631, 0.304694, 0.224794, 0.513878, 0.946779, 0.73887, 2.32772, 2.79038, 1.81534, 0.789545, 0.505328, 0.288829, 0.438519, 0.400283, -0.275611, -0.492761, 0.467886, 1.0839, -0.186569, -0.113063, 0.0309877, -0.190529, -0.37044, -0.425845, -0.409759, -0.832139, -0.665833, -0.473999, -0.950889, -1.00628
0.3, 0.0319375, 0.90038, 0.336349, -0.190727, 0.366997, -0.165498, 0.947471, 2.57979, 2.69196, 2.36665, 0.674771, 0.596703, 0.163697, 0.356136, 0.407275, 0.203033, -0.273049, 0.0561869, 0.262736, 0.0117816, 0.31707, -0.57681, -0.389398, -0.419973, -0.571525, -0.625263, -0.732834, -0.846273, -0.484853, -0.690058, -0.910148
0.32, 0.0319375, 1.30742, 0.912891, 0.198241, 0.606331, 0.104324, 0.848069, 2.00036, 2.88107, 2.44047, 0.943547, 0.444633, 0.0272701, 0.038306, 0.380526, 0.326674, -0.0452042, 0.507284, 0.883403, -0.100497, 0.209538, 0.0638571, -0.149979, -0.462205, -0.392363, -0.643498, -0.740616, -0.779164, -1.13797, -1.13314, -0.837606
0.34, 0.0319375, 0.842842, 0.9003, 0.0460788, 0.0297261, 0.199619, 0.671526, 2.52379, 2.44716, 1.8161, 1.10965, 1.19044, 0.476075, 0.898818, 0.115116, -0.120566, -0.366533, 0.2272, 0.673073, 0.380102, 0.0240044, -0.407159, -0.790752, -0.119544, -0.10396, -0.676516, -0.787313, -0.77438, -0.725752, -0.679028, -0.756588
0.36, 0.0319375, 1.43913, 1.2611, 0.368383, -0.233451, -0.0322354, -0.294657, 2.0596, 2.6193, 1.71017, 0.177882, 0.143745, 0.167715, 0.0741817, 0.208669, 0.13827, 0.0827635, 0.68483, 0.677203, 0.470282, -0.034215, -0.27668, -0.40742, -0.351107, -0.378542, -0.16752, -0.128866, -0.600385, -0.450509, -0.676132, -0.710955
0.38, 0.0319375, 1.36367, 0.875099, -0.0134633, -0.106375, 0.644892, 0.491551, 1.3321, 2.31504, 2.15956, 0.825314, 0.638049, 0.370704, 0.69886, 0.117623, -0.0662832, -0.601679, -0.0085698, 0.147303, 0.042887, -0.0390552, -0.254301, -0.510857, -0.625186, -0.486763, -0.550097, -0.789354, -0.698735, -0.415621, -0.684777, -0.865118
0.4, 0.0319375, 0.680655, 0.666775, 0.198224, -0.3446, 0.494646, 0.497507, 1.96556, 1.36306, 2.00694, 1.07366, 0.459325, 0.194302, 0.483725, 0.580722, -0.067752, -0.45549, 0.0722558, 0.542177, 0.195468, -0.264581, -0.642233, -0.779455, -0.689013, -0.477825, -0.364509, -0.771555, -0.644824, -0.679153, -0.687626, -0.940839
0.42, 0.0319375, 1.18528, 0.823591, 0.31388, 0.21519, 0.576306, 0.917532, 1.51925, 2.32932, 2.17759, 0.868626, 0.285061, 0.251363, 0.243947, 0.0104799, 0.288853, 0.258282, 0.260002, 0.390802, 0.291132, 0.3865, 0.00126258, -0.830229, -0.932612, -0.307576, -0.301392, -0.36732, -0.692002, -0.59578, -0.658561, -1.03467
0.44, 0.0319375, 0.650643, 1.36883, 0.814922, -0.51318, 0.66527, 0.756259, 2.49793, 2.62267, 2.27072, 1.00548, 0.167804, 0.20779, 0.669961, -0.268196, -0.215112, 0.0636201, 0.254252, 0.423684, -0.0894549, -0.508772, 0.208424, -0.626294, -0.629887, -0.135816, -0.636109, -0.551073, -0.676789, -0.868283, -0.644804, -0.702232
0.46, 0.0319375, 0.692741, 0.215829, -0.289613, -0.655202, -0.560059, 0.451406, 2.05948, 2.46187, 2.048, 1.35349, 0.318809, -0.174825, 0.32136, 0.481875, 0.0436125, -0.0261725, -0.152618, 0.506863, 0.382318, 0.100633, 0.238849, -0.489929, -0.405883, -0.51857, -0.653842, -0.65732, -0.481346, -0.453186, -0.688188, -0.744964
0.48, 0.0319375, -0.24344, 0.191146, 0.0917754, 0.0032565, 0.504079, 0.614451, 1.93378, 2.97842, 2.64763, 1.40923, 0.0684739, -0.228383, 0.171791, 0.155958, 0.401462, 0.161957, 0.24329, 0.386923, 0.708584, 0.300501, 0.385477, -0.0351029, -0.240251, 0.0346986, 0.303396, 0.178517, 0.358247, 0.414387, 0.0901052, -0.268756
0.5, 0.0319375, 0.577727, 0.758394, 0.198685, -0.381546, 0.305717, 0.356842, 1.92765, 2.16638, 2.06948, 1.50335, 0.533166, 0.00674329, 0.499459, 0.218275, 0.586129, 0.195092, 0.46352, 0.244699, 0.398432, 0.584809, 1.13488, 0.8736, 0.272788, 0.341788, -0.0541871, -0.0722223, -0.550106, -0.0748502, -0.209416, -0.194051
0.52, 0.0319375, 1.39603, 0.885938, -0.0475657, 0.247473, 0.478963, 0.336854, 1.47432, 1.83036, 2.1382, 1.42713, 0.237002, 0.485356, 0.184605, -0.257035, 0.17779, -0.0639643, -0.160637, 0.424557, 0.335452, 0.188316, 0.356544, -0.428301, -0.418343, -0.630962, -0.580047, -0.451325, -0.427855, -0.204945, -0.599134, -0.523785
0.54, 0.0319375, 0.978615, 0.548427, -0.610669, -1.3144, -0.496883, 0.229444, 1.43137, 2.23882, 2.29812, 1.59924, 0.434926, 0.248794, -0.219932, 0.0822081, 0.386298, 0.224216, 0.179185, 0.523403, 0.275725, 0.432541, 0.606197, -0.445471, -0.227259, -0.194792, -0.594075, -0.558731, -0.555786, -0.25995, -0.744617, -0.326404
