# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.663179, -0.62622, -1.10648, -1.09545, -0.377398, -0.445168, -0.852997, -0.87324, -0.0115726, -0.0623597, -0.310201, -0.412129, -0.379356, -0.844089, -0.63196, -0.0498921, -0.953162, -1.2508, -1.29603, -1.69727, -1.69193, -1.821, -2.11516, -1.61177, -1.73251, -2.04251, -1.84427, -1.83494, -1.86363, -2.14486
0.02, 0.0319375, -0.719081, -0.330173, -0.681301, -0.575495, -1.18964, -1.08847, -0.769662, -0.535071, 0.242043, -0.0569655, -0.340705, -0.403056, -0.410161, -0.940228, -1.07033, 0.0533524, -1.16447, -1.78568, -1.5702, -1.9784, -2.14129, -1.9467, -2.03438, -1.86879, -2.5371, -2.21531, -2.28351, -2.2252, -2.10208, -2.0075
0.04, 0.0319375, -0.571612, -0.258962, -0.469663, -0.49452, -0.663288, -0.782506, -0.974434, -0.311045, 0.496694, -0.224227, -0.204337, -0.905678, -0.724019, -1.02545, -0.791477, 0.00671878, -0.975128, -1.23596, -1.07644, -1.01286, -1.04735, -0.428324, -1.30722, -0.641504, -0.409807, -0.989931, -1.77795, -1.41589, -0.868995, -1.08857
0.06, 0.0319375, -0.616014, -0.602477, -1.8517, -0.987676, -0.878552, -0.713334, -0.620891, -0.675581, 0.0716073, 0.0282357, -0.818878, -0.911939, -0.80507, -1.17781, -1.5288, -0.215654, -1.15965, -1.72902, -1.53411, -1.80404, -1.6026, -1.99859, -2.04837, -1.67368, -1.51462, -1.91243, -2.25098, -2.34884, -1.90323, -2.08397
0.08, 0.0319375, 0.156119, -0.558304, -1.3748, -0.875138, -1.05416, -1.08371, -0.737568, -0.299278, 0.545598, -0.00991547, -0.591758, -0.522606, -0.0263791, -0.633159, -1.44819, -0.160899, -1.00192, -1.62348, -1.53834, -1.38175, -1.8681, -1.785, -1.77128, -2.01854, -2.07983, -2.09973, -2.20756, -2.38799, -2.56505, -2.77457
0.1, 0.0319375, -0.351908, -0.362667, -1.03932, -0.572879, -0.846869, -0.766392, -1.09155, -0.542322, 0.314838, -0.0896352, -0.583921, -0.754277, -0.175565, -0.930829, -1.02866, -0.0140524, -1.29487, -1.61305, -1.66502, -2.0132, -1.89018, -1.68375, -2.04279, -2.01543, -1.8348, -2.10109, -2.55744, -2.63963, -2.32221, -2.68642
0.12, 0.0319375, 0.0868672, -0.220204, -1.47087, -1.03975, -0.626306, -0.412476, -0.845312, -0.510975, 0.400088, 0.118986, -0.811347, -1.13514, -0.988514, -1.20569, -1.18592, -0.48282, -1.39727, -1.32032, -1.24137, -1.76255, -2.34808, -2.2902, -2.06936, -2.02355, -2.38026, -2.31997, -2.43922, -2.2608, -2.27321, -2.52723
0.14, 0.0319375, -1.16584, -0.0645128, -0.414489, -1.40316, -1.19758, -1.29369, -0.780398, -0.991724, -0.200262, -0.597659, -1.09851, -0.749296, -0.155186, -0.908254, -0.509369, -0.273874, -1.36686, -1.26118, -1.14042, -1.52668, -2.09753, -2.04932, -2.12435, -2.07895, -2.50641, -2.25112, -2.3631, -2.63693, -2.44445, -2.33848
0.16, 0.0319375, -0.763332, -0.189184, -1.32738, -1.9452, -1.30084, -0.578083, -0.631144, -0.96924, 0.126413, -0.272542, -1.1705, -1.07316, 0.0857611, -0.342447, -1.31047, -0.0806254, -1.02756, -1.54802, -1.46507, -2.12153, -1.84909, -1.88693, -2.17495, -2.47648, -2.45793, -2.60023, -2.76668, -2.55556, -2.37696, -2.57915
0.18, 0.0319375, 0.388703, 0.104522, -0.791242, -1.94449, -1.44323, -1.49356, -0.817784, -0.385622, 0.457882, 0.109033, -1.01695, -1.21646, 0.171122, -0.741847, -1.2906, -0.040849, -1.08515, -1.57144, -1.62765, -1.99321, -2.13789, -2.14599, -2.62852, -2.43904, -2.70661, -2.7457, -2.53097, -2.25621, -2.53776, -2.93191
0.2, 0.0319375, -0.142841, -0.44449, -0.899979, -0.737989, -0.90716, -0.472437, -0.940119, -0.996616, 0.249402, 0.290663, -1.10154, -0.856634, 0.480702, -0.646055, -1.35259, 0.186378, -0.919036, -1.28497, -1.27656, -1.75524, -1.89206, -1.98745, -2.17497, -2.24667, -2.28561, -2.55029, -2.56217, -2.43386, -2.39921, -2.55601
0.22, 0.0319375, -0.463085, -0.469648, -1.0357, -1.19047, -0.515531, -0.664603, -0.574745, -0.292789, 0.221128, -0.388823, -0.831487, -0.616988, 0.42683, -0.447394, -1.3123, -0.00596145, -1.06906, -1.4324, -1.36661, -1.65462, -1.70102, -1.80611, -2.19752, -2.55423, -2.378, -2.3437, -2.55053, -2.31821, -2.55748, -2.5124
0.24, 0.0319375, -0.0586717, -0.507736, -0.582422, -1.0391, -1.47059, -1.63362, -1.26608, -1.28212, 0.450279, 0.363171, -0.462591, -0.516758, 0.00689863, -0.506999, -0.77978, 0.0700118, -0.964116, -1.52199, -1.43195, -1.7113, -1.75784, -2.28917, -2.17046, -2.2718, -2.28105, -2.2966, -2.60656, -2.27589, -2.60115, -2.79875
0.26, 0.0319375, -0.190715, -0.427269, -0.546771, -0.91357, -0.739498, -1.03332, -0.959288, -0.0428658, 0.564283, 0.0509259, -1.00835, -1.10857, -0.510069, -1.17675, -1.17212, 0.20201, -0.851725, -1.24436, -1.53742, -1.83036, -2.03036, -1.88034, -2.19448, -2.6655, -2.69129, -2.48085, -2.50377, -2.62099, -2.56972, -2.5087
0.28, 0.0319375, -1.26893, -1.21612, -0.934775, -0.734405, -0.2696, -0.268283, -0.793202, -0.922671, 0.243817, -0.229246, -0.929012, -0.259431, -0.0204323, -0.640991, -1.14835, 0.170417, -0.881779, -1.49882, -1.6088, -1.75986, -2.04826, -2.31317, -2.05095, -1.88866, -2.05425, -2.49484, -2.25826, -2.25898, -2.29511, -2.42045
0.3, 0.0319375, -0.22823, -0.295199, -0.884997, -0.920095, -0.613978, -0.798436, -0.195367, -0.250519, 0.300362, 0.162901, -0.24253, -0.881966, -0.679999, -1.07223, -1.06245, 0.298092, -0.926986, -0.951511, -1.29597, -1.02689, -1.57631, -1.87377, -1.7828, -2.29225, -2.27858, -2.55874, -2.26991, -2.24812, -2.09438, -2.41873
0.32, 0.0319375, -0.263046, -0.784046, -1.26797, -1.04389, -0.388231, -0.842039, -1.14326, -0.291437, 0.32387, 0.159467, -0.521227, -1.45959, -0.495996, -0.552758, -0.100092, -0.128643, -0.506046, -0.947797, -0.770951, -1.32237, -1.42597, -1.48037, -1.36226, -2.06957, -2.3184, -2.24351, -2.30416, -2.27772, -2.54148, -2.33408
0.34, 0.0319375, -0.378659, -1.16341, -1.16713, -1.35217, -0.980191, -0.888381, -0.458119, -0.673147, 0.678458, 0.450529, -0.930199, -0.76395, -0.413492, -0.752811, -0.15174, -0.499122, -1.09054, -1.26269, -0.807246, -1.31112, -1.9449, -1.2867, -0.785541, -1.46417, -1.82733, -1.89037, -2.22631, -2.44769, -2.08309, -2.34218
0.36, 0.0319375, -0.423113, -0.469386, -0.853687, -1.14338, -0.806486, -0.67733, -0.804761, -0.641216, -0.560246, -0.0287078, -0.474479, -0.556381, -0.299731, -0.693053, -0.0661305, -0.173577, -0.765382, -1.13916, -1.32709, -1.1934, -1.35123, -1.13814, -0.771439, -1.39225, -1.75927, -2.0353, -2.06773, -1.71355, -2.12119, -2.12361
0.38, 0.0319375, -0.574603, -0.199815, -0.625183, -0.955252, -0.876639, -0.884328, -0.226605, -0.144267, -0.16855, -0.595746, -0.578216, -0.0685042, -0.257856, -0.429386, -0.276094, -0.935188, -1.17438, -0.847285, -1.04954, -1.05209, -1.32931, -1.35003, -0.919749, -1.68301, -1.68099, -2.05558, -2.04666, -2.04571, -2.25556, -2.24441
0.4, 0.0319375, -0.0485081, -0.134439, -0.422868, -1.9184, -0.919263, -0.800358, -0.836574, -0.505791, 0.256711, 0.23744, -0.316957, -0.363266, 0.371343, -0.0603049, 0.217778, -1.16354, -1.44979, -1.47906, -1.41085, -1.17745, -1.56828, -1.30361, -0.664574, -1.31414, -2.06774, -2.15289, -2.07503, -2.27025, -2.14979, -2.41963
0.42, 0.0319375, -0.0124745, 0.0214677, -0.393203, -0.7574, -0.840248, -0.803275, -0.577986, -0.715298, 0.241461, -0.398184, -0.942112, -0.43611, 0.331002, -0.393188, 0.465543, -0.864279, -1.41504, -1.26911, -1.31048, -1.03123, -1.59772, -1.0487, -0.383879, -1.13449, -1.58832, -1.68625, -1.43146, -1.50148, -1.63709, -2.01697
0.44, 0.0319375, -0.847455, -0.701583, -0.490992, -0.493976, -0.458805, -1.03051, -1.2593, -0.475746, 0.0429958, -0.328397, -0.9677, -0.957835, -0.65468, -0.917226, 0.519635, -0.491252, -0.91472, -1.08771, -1.16774, -0.845816, -1.44975, -0.991773, -0.416056, -1.14452, -1.51034, -1.66428, -1.66605, -1.83492, -1.61854, -1.76318
0.46, 0.0319375, -0.301194, -0.57764, -1.50549, -0.786252, -1.55517, -1.50937, -1.44388, -0.551215, 0.154536, -0.548091, -0.414273, 0.220917, -0.306847, -0.177044, 0.617102, -1.2492, -1.62545, -1.322, -1.34945, -1.77933, -2.07968, -1.70628, -1.44437, -1.71008, -1.84712, -2.08588, -2.31719, -2.04569, -2.29515, -2.11684
0.48, 0.0319375, -0.243248, -0.48095, -0.413216, -1.03654, -0.888773, -0.592852, -0.756087, -0.254997, 0.264025, -0.0517073, -0.807341, -0.10496, -0.912036, -0.763676, 0.274582, -1.07237, -1.18341, -1.40529, -1.86594, -1.97857, -2.26371, -2.20702, -2.19379, -2.32123, -2.13549, -2.12936, -2.16777, -2.56249, -2.60457, -2.73148
0.5, 0.0319375, -0.450911, -0.713013, -0.782025, -0.669345, -1.05687, -0.951153, -1.14621, -0.0448543, 0.377126, -0.230325, -0.290048, 0.299816, -0.202061, -0.630137, -0.0164039, -1.57496, -1.52462, -1.45383, -1.4987, -2.05277, -2.29804, -2.03842, -1.90187, -1.95489, -2.19403, -2.5382, -2.6494, -2.21717, -2.51504, -2.52332
0.52, 0.0319375, -0.00503027, -0.403663, -0.795856, -0.83547, -0.884073, -1.31228, -0.552734, -0.0188378, 0.259377, -0.435021, -1.07164, 0.077236, -0.23186, -0.927337, -1.02182, -1.40649, -1.37009, -1.31252, -1.35563, -1.50631, -2.01659, -1.737, -1.90772, -2.12196, -2.4351, -2.28543, -2.57056, -2.25952, -2.46823, -2.79794
0.54, 0.0319375, -1.24622, -0.505518, -0.385004, -1.17687, -0.77948, -0.679145, -1.18527, -0.249119, 0.0192371, -0.853011, -1.4168, 0.270586, -0.544295, -1.20252, -0.483341, -1.03762, -1.14864, -1.94992, -1.61032, -1.64116, -1.88361, -2.05895, -1.77682, -2.05702, -2.20781, -2.5913, -2.80382, -2.45112, -2.57476, -2.53947
0.56, 0.0319375, -0.638399, -0.44373, -0.608733, -0.808538, -0.666794, -0.820935, -1.04906, -0.0429248, -0.0622527, -0.685936, -0.781775, 0.419387, -0.181084, -1.19373, -0.711527, -0.755825, -0.876621, -1.42419, -1.34164, -1.93835, -1.64526, -2.33107, -2.52086, -2.00392, -2.43821, -2.75848, -2.40708, -2.48277, -2.53344, -2.67706
0.58, 0.0319375, -1.09486, -1.07866, -0.791367, -1.32121, -1.14544, -0.469296, -0.350438, -0.276262, 0.044052, -0.443456, -0.825884, 0.304162, -0.466589, -0.856357, -0.390674, -1.83503, -1.47631, -1.45025, -2.09701, -2.05934, -1.87577, -1.88916, -2.00779, -2.21129, -1.76873, -2.58682, -2.81011, -2.54635, -2.25005, -2.61432
0.6, 0.0319375, -0.475822, -0.243584, -0.45573, -1.9149, -0.99063, -0.686284, -0.568658, -0.490089, -0.0426613, -0.596737, -1.26697, 0.500469, -0.21344, -0.920577, -0.608205, -0.589276, -1.2941, -1.64088, -1.80966, -1.90564, -1.86654, -1.94617, -1.79916, -2.07885, -2.53924, -2.53873, -2.22469, -2.37162, -2.3214, -2.73917
