# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -5.8599, -6.0259, -5.8205, -5.77565, -5.91009, -6.24162, -6.31966, -6.69423, -6.503, -5.75631, -5.82894, -6.50102, -6.36867, -5.64507, -5.12043, -5.3954, -5.47197, -5.98817, -6.61434, -6.31432, -5.74308, -5.40234, -5.5974, -5.67209, -5.79985, -5.77287, -5.93112, -5.50202, -5.74659, -5.69416
0.02, 0.0319375, -5.5939, -5.4782, -4.49676, -4.85999, -5.06997, -5.11218, -4.70774, -4.7742, -4.49057, -3.57409, -3.97162, -4.22513, -4.18312, -4.14011, -3.99551, -4.47292, -4.26949, -4.79289, -5.01506, -4.67024, -4.72715, -4.03305, -3.97171, -4.68856, -4.99626, -4.66556, -5.18309, -5.7593, -5.96412, -5.46025
0.04, 0.0319375, -3.70227, -3.82327, -3.58859, -3.73367, -3.12686, -3.84783, -3.19837, -3.62422, -3.22568, -3.10654, -3.05519, -3.53556, -3.41896, -3.38849, -3.34695, -3.04917, -3.34239, -3.79568, -4.29179, -4.18958, -3.84607, -3.20431, -3.27496, -3.37183, -4.09112, -3.96505, -4.50323, -4.86443, -5.20083, -5.11279
0.06, 0.0319375, -2.60519, -2.2256, -2.91691, -2.75391, -2.77745, -2.73226, -2.54595, -2.65237, -3.17336, -2.68913, -2.22182, -2.63902, -2.57018, -2.81157, -2.94508, -2.90847, -3.01504, -3.26043, -3.93519, -3.43189, -2.85161, -2.46262, -2.58253, -3.06071, -3.3113, -3.34888, -3.54173, -4.20827, -4.1921, -4.21293
0.08, 0.0319375, -1.83961, -1.66056, -2.38673, -1.96411, -1.73625, -2.4107, -2.34366, -2.48076, -3.02142, -1.66763, -1.60566, -2.76281, -2.74312, -1.62283, -1.82706, -2.14105, -2.3949, -2.82108, -3.2689, -2.63932, -2.75522, -2.24963, -2.47544, -2.49194, -2.75489, -2.69424, -3.06891, -3.99204, -4.25512, -3.6797
0.1, 0.0319375, -1.57547, -1.82901, -1.91979, -1.91231, -1.35005, -2.30443, -1.77597, -1.81648, -1.67507, -1.27518, -1.12889, -1.85318, -1.48515, -1.21801, -1.45096, -1.81828, -1.66228, -2.27897, -3.13635, -2.52528, -2.4975, -1.9731, -1.38012, -2.22657, -2.3635, -2.7405, -3.02244, -3.60481, -3.84529, -3.38608
0.12, 0.0319375, -1.33129, -1.94953, -1.55566, -1.80821, -2.16743, -1.65804, -2.22175, -1.92864, -2.14862, -1.10405, -0.933982, -2.38921, -1.74131, -1.16561, -0.880837, -1.75275, -1.35619, -2.05943, -2.72701, -2.05019, -1.87643, -1.11776, -0.994768, -1.35162, -1.95508, -2.10222, -2.36436, -3.16916, -3.43018, -3.20268
0.14, 0.0319375, -1.13621, -1.34591, -1.73462, -1.19168, -1.89842, -1.6991, -1.21861, -1.7012, -1.76601, -0.925246, -0.828866, -1.21235, -1.31175, -1.05882, -0.958075, -1.21817, -1.08738, -1.62534, -2.29526, -1.95214, -1.91061, -0.816498, -0.63117, -1.46881, -1.641, -1.90156, -2.14562, -2.98197, -3.32325, -3.20556
0.16, 0.0319375, -0.679774, -0.576774, -1.03981, -1.30236, -0.350543, -1.33272, -1.3507, -1.67968, -1.03566, -0.425479, -0.346313, -1.56029, -1.08538, -1.09614, -0.812148, -1.07318, -1.07274, -1.82896, -2.06923, -1.47249, -1.83906, -1.00467, -0.302709, -0.993871, -1.3676, -1.25585, -1.8535, -2.86042, -2.93036, -2.79189
0.18, 0.0319375, -0.828399, -0.530989, -0.95216, -0.859684, -0.170543, -0.301932, -1.23192, -1.45672, -1.01657, -0.268084, -0.278936, -0.612906, -1.02198, -0.852196, -0.524495, -0.584133, -0.637185, -1.94602, -1.72146, -1.06493, -1.25415, -0.794432, -0.368499, -1.1803, -1.35243, -1.23555, -1.8796, -2.42117, -2.68751, -2.58922
