# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.29733, -2.27259, -2.68255, -2.48753, -2.01083, -1.90597, -1.64731, -0.375004, -0.33082, -1.37626, -2.36253, -2.17334, -2.78404, -3.00485, -3.29529, -3.15709, -3.35539, -2.5766, -3.13555, -3.13918, -3.59435, -3.81832, -3.41805, -3.71926, -3.82526, -4.17676, -4.01937, -4.40453, -4.21176, -4.14782
0.02, 0.0319375, -1.51034, -1.35811, -1.97088, -2.31893, -1.01952, -1.0063, 0.155517, 0.625583, -0.130264, -0.469245, -0.977158, -2.00535, -1.95362, -1.95178, -2.10877, -2.83203, -1.61559, -0.991765, -2.47297, -2.84204, -2.57494, -2.85344, -2.60908, -3.14173, -2.85863, -3.07849, -3.45326, -3.61283, -3.7043, -3.42694
0.04, 0.0319375, -1.41888, -1.22184, -2.05449, -1.72572, -0.222887, 0.717075, 1.71874, 0.632126, 0.282314, -0.481703, -1.47834, -1.27579, -1.5413, -1.46265, -1.27016, -1.80632, -0.905936, -1.43028, -2.3852, -1.8289, -1.76008, -2.77863, -2.1895, -2.54543, -2.68745, -2.72298, -2.56239, -3.02155, -3.10139, -3.17343
0.06, 0.0319375, -1.11715, -0.417697, -1.26037, -1.20469, 0.106767, 0.441644, 0.774494, 0.829004, 0.891996, 0.257116, -0.858212, -0.486267, -0.7156, -0.920454, -1.40404, -1.17518, -0.829956, -1.49105, -2.1, -1.59441, -1.594, -2.03774, -1.99535, -2.38955, -2.58096, -2.49593, -2.58582, -2.76213, -2.79085, -2.6831
0.08, 0.0319375, -1.06331, -1.2195, -0.909059, -1.31727, 0.587208, 2.14727, 0.965237, 0.741388, 1.02293, -0.184245, -0.386633, -0.613732, -0.746521, -0.477432, -0.19285, -0.553942, -0.962242, -1.61042, -1.63395, -1.53387, -1.33235, -1.89508, -1.788, -2.19227, -2.21194, -2.268, -2.40827, -2.45599, -2.27783, -2.51326
0.1, 0.0319375, -0.119645, -0.503096, -2.10012, -1.20275, 1.29293, 1.91107, 0.819411, 0.418168, 0.432945, 0.538587, -0.118287, -0.7376, -0.710675, -0.437771, 0.334998, -0.571365, -1.2557, -0.987201, -1.48374, -1.43187, -0.858, -2.00102, -1.55031, -1.94635, -1.99429, -2.29944, -2.1732, -2.38475, -2.56353, -2.34481
0.12, 0.0319375, 0.000877353, -0.170395, -1.35625, -0.137015, 2.48141, 1.89452, 0.899665, 0.603066, 0.188349, 0.237227, -0.213097, -0.321418, -0.709176, 0.852025, 0.65865, -0.684456, -0.609027, -0.983607, -0.884014, -0.57561, -0.872048, -1.49046, -1.54473, -1.71461, -2.2132, -2.10772, -1.77276, -2.39282, -2.15938, -2.26041
0.14, 0.0319375, -1.11743, -0.389445, -1.41236, -0.45684, 2.2208, 2.001, 1.48696, 0.879651, 0.412331, -0.11903, -0.501744, -0.525347, -1.25656, 0.403273, 0.607837, -0.490858, -0.718269, -0.613357, -1.35104, -0.801527, -0.852271, -1.40486, -1.51236, -1.48612, -1.47995, -1.39918, -1.53847, -2.00082, -2.01208, -2.24577
0.16, 0.0319375, -0.208607, 0.0883612, -0.72814, -0.696642, 1.33483, 2.53391, 2.22344, 1.42566, 0.828588, 0.905557, -0.560921, -0.470213, -0.223612, 0.191742, 0.0167778, -0.226455, 0.377837, 0.263441, -1.57006, -0.73612, -0.957569, -0.964339, -0.982384, -1.18669, -1.55862, -1.92536, -1.60668, -1.96512, -1.80829, -2.13541
0.18, 0.0319375, -0.50328, -0.522795, -0.377062, -0.522888, 1.02474, 1.8052, 2.50919, 2.41204, 2.21181, 1.25663, -0.531492, -0.426286, -0.597198, -0.264029, -0.342039, -0.122486, -0.20672, -0.278521, -1.1213, -0.787068, -0.847575, -1.72374, -1.42346, -1.42487, -1.27551, -1.0565, -1.39902, -1.91475, -1.92998, -1.74446
