# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.19204, -2.49158, -2.35398, -2.89027, -2.00973, -1.309, -0.765341, -2.31827, -2.35891, -2.79372, -2.24434, -3.20501, -2.68992, -2.8796, -2.88683, -3.20893, -3.09697, -3.7077, -3.5146, -3.39275, -3.4503, -3.56397, -3.86237, -4.28157, -3.97282, -4.24188, -4.48454, -4.69214, -4.67156, -4.66353
0.02, 0.0319375, -0.980149, -1.49874, -1.25458, -2.43047, -1.95356, -0.315302, -0.986123, -1.87681, -1.75905, -1.82396, -1.93571, -1.90417, -1.42037, -1.99484, -2.63939, -2.09815, -2.23062, -2.42874, -2.73111, -2.75226, -2.62444, -3.1838, -2.87262, -3.23757, -3.33647, -3.19093, -3.42326, -3.54699, -3.79993, -3.93007
0.04, 0.0319375, -0.217773, -1.01236, -0.563249, -1.11668, -1.91308, -0.364484, -0.915197, -1.05841, -0.841918, -1.33902, -1.55048, -1.57018, -1.3621, -1.93029, -1.8649, -1.38105, -1.74301, -2.03823, -2.00366, -2.26639, -2.03998, -2.27182, -2.81192, -2.60343, -2.89641, -2.90145, -3.00459, -3.3717, -3.70543, -3.7729
0.06, 0.0319375, -0.437431, -0.172331, -0.970534, -0.647314, -1.05764, -0.0635687, -0.206241, -0.570485, -0.861726, -1.22203, -0.797887, -1.09845, -0.716017, -0.708502, -1.16645, -1.96765, -1.59238, -1.59367, -1.84829, -1.91604, -1.76037, -2.2542, -2.149, -2.57398, -2.57068, -2.58832, -2.89931, -2.87405, -2.87945, -3.39973
0.08, 0.0319375, -0.0892243, -0.00645913, -1.14104, -0.980882, -0.871325, -0.886588, 0.275703, -0.18495, -0.637854, -1.07355, -1.42514, -0.794089, -0.465925, -1.16527, -1.17697, -1.43125, -1.07713, -1.18964, -1.75477, -1.55552, -1.65782, -1.95396, -1.9721, -2.40865, -2.29962, -2.61159, -2.63675, -2.76647, -2.80976, -2.7959
0.1, 0.0319375, -0.301062, -0.348795, -0.28251, -0.963263, -0.359972, -0.0564404, 0.782895, 0.0502858, -0.16584, -0.0890681, -0.146599, -0.734524, -0.524828, -0.435397, -1.0872, -0.625348, -0.784083, -1.53763, -1.57228, -1.41884, -1.91682, -1.64273, -1.84744, -2.19655, -2.20952, -2.85096, -2.62698, -2.80789, -2.73847, -2.62538
0.12, 0.0319375, -0.417073, 0.236345, 0.136083, -0.0318621, -0.335488, 0.690536, 1.39258, 0.53836, -0.4761, -0.707, -0.470798, -0.0554031, -0.426646, -0.553625, -0.589299, -1.04174, -1.35062, -1.26562, -1.3736, -1.41185, -1.19774, -1.63209, -1.65794, -1.8163, -1.68154, -1.83323, -2.37369, -2.30174, -2.40331, -2.52814
0.14, 0.0319375, -0.342992, -0.0846092, -0.163387, -0.354334, -0.13734, 0.0293968, 0.999493, 0.48861, -0.282602, -0.331938, -1.09663, -0.555789, 0.158283, -0.272982, -0.734441, -0.782632, -0.70304, -0.856989, -1.056, -0.824574, -1.10313, -1.27627, -1.71421, -1.82268, -1.70744, -1.74702, -1.94085, -2.35549, -2.41034, -2.26109
0.16, 0.0319375, -0.340598, 0.367657, -0.146605, -0.507785, -0.571192, 0.137057, 0.885532, 0.303957, 0.120678, -0.92302, -0.224675, 0.0942229, -0.268298, -0.344564, -0.496651, -0.879711, -0.603389, -1.21575, -1.27342, -1.15549, -0.772506, -1.09203, -1.30246, -1.76092, -1.82022, -1.40776, -1.57542, -1.82247, -1.97193, -2.01007
0.18, 0.0319375, 0.0819246, 0.270129, -0.0819615, -0.0216914, 0.00927745, -0.16979, 0.829881, 1.14846, 0.355928, -0.359999, -0.181448, -0.201637, -0.0668999, 0.381775, -0.309163, -0.399189, -0.450058, -0.447172, -0.541075, -0.80591, -0.902098, -0.897398, -1.2239, -1.17555, -1.29427, -1.60102, -1.4546, -1.8099, -1.86403, -1.96665
