# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.54478, -5.39799, -5.26388, -4.1799, -4.45463, -4.4249, -4.1051, -3.86419, -3.90989, -4.34801, -4.34015, -4.78092, -4.55508, -4.60201, -5.03546, -5.7968, -5.98643, -5.45944, -5.35281, -5.63642, -5.57929, -5.50666, -5.78005, -6.01764, -5.79676, -5.65198, -5.81102, -5.59776, -5.9061, -5.76925
0.02, 0.0319375, -3.22848, -3.65576, -4.07654, -3.79062, -3.49881, -4.26051, -4.22347, -3.54674, -3.6369, -4.05274, -3.63721, -3.4903, -3.98523, -3.95213, -4.09037, -4.84431, -4.46176, -4.79588, -4.76388, -4.79768, -5.23532, -5.19759, -5.13195, -5.28173, -5.25179, -5.71054, -5.5612, -5.76021, -5.83156, -5.58379
0.04, 0.0319375, -3.32149, -2.94705, -3.38088, -3.68136, -3.38538, -3.25314, -3.55821, -3.23102, -3.23992, -2.91523, -3.37357, -2.85346, -3.30284, -3.79182, -3.81484, -4.09466, -4.08374, -3.91098, -4.06907, -4.58401, -4.53346, -4.6678, -4.80991, -5.03614, -5.01888, -5.05234, -5.27474, -5.05933, -5.33907, -5.38282
0.06, 0.0319375, -2.79812, -2.76746, -2.92361, -2.46927, -2.69939, -3.60347, -3.49477, -3.01983, -3.02302, -3.05438, -2.61847, -2.9936, -3.01618, -3.52459, -3.36822, -4.00396, -3.90442, -3.74507, -4.59987, -4.08777, -4.13123, -4.38186, -4.77753, -4.87519, -4.80724, -5.02528, -4.99382, -5.10527, -5.0452, -5.15918
0.08, 0.0319375, -2.31153, -2.85109, -3.90829, -3.24684, -2.95141, -2.92269, -2.79738, -2.5764, -2.27789, -2.47495, -2.41431, -2.52391, -2.87104, -2.50656, -3.39491, -3.26045, -3.61667, -3.35415, -3.94133, -4.16793, -4.38291, -4.19279, -4.0696, -4.48745, -4.65427, -4.72386, -4.68263, -4.75919, -5.00151, -4.81135
0.1, 0.0319375, -2.34807, -2.60435, -3.01671, -2.66259, -2.61828, -3.4784, -2.34556, -2.33421, -2.7547, -2.59754, -1.70606, -2.15514, -2.72803, -2.90743, -2.74312, -2.89754, -2.97753, -3.29112, -3.64699, -3.86844, -3.97651, -4.35592, -4.3087, -4.20381, -4.3392, -4.68418, -4.67073, -4.62627, -4.70451, -4.49663
0.12, 0.0319375, -1.83132, -1.48705, -2.62137, -2.26143, -2.49581, -2.36216, -2.78433, -2.64511, -1.95225, -1.91527, -2.18948, -2.1596, -2.3953, -2.73931, -3.09622, -2.68488, -2.87879, -3.18126, -3.56966, -3.79444, -4.33062, -4.31248, -4.0332, -4.14009, -4.29933, -4.51337, -4.72847, -4.48243, -4.63476, -4.79678
0.14, 0.0319375, -1.36505, -1.5034, -1.99147, -2.40487, -2.47887, -2.22753, -2.79909, -2.3172, -1.63143, -1.70071, -2.2943, -1.92994, -2.27498, -2.571, -2.63914, -3.00782, -3.46149, -3.10177, -3.33605, -3.231, -3.46006, -3.61768, -4.02094, -4.23789, -3.96179, -4.28092, -4.29819, -4.40579, -4.48818, -4.24716
0.16, 0.0319375, -1.694, -1.66325, -2.26471, -2.2529, -2.25671, -2.33803, -2.07067, -1.69009, -2.07515, -2.57873, -1.97133, -2.25326, -2.21286, -2.12866, -2.23071, -2.41361, -2.71141, -2.74459, -3.14062, -3.17402, -3.06317, -3.37066, -3.39009, -3.89502, -3.78325, -4.07397, -4.20098, -4.52428, -4.43051, -4.56463
0.18, 0.0319375, -2.18125, -1.79155, -1.79341, -2.30101, -2.20941, -1.88273, -1.51312, -1.52235, -1.70952, -2.37508, -2.46696, -2.07266, -2.3603, -2.4592, -2.12965, -2.67342, -3.03027, -2.79962, -2.82272, -3.24051, -3.44391, -3.5871, -3.81391, -3.54464, -3.85677, -4.40335, -3.88708, -4.3036, -4.36209, -4.30455
0.2, 0.0319375, -1.71695, -1.66441, -1.90918, -2.07414, -2.90951, -1.97838, -2.35893, -1.38639, -1.65957, -1.27532, -1.50667, -1.73583, -2.16272, -2.13633, -2.19342, -2.70761, -3.02143, -2.36767, -2.64586, -3.32379, -3.25398, -3.38967, -3.52859, -3.38506, -3.7499, -3.88277, -3.87049, -4.28019, -4.32739, -4.44874
