# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.61458, -3.93981, -5.08464, -4.56873, -4.76563, -4.42106, -5.39483, -5.20057, -5.19093, -5.43449, -5.69851, -5.90743, -5.51168, -5.59464, -5.83016, -5.52877, -5.69384, -5.98066, -5.82282, -5.72151, -5.93727, -5.86718, -5.29399, -5.44436, -5.39641, -5.10821, -5.3119, -5.39173, -5.32331, -5.1832
0.02, 0.0319375, -3.882, -3.2821, -4.22606, -4.90242, -4.34975, -4.56882, -4.17109, -4.65679, -5.0735, -5.30082, -5.62376, -5.64083, -5.371, -5.11741, -6.3615, -6.25545, -5.95124, -6.19417, -5.88691, -5.82714, -5.69111, -5.70477, -5.46943, -5.39245, -5.51621, -5.6721, -5.61277, -5.64923, -5.60519, -5.32333
0.04, 0.0319375, -3.24065, -3.55193, -4.29649, -4.38438, -5.04539, -4.7951, -5.01971, -4.68652, -4.82285, -4.86236, -5.1095, -5.74661, -5.43458, -5.73246, -5.85467, -5.93379, -5.85486, -6.00412, -6.13765, -6.07333, -5.89318, -5.89477, -6.15656, -5.85888, -5.7, -5.51425, -5.57467, -5.31212, -5.44324, -5.25583
0.06, 0.0319375, -3.22942, -3.52776, -4.69527, -4.99878, -4.62259, -4.3445, -4.81871, -4.91795, -4.7769, -5.14509, -5.58097, -5.26174, -5.56025, -5.2159, -5.54427, -5.78979, -6.13928, -6.18328, -6.20945, -5.79281, -5.96724, -5.79255, -5.45359, -5.61481, -5.70056, -5.80147, -5.55327, -5.42652, -5.65928, -5.39286
0.08, 0.0319375, -4.0536, -4.14578, -4.15465, -3.86192, -4.13216, -4.42407, -5.3168, -5.22074, -4.80393, -4.99222, -5.85213, -5.35063, -5.73092, -6.31653, -6.2994, -6.37401, -6.54093, -6.05749, -6.05491, -6.32477, -5.97365, -5.99991, -5.95106, -6.07661, -5.41509, -5.57455, -5.58862, -5.56791, -5.32909, -5.47018
0.1, 0.0319375, -3.55557, -4.22143, -4.44995, -4.38509, -4.87261, -4.44564, -4.47885, -5.46164, -5.1517, -5.12386, -5.45825, -5.60857, -5.73333, -5.65093, -6.62743, -6.52535, -6.44621, -5.65367, -5.66813, -5.89394, -6.01621, -5.96975, -5.74055, -5.80909, -5.67819, -5.7576, -5.74328, -5.50694, -5.33831, -5.38685
0.12, 0.0319375, -4.31388, -3.87124, -4.59096, -4.61951, -3.91315, -3.69552, -4.67242, -4.82088, -5.15765, -5.35432, -5.31412, -5.88987, -5.76587, -5.59319, -6.49155, -6.15013, -5.80685, -6.07846, -6.2484, -5.91507, -5.93094, -6.0622, -5.65337, -5.73604, -5.71769, -5.35639, -5.33149, -5.42952, -5.41535, -5.2914
0.14, 0.0319375, -3.3855, -3.79975, -4.51251, -4.45956, -4.08129, -3.90148, -3.78091, -5.03627, -4.71199, -4.65972, -5.12093, -5.57949, -5.65211, -5.86124, -6.35363, -6.28387, -6.26971, -6.02017, -6.11533, -6.17085, -6.2622, -6.23062, -5.74653, -5.6635, -5.39337, -5.59459, -5.65494, -5.4584, -5.18349, -5.32653
0.16, 0.0319375, -4.01975, -4.301, -4.62547, -4.54513, -3.38282, -3.72088, -3.88605, -4.84102, -5.0564, -4.49335, -4.98844, -5.34797, -5.20705, -6.15262, -5.93295, -6.10735, -6.40904, -6.17698, -5.80107, -5.67728, -5.86579, -6.16452, -5.98211, -5.70866, -5.50251, -5.24455, -5.33812, -5.38223, -5.39132, -5.39798
0.18, 0.0319375, -3.41253, -4.46551, -4.63083, -4.75843, -3.74343, -3.87435, -4.56393, -4.25167, -4.4566, -5.43707, -5.54289, -5.96576, -5.69021, -5.57321, -5.60237, -5.81265, -6.1441, -5.9652, -6.03724, -5.96185, -5.83978, -5.77776, -5.66532, -5.60496, -5.43993, -5.35106, -5.31616, -5.5106, -5.39365, -5.48477
0.2, 0.0319375, -3.80342, -3.66915, -4.12929, -4.16951, -3.94987, -4.20666, -4.6593, -4.63404, -4.63208, -4.94971, -4.82098, -5.68691, -5.43828, -5.52749, -6.44205, -6.35179, -6.36126, -6.06576, -5.94755, -5.82558, -5.93849, -5.98652, -5.94341, -5.94063, -5.82402, -5.57021, -5.31609, -5.33544, -5.21478, -5.08292
0.22, 0.0319375, -3.62436, -4.47909, -4.12469, -4.1428, -4.57074, -4.3888, -4.58624, -4.3358, -4.59635, -5.08239, -4.75768, -4.86633, -5.37719, -5.7785, -5.85077, -6.08864, -6.40615, -6.20095, -6.23562, -5.73277, -5.9167, -5.99007, -6.00803, -5.50876, -5.83348, -5.55983, -5.37622, -5.23965, -5.49535, -5.37859
0.24, 0.0319375, -4.29599, -3.44826, -4.08362, -4.92285, -4.62731, -4.14376, -4.48757, -5.07883, -4.89173, -5.10053, -4.90384, -5.10644, -5.25678, -5.86731, -6.039, -5.89307, -5.89364, -6.20076, -6.38984, -6.34913, -5.80309, -5.75923, -5.82123, -6.00184, -5.58629, -6.08828, -5.56756, -5.28037, -5.34931, -5.39533
0.26, 0.0319375, -4.23832, -4.23669, -4.96518, -4.79917, -4.3148, -4.48668, -3.94508, -4.73886, -4.50176, -4.6882, -4.88205, -5.82975, -6.3203, -5.80408, -5.89543, -6.4878, -5.89505, -5.98726, -6.06373, -5.98732, -5.99012, -6.10847, -5.91883, -6.07286, -5.46923, -5.29859, -5.59101, -5.54271, -5.17583, -5.38738
0.28, 0.0319375, -3.96377, -4.62107, -4.86524, -5.67353, -4.58906, -4.35847, -4.32963, -4.72251, -4.93449, -5.32331, -5.4753, -5.23145, -5.51141, -5.95149, -6.26055, -5.87818, -6.5491, -6.30868, -6.34842, -6.2034, -5.71559, -5.67218, -5.55126, -5.81938, -5.67727, -5.72623, -5.4793, -5.63663, -5.48982, -4.94891
0.3, 0.0319375, -3.96593, -3.57235, -4.62257, -4.56131, -4.49044, -4.5323, -4.70566, -4.87317, -5.11987, -5.15985, -4.82031, -5.73242, -5.80051, -5.84189, -6.15303, -6.17394, -6.15883, -5.94059, -5.74833, -5.52677, -5.69307, -5.83799, -5.64306, -5.63421, -5.9397, -5.74538, -5.4956, -5.60339, -5.27327, -5.27251
0.32, 0.0319375, -3.37801, -3.51606, -4.84347, -4.81437, -4.36547, -4.55516, -4.3241, -4.594, -4.58207, -5.27893, -6.07025, -5.53867, -5.68701, -6.01647, -5.92354, -6.04003, -6.16911, -6.13347, -6.07291, -6.10531, -5.49486, -5.69457, -5.62456, -5.30362, -5.62814, -5.48081, -5.53412, -5.26143, -5.37422, -5.41589
0.34, 0.0319375, -3.30039, -3.74588, -4.02216, -4.95248, -4.14816, -4.40668, -4.70353, -4.37622, -5.27722, -5.51691, -5.70701, -5.31646, -5.42372, -6.00773, -5.84322, -5.86295, -5.85187, -6.00826, -6.01112, -5.87885, -5.70151, -5.66627, -5.74706, -5.701, -5.40889, -5.35839, -5.345, -5.67848, -5.46742, -5.27601
