# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.52619, -3.21349, -3.90315, -3.96596, -3.63308, -3.51339, -3.50673, -3.44372, -3.72148, -3.22795, -2.68203, -2.85618, -3.0093, -3.31044, -3.18668, -2.78144, -2.90518, -3.22838, -3.32779, -3.17192, -3.26159, -3.60919, -4.10067, -4.47873, -4.40006, -4.28217, -4.66204, -4.69231, -4.94955, -4.40544
0.02, 0.0319375, -2.40429, -3.11894, -3.50619, -4.60895, -3.72693, -3.89273, -4.46257, -2.97084, -2.91949, -3.11976, -3.03192, -2.71663, -3.01375, -3.68571, -3.62743, -3.09953, -2.64487, -2.87081, -2.88856, -3.0983, -3.14883, -3.50192, -3.33366, -4.46051, -4.11219, -3.93121, -4.30815, -4.5925, -4.47984, -3.95783
0.04, 0.0319375, -2.91552, -3.28324, -3.85836, -4.39153, -3.42749, -3.25763, -3.57278, -3.45518, -3.06445, -2.85383, -2.76894, -2.84146, -3.5936, -3.44682, -3.18226, -2.45711, -2.52137, -2.77236, -3.16334, -2.9829, -3.06901, -3.17366, -3.48886, -4.10489, -4.01485, -3.903, -3.77575, -3.58087, -3.88884, -4.09059
0.06, 0.0319375, -2.3275, -2.54036, -3.17905, -4.08211, -3.93823, -3.13096, -3.19604, -3.51683, -2.61299, -2.79582, -2.80455, -2.61431, -2.61042, -3.25358, -2.57078, -2.41914, -2.60195, -2.9506, -2.68046, -2.33932, -2.74066, -3.30678, -3.42413, -3.97544, -4.02816, -3.95798, -4.07579, -4.16579, -4.15697, -4.13627
0.08, 0.0319375, -3.083, -2.67303, -2.40582, -4.22384, -3.62719, -2.33806, -3.00295, -3.22997, -2.84329, -2.93259, -2.54316, -2.49107, -3.11119, -2.95035, -2.47461, -2.5839, -2.54276, -2.94784, -2.70511, -3.03151, -3.12757, -3.00524, -3.27449, -3.86736, -3.89504, -3.80692, -3.84954, -3.86948, -4.28288, -4.01726
0.1, 0.0319375, -2.70115, -2.31944, -3.20983, -4.84489, -3.54915, -3.4023, -3.20325, -2.5537, -2.64745, -2.8615, -2.54273, -2.58938, -2.87931, -2.64606, -2.76725, -1.90427, -1.96837, -2.15726, -2.59104, -2.6131, -2.76958, -2.82132, -3.16342, -3.98522, -4.28699, -3.96297, -4.06006, -3.77653, -3.96138, -3.9012
0.12, 0.0319375, -2.5597, -2.41781, -2.43885, -3.16957, -3.08231, -2.53161, -3.08441, -3.3301, -2.63252, -2.58559, -2.67843, -2.28091, -3.09598, -2.96907, -2.40466, -2.04856, -2.14338, -2.95971, -2.78615, -2.68295, -2.38457, -2.72216, -3.08598, -3.86927, -3.93686, -3.89573, -3.70895, -4.07284, -4.3449, -4.01826
0.14, 0.0319375, -2.89545, -2.61899, -2.51603, -3.92659, -3.60556, -3.0909, -3.08838, -2.55499, -2.07838, -2.31066, -1.93296, -2.49827, -2.33615, -2.48979, -2.06994, -1.93688, -2.2988, -2.37145, -2.60596, -2.37132, -2.33706, -2.77626, -2.92444, -4.08901, -3.68624, -3.10941, -3.57223, -3.78095, -4.16869, -3.74225
0.16, 0.0319375, -2.84125, -2.79745, -2.89617, -2.89998, -3.43046, -2.97422, -3.43627, -2.8897, -2.2424, -2.04008, -2.21527, -1.8226, -2.12055, -2.53436, -2.5029, -2.33003, -2.58652, -2.67487, -2.87802, -2.21567, -2.45745, -3.28506, -3.27229, -3.81839, -3.87149, -3.35971, -3.61599, -3.44252, -4.16078, -3.39289
0.18, 0.0319375, -2.71936, -1.81533, -2.73475, -3.23274, -3.07054, -3.04456, -3.23976, -2.84784, -2.35756, -2.35311, -2.33765, -1.76801, -2.11139, -2.99427, -2.7798, -1.99764, -2.00435, -2.49002, -2.64984, -2.58543, -2.63836, -2.95655, -3.20273, -3.90084, -3.8862, -3.68407, -3.92274, -3.6455, -4.18137, -3.6199
0.2, 0.0319375, -1.86379, -2.20933, -3.16486, -2.89686, -3.13519, -2.63482, -3.31947, -3.03593, -2.72582, -2.59877, -2.37721, -2.57248, -2.26408, -2.20989, -2.28497, -2.16293, -1.45773, -2.53417, -2.27216, -2.05931, -2.4318, -3.00819, -2.98107, -3.58739, -3.02078, -3.18527, -3.36671, -3.18723, -4.15326, -3.40347
