# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.563101, -0.574163, -1.91245, -2.33322, -1.92243, -1.49192, -1.78186, -1.85114, -2.28698, -2.7053, -2.87272, -2.93621, -2.97856, -3.37534, -3.21011, -3.02848, -3.04319, -3.07147, -3.52559, -3.20333, -3.1435, -3.19361, -3.33371, -4.02803, -4.05866, -3.73201, -3.91739, -4.30083, -4.20681, -3.80143
0.02, 0.0319375, -1.01396, -1.52263, -1.10931, -1.47121, -0.964813, -1.86028, -2.30988, -2.28725, -2.18189, -2.25126, -2.37157, -2.55782, -2.41956, -3.10454, -3.20383, -3.47048, -2.92889, -2.96414, -2.38795, -2.34963, -2.4711, -2.46167, -3.13709, -3.37765, -3.9739, -4.23538, -3.99305, -4.03812, -4.35124, -4.11454
0.04, 0.0319375, -0.775442, -0.998564, -1.73469, -1.64249, -0.908495, -1.7502, -1.79821, -2.39295, -2.54692, -1.71253, -1.29348, -2.41509, -3.12883, -2.97542, -3.33521, -2.92199, -2.59894, -2.62517, -2.20329, -2.35754, -2.70251, -2.77343, -3.22055, -3.98688, -4.01656, -4.20324, -4.25954, -4.1473, -3.88933, -3.96553
0.06, 0.0319375, -1.10668, -1.1554, -1.69569, -1.97363, -1.29459, -0.846693, -2.53451, -2.48612, -2.57533, -1.50399, -1.11121, -1.46004, -1.80067, -2.20164, -2.27112, -2.39883, -2.71354, -2.42969, -2.54752, -2.31984, -2.23844, -2.20824, -3.32477, -3.32561, -3.17852, -3.19439, -3.15317, -3.3931, -3.23524, -2.88208
0.08, 0.0319375, -0.975613, -0.856082, -2.03528, -1.94679, -0.526407, -0.658618, -1.66828, -2.00927, -2.69995, -2.24713, -1.82925, -1.28877, -1.89689, -2.45885, -2.95339, -3.31082, -3.43863, -2.30382, -2.29326, -2.77384, -3.42266, -2.43642, -3.29744, -3.65715, -3.96155, -4.31074, -4.02423, -4.10671, -4.06084, -3.8509
0.1, 0.0319375, -1.08193, -0.988129, -0.900997, -1.77582, -0.326395, -0.480175, -1.24073, -1.70213, -1.74584, -1.87233, -2.07241, -1.43171, -1.27343, -2.17889, -2.70756, -2.67714, -2.4963, -2.3957, -2.59092, -2.56169, -2.71887, -2.70077, -3.34572, -3.69245, -3.42251, -3.51056, -2.96387, -3.38037, -3.84864, -3.67463
0.12, 0.0319375, -0.889351, -0.718629, -1.71675, -1.43287, -0.7759, -1.21252, -1.49694, -2.11029, -2.25071, -2.41184, -2.25611, -1.77823, -1.54481, -2.71369, -3.06802, -2.69852, -2.64486, -3.06719, -3.15403, -3.1407, -3.16824, -2.91725, -3.48785, -4.24765, -4.17736, -3.97213, -4.01358, -4.02001, -4.13865, -4.05042
0.14, 0.0319375, -0.40574, -0.344727, -1.80788, -1.42914, -1.01341, -0.73092, -1.76787, -2.35247, -2.28718, -2.47125, -2.39715, -2.42017, -1.94309, -1.33737, -2.27087, -2.30312, -1.93249, -2.17971, -2.8824, -2.94056, -2.62084, -2.27696, -2.52329, -2.80881, -3.13221, -3.3157, -3.03577, -3.29884, -2.47232, -2.3107
0.16, 0.0319375, -0.299121, 1.23132, 1.61109, -0.50401, -0.899014, -0.518285, -1.12061, -1.45241, -1.53133, -0.308688, -0.578581, -2.26031, -1.68767, -0.961763, -0.671787, -1.75399, -2.4494, -2.53591, -2.76075, -2.85708, -2.43171, -2.43733, -2.47602, -2.71971, -3.15721, -3.26538, -3.39662, -3.29573, -3.14918, -2.67265
0.18, 0.0319375, 0.103381, 0.157837, 1.63918, -0.012143, -1.39646, -1.59558, -1.74805, -1.58289, -1.9431, -0.541374, -0.295851, -1.71511, -2.28047, -2.20949, -1.66645, -1.45336, -2.55911, -2.5542, -2.73034, -2.32704, -2.98351, -3.05571, -2.87549, -3.39799, -3.50016, -3.67649, -3.6405, -3.9178, -3.61453, -3.36468
0.2, 0.0319375, 0.0311644, 0.019045, 1.41711, 0.643965, -1.49473, -1.56966, -2.06286, -1.31286, -1.63959, -1.55923, -0.497301, -1.35507, -1.60999, -2.31618, -2.11742, -1.67198, -1.92682, -2.66059, -2.30152, -2.01563, -2.52048, -2.54699, -2.3475, -2.94546, -3.03673, -3.40355, -3.16138, -3.33996, -3.2685, -3.28931
0.22, 0.0319375, -0.875993, -0.835096, 0.786439, 0.639064, -1.65126, -2.10118, -2.14118, -1.61675, -1.7445, -1.89909, -0.865656, -0.38575, -2.26312, -2.37958, -2.49181, -2.96012, -2.30593, -3.00433, -2.85334, -2.76648, -2.8804, -3.22421, -3.28277, -2.80605, -3.4164, -3.51728, -3.46365, -3.5684, -3.6839, -3.33208
