# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.95114, -3.89369, -3.60902, -4.84656, -5.20839, -5.13254, -5.13573, -5.10262, -4.09629, -4.48978, -5.06701, -5.39619, -5.56662, -5.6574, -5.23349, -5.20797, -5.59273, -5.57225, -5.88646, -5.89254, -5.90501, -5.78505, -5.64067, -5.75199, -5.85366, -5.96104, -5.74896, -5.4204, -5.61977, -5.46388
0.02, 0.0319375, -3.13716, -3.20161, -3.73258, -4.71745, -5.13665, -5.05254, -4.3341, -4.28178, -4.47726, -4.31166, -4.65112, -4.60957, -4.81643, -4.43002, -4.46011, -4.33615, -4.80136, -5.30357, -4.84633, -4.9747, -5.11357, -5.27597, -5.15025, -5.17515, -5.07035, -5.20304, -5.21064, -5.11159, -5.15096, -4.99067
0.04, 0.0319375, -2.20171, -2.48353, -2.63648, -3.02314, -3.39699, -3.81685, -3.76457, -3.65938, -3.39917, -4.01179, -4.54256, -4.20325, -4.33697, -3.95099, -4.36334, -4.67106, -4.62056, -4.38477, -4.21327, -4.52226, -4.73261, -4.79349, -4.33985, -4.49715, -4.74025, -4.59499, -4.5524, -4.7081, -4.84857, -4.54349
0.06, 0.0319375, -2.92178, -2.55256, -3.17082, -3.33865, -3.31284, -4.06137, -3.25422, -3.17025, -3.47099, -3.48051, -4.32728, -4.40353, -3.65458, -3.66763, -3.69785, -3.60255, -3.7685, -3.83043, -4.35678, -4.38392, -4.33584, -4.71985, -4.30057, -4.3717, -4.36311, -4.49643, -4.44666, -4.50603, -4.45153, -4.26113
0.08, 0.0319375, -1.7916, -1.9884, -2.08963, -2.36527, -2.73924, -2.86388, -2.87111, -3.0018, -3.16486, -3.25492, -3.39089, -3.00666, -3.59951, -3.3553, -3.74041, -3.23859, -3.45597, -3.49317, -3.82301, -4.13996, -3.93076, -3.85365, -4.12821, -4.01083, -4.33068, -4.26415, -4.38336, -4.22496, -4.28065, -4.27242
0.1, 0.0319375, -1.64279, -1.78125, -2.38094, -2.52843, -3.26367, -3.32109, -3.49648, -3.02729, -2.6004, -3.15737, -3.38854, -3.00471, -3.28107, -3.68099, -3.54862, -3.43627, -3.65078, -3.74123, -3.52038, -4.22594, -3.34381, -3.56661, -3.71701, -4.13513, -4.26856, -4.0961, -4.35834, -3.99777, -4.13948, -4.47521
0.12, 0.0319375, -1.48109, -2.40738, -2.87817, -2.72038, -2.43994, -2.59436, -2.78392, -3.01094, -3.00972, -2.72578, -3.01504, -3.0471, -3.11196, -2.86147, -3.17403, -2.93417, -3.42906, -3.52116, -3.85754, -3.88725, -3.53229, -3.44801, -3.87427, -4.17183, -3.97735, -3.96707, -3.98186, -4.14544, -4.1655, -3.76709
0.14, 0.0319375, -1.9542, -1.9054, -1.8951, -2.60175, -2.46765, -2.74439, -2.82518, -2.87153, -2.47344, -2.30605, -2.53459, -2.83241, -3.40896, -3.28679, -3.28432, -3.4716, -3.58296, -3.39256, -3.51556, -3.41594, -3.5715, -3.23369, -3.54868, -3.77733, -3.60353, -4.1252, -3.96254, -4.04711, -3.85721, -3.74738
0.16, 0.0319375, -1.96075, -1.77125, -1.72164, -2.15787, -1.83181, -2.53774, -3.29078, -2.72414, -2.3517, -2.35735, -3.03033, -2.68772, -2.5962, -2.82467, -2.99429, -3.30178, -3.4496, -3.15681, -3.3853, -3.50183, -3.47545, -3.03609, -2.94557, -3.60376, -3.58016, -3.92264, -3.76922, -3.74265, -3.66271, -3.65356
0.18, 0.0319375, -0.995781, -0.890477, -1.76229, -2.39804, -3.09913, -2.69892, -2.33251, -2.27741, -2.50258, -2.00861, -2.40827, -2.53862, -2.71354, -2.55225, -3.13916, -3.03834, -3.15261, -3.3456, -2.76756, -3.4119, -3.54479, -3.18877, -3.21193, -3.35969, -3.4152, -3.64881, -3.59842, -3.57704, -3.38229, -3.52069
