# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.92837, -7.73616, -6.8353, -7.34493, -5.50864, -2.7195, -1.14976, -2.07945, -4.91392, -6.97235, -7.00273, -7.14076, -7.32368, -6.86089, -5.86344, -4.03891, -2.05983, -2.24077, -4.32361, -6.50229, -6.33553, -3.87878, -2.28787, -2.7633, -4.57409, -4.35293, -2.63662, -2.58814, -4.00089, -3.10816
0.02, 0.0319375, -6.98708, -7.47984, -7.61544, -7.72765, -7.21382, -6.03716, -2.97278, -0.792335, -1.7174, -5.17511, -6.85152, -6.98945, -6.34207, -6.72799, -6.98203, -6.56403, -4.71736, -2.4119, -1.62992, -3.35414, -5.66914, -5.92098, -5.54154, -2.85678, -1.90487, -3.25065, -4.93748, -3.55126, -2.21604, -2.89529
0.04, 0.0319375, -8.05905, -8.05171, -7.38381, -7.28798, -7.64438, -7.22091, -6.05189, -2.24291, -0.506455, -2.33654, -6.2136, -7.21261, -7.10374, -6.88198, -7.03103, -6.68847, -6.12895, -6.05858, -3.21475, -1.37407, -2.70272, -5.68589, -6.09876, -5.90619, -3.85866, -1.76346, -2.55521, -5.50715, -5.10645, -2.29944
0.06, 0.0319375, -7.83936, -7.99866, -7.27426, -7.84949, -6.89684, -6.24706, -6.60092, -5.11601, -1.02744, -0.603956, -4.2319, -6.5753, -7.0448, -6.5765, -6.52606, -6.31482, -6.2886, -6.54431, -6.1546, -2.87528, -1.16927, -3.34328, -5.99308, -5.69322, -5.60891, -4.32763, -1.58828, -2.54785, -5.59616, -4.95593
0.08, 0.0319375, -8.05905, -8.05905, -7.93272, -6.77572, -6.44469, -5.3849, -5.28587, -5.3918, -2.65679, -0.230358, -2.30563, -6.4604, -6.75482, -6.58287, -6.36066, -6.41405, -5.97175, -6.11314, -6.20756, -6.20223, -1.79158, -1.63333, -6.0158, -5.9469, -5.42295, -5.86162, -3.00385, -1.59716, -5.42324, -4.65059
0.1, 0.0319375, -7.36423, -7.43965, -7.35687, -7.84918, -6.71328, -5.85438, -5.33675, -5.1884, -3.67115, -0.189947, -1.65875, -5.99137, -6.56575, -6.34858, -6.06513, -5.6987, -5.90941, -6.5489, -5.90172, -5.82139, -2.41613, -1.37284, -6.20376, -5.69865, -4.9399, -5.55311, -4.82183, -1.61007, -4.64611, -4.51325
0.12, 0.0319375, -7.54361, -7.20066, -8.00545, -6.99776, -6.49697, -6.05788, -5.48299, -5.39991, -2.06392, 0.0404232, -2.28133, -6.37144, -6.53294, -6.28802, -6.31805, -6.47251, -5.72844, -5.32919, -5.22807, -4.96137, -1.33611, -1.40926, -6.05068, -5.10775, -5.20824, -5.37035, -2.39881, -1.30461, -5.14199, -4.86414
0.14, 0.0319375, -8.05905, -7.281, -7.32834, -6.91049, -6.97884, -6.28908, -4.96824, -3.92647, -0.361863, -0.200319, -4.06426, -6.58032, -6.66694, -5.85297, -6.32317, -6.22516, -5.87623, -5.5768, -4.18593, -1.77619, -0.662098, -3.42054, -5.21824, -5.52518, -4.79671, -3.05639, -0.971137, -2.3402, -5.02841, -3.81184
0.16, 0.0319375, -7.39642, -7.35498, -7.7905, -7.44258, -6.29512, -5.9454, -4.69469, -0.991271, 0.270971, -1.87736, -5.47208, -6.15183, -6.79611, -6.56709, -6.30142, -6.4091, -5.77701, -3.79432, -1.66125, -0.524574, -2.39132, -4.72431, -5.61985, -4.65689, -2.34391, -0.835845, -2.13883, -4.57045, -3.60782, -1.24485
0.18, 0.0319375, -7.76543, -7.17562, -7.55108, -7.13638, -5.90347, -4.20562, -1.23591, 0.357479, -1.03394, -4.00958, -6.23368, -6.14447, -6.89736, -6.59167, -5.93666, -4.88885, -3.4672, -0.968695, -0.669563, -2.60721, -4.52173, -4.68376, -4.02199, -1.3288, -0.92639, -2.77993, -4.0033, -1.9242, -1.0584, -2.24791
0.2, 0.0319375, -8.05905, -7.30859, -6.66333, -5.73213, -3.47206, -0.705171, 0.370092, -1.06355, -4.11493, -4.57985, -5.95657, -6.44332, -6.16541, -5.49586, -4.3446, -1.71762, -0.476641, -1.39625, -4.15217, -4.77702, -4.21325, -1.73389, -0.746341, -1.73976, -3.48747, -2.23049, -1.04164, -1.65069, -2.55193, -1.2775
0.22, 0.0319375, -7.00195, -6.74167, -5.54788, -3.31771, -0.344745, 0.374453, -1.48442, -4.03768, -4.85355, -4.30084, -5.72097, -5.06318, -4.57335, -2.36333, -0.632058, -0.742719, -2.84111, -4.39254, -4.40265, -1.83893, -0.787484, -1.41361, -3.11234, -2.20456, -1.05335, -1.51765, -2.34035, -1.2639, -1.45508, -1.8532
0.24, 0.0319375, -6.6489, -5.23337, -2.98535, -0.227498, 0.426106, -1.68803, -4.8147, -5.31955, -4.38089, -3.82102, -5.0876, -3.28952, -0.891453, -0.504429, -2.1445, -4.36106, -4.24036, -1.85441, -0.779574, -1.34979, -2.83147, -1.95578, -0.971147, -1.58381, -2.13686, -1.21684, -1.4232, -1.5979, -1.39173, -1.62293
0.26, 0.0319375, -6.09379, -3.82043, -1.13043, 0.503434, -0.825368, -3.69056, -4.88981, -4.16482, -4.24217, -3.56239, -3.9693, -0.753304, -0.621697, -2.66806, -4.25501, -5.13586, -1.77553, -0.73532, -2.08029, -3.8226, -1.68232, -1.09624, -2.50534, -1.8209, -1.13738, -2.41719, -1.2873, -1.77538, -1.55625, -1.73893
0.28, 0.0319375, -7.19268, -5.61864, -3.64831, -0.631102, 0.670286, -0.782566, -3.17377, -4.29766, -3.91921, -3.52165, -4.79787, -4.14591, -1.48029, -0.323289, -1.02893, -2.83928, -3.65729, -2.47328, -0.945381, -0.715956, -2.03844, -2.76889, -1.16182, -0.894353, -1.93814, -1.39052, -0.997007, -1.66975, -1.29293, -1.37098
0.3, 0.0319375, -6.84177, -6.43719, -5.9551, -3.81006, -0.77668, 0.721433, -0.343958, -3.15712, -3.49688, -4.12391, -5.17005, -6.24721, -4.63268, -2.96994, -0.945872, -0.140869, -1.24316, -2.84318, -3.53119, -2.64383, -0.835976, -0.621714, -1.871, -2.48667, -1.06061, -0.743343, -1.84518, -1.5068, -0.872216, -1.49137
0.32, 0.0319375, -8.05905, -7.28547, -7.07374, -5.61958, -4.18869, -1.26358, 0.649566, 0.139879, -2.53409, -4.07826, -5.37329, -6.02461, -5.0898, -5.20747, -4.41165, -2.11983, -0.413338, -0.177019, -2.17669, -4.13225, -3.70653, -2.29213, -0.62066, -0.542512, -2.23063, -3.01301, -1.03008, -0.623831, -1.96767, -1.63765
0.34, 0.0319375, -6.69738, -6.01154, -6.54764, -4.86739, -4.40049, -4.16069, -1.95196, 0.729398, 0.380488, -2.85684, -5.22783, -5.65088, -4.81451, -4.74528, -4.89485, -4.69624, -3.65901, -1.28871, 0.0710119, -0.913326, -3.7406, -4.32983, -3.8961, -1.82008, -0.291426, -0.90925, -3.33712, -2.49603, -0.77501, -0.71604
0.36, 0.0319375, -8.05905, -7.38218, -6.08793, -5.00819, -4.38605, -4.22053, -4.69066, -1.58801, 0.917925, 0.0454966, -3.88419, -4.88239, -4.13699, -4.38518, -4.65922, -5.08647, -4.41299, -3.8127, -2.66836, 0.0082385, -0.289443, -3.56149, -4.49307, -4.55592, -3.00077, -0.696706, -0.312342, -2.98168, -3.94297, -1.53784
0.38, 0.0319375, -6.76688, -6.54019, -6.14184, -3.66116, -3.7605, -3.87366, -3.99999, -3.97183, -0.46451, 1.04559, -1.32754, -4.43212, -4.21981, -4.974, -4.62794, -4.55068, -4.22333, -4.39352, -4.11903, -2.96212, 0.00800142, -0.489265, -4.53655, -4.64141, -4.23156, -3.66045, -0.835756, -0.28341, -3.7639, -4.08831
0.4, 0.0319375, -7.6583, -6.50892, -5.84341, -3.82069, -3.38859, -3.6998, -3.53282, -3.89523, -2.9159, 0.811675, 0.160512, -4.40194, -4.08641, -4.35126, -4.44836, -3.99589, -4.47804, -4.25999, -4.52807, -4.22843, -2.15633, 0.175812, -2.5167, -4.27928, -4.34642, -4.54032, -3.45139, -0.307064, -1.35244, -4.30026
0.42, 0.0319375, -6.32517, -6.78705, -6.63663, -3.99531, -3.74618, -4.04401, -3.39536, -3.36894, -3.62387, 0.601999, 0.416283, -4.49742, -4.54168, -4.60797, -4.05848, -4.48251, -4.8241, -4.08146, -3.86475, -4.07853, -3.55862, 0.0237796, -1.75587, -4.12117, -4.05787, -4.23935, -3.43321, -0.810273, -1.15483, -4.06961
0.44, 0.0319375, -8.05905, -7.39301, -7.21633, -3.8344, -3.40367, -3.58381, -2.99318, -3.89428, -2.11447, 1.05379, -0.00324525, -4.5776, -4.77562, -4.95354, -4.3523, -4.14677, -4.05126, -3.95969, -3.54527, -3.53299, -1.07469, 0.270134, -3.07066, -4.62415, -4.14773, -3.70846, -2.55037, -0.0446634, -1.80029, -4.06499
0.46, 0.0319375, -5.7016, -5.62727, -5.91075, -4.95835, -4.49591, -4.45691, -3.34897, -2.68752, 0.367404, 1.09424, -1.96421, -4.88831, -4.96816, -5.09069, -4.65012, -4.68894, -4.43452, -3.93261, -3.29007, -1.56571, 0.448339, -1.0148, -4.04875, -4.04268, -3.15895, -2.4625, -0.0656479, -0.519448, -3.48667, -2.84571
0.48, 0.0319375, -6.90489, -6.58849, -7.0449, -3.94542, -3.49229, -4.27052, -3.47187, -0.204795, 1.32943, -0.504634, -4.22543, -5.24515, -5.07484, -4.6877, -4.1142, -4.37085, -4.19176, -3.12406, -0.949276, 0.461615, -0.896407, -3.59138, -3.99161, -3.49104, -1.67179, 0.108372, -0.686789, -2.89494, -2.57217, -0.390355
0.5, 0.0319375, -6.60736, -6.10797, -5.90321, -4.5261, -3.63273, -2.97787, -0.263254, 1.31696, 0.0714623, -3.08435, -4.03953, -5.32493, -5.30528, -5.30225, -4.34006, -3.68853, -2.39143, 0.0689205, 0.372815, -1.71563, -3.7177, -3.76694, -2.63665, -0.368697, 0.0523846, -1.72739, -2.9076, -0.92534, -0.0971731, -1.16127
0.52, 0.0319375, -6.87008, -6.4948, -5.69878, -4.01829, -2.47447, 0.321956, 1.24767, -0.271331, -3.13187, -3.11441, -4.33082, -5.57778, -4.79095, -4.00605, -3.28932, -0.535112, 0.447373, -0.548478, -3.33203, -3.79549, -2.98797, -0.587833, 0.133814, -0.937395, -2.52741, -1.08902, -0.132442, -0.813302, -1.55589, -0.369658
0.54, 0.0319375, -6.63932, -5.60855, -4.53209, -2.05836, 0.744039, 1.17899, -0.901806, -3.59641, -3.60045, -2.82522, -3.91502, -4.97835, -3.66149, -0.899772, 0.41201, -0.103715, -2.25931, -3.30771, -3.11775, -0.622875, 0.0689383, -0.8795, -2.34907, -0.921447, -0.107376, -0.862482, -1.18586, -0.306534, -0.813778, -0.864661
0.56, 0.0319375, -6.42945, -4.05511, -1.71773, 0.856243, 1.13102, -1.27558, -4.05141, -4.05361, -2.91066, -2.67307, -3.05698, -1.60808, 0.290993, 0.227141, -1.67754, -3.64974, -3.00257, -0.640768, 0.0316819, -0.958562, -2.25656, -0.659004, -0.181235, -1.07999, -0.880672, -0.362542, -0.921579, -0.620716, -0.667785, -0.713558
0.58, 0.0319375, -5.52211, -4.09846, -1.28066, 1.06866, 0.9738, -1.63947, -3.9177, -3.31957, -3.62316, -3.0718, -3.39933, -1.08315, 0.461317, -0.016606, -1.91996, -3.45317, -2.5249, -0.192079, -0.0329384, -1.49882, -1.93659, -0.356677, -0.303735, -1.42275, -0.573015, -0.365695, -0.890748, -0.452901, -0.775051, -0.624355
0.6, 0.0319375, -6.17081, -5.38229, -4.11747, -1.43415, 1.05525, 1.14711, -1.18928, -3.33734, -3.37913, -2.60873, -3.44481, -4.82574, -3.03113, -0.327045, 0.540405, -0.331287, -2.3068, -2.91844, -2.02331, -0.222504, 0.126264, -1.16503, -1.95172, -0.445857, -0.0739534, -1.06959, -0.611875, -0.175343, -0.818782, -0.471169
0.62, 0.0319375, -6.35913, -6.36093, -6.13195, -4.21494, -1.88075, 0.782013, 1.4055, -0.329119, -2.47332, -3.15941, -3.41506, -5.30377, -4.42281, -4.16402, -2.59834, -0.0330058, 0.627855, -0.581976, -2.55816, -3.34077, -2.29251, -0.201311, 0.221188, -1.12514, -2.3049, -0.523357, 0.0772317, -0.794533, -0.907059, -0.121717
0.64, 0.0319375, -6.84026, -6.16852, -5.80629, -4.60899, -3.77096, -2.66693, 0.224012, 1.59722, 0.195948, -2.76098, -3.3494, -5.39325, -4.08681, -4.41592, -4.41995, -3.60322, -1.85398, 0.432924, 0.541685, -1.62004, -3.07951, -3.55794, -2.10634, 0.105484, 0.270025, -1.58876, -2.25073, -0.442697, 0.179595, -0.937655
0.66, 0.0319375, -7.37515, -6.40893, -6.38036, -4.08846, -4.18006, -4.00681, -3.32838, 0.149064, 1.70043, 0.00506677, -3.23173, -4.63124, -3.35141, -3.77018, -4.42233, -4.1878, -4.45493, -3.06724, -0.62508, 0.813076, -0.381174, -3.17553, -3.50167, -3.0976, -1.2937, 0.39226, -0.225074, -2.87082, -2.29805, -0.0980507
0.68, 0.0319375, -6.34445, -6.6189, -6.60059, -4.322, -4.10191, -3.80697, -3.2178, -2.86906, 0.651313, 1.62218, -0.985826, -4.27191, -4.23293, -3.66427, -3.89457, -4.16468, -4.0874, -4.13526, -2.82981, -1.22524, 0.81251, -0.140774, -3.26047, -3.76822, -3.54378, -2.4532, 0.207999, 0.194549, -2.85055, -3.07859
0.7, 0.0319375, -6.29739, -5.47973, -4.6768, -3.24884, -3.06543, -3.60794, -3.30582, -3.5269, -2.03529, 1.38884, 0.96128, -3.32076, -3.89699, -3.62685, -3.75318, -3.73665, -4.17073, -4.15244, -3.92634, -3.86041, -1.52185, 0.883239, -1.05701, -3.30544, -3.43429, -3.79073, -2.9529, 0.334254, -0.322445, -2.80412
0.72, 0.0319375, -6.37949, -4.90169, -4.71738, -3.87636, -3.02005, -3.47665, -3.2948, -3.26848, -2.95245, 0.742793, 1.42106, -3.12626, -4.06053, -3.963, -3.97871, -3.25903, -3.52285, -3.73131, -3.50467, -3.4889, -3.57244, 0.312773, -0.103887, -3.67407, -3.07546, -3.98078, -4.06444, -0.882672, 0.0495658, -2.96991
0.74, 0.0319375, -5.60404, -5.65763, -5.31193, -3.61462, -3.30366, -3.65579, -3.44675, -3.65639, -2.85477, 1.02206, 1.37749, -3.17572, -3.96536, -3.86778, -3.41777, -3.82471, -3.7476, -3.55925, -3.28086, -3.4188, -3.03175, 0.571729, -0.221018, -3.1709, -3.04757, -3.70763, -3.42513, -0.305798, 0.119172, -2.67335
0.76, 0.0319375, -5.78072, -5.86649, -6.67052, -4.26022, -3.61196, -3.38083, -3.87425, -3.02552, -0.878872, 1.74707, 0.575152, -3.71925, -3.73984, -3.7381, -4.02106, -3.84923, -3.81025, -3.9538, -3.43969, -3.2003, -0.0337076, 0.906996, -2.0554, -3.42029, -3.51764, -3.55777, -1.37468, 0.654912, -1.12476, -2.98974
