# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.41243, -1.11256, -0.434229, 0.235217, 1.01756, 0.926697, 1.13693, 0.081603, -1.04858, -1.83239, -1.02888, -1.55065, -0.980063, -1.0862, -1.30803, -1.44545, -1.66693, -2.05754, -1.76899, -1.97265, -2.39853, -2.19646, -2.37165, -2.89959, -2.66316, -2.68673, -2.61453, -2.54272, -2.9043, -2.76585
0.02, 0.0319375, -2.26684, -0.976682, -1.70934, 0.0415039, 0.731065, -0.110055, 0.653258, 0.34805, -1.44529, -1.04609, -1.4903, -1.67236, -1.60478, -0.708704, -1.07635, -1.24026, -1.17826, -1.93606, -1.83878, -1.61872, -1.91861, -2.08552, -2.15773, -2.70551, -2.59698, -2.49808, -2.19474, -2.20415, -2.6236, -2.68102
0.04, 0.0319375, -1.33645, -0.517261, -0.953304, -0.668717, 0.438208, 1.22159, 0.892661, 0.129726, -0.693217, -0.65409, -0.860874, -1.3521, -1.13071, -1.0554, -1.32031, -0.700315, -1.12135, -2.06839, -2.05644, -2.20646, -2.0565, -1.92073, -2.08769, -2.49274, -2.47084, -2.57111, -2.79545, -2.45331, -2.62194, -2.89324
0.06, 0.0319375, -1.7195, -0.471387, -0.737814, -0.4925, 0.224573, 0.907692, 1.1402, 0.182888, -1.05326, -0.78182, -1.31156, -1.47924, -0.688834, -0.766487, -0.972069, -1.04609, -1.28566, -1.5942, -1.76605, -1.8932, -2.05547, -2.04219, -2.03766, -2.34101, -2.20557, -2.83712, -2.53025, -2.81582, -2.8288, -2.91512
0.08, 0.0319375, -1.10764, -0.916076, -0.776732, -0.302471, 1.15428, 1.03776, 1.03181, 0.300499, -0.830642, -1.04796, -0.744938, -1.05409, -1.49558, -0.91785, -1.12937, -1.21802, -1.25136, -1.55359, -1.7693, -2.05575, -1.96055, -1.99515, -2.24059, -2.71586, -2.8347, -2.85582, -2.72596, -2.72843, -2.88225, -3.03062
0.1, 0.0319375, -0.730034, -0.543879, -1.46212, -1.13191, 0.426932, 2.08117, 1.89814, 0.498483, -0.690069, -0.301164, -1.2655, -0.973837, -0.826428, -1.26, -1.13514, -1.19369, -1.1948, -1.41378, -2.12962, -1.68584, -2.06284, -2.1871, -2.46671, -2.72731, -2.76743, -2.70045, -2.5475, -2.61987, -2.78185, -2.89745
0.12, 0.0319375, -1.14577, -0.667386, -0.733245, -0.963256, -0.00290655, 1.21277, 1.83189, 0.542057, -0.967716, -0.855574, -0.687993, -0.259118, -0.444219, -0.495718, -1.06004, -0.689649, -1.28662, -1.70706, -1.73412, -1.87808, -2.00533, -2.00791, -2.4057, -2.30862, -2.31324, -2.77423, -2.78803, -2.96012, -3.02725, -2.90381
0.14, 0.0319375, -2.25454, -0.560676, -0.877151, -0.528715, 0.695682, 1.47003, 1.19696, 0.710622, -0.868188, -0.291306, -1.31042, -1.25107, -0.919305, -0.749356, -0.983597, -0.966208, -1.06714, -1.14475, -1.50027, -1.56407, -1.90762, -2.19318, -2.55504, -2.51317, -2.33784, -2.81671, -2.60762, -2.99791, -3.11052, -2.91783
0.16, 0.0319375, -1.53027, -0.633113, -0.766125, -0.909261, 0.407114, 1.84905, 2.2354, 0.582609, -1.17608, -0.616819, -1.09027, -1.21116, -1.32034, -1.1156, -1.14112, -0.881343, -1.19701, -1.28695, -1.80858, -1.74136, -1.8484, -2.2555, -2.02599, -2.23099, -2.59124, -2.43089, -2.75511, -2.81398, -2.92155, -2.84261
0.18, 0.0319375, -1.82357, -0.667982, -0.455431, -0.899875, 0.480572, 1.21643, 1.53031, 0.591235, -0.699092, -0.97156, -0.657021, -1.08059, -0.190138, -0.923869, -2.0136, -1.75129, -1.36079, -1.60372, -1.73693, -1.59829, -1.5522, -2.04349, -2.19572, -2.2846, -2.41981, -2.70073, -2.5667, -3.01441, -3.02798, -2.93309
0.2, 0.0319375, -1.16048, -0.304999, -0.132391, -0.60739, 0.204807, 1.01354, 1.3476, 1.02364, -0.306757, -0.830594, -1.61724, -1.17057, -1.37734, -0.756192, -1.24966, -1.25964, -1.27807, -1.72723, -2.01618, -1.84723, -1.93333, -1.71186, -2.22994, -2.44085, -2.4992, -2.76221, -2.3928, -2.80224, -3.00023, -2.94803
0.22, 0.0319375, -1.90639, -0.862416, -0.567448, -0.504383, 0.330724, 1.32823, 1.58277, 0.944257, -0.319176, -1.11841, -1.17408, -0.660254, -0.439796, -0.824394, -0.697561, -1.20961, -1.31658, -1.42038, -1.89657, -1.88077, -1.72254, -2.10673, -2.67368, -2.26305, -2.26504, -2.56581, -2.51215, -2.35355, -2.68325, -2.84842
0.24, 0.0319375, -1.0568, -0.322137, -0.369944, -0.0911122, 0.976404, 0.816528, 1.6126, 0.588213, -0.423909, -0.812343, -0.907268, -1.18115, -0.376242, -0.523539, -0.663078, -1.04603, -1.62685, -1.4673, -1.40586, -1.80053, -1.72856, -1.73548, -2.04312, -2.65253, -2.47913, -2.70176, -2.74, -2.34642, -2.97273, -2.93368
0.26, 0.0319375, -0.758514, 0.292987, -0.474172, -0.254638, 0.0205685, 1.3218, 2.02549, 1.00656, -0.522409, -1.08723, -1.08532, -1.16082, -1.51441, -0.901654, -1.1302, -1.14305, -0.955094, -1.42649, -1.66291, -1.9483, -1.88105, -2.09682, -2.31636, -2.63523, -2.23531, -2.45549, -2.73032, -2.5473, -2.75393, -2.99681
