# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.10705, -4.46532, -4.46839, -3.55439, -3.81027, -4.82813, -5.07229, -5.61842, -5.277, -5.25565, -5.52217, -5.23047, -4.66115, -4.51237, -4.58121, -5.502, -5.01773, -4.10865, -3.87275, -4.64195, -5.08812, -4.59252, -5.21288, -5.63941, -5.28863, -5.52947, -5.58143, -5.6803, -5.62091, -5.49403
0.02, 0.0319375, -2.96032, -3.68741, -3.88376, -3.74441, -4.51603, -3.47165, -4.41823, -4.39192, -4.36949, -3.68657, -5.06324, -4.49266, -4.29276, -3.92647, -3.90066, -4.41786, -4.68483, -4.55846, -3.9838, -4.39489, -4.87704, -4.67663, -4.53168, -5.11442, -5.18931, -5.48351, -5.63361, -5.60072, -5.43513, -5.4832
0.04, 0.0319375, -2.76393, -2.86679, -2.62908, -2.07557, -2.54666, -2.68278, -3.33841, -3.63294, -3.4732, -3.21394, -3.38888, -3.56435, -3.75166, -4.00776, -3.62331, -3.90704, -4.75117, -4.23129, -3.15342, -3.9233, -4.57538, -4.58996, -4.47253, -4.66075, -4.7813, -4.97675, -5.29291, -5.21983, -5.05642, -4.82797
0.06, 0.0319375, -2.26102, -2.12411, -2.57792, -1.81291, -1.80611, -1.79129, -2.55576, -2.68678, -2.16609, -2.47933, -3.04054, -3.55801, -4.06571, -3.60033, -3.78481, -4.0991, -4.15938, -3.99061, -3.13415, -3.62161, -3.93503, -3.86708, -3.95122, -4.22249, -4.37736, -4.72572, -4.88181, -4.96686, -4.36974, -3.81138
0.08, 0.0319375, -2.57093, -1.9252, -2.41753, -1.51218, -1.54764, -1.00938, -2.27074, -2.65352, -1.41154, -1.66354, -1.97031, -2.21553, -3.08639, -3.23669, -3.2462, -3.62035, -4.21684, -3.24424, -2.93929, -3.4352, -3.93748, -3.96503, -4.05286, -4.15212, -4.26526, -4.2974, -4.43708, -4.22678, -3.79387, -3.81106
0.1, 0.0319375, -2.29516, -1.66638, -1.91392, -1.43912, -1.57607, -0.770127, -1.83447, -3.23497, -1.98657, -1.91257, -1.65128, -1.59915, -2.4913, -3.56892, -3.51155, -3.68755, -4.06902, -3.59122, -3.52602, -3.70859, -3.91754, -3.7871, -3.64609, -3.79454, -4.06048, -4.51061, -4.54173, -4.40307, -4.11688, -3.4185
0.12, 0.0319375, -1.63852, -1.40368, -1.62784, -0.745107, -0.675173, -0.564888, -0.965863, -2.04187, -1.73589, -2.17144, -1.86051, -2.12085, -1.69672, -1.88781, -3.05422, -3.17993, -3.21425, -2.8311, -3.09577, -3.20789, -3.11793, -3.11458, -3.29904, -3.55327, -4.11934, -4.08493, -4.19101, -4.4372, -4.32533, -4.09884
0.14, 0.0319375, -2.14023, -1.49715, -1.43425, -1.25145, -0.324801, -1.78531, -1.44544, -2.50194, -2.02504, -1.92381, -2.21981, -3.2781, -2.15149, -1.72401, -2.24977, -2.45404, -2.62418, -2.72254, -2.96141, -2.74361, -3.03187, -3.20868, -2.6085, -3.04477, -3.07344, -3.37259, -3.71945, -3.9194, -3.4287, -2.67054
0.16, 0.0319375, -2.20107, -0.997524, -1.17087, -1.73136, -0.914331, -2.26799, -2.02861, -2.07109, -2.63091, -2.7154, -2.88244, -2.7416, -2.21919, -2.77981, -2.70774, -2.65279, -2.68953, -2.46156, -2.68248, -2.77691, -2.92543, -3.29606, -3.12264, -2.86563, -3.24636, -3.62718, -3.93793, -4.01094, -3.46004, -2.84313
0.18, 0.0319375, -2.12366, -1.22556, -0.521228, -1.52048, -0.264262, -1.21087, -2.31804, -2.08912, -1.85971, -2.33059, -2.3989, -2.35165, -1.59951, -1.88222, -2.30587, -2.54461, -2.60248, -2.57709, -2.41737, -2.56763, -2.25063, -2.67873, -2.44166, -2.69655, -3.25353, -3.14319, -4.11888, -3.87703, -3.61987, -3.46325
