# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.40904, -8.05905, -8.05905, -7.52213, -7.12731, -7.59, -7.3202, -6.56099, -6.58234, -7.32858, -7.22812, -6.86004, -7.1313, -7.53155, -6.97665, -7.04285, -6.71356, -6.99576, -6.7882, -6.16271, -6.32258, -6.33799, -6.48578, -6.32538, -6.37425, -6.61784, -6.06396, -6.12198, -5.7194, -5.8486
0.02, 0.0319375, -8.05905, -7.74258, -7.12929, -7.38862, -7.38188, -7.18717, -7.27065, -6.85585, -6.89193, -7.0243, -6.90437, -6.38486, -7.11054, -7.36897, -7.2018, -6.99614, -6.49282, -6.43199, -6.49478, -6.36947, -6.38781, -6.26392, -6.46827, -6.05603, -6.10668, -6.07016, -6.13291, -5.79692, -5.98741, -5.67479
0.04, 0.0319375, -7.42682, -7.4507, -7.89735, -7.28222, -7.53335, -7.33641, -6.60795, -7.30639, -7.1324, -7.17248, -7.18296, -6.67711, -6.9299, -6.98534, -6.29249, -7.00827, -7.17122, -6.60929, -6.22845, -6.32982, -6.17254, -6.02129, -6.13719, -6.14878, -6.07684, -5.97441, -5.82918, -6.13223, -5.78525, -5.81998
0.06, 0.0319375, -7.80974, -7.65506, -7.25211, -7.60187, -7.65165, -7.76395, -7.13709, -6.91947, -6.84366, -7.07987, -6.86757, -6.60098, -7.00726, -6.96082, -6.48608, -6.91612, -6.75954, -6.23879, -6.33637, -6.56036, -6.13668, -6.11338, -5.99377, -5.79675, -5.93215, -6.11591, -6.19147, -5.68147, -5.71098, -5.54903
0.08, 0.0319375, -7.19592, -7.23285, -7.48121, -7.36642, -7.40534, -7.61901, -7.05923, -7.06289, -7.44819, -7.42256, -8.05905, -7.40377, -6.69806, -6.84045, -6.7968, -6.99195, -7.0091, -6.83916, -6.96841, -6.57622, -6.53929, -6.33208, -6.34637, -6.37158, -5.9965, -5.87652, -6.1835, -5.97163, -5.85352, -5.97779
0.1, 0.0319375, -7.71135, -7.57453, -7.34359, -7.02383, -7.30742, -7.42389, -7.22844, -6.72321, -6.7667, -7.20813, -6.83672, -6.7188, -7.0695, -7.07265, -6.99526, -7.35147, -6.73541, -6.55117, -6.90716, -6.52155, -6.44199, -6.14503, -5.88356, -6.01664, -5.97686, -5.87229, -5.98418, -5.88724, -5.623, -5.68331
0.12, 0.0319375, -7.52295, -7.15228, -7.17825, -7.64134, -8.05905, -7.42772, -6.76688, -7.41055, -7.86866, -6.70003, -7.09022, -7.01169, -6.94551, -7.05147, -6.79346, -6.99544, -6.90114, -6.80525, -6.65633, -6.23513, -6.74545, -6.30455, -6.07994, -6.20726, -6.14969, -6.0887, -5.79288, -5.96823, -6.05006, -5.80314
0.14, 0.0319375, -7.29452, -7.60934, -7.13009, -7.80993, -7.54068, -7.39876, -6.76788, -7.54765, -7.30151, -7.46737, -7.42318, -6.87821, -6.53897, -6.37773, -6.48713, -7.04835, -6.5118, -6.33365, -6.7271, -6.23124, -6.58917, -6.41995, -6.30414, -6.26461, -6.04634, -6.04602, -6.07864, -5.90274, -5.80594, -5.67976
0.16, 0.0319375, -2.40245, -2.73723, -3.29167, -4.38693, -3.15976, -3.36443, -3.58206, -3.43341, -4.2598, -4.41153, -4.53448, -4.92455, -4.41301, -4.30783, -4.45798, -5.23524, -5.31838, -5.47116, -5.70864, -5.95631, -6.26011, -5.9364, -5.64525, -5.79624, -5.72531, -5.91657, -5.94343, -5.64877, -5.62932, -5.46211
0.18, 0.0319375, -1.80557, -2.31383, -2.50653, -1.97674, -1.72592, -1.61157, -1.75523, -1.90069, -2.25712, -2.26342, -2.05311, -2.18357, -2.02051, -2.58048, -2.84422, -2.89387, -3.53414, -4.04433, -3.70187, -4.55073, -4.47793, -4.04596, -3.90713, -4.33686, -3.82737, -4.06033, -4.1441, -4.11263, -4.49357, -4.78645
0.2, 0.0319375, -1.84626, -2.1224, -2.47107, -1.84749, -1.66872, -1.42513, -1.51222, -1.26543, -2.00405, -1.71529, -1.95563, -1.71488, -2.46053, -2.76716, -2.93197, -2.70646, -3.23501, -3.74068, -3.41268, -4.05887, -4.48596, -3.96379, -3.73159, -4.23751, -4.16202, -4.38135, -4.28173, -4.21148, -4.43748, -4.90809
0.22, 0.0319375, -1.04333, -2.28059, -2.7158, -2.72326, -1.65485, -1.46514, -2.03991, -1.08644, -1.49873, -1.51624, -2.13182, -1.4623, -1.86527, -2.85999, -3.01123, -2.45001, -2.85934, -2.81917, -3.70144, -3.65791, -3.95906, -3.91031, -3.70754, -3.16644, -3.55176, -3.7871, -3.89267, -3.59019, -4.11968, -4.39608
0.24, 0.0319375, -1.22846, -2.22818, -2.10929, -1.7228, -0.787273, -0.599926, -0.849439, -1.30577, -1.71309, -1.36783, -1.40158, -1.63223, -1.7278, -1.53044, -2.05233, -2.06858, -3.00356, -3.1822, -2.92014, -3.2639, -3.87482, -3.53359, -3.41097, -3.33455, -3.17794, -3.71725, -3.16306, -3.35848, -3.47084, -3.80298
0.26, 0.0319375, -0.912385, -0.723058, -1.455, -1.34088, -0.89804, -0.24453, -0.173339, -0.425613, -1.16615, -0.732898, -1.44305, -0.994012, -1.02335, -1.59635, -2.54259, -2.56749, -2.45058, -2.64446, -3.41534, -3.32649, -3.72858, -3.37026, -3.13733, -2.90058, -3.08823, -3.27574, -3.30163, -3.17583, -3.46094, -3.717
0.28, 0.0319375, -1.07928, -1.22063, -1.79916, -1.83101, -0.940423, 0.0544369, -0.693672, 0.0201261, -0.385271, -0.66939, -0.858081, -1.24378, -1.2586, -1.54414, -1.86966, -1.96015, -2.46402, -2.77005, -2.88821, -3.83669, -3.53945, -3.02255, -3.16388, -2.76117, -2.56526, -3.13395, -3.66731, -3.35401, -3.37683, -3.88199
0.3, 0.0319375, -0.98539, -1.09986, -1.01561, -0.868869, -0.399937, -0.148228, -0.88921, -0.517239, -1.21548, -0.947478, -0.619454, -0.448676, -0.650585, -0.963012, -1.57611, -1.73713, -2.00994, -2.7814, -2.74956, -2.82207, -3.13228, -2.68173, -2.40114, -2.45559, -2.52058, -2.9635, -3.2412, -3.15634, -3.18218, -3.65294
0.32, 0.0319375, 0.232714, -0.95247, -1.20911, -0.967262, -0.338794, 0.189598, -0.212745, -0.278703, -0.469277, -0.488296, -0.147224, -0.105758, -0.455687, -0.94936, -1.38487, -1.63668, -1.63823, -2.09512, -2.41544, -2.54101, -2.9791, -2.4038, -2.07776, -1.86911, -1.9614, -2.51055, -2.67812, -2.58592, -2.6355, -3.5023
0.34, 0.0319375, -0.61508, -0.920645, -0.904194, -0.695664, 0.00648383, 0.528864, 1.27843, 0.344295, -0.471978, -0.509913, 0.00338779, -0.0946098, -0.487431, -1.11568, -1.47335, -1.95786, -1.76467, -1.94138, -2.28957, -2.5643, -3.22725, -2.04242, -1.80599, -2.06993, -1.91874, -2.21344, -2.35509, -2.66641, -2.69378, -3.10778
0.36, 0.0319375, -0.525, -0.999072, -1.36191, -1.17321, -0.414377, 0.0555323, 0.235634, 0.443603, 0.365426, -0.0295104, -0.0409011, -0.127262, -0.130992, -0.770423, -1.1954, -1.14748, -1.58626, -1.53511, -2.17505, -2.21464, -2.50412, -1.95984, -1.99007, -1.44976, -1.52364, -1.91146, -2.13651, -2.46603, -2.59258, -2.90166
