# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.64359, -1.42452, -1.10412, -2.65034, -0.996588, -1.01458, -1.23466, -0.764529, -0.485393, -0.311382, -0.860335, -0.805745, -0.572174, 0.52048, 0.715535, 0.772689, 0.82191, 0.352017, -0.630106, -0.722139, -1.77039, -1.50465, -1.33009, -1.28495, -0.142913, 1.1755, 1.37676, 0.771968, 0.167887, -0.761978
0.02, 0.0319375, -1.38047, -1.34964, -1.18671, -2.48098, -1.22486, -1.45503, -1.38894, -0.97754, -0.456044, -0.93767, -0.664433, -0.329703, -0.500472, -0.0716727, 0.675363, 0.421052, 0.298276, 0.173034, -0.892135, -1.38388, -1.90515, -1.67238, -1.40616, -0.982979, 0.364978, 1.15505, 1.0421, 0.119948, -0.072682, -0.482605
0.04, 0.0319375, -2.58159, -2.02612, -1.63127, -2.12869, -1.03685, -0.91221, -1.1502, -0.900735, -0.738037, -0.595924, -1.07198, -0.582975, 0.0240196, 0.822524, 1.22685, 0.688508, 0.39609, 0.501268, -1.00789, -1.90988, -2.0379, -1.77682, -1.33585, -0.878121, 0.363478, 0.809366, 1.17021, 0.599329, 0.0192853, -0.95115
0.06, 0.0319375, -1.52556, -1.08331, -1.39762, -1.70243, -1.16141, -1.08967, -1.47797, -1.46372, -1.01482, -0.414441, -0.502961, -0.586395, -0.166035, 0.580638, 1.25464, 0.466218, 0.544772, 0.127667, -1.08726, -1.12163, -2.09669, -2.07418, -1.73139, -1.16483, 0.441082, 0.750535, 0.359623, -0.15094, -0.485452, -1.55738
0.08, 0.0319375, -1.86623, -1.86641, -1.58744, -2.63394, -1.5369, -1.72425, -1.72606, -1.74734, -1.73541, -1.3127, -1.55258, 0.0431651, -0.416419, 0.566675, 1.25435, 1.19816, 0.73509, 0.0544492, -1.11523, -0.855476, -1.89302, -2.27518, -1.69786, -0.926689, 0.216928, 0.571735, 0.242356, -0.56792, -0.971642, -1.52054
0.1, 0.0319375, -1.99305, -1.6173, -1.61366, -1.98682, -1.60142, -1.37901, -1.26677, -1.30429, -1.98748, -0.720991, -0.855527, -0.620836, -0.49067, 0.817299, 1.36614, 1.58933, 0.550042, 0.0303333, -1.28894, -1.62402, -2.14189, -1.95948, -1.48223, -1.39676, 0.11773, 0.757608, 0.283561, -0.357593, -1.02694, -1.80046
0.12, 0.0319375, -0.981741, -0.65416, -0.717349, -1.57969, -0.943744, -0.931497, -1.29177, -0.99801, -0.711564, -0.900222, -1.21914, 0.0394686, -0.239709, 0.215756, 1.2148, 1.75718, 1.09792, -0.082893, -1.29996, -1.4579, -2.0377, -2.00068, -1.84102, -1.45667, -0.131886, 0.414321, 0.231397, -0.163122, -1.1499, -1.89066
0.14, 0.0319375, -1.48071, -1.3334, -1.21226, -1.54349, -0.860521, -0.991749, -1.36456, -1.25384, -1.13016, -1.61055, -1.27015, -0.601758, -0.613253, -0.22943, 0.822621, 1.17938, 1.00791, 0.528553, -1.05462, -1.41635, -1.83169, -1.87454, -1.59688, -1.60482, -0.11483, 0.451704, 0.25485, -1.06316, -1.17118, -2.12998
0.16, 0.0319375, -1.47143, -1.3851, -1.77437, -2.28462, -1.20483, -1.29764, -1.76579, -1.71734, -1.90468, -1.33694, -1.72495, -1.15474, -0.565151, 0.300019, 0.779335, 0.612154, 1.01564, 0.210359, -1.65522, -1.65629, -2.18449, -2.34026, -1.98044, -1.68728, -0.255239, 0.330419, 0.0399045, -1.1158, -1.47448, -2.26561
0.18, 0.0319375, -1.64233, -1.32025, -1.17534, -1.69102, -1.45417, -1.72411, -2.02576, -1.7739, -1.3857, -1.15738, -1.45339, -0.565202, -0.598186, -0.215743, 0.755856, 0.504803, 0.673434, 0.410659, -1.50431, -1.30306, -1.59382, -1.93554, -1.79398, -1.65641, -0.543472, 0.0880197, -0.312727, -1.20627, -1.26707, -2.30504
