# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.85308, -1.7662, -1.94946, -1.52553, -1.82074, -1.61981, -1.3892, -1.85459, -1.78706, -2.17551, -2.46227, -2.40995, -2.01947, -2.08237, -1.52058, -2.07922, -2.55968, -2.30368, -2.69431, -3.29343, -3.14247, -3.06032, -3.17519, -3.02576, -3.49637, -3.37811, -3.76049, -3.7712, -3.94516, -3.85077
0.02, 0.0319375, -1.51608, -1.48865, -1.40227, -1.33721, -0.821312, -0.84334, -1.45439, -0.76564, -0.289077, -0.833142, -1.28725, -1.38715, -1.79705, -1.45634, -0.547135, -1.06928, -1.51843, -1.71359, -2.22859, -2.25066, -2.35337, -2.35436, -2.25075, -2.74366, -2.62719, -2.66062, -3.12806, -3.29183, -3.12565, -3.54147
0.04, 0.0319375, -0.947803, -1.49079, -1.14422, -0.522393, -0.191575, -0.451789, -1.13449, -0.963891, -0.312724, -0.554381, -1.43083, -1.13774, -1.09872, -1.05769, -0.349572, -0.734035, -1.33775, -0.78976, -1.46104, -1.58983, -1.99901, -1.54504, -1.42846, -1.61638, -1.96226, -2.14634, -2.43576, -2.48814, -2.33277, -3.11182
0.06, 0.0319375, -1.16702, -0.485582, -0.722507, -0.657138, -1.07109, 0.0212983, -0.421789, 0.0402213, 0.4991, -0.445045, -0.691431, -0.767805, -1.43701, -1.14058, -0.557402, -1.03146, -1.56062, -0.857405, -1.49609, -1.46578, -1.38865, -1.54635, -1.58342, -1.31943, -1.50105, -1.6522, -2.10323, -2.15354, -2.17313, -2.6521
0.08, 0.0319375, 0.0327517, -0.616613, -0.571717, -0.456886, 0.353415, 0.243043, -0.281789, -0.233595, 0.276216, -0.0829612, -0.40927, -0.871105, -0.914246, -0.452207, 0.162583, -0.291237, -0.900178, -0.588673, -1.22883, -1.17317, -1.28777, -1.11408, -0.747529, -0.893019, -1.71239, -1.82056, -2.10944, -2.04221, -2.08312, -2.44061
0.1, 0.0319375, -0.307523, -0.204547, -0.451797, -0.89925, 0.11235, -0.106275, -0.339495, -0.0623917, 0.18631, -0.137537, -0.689263, -0.667588, -0.525101, -0.144009, 0.0288305, -0.295199, -0.98964, -0.555829, -0.727067, -1.38923, -1.24949, -0.840456, -0.762432, -0.64354, -1.29753, -1.23015, -1.73419, -1.72849, -1.73698, -2.21246
0.12, 0.0319375, -0.173192, 0.0788929, -0.0710439, -0.402309, 0.15739, 0.0817206, 0.153741, -0.154202, 0.4931, -0.058387, -1.04774, -0.633647, -0.609593, -0.267158, 0.102852, -0.481496, -0.664947, -0.748863, -1.12401, -0.745483, -0.80874, -0.554551, -0.93335, -0.871917, -1.18642, -1.27231, -1.55265, -1.64454, -1.51459, -2.11335
0.14, 0.0319375, 0.675612, 0.24137, -0.145877, -0.936008, 0.509601, -0.130199, 0.187995, 0.388474, 0.278931, 0.150885, 0.238812, 0.52605, -0.0320473, 0.343763, 0.78923, 0.0267022, -0.422069, -0.412852, -0.730912, -0.743688, -1.06109, -0.948257, -0.693004, -0.940526, -1.18179, -1.24849, -1.50968, -1.78114, -1.6412, -1.63685
0.16, 0.0319375, 0.235571, 0.361524, -0.0414615, 0.151109, 1.07198, 1.21531, 0.20781, 0.4267, 0.0651953, -0.110765, -0.568514, -0.686193, 0.0963199, 0.757118, 0.95941, 0.222633, -0.0937952, -0.336785, -0.760023, -0.359555, -0.770451, -0.579216, -0.616225, -0.795873, -1.25088, -1.09753, -1.85145, -1.6814, -1.49704, -1.86503
0.18, 0.0319375, 0.973874, 0.553536, 0.18947, 0.104642, 1.19401, 0.433705, 0.123119, 0.198494, 0.715217, 0.154599, -0.0989289, -0.421516, -0.132292, 0.249493, 0.165541, 0.0914152, -0.278705, -0.778339, -0.501501, -0.55015, -0.958518, -0.57645, -0.542057, -0.825938, -1.10935, -1.05411, -1.59149, -1.85121, -1.92533, -1.73494
