# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.796177, 0.534647, 1.0699, 0.835802, 0.784578, 0.640861, 0.711981, 1.25317, 0.658768, 0.461213, 0.0493296, 0.349952, 0.816963, 0.339519, -0.0721096, -0.176718, -0.523317, -0.1678, 0.11632, -0.635382, -0.860224, -0.750882, -0.639386, -0.805927, -0.53498, -0.639538, -1.15864, -1.39198, -1.22302, -1.42785
0.02, 0.0319375, 0.418359, 0.761453, 0.857214, 0.192738, -0.228333, 0.646835, 0.628995, 1.13374, 0.630768, 0.158836, 0.385449, 0.457007, 0.667375, 0.614875, 0.146935, 0.0551223, -0.263591, -0.318015, -0.363089, -0.181555, -0.31787, -0.778525, -0.927864, -0.972022, -0.494811, -0.658821, -1.17164, -1.37581, -1.60805, -1.37024
0.04, 0.0319375, 1.58345, 1.28584, 1.05672, 0.921674, 0.883944, 0.41035, 0.681778, 1.31957, 0.790674, 0.321423, 0.327316, 0.47392, 0.882258, 0.562914, -0.154935, -0.457493, -0.561157, -0.255947, -0.395145, -0.214478, -0.235414, -0.434794, -0.885818, -0.745342, -0.631347, -0.846712, -1.39002, -1.32054, -1.38917, -1.075
0.06, 0.0319375, 0.94311, 1.29146, 0.870554, 0.398668, 0.609491, 0.803724, 0.528953, 1.18603, 1.19311, -0.27191, 0.0750543, 0.18411, 0.763645, 0.464232, -0.230553, -0.459314, -0.544252, -0.0459228, -0.103536, -0.24829, -0.557814, -0.695743, -0.783412, -0.597523, -0.69154, -0.942807, -1.21791, -1.17796, -1.36716, -1.40718
0.08, 0.0319375, 0.570118, 0.527368, 0.261458, -0.137678, -0.112554, 0.632176, 0.511003, 0.324518, -0.020962, -0.132926, -0.60252, -0.085888, 0.153981, 0.256714, 0.020349, -0.418361, -0.172401, -0.421475, -0.25829, -0.32224, -0.333899, -0.728239, -0.668182, -0.944052, -0.990913, -0.852963, -1.08587, -0.899654, -1.18187, -1.2396
0.1, 0.0319375, 0.681089, 0.33901, 1.47077, 1.06935, 0.958558, 0.87268, 0.357742, 0.621194, 0.751015, 0.406194, 0.34915, 0.0915565, 0.606622, 0.700415, 0.337721, 0.043784, 0.162916, 0.454374, 0.397545, -0.0456894, -0.391766, -0.579498, -0.503893, -0.63206, -0.521784, -0.730204, -0.571609, -0.703065, -1.1162, -1.02371
0.12, 0.0319375, 0.891725, 0.276429, 0.814918, 0.691546, 0.66532, 0.052856, 0.108703, 0.969644, 0.838031, 0.141592, 0.556663, 0.325853, 0.568069, 0.11796, 0.353563, 0.14755, 0.28578, -0.124653, -0.172144, -0.33421, -0.0432457, -0.434141, -0.580827, -0.679133, -0.781942, -0.796959, -0.876689, -1.04041, -1.37125, -1.06711
0.14, 0.0319375, 0.921312, 0.154939, 0.649847, 0.761505, 1.02256, 0.538611, 0.53254, 0.833171, 0.679524, 0.0124901, -0.144118, 0.229361, 0.571663, 0.247921, -0.0378878, -0.0381521, 0.165326, -0.196908, 0.0417491, -0.560838, -0.619601, -0.410235, -0.76908, -0.897507, -1.17949, -0.664544, -1.01153, -0.980098, -1.08955, -1.36462
0.16, 0.0319375, 0.774706, 0.722652, 0.679655, 0.672035, 0.644708, 0.164234, 0.157269, 0.323268, 0.273115, 0.352446, 0.311766, 0.233348, 0.337777, 0.899566, -0.0982321, -0.191501, -0.302665, 0.238145, 0.0718403, -0.544136, -0.5335, -0.743515, -0.4457, -0.493622, -0.546595, -0.93718, -0.903346, -0.982758, -1.25192, -1.37733
0.18, 0.0319375, 0.472499, 0.541802, 0.993867, 0.773256, 0.303981, 0.693085, 0.248365, 0.691759, 0.492216, 0.543406, 0.577223, 0.492636, 0.280809, 0.126385, -0.197511, -0.0803398, -0.429816, -0.239074, 0.0192677, -0.340198, -0.66556, -0.897863, -0.981425, -0.754082, -0.695748, -1.04406, -1.10169, -1.27338, -1.34482, -1.41596
0.2, 0.0319375, -0.367417, 0.483324, 0.558377, 0.853276, 0.668513, 0.837406, 0.554076, 0.941306, 0.683577, 0.0697994, -0.189685, 0.0517064, 0.370516, 0.214686, 0.0938687, -0.1672, -0.324596, 0.273799, -0.0278879, -0.52764, -0.477259, -0.358947, -0.679629, -0.617508, -0.643461, -1.00307, -0.941627, -1.06681, -1.42708, -1.35982
0.22, 0.0319375, 1.36249, 0.964125, 0.813011, 0.778338, 0.855021, 0.519787, 0.573799, 0.451312, 0.693324, 0.372287, 0.681192, 0.632321, 0.0726494, -0.289042, -0.579245, -0.194399, -0.718711, -0.33403, -0.27821, 0.0602829, -0.47242, -0.456597, -0.463384, -0.555774, -0.679516, -0.69587, -1.07932, -1.22431, -1.2075, -1.07655
0.24, 0.0319375, 0.310943, 1.05773, 0.614682, 1.091, 0.667351, 0.763141, 0.493629, 0.898251, 0.472037, 0.182753, 0.235012, 0.39516, 0.341639, 0.345537, 0.283779, 0.0229079, -0.193677, -0.268913, -0.449249, -0.311493, -0.754163, -0.775543, -0.75538, -0.667318, -0.566439, -0.527332, -0.803543, -0.756993, -1.00225, -1.15107
0.26, 0.0319375, 0.607264, 0.329359, 0.332961, 0.465626, -0.310476, 0.542821, 0.738262, 0.194841, 0.0562154, -0.457326, 0.443274, 0.291227, 0.0239376, 0.183587, 0.552436, 0.201913, -0.300555, -0.0703841, -0.0102978, -0.382349, 0.0765139, -0.553111, -0.659182, -1.03794, -0.864252, -0.779014, -1.02505, -0.927026, -1.32558, -1.52873
0.28, 0.0319375, 0.100124, 0.759654, 0.970544, 0.199717, -0.236111, 0.291709, 0.751968, 0.63421, 0.276588, -0.667572, -0.0841978, 0.23475, 0.34432, 0.174766, 0.168755, -0.363585, 0.0486599, 0.19875, -0.270769, -0.0709328, -0.540712, -0.494292, -0.769523, -0.665029, -0.777274, -0.112013, -0.14068, -0.33332, -0.791443, -0.726108
0.3, 0.0319375, 0.76077, 1.02077, 1.04111, 0.199479, 0.934332, 0.234806, 0.500876, 0.252822, 0.571579, 0.391475, 0.274571, 0.42363, 0.118165, 0.669725, 0.41519, -0.0410515, -0.143765, -0.606504, -0.0808677, -0.547339, -0.326998, -0.617306, -0.608866, -0.842288, -0.577713, -0.723594, -0.906117, -1.16361, -1.47442, -1.20198
0.32, 0.0319375, 0.503332, 0.612967, 1.01502, 0.751783, 0.86909, -0.0512189, -0.844803, 0.143795, 0.791404, 0.898382, 0.503911, -0.044033, -0.0125907, 0.695177, 0.147739, -0.121533, -0.253151, -0.467505, -0.537786, -0.326457, -0.319743, -0.297752, -0.423398, -0.838673, -0.6498, -0.629605, -0.565369, -0.751935, -1.00238, -1.20142
0.34, 0.0319375, 0.323834, 0.652508, 0.46865, 0.18762, 0.878293, 0.0906699, 0.188181, 0.972895, 0.916961, 0.524561, -0.224744, 0.426148, 0.408395, 0.647345, 0.206042, -0.612834, -0.650172, -0.0625476, -0.171145, -0.384784, -0.688273, -0.860798, -0.627878, -0.866487, -0.911471, -0.974377, -1.08476, -1.1382, -1.01288, -1.20975
