# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.16502, -1.8372, -1.88124, -1.6673, -0.976197, 0.579008, 0.725251, -1.2064, -0.702045, -0.393755, -0.69679, 0.387863, 1.58678, -1.02338, -1.42461, -1.33312, -0.940789, -1.40156, -1.58043, -1.78004, -2.17912, -1.46636, -1.02193, -2.14576, -1.30242, -1.97082, -2.06925, -2.61615, -2.33421, -2.87004
0.02, 0.0319375, -1.38376, -2.4518, -1.63838, -2.31303, -0.771185, 0.24872, 0.766287, -1.13209, -0.9959, -0.651685, -0.585328, 0.0645446, 0.427913, -1.27663, -1.28777, -0.959322, -0.921823, -1.67311, -1.87294, -1.64057, -2.38317, -1.78749, -1.3349, -2.37551, -1.58215, -2.25455, -1.60336, -2.32498, -2.28007, -2.46161
0.04, 0.0319375, -2.01221, -1.77827, -1.03773, -1.15907, -0.957495, 0.631434, 1.89313, -0.662131, -1.44018, -0.987008, -0.673067, 0.571791, 1.3765, -1.4096, -1.46308, -1.23321, -0.994184, -1.62336, -1.9409, -1.59397, -2.16615, -1.37571, -0.718322, -2.36159, -1.21596, -2.30456, -1.82623, -2.76941, -2.63642, -2.6839
0.06, 0.0319375, -2.25749, -2.00036, -1.38327, -0.898676, -1.34501, 0.397858, 1.76609, -0.584526, -0.951029, -1.09879, -0.496187, 0.657142, 1.39006, -1.02622, -1.19726, -1.55992, -1.52332, -2.28194, -2.53332, -1.52657, -1.70085, -1.18878, -0.615119, -2.57855, -1.37649, -2.35901, -1.84038, -2.83211, -2.66349, -2.80233
0.08, 0.0319375, -2.18568, -2.00621, -1.0137, -0.98223, -1.29001, 0.320748, 0.659412, -0.725525, -0.611603, -0.544726, -0.55553, 0.0770929, 0.73366, -1.41762, -1.79784, -1.65642, -1.07849, -2.14347, -2.5197, -1.84896, -2.09456, -1.71626, -1.11824, -2.92469, -1.17195, -2.32557, -1.94926, -2.62937, -2.23267, -2.5189
0.1, 0.0319375, -1.93053, -1.9435, -1.85534, -1.33431, -0.820607, 0.935059, 2.03055, -0.545619, -0.821671, -0.649455, -0.841189, -0.0545586, 0.797358, -1.05576, -1.99535, -1.60492, -1.12816, -2.02368, -1.94546, -2.36598, -2.1909, -1.60805, -0.792608, -2.60201, -1.49655, -2.71853, -1.89796, -2.79113, -2.76706, -2.73421
0.12, 0.0319375, -2.4253, -3.00193, -2.1635, -1.00765, -0.838072, 1.08423, 2.33379, -0.358407, -0.683684, -0.485189, -0.592939, 0.00558779, 0.775399, -1.4602, -1.72353, -1.79316, -1.20559, -1.79795, -2.02404, -1.8798, -2.20458, -1.55165, -1.13361, -2.54481, -1.59694, -2.47404, -2.04478, -2.80692, -2.31873, -2.77365
0.14, 0.0319375, -1.43177, -1.50124, -1.41709, -0.841254, -0.670653, 0.523312, 1.49705, -0.688483, -0.46645, -0.372784, -0.436823, 0.515914, 1.31434, -1.83119, -1.45951, -1.74459, -1.47618, -1.90665, -2.33314, -1.70578, -2.41815, -1.70573, -0.659068, -2.70551, -0.926633, -2.21259, -1.77887, -2.85039, -2.47021, -3.04093
0.16, 0.0319375, -1.32398, -2.11918, -1.5571, -1.87631, -1.21382, 0.431411, 1.52923, -1.0471, -1.4634, -0.956723, -0.594127, 0.565176, 1.24643, -1.4414, -1.6239, -1.36912, -1.26988, -2.16767, -2.01889, -2.08941, -2.44113, -1.30069, -0.453243, -2.74506, -1.4003, -2.593, -2.01325, -2.63597, -2.24681, -2.59784
0.18, 0.0319375, -1.76939, -1.95785, -2.44153, -1.25853, -0.549558, 0.436119, 1.38796, -1.06255, -1.04165, -1.11903, -0.696159, 0.183527, 0.900708, -1.8705, -1.42677, -1.77732, -1.69531, -1.90526, -2.26277, -1.84863, -2.35944, -1.50245, -0.713168, -2.67076, -1.75555, -2.62307, -1.82586, -2.50017, -2.18553, -2.46044
0.2, 0.0319375, -2.19782, -2.99559, -2.51765, -2.2277, -1.57243, -0.00915275, 0.783344, -1.5427, -1.30446, -1.43114, -1.19147, 0.258996, 0.833023, -1.72364, -1.76177, -1.51569, -1.14782, -2.08019, -2.62335, -1.86232, -2.10917, -1.48715, -1.23197, -2.66791, -1.61518, -2.82555, -1.97106, -2.62812, -2.31232, -2.31601
0.22, 0.0319375, -2.04233, -1.69671, -1.59378, -1.76169, -1.31608, 0.710683, 1.24073, -1.52324, -0.726586, -1.16556, -0.92719, 0.415244, 0.982908, -1.72532, -1.60067, -1.60316, -1.27971, -2.33573, -2.46522, -2.01862, -2.47578, -1.58808, -0.768264, -2.89218, -1.46941, -2.49915, -1.84475, -2.62712, -2.41043, -2.50428
0.24, 0.0319375, -1.35611, -1.79876, -1.83001, -1.59013, -1.12154, 0.952187, 1.57018, -1.05086, -0.515543, -0.820818, -1.04224, 0.963801, 1.39585, -1.82887, -2.26618, -2.02332, -1.16033, -2.37879, -2.51953, -2.07903, -2.38776, -1.58377, -1.04398, -2.67288, -1.32803, -2.52671, -1.61981, -2.72938, -2.73957, -2.48116
0.26, 0.0319375, -2.30074, -1.62861, -1.80166, -1.52362, -1.07073, 1.25325, 2.02531, -1.11422, -1.3383, -1.15583, -1.02552, 0.693016, 1.06792, -2.1156, -1.86542, -1.73572, -0.971077, -2.21799, -2.3187, -1.90434, -2.54213, -1.54948, -1.30605, -2.65308, -1.72937, -2.692, -2.02171, -2.41609, -2.50779, -2.58712
0.28, 0.0319375, -2.02536, -2.04046, -2.93005, -2.76418, -1.5329, 0.354764, 1.00364, -1.15663, -1.38461, -0.899839, -1.17884, 0.949354, 1.28156, -1.60342, -1.94207, -2.26101, -1.48376, -1.62483, -2.1475, -2.01957, -2.62541, -1.37955, -1.22809, -2.81383, -1.35908, -2.54896, -1.88188, -2.71075, -2.60662, -2.43969
0.3, 0.0319375, -2.14463, -1.73211, -2.30889, -2.64052, -1.42946, 1.13352, 1.75839, -1.90913, -1.66249, -1.75697, -1.39801, 0.616735, 0.652048, -2.4382, -1.98584, -1.55866, -0.632541, -2.2064, -2.74892, -1.83224, -2.72896, -1.15589, -0.851089, -2.55673, -1.41737, -2.61006, -1.96334, -2.47896, -2.52021, -2.46523
0.32, 0.0319375, -2.17735, -2.4107, -2.15186, -1.87772, -1.86849, 0.934728, 1.15378, -1.35715, -1.5088, -1.08366, -1.32858, 0.858888, 1.08121, -1.84748, -2.47525, -1.58714, -1.30205, -2.52064, -2.44646, -1.86919, -2.89852, -1.51068, -1.07602, -2.36014, -1.37504, -2.75103, -1.79925, -2.82562, -2.88838, -2.61904
0.34, 0.0319375, -1.96858, -1.88209, -1.56276, -2.1713, -1.32146, 0.879584, 1.15493, -1.26957, -1.2837, -1.41693, -1.29155, 0.641167, 0.534978, -1.72759, -2.02248, -1.64504, -0.985762, -2.29129, -2.46189, -1.55412, -2.49692, -1.44313, -1.2569, -2.70354, -2.02769, -2.35415, -1.737, -2.96662, -3.22272, -2.35035
0.36, 0.0319375, -2.14306, -2.03365, -2.36697, -1.85406, -0.887499, 0.968588, 1.60186, -1.4983, -1.14824, -1.2642, -1.40391, 1.53906, 1.67997, -2.03555, -2.40918, -1.55313, -1.37607, -2.39914, -2.64351, -2.115, -3.131, -1.4469, -0.995691, -2.35112, -1.45291, -2.48514, -2.10167, -2.27505, -2.65446, -2.49429
0.38, 0.0319375, -2.06483, -1.83269, -2.4571, -1.69294, -0.83838, 0.146273, 0.181791, -1.68649, -1.55462, -1.01765, -1.50313, 1.27882, 1.07514, -2.27298, -2.37858, -1.2889, -0.700617, -2.42601, -2.36541, -1.96932, -3.12132, -1.03012, -1.04295, -2.7436, -1.95334, -2.1942, -1.79426, -2.57979, -2.92016, -2.77683
0.4, 0.0319375, -2.33051, -1.75487, -1.59529, -1.17945, -0.776223, 1.01603, 1.53517, -1.21999, -1.37496, -1.14438, -1.15022, 1.36429, 1.28289, -2.0391, -2.24944, -1.79293, -1.46943, -2.37153, -2.44159, -1.64862, -2.50174, -1.37215, -1.32816, -2.81255, -2.17633, -2.26228, -1.90308, -2.42438, -2.69827, -2.46945
0.42, 0.0319375, -2.01656, -2.30941, -2.31247, -1.57699, -0.899881, 1.0873, 1.11517, -1.27506, -1.53734, -1.16117, -1.40185, 1.37711, 1.14739, -2.02561, -2.36418, -2.05573, -1.4181, -2.48398, -2.24364, -1.80312, -2.7254, -1.3741, -1.19319, -2.7642, -2.05558, -2.56834, -2.41109, -2.56683, -2.79043, -2.69402
