# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.520686, 0.195109, 0.119734, 0.86083, 1.32713, 2.48469, 1.39606, 0.365399, 0.780807, 0.150255, 0.0219099, -0.162597, 0.358495, 0.628588, 0.576035, 0.79498, 0.53858, -0.202594, 0.149298, 0.186007, 0.237069, 0.226946, 0.221698, -0.0131568, -0.270381, -0.497645, -0.136274, -0.161125, -0.55865, -0.299231
0.02, 0.0319375, 0.807932, 0.518485, -0.131992, -0.585969, 0.61267, 2.09946, 1.85974, 0.29936, 0.587561, 0.604106, 0.210135, 0.0614285, 0.420214, 0.380862, 0.399486, 0.422204, 0.529567, 0.124244, 0.321032, 0.283149, -0.0182339, -0.483293, 0.347855, 0.120799, -0.151704, -0.25675, -0.228884, -0.392941, -0.118177, -0.317864
0.04, 0.0319375, 0.314182, 0.343835, 0.449573, 0.244951, 0.718569, 1.34734, 0.848508, 0.65181, 0.421913, 0.142425, 0.461977, 0.262874, 0.631574, 0.43965, 0.412303, 0.31498, 0.242333, 0.144769, 0.0286974, 0.392519, 0.317443, 0.0450863, 0.285545, 0.237777, -0.0138714, 0.00576073, -0.0743785, -0.207857, -0.00802516, -0.34666
0.06, 0.0319375, 0.131147, 0.280246, 0.147681, 0.441615, 0.950771, 2.13789, 2.08172, 0.51653, 0.453885, 0.558326, 0.211156, 0.149913, 0.328148, 0.377407, 0.240702, 0.917796, 0.44212, 0.349946, 0.403993, -0.0492479, 0.188907, 0.258726, 0.337442, 0.25549, -0.135315, -0.438148, -0.226091, -0.313482, -0.492578, -0.797066
0.08, 0.0319375, 0.9813, 0.183703, -0.857358, -0.776635, 0.392844, 2.18046, 2.25986, 0.605554, 0.178124, 0.336613, 0.297041, 0.410931, 0.713779, 0.662498, 0.878652, 0.839801, 0.738934, 0.0594042, 0.0363234, 0.0885592, 0.132645, 0.108562, -0.0509268, 0.0954153, 0.0369473, -0.342162, -0.124113, 0.0475683, -0.0150183, -0.174168
0.1, 0.0319375, -0.0458013, 0.134504, 0.0794112, 0.368055, 1.09367, 1.92369, 2.16431, 0.841271, 0.464842, 0.305509, -0.289725, -0.0138708, -0.0890968, -0.142692, 0.319593, 0.454659, 0.145641, -0.024697, 0.0413469, -0.000176088, 0.364245, 0.49763, 0.174808, -0.158462, -0.202044, -0.215247, -0.159, -0.140987, -0.394045, -0.615212
0.12, 0.0319375, 1.31266, 0.76033, 0.414988, 0.577847, 1.35561, 1.63755, 1.78373, 0.329276, 0.62342, -0.370742, -0.0506441, -0.020574, 0.0499804, 0.53904, 0.793066, 0.728856, 0.334258, 0.13316, 0.402586, 0.116174, 0.280735, 0.396029, 0.197105, 0.00584026, 0.0910988, 0.163548, -0.476738, -0.525066, -0.539985, -0.530371
0.14, 0.0319375, -0.40856, -0.396119, 0.294022, 0.268988, 0.913984, 2.22683, 2.43413, 1.0504, 0.401773, -0.218895, 0.215907, 0.572261, 0.363463, 0.238924, 0.206253, 0.574045, 0.238168, -0.229841, 0.160114, -0.24295, 0.185617, 0.207519, -0.407451, 0.196484, -0.272607, -0.50972, -0.413969, -0.3267, -0.32514, -0.533315
0.16, 0.0319375, -0.257391, -0.616501, -0.779011, -0.398042, 1.07695, 2.22506, 2.81565, 1.25912, 0.486545, -0.190145, -0.413637, -0.443785, 0.669378, 0.106582, 0.10838, 0.435113, 0.485511, 0.245389, -0.217208, 0.087014, 0.126256, 0.224814, 0.357097, 0.120503, -0.139706, -0.0530659, 0.0328382, -0.36724, -0.285865, -0.441942
0.18, 0.0319375, 0.370594, -0.377775, -0.673203, 0.365279, 0.758692, 1.6618, 2.53858, 0.793116, 0.542832, 0.718928, 0.463645, 0.0684769, 0.470835, 0.295988, 0.0484838, 0.225695, 0.692022, 0.169016, 0.304636, 0.0124229, 0.258822, 0.06492, 0.154879, 0.171367, 0.0545031, -0.267266, -0.568972, -0.392076, -0.140677, -0.424006
