# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -6.1301, -5.77382, -6.00339, -5.71864, -6.43915, -6.22139, -6.06898, -5.4167, -6.44553, -6.19854, -5.25473, -5.5463, -4.91742, -4.65894, -5.22238, -5.90954, -5.22939, -5.41228, -4.93218, -5.45168, -5.07398, -3.85037, -3.97258, -5.44374, -5.5046, -5.56188, -5.17997, -5.38403, -5.34692, -5.33892
0.02, 0.0319375, -6.13741, -5.88295, -5.47284, -3.92194, -5.05564, -5.83371, -5.85008, -5.69846, -5.91539, -5.90415, -5.39452, -5.70063, -4.87315, -4.53524, -5.12631, -5.26466, -5.24974, -4.83456, -4.78784, -4.14427, -3.69691, -3.91858, -4.37794, -5.17246, -4.86292, -5.80564, -5.33915, -4.83171, -5.19648, -4.90215
0.04, 0.0319375, -4.86438, -4.15719, -4.09685, -3.64401, -4.91025, -4.28763, -4.5896, -4.90562, -5.96659, -4.48404, -5.17747, -4.57046, -4.94187, -4.59022, -4.7342, -4.39493, -4.6471, -4.87056, -4.35966, -4.0408, -3.93515, -4.02866, -4.6597, -4.65094, -4.65768, -4.63225, -4.66388, -4.59692, -4.72048, -4.69695
0.06, 0.0319375, -4.16135, -3.61748, -3.46664, -3.39079, -4.62884, -4.78188, -4.45358, -4.47692, -6.03829, -4.59219, -4.87846, -4.63079, -4.97697, -4.32413, -4.82083, -3.93495, -4.13528, -4.48417, -4.85965, -4.55304, -4.28903, -4.67647, -4.69448, -5.04365, -4.56346, -4.41741, -4.45635, -4.62598, -4.80622, -4.4311
0.08, 0.0319375, -4.11994, -3.44764, -3.08173, -3.18511, -4.08296, -4.51079, -3.78798, -4.97047, -4.99271, -4.36255, -4.69441, -4.63215, -4.463, -4.55881, -4.44859, -4.58839, -4.40396, -4.5552, -4.56724, -4.31898, -4.18753, -4.10579, -4.45019, -4.54494, -4.49106, -4.65643, -4.28933, -4.63637, -4.67552, -4.50796
0.1, 0.0319375, -4.1895, -3.18779, -3.19848, -4.19095, -3.90391, -4.32973, -4.40128, -4.78255, -4.06241, -3.7425, -4.26083, -4.32792, -4.37521, -3.70089, -4.32402, -4.17912, -4.53525, -4.49895, -4.48197, -4.55211, -4.0386, -3.82914, -4.24314, -4.20828, -3.75038, -3.7837, -3.85013, -4.02891, -4.40436, -4.26639
0.12, 0.0319375, -3.64657, -2.82152, -4.26966, -4.05784, -3.80565, -3.50804, -3.887, -4.1652, -4.19232, -3.85219, -4.17519, -3.78696, -4.186, -3.66891, -3.73487, -3.78916, -4.13608, -4.21056, -4.54512, -4.50097, -3.93853, -4.33604, -4.18738, -3.97534, -4.01259, -3.64058, -4.05592, -4.25347, -4.4229, -4.23543
0.14, 0.0319375, -3.56184, -2.72427, -3.83127, -3.51698, -4.13169, -3.27699, -3.55807, -4.05709, -4.86594, -4.63158, -4.16434, -3.77503, -3.85263, -3.77986, -3.68912, -3.78671, -3.80914, -4.36109, -4.58806, -4.23919, -3.77282, -3.56472, -3.84797, -3.85942, -3.77781, -3.89054, -3.81774, -4.00557, -3.91597, -4.08007
0.16, 0.0319375, -3.11518, -2.55252, -3.2283, -3.49613, -3.82408, -3.73906, -3.89584, -2.97035, -3.87259, -3.90719, -4.3064, -3.65258, -3.76588, -3.93101, -4.28544, -3.67572, -3.66163, -4.09926, -3.91068, -4.00103, -4.01161, -3.53322, -3.87685, -3.80249, -3.79924, -3.54438, -2.97074, -3.6179, -4.18658, -4.19757
0.18, 0.0319375, -2.98992, -2.87154, -3.11055, -3.97741, -3.64278, -4.14256, -4.43268, -3.69727, -3.82051, -3.78048, -4.13639, -3.54946, -3.61948, -3.98463, -4.05748, -4.15136, -4.01656, -3.89501, -3.64306, -4.05742, -3.77318, -3.95437, -4.27739, -3.48756, -3.31661, -3.38812, -3.59906, -3.60738, -4.18265, -4.46561
0.2, 0.0319375, -1.87864, -0.632769, -0.0690256, 0.189745, -0.167235, -0.978224, -1.1998, -0.784287, -0.245679, -0.411442, -0.663281, -0.883821, -1.14579, -1.42212, -1.86013, -1.72709, -1.33008, -1.62235, -2.61663, -3.22968, -2.32761, -2.70767, -3.48687, -3.18291, -3.07532, -3.26971, -2.63606, -3.7053, -3.2834, -3.61059
0.22, 0.0319375, -2.24529, -1.50997, -1.26734, -0.462365, -0.315949, -1.05452, -1.91452, -2.07657, -1.07736, -0.990674, -2.19129, -2.28161, -1.75774, -1.71968, -2.27289, -2.27111, -1.81256, -2.34106, -3.3032, -3.59799, -2.64034, -2.99286, -3.36553, -2.99232, -3.27464, -3.00703, -3.29454, -4.05986, -3.97534, -3.44371
0.24, 0.0319375, -1.44504, -0.598967, -0.340517, 1.05763, 1.09067, 0.00288677, -0.622837, -0.24286, -0.153368, 0.0786731, -0.320339, -0.315484, -0.518546, -0.838164, -1.59328, -1.18761, -1.21858, -1.32099, -1.07573, -1.99673, -1.25979, -0.815242, -1.24872, -2.20991, -1.83475, -2.11666, -2.00482, -1.24666, -1.28358, -1.28692
0.26, 0.0319375, -2.1675, -0.819564, -0.273619, -0.106956, 0.468839, 0.237022, -0.564443, -0.347891, 0.529197, 0.968396, -0.390531, -0.262939, -0.395089, -0.636543, -1.45395, -1.7153, -0.894376, -1.45608, -1.31131, -1.94077, -1.65652, -1.40244, -1.91302, -2.48336, -1.93785, -2.33472, -1.97074, -1.07682, -1.26013, -1.33297
0.28, 0.0319375, -1.21622, -0.502367, -1.54957, 0.0776452, 1.30039, 0.434012, -0.293575, 0.382288, 0.148461, 0.0214322, -0.148714, -0.50394, -0.654575, -0.542967, -0.637308, -1.16886, -1.14359, -1.35436, -1.09291, -1.75819, -1.14441, -1.00008, -1.9868, -1.5858, -1.52767, -1.93169, -1.1767, -0.522847, -0.817059, -0.558836
0.3, 0.0319375, -0.913497, -0.166891, -1.23542, -0.420417, 1.42002, 0.936975, -1.4754, 0.509926, 0.707976, -0.146885, 0.449471, -0.749708, -0.256113, -0.834527, -0.441316, -0.964216, -0.926538, -1.68581, -0.814636, -1.79237, -1.4535, -0.918055, -1.71836, -1.81401, -1.52866, -1.64988, -0.924327, -0.5946, -0.652524, -0.406491
0.32, 0.0319375, -1.24203, 0.106101, -1.41198, -0.607043, 1.02377, 1.13724, -1.4284, 0.415265, 0.939231, -0.106032, 0.354244, -0.507961, 0.0163381, -0.909617, -0.680392, -1.0461, -0.669983, -1.47694, -0.671155, -1.07, -1.2945, -0.73899, -1.44502, -1.56144, -1.34272, -1.60396, -0.747843, -0.528888, -0.485099, -0.32535
0.34, 0.0319375, -1.29262, 0.432355, -1.08766, -0.760762, 1.29819, 1.53554, -0.586131, -0.104995, 0.905134, -0.665413, 0.0921099, 0.0411696, 0.0119171, -0.216727, -0.800245, -1.17659, -0.203986, -1.26755, -0.552269, -0.734143, -1.47055, -0.946934, -1.67612, -1.44014, -0.845215, -1.22878, -0.927206, -0.551351, -0.643392, -0.513965
0.36, 0.0319375, -1.49064, 0.708672, -0.594581, -0.67979, 1.21871, 1.87442, -0.914551, -0.465996, 1.21894, 0.0565054, 0.148389, 0.282768, -0.705683, -0.317125, -0.788522, -0.768814, -0.105493, -1.02869, -0.484075, -0.821207, -1.12828, -0.792209, -1.21289, -1.44524, -1.41333, -1.50673, -0.974655, -0.608292, -0.591122, -0.441487
0.38, 0.0319375, -1.64064, 0.537217, -0.839678, -0.776425, 0.77961, 2.07874, -0.336518, -0.496302, 1.09487, -0.0959558, 0.286986, 0.27938, -0.568635, 0.0435211, -0.0920027, -0.472032, -0.156336, -0.91646, -0.569231, -1.04318, -1.04209, -0.857052, -1.47451, -1.39607, -1.24048, -1.73618, -1.00985, -0.550606, -0.714851, -0.457902
0.4, 0.0319375, -1.87851, 0.68075, -0.178394, -0.358765, 1.27184, 2.33997, -0.26961, -1.08153, 1.28313, 0.15568, -0.148533, 0.252344, -0.910508, 0.179883, -1.24951, -0.642307, -0.204072, -0.621635, -0.637255, -1.01255, -0.979474, -0.867524, -1.46551, -1.69081, -1.36105, -1.52217, -0.945249, -0.428173, -0.645201, -0.511572
0.42, 0.0319375, -1.86487, 0.766466, -0.210177, -0.372657, 1.42807, 2.4859, 0.436066, -0.570239, 1.39796, 0.570675, 0.354428, 0.384197, -0.781466, 0.229418, -0.848989, -0.392044, -0.185532, -0.511856, -0.580586, -1.04947, -0.97859, -0.914468, -1.2457, -1.34285, -0.997713, -1.56721, -1.09267, -0.429604, -0.511915, -0.635962
0.44, 0.0319375, -1.31764, 0.465881, -0.211999, -0.316335, 0.53362, 1.94809, 0.859911, 0.190718, 1.69841, 1.21982, -0.333309, 0.375597, -0.29031, 0.164851, -0.480614, -0.372932, -0.377546, -0.454286, -0.640136, -1.08038, -1.40653, -1.26097, -1.54885, -1.35404, -1.22907, -1.61878, -1.07785, -0.406588, -0.567734, -0.429282
0.46, 0.0319375, -1.29701, 1.40849, 0.603026, -0.388642, 0.916458, 2.16861, 1.00515, -0.654744, 1.23927, 1.57826, 0.0486783, 0.632826, -0.101965, 0.0222891, -0.153649, -0.438245, -0.00817827, -0.383735, -0.4955, -0.67594, -1.1085, -0.757418, -1.07044, -1.33853, -1.21384, -1.43577, -0.966398, -0.309493, -0.444671, -0.818986
