# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.96692, -2.80376, -2.70399, -2.15922, -3.00081, -3.21463, -2.28644, -1.80263, 0.897391, -0.036959, -1.47263, -2.30627, -1.34513, -1.40602, -3.20583, -2.3027, -2.91268, -2.52052, -4.15006, -2.31178, -2.33613, -3.57962, -3.85109, -3.69272, -4.09672, -3.78334, -3.78315, -4.51259, -4.30335, -4.27322
0.02, 0.0319375, -2.27463, -2.57238, -2.19856, -2.31807, -2.77969, -2.7596, -2.00517, -0.68725, 1.8494, 0.374839, -0.212383, -1.00092, -0.565352, -0.577895, -2.25694, -1.68476, -2.66837, -1.93964, -3.35924, -0.922622, -1.31786, -2.67094, -3.23394, -2.89246, -4.05872, -3.2195, -3.50126, -3.94329, -3.55106, -3.70962
0.04, 0.0319375, -2.14849, -2.55344, -2.04829, -1.65598, -1.72411, -2.45819, -1.11056, 0.264045, 2.41368, 0.960095, -0.613406, -0.421415, -0.332349, -0.369119, -1.06827, -1.07926, -1.58888, -1.72243, -1.8065, -0.449152, -1.29707, -2.44037, -2.80368, -2.57546, -2.89661, -2.79176, -3.05076, -3.63303, -3.05717, -2.91195
0.06, 0.0319375, -1.75905, -1.32575, -1.35085, -0.992716, -1.66442, -2.70316, -0.852125, 1.05498, 2.76856, 1.15537, -0.506503, -0.235184, -0.284171, -0.216794, -1.33496, -1.2347, -1.62384, -0.968143, -2.24901, -0.518888, -1.44119, -2.0994, -2.5289, -2.32648, -3.0543, -2.18118, -2.75329, -3.05233, -3.09639, -3.20886
0.08, 0.0319375, -0.610394, -0.951943, -1.03457, -0.788978, -0.963497, -1.58022, -0.647672, 1.6526, 3.04507, 0.553888, -0.268307, -0.178347, -0.167197, -0.052747, -0.900938, -1.0635, -1.52151, -0.680638, -1.37725, -0.242858, -1.05647, -1.90159, -2.18454, -2.2466, -2.66883, -1.74606, -2.6133, -2.68422, -2.97123, -2.68988
0.1, 0.0319375, -1.70607, -1.33038, -1.06743, -1.39477, -1.21779, -1.97474, -0.92311, 2.00066, 3.14738, 0.941936, 0.556677, 0.0427315, 0.191224, 0.278684, -0.84392, -1.24407, -1.6169, -0.575516, -0.701814, 0.406944, -1.17599, -1.76115, -2.36534, -2.34753, -2.65942, -1.44435, -2.64241, -2.87723, -2.81028, -2.45086
0.12, 0.0319375, -1.12811, -1.39973, -1.16328, -1.14577, -1.61077, -1.33061, -1.10232, 2.26752, 3.07358, 1.65464, 0.292571, -0.591097, -0.0864158, 0.122605, -0.63842, -1.44936, -1.66129, -0.790563, -0.462375, 0.144357, -0.829242, -1.74273, -2.02097, -2.21086, -2.39739, -1.89274, -2.58615, -2.30548, -2.63369, -2.71473
0.14, 0.0319375, -0.564188, -1.08471, -1.25924, -1.14582, -0.832827, -1.12894, -0.598347, 2.76869, 3.28691, 0.909259, 0.501993, 0.0905506, 0.245887, 0.872827, -0.770664, -1.60386, -0.852583, -0.304473, -0.328466, -0.0328139, -0.585586, -1.60894, -1.83689, -1.84331, -1.88591, -1.60731, -2.61558, -2.40008, -2.44592, -2.1718
0.16, 0.0319375, -0.435659, -1.39794, -0.862066, -0.458774, -1.00753, -1.82111, -0.404683, 3.01596, 3.28317, 1.69997, 0.910846, 0.500109, 0.173258, 0.403488, -0.140018, -1.47067, -1.17173, 0.0943105, 0.106561, -0.140588, -1.39645, -1.93459, -1.50946, -1.62056, -1.95713, -1.49285, -2.35892, -2.72907, -2.61064, -2.12179
0.18, 0.0319375, -0.331248, -0.327718, -0.732992, -0.610576, -0.101206, -0.69201, 0.061659, 3.16711, 3.07815, 0.815207, 0.989818, 0.549638, 0.530549, 0.963849, -0.285388, -1.09552, -1.02657, 0.600343, 0.492482, -0.162862, -1.29092, -1.63251, -1.70726, -2.03252, -1.62108, -1.62389, -2.14346, -2.05745, -2.34373, -2.3201
0.2, 0.0319375, -1.12584, -0.827099, -1.04983, -0.404962, -0.454744, -0.594284, -0.054949, 3.32789, 3.01477, 1.45127, 0.917934, 0.121965, 0.956503, 1.61886, -0.0580679, -1.4695, -1.58111, 0.098834, 0.620471, -0.382231, -1.54258, -1.83675, -1.63161, -1.44721, -0.773172, -1.0283, -1.82046, -2.17001, -2.33238, -2.20155
0.22, 0.0319375, -0.316756, -0.523687, 0.0202019, -0.28394, -0.072949, -0.45399, 0.305523, 3.44996, 2.92163, 0.799388, 0.484519, 0.140069, 0.649082, 1.12198, -0.31148, -1.54721, -1.43012, 0.745012, 0.762694, -0.417478, -0.785908, -1.1542, -1.46419, -1.24409, -1.08333, -1.77816, -2.0561, -2.08498, -2.05633, -2.15944
0.24, 0.0319375, -1.04887, -0.98179, 0.247827, 0.0479059, -0.315448, -0.81187, 0.0214545, 3.42724, 2.74199, 1.23186, 0.411944, -0.0696122, 0.471788, 1.77205, 0.298068, -1.10081, -0.742761, 0.586914, 1.35479, -0.0264434, -0.650506, -0.990894, -1.61933, -1.34315, -0.628286, -1.57419, -2.00361, -2.15346, -1.75946, -1.85759
0.26, 0.0319375, 0.295239, -0.0528638, 0.222837, 0.0898034, 0.197343, 0.24149, 0.146412, 3.54908, 2.82149, 1.29458, 0.591291, 0.594819, 0.38371, 1.92028, 0.571128, -0.318258, -0.141629, 0.73191, 1.29784, 0.740002, 0.576658, 0.128538, -0.673381, -1.09199, -0.327019, -1.32203, -1.25224, -1.18146, -0.958505, -0.931806
0.28, 0.0319375, 0.455014, -0.209174, -0.569629, -0.0231968, 0.043866, -0.204808, 0.776485, 3.58132, 2.56505, 1.21921, 0.535409, 0.130141, 0.595908, 1.60503, 0.326241, -0.576518, -0.152844, 0.766297, 1.30413, -0.105646, -0.724988, -0.659786, -1.55382, -1.12218, -0.412336, -1.75108, -1.76739, -1.84404, -1.75794, -1.64545
0.3, 0.0319375, 0.356733, 0.12785, 0.673917, 0.546535, -0.170062, -0.0480122, 0.995919, 3.19828, 2.10312, 1.20617, 0.604889, 0.039132, 0.0730765, 1.60793, 0.797086, -1.0715, -0.368577, 1.0368, 1.05273, -0.203008, -0.600567, -0.922498, -1.84082, -1.24287, -0.76925, -1.64445, -1.60071, -1.90204, -1.91155, -1.66105
0.32, 0.0319375, -0.00587685, -0.216948, 0.265488, -0.0895687, 0.162387, 0.123637, 1.68396, 3.57893, 2.15327, 1.34145, 0.998403, 0.554043, 0.583997, 2.05379, 1.34467, -0.693836, -0.634615, 0.898337, 1.19721, -0.312485, -0.953503, -1.31239, -1.41112, -0.95855, -0.997119, -1.71248, -1.34781, -2.04838, -1.7371, -2.00123
0.34, 0.0319375, -0.402966, 0.386696, 0.412289, 0.084554, -0.524047, -0.110644, 2.26892, 3.99316, 2.11302, 1.15419, 0.854457, -0.0961739, 0.161013, 2.06602, 1.32261, -0.849424, -1.09845, 0.485057, 0.640272, -0.409435, -0.937143, -0.87981, -1.17766, -0.0861465, -0.392308, -1.03349, -0.577622, -1.56369, -1.70778, -1.97189
0.36, 0.0319375, -0.114028, 0.249377, -0.431548, -0.167164, -0.416718, -0.0596669, 2.78022, 3.83664, 1.57527, 1.04715, 1.13138, 0.203537, -0.217842, 1.71487, 1.00832, -1.0429, -0.654685, 0.920275, 1.25491, -0.219731, -1.03191, -0.622357, -1.40219, -0.262917, -0.522192, -1.25583, -1.02309, -1.83306, -1.68264, -1.67599
0.38, 0.0319375, 0.744777, 0.451387, 0.435093, 0.0141734, -0.220759, -0.602391, 3.04797, 3.8128, 1.74982, 0.332912, 0.704613, 0.840067, 0.668825, 1.90585, 1.50986, -1.55396, -1.14897, 1.1527, 1.10913, -0.336176, -0.99481, -0.723044, -1.15836, 0.254698, -0.637193, -0.522447, -0.673672, -1.48669, -1.35377, -1.77011
0.4, 0.0319375, 0.353023, 0.590596, -0.489876, 0.09544, 0.484769, -0.456805, 3.38076, 4.08233, 1.86384, 0.869232, 0.895012, 0.625901, 0.694593, 1.85922, 1.40471, -0.416512, -0.699759, 1.29108, 0.776628, -0.42319, -0.505922, -0.906617, -1.49786, 0.557585, -0.928349, -0.404989, -0.7388, -1.75024, -1.77318, -1.5979
0.42, 0.0319375, 0.78598, 0.1733, -0.24261, 0.243763, 0.223824, 0.00964269, 3.4695, 3.6524, 2.16459, 1.23579, 0.720061, 0.390931, 0.744662, 1.51472, 1.74681, -1.0696, -0.357365, 1.50346, 1.3443, 0.214782, -0.69129, -1.02263, -0.742643, 0.476003, -0.691026, -1.07642, -1.43793, -1.45305, -1.52542, -1.35997
0.44, 0.0319375, 0.597621, 0.630285, -0.283942, 0.098687, 0.482909, 0.370641, 3.79297, 3.78903, 2.19307, 1.00343, 0.972552, 1.26023, 0.975501, 1.17223, 1.59631, -0.961779, 0.0844143, 1.54355, 1.24846, 0.120127, -0.756917, -1.12503, -0.53467, 0.00162862, -0.96033, -0.479788, -1.20636, -1.52364, -1.53251, -1.51728
0.46, 0.0319375, -0.0741538, -0.436024, 0.521906, 0.701121, 0.289212, -0.179616, 3.81478, 3.63916, 2.3037, 0.79861, 0.831398, 0.483792, 1.16418, 1.28835, 1.36787, -0.946897, 0.310151, 1.11262, 0.751164, 0.00479572, -0.411799, -1.10017, -0.258037, 0.321493, -0.803964, -0.444423, -1.49651, -1.13588, -1.64206, -1.60786
0.48, 0.0319375, -0.203364, 0.136683, -0.115607, -0.699199, -0.494989, 0.402336, 4.03123, 3.45264, 1.83828, 0.952136, 1.13181, 0.934831, 1.36383, 1.39866, 1.41479, -0.537713, 0.201841, 0.870045, 0.408555, -0.489503, -0.33632, -0.780712, -0.4746, -0.127183, -0.732401, -1.04809, -1.20219, -1.08083, -1.19962, -1.36241
0.5, 0.0319375, -0.369326, -0.240297, 0.38516, -0.111854, -0.155548, 1.04506, 4.11748, 3.30894, 1.58275, 0.755487, 0.796888, 0.586782, 1.21126, 1.29225, 1.20136, -0.828901, 1.04264, 1.42233, 0.707552, -0.151471, -0.665681, -0.595635, -0.219823, -0.435022, -0.90812, -0.493755, -1.3866, -1.20719, -1.5023, -1.32347
0.52, 0.0319375, 0.859655, 0.208987, -0.191584, -0.000683064, -0.836758, 1.57626, 4.33293, 3.20519, 1.21304, 0.899402, 0.891805, 0.520642, 1.31855, 0.966384, 0.548797, -0.990661, 1.33259, 1.51081, 0.918645, -0.0745739, -0.268803, -1.02435, 0.0145081, -0.409057, -0.545972, -0.760833, -1.51316, -1.42281, -1.55328, -1.21379
0.54, 0.0319375, 0.0578187, -0.137722, 0.409948, 0.433933, 0.263743, 1.93656, 4.23267, 2.75954, 1.21921, 0.909376, 1.23626, 0.744693, 1.4887, 0.891189, 1.20194, -0.768866, 1.33788, 0.90445, 1.1193, -0.0411539, -0.70423, -1.07634, 0.375444, -0.44793, -0.662607, -0.947355, -1.19518, -1.50361, -1.58423, -1.60078
0.56, 0.0319375, 0.320198, 0.589504, 0.00598081, 0.43372, 0.106791, 2.27273, 4.28672, 2.5531, 1.29675, 1.07136, 0.746548, 0.524355, 1.43388, 1.03585, 1.61162, -0.625567, 1.31537, 0.532737, 0.687543, -0.640074, -1.24026, -0.715656, 0.0650729, -0.878963, -0.616388, -0.973065, -0.855693, -1.26128, -1.25274, -1.53552
0.58, 0.0319375, 1.13008, 0.648476, 0.395212, 0.260673, 0.0620406, 2.64759, 4.22571, 2.78403, 1.30037, 0.902557, 0.683832, 1.23583, 1.45883, 1.44709, 1.54567, -0.589737, 1.43249, 0.60311, 1.06039, -0.206197, -1.21061, -0.830282, 0.165876, -0.771242, -0.666444, -1.34839, -0.817341, -1.16735, -1.33414, -1.42914
0.6, 0.0319375, 0.759097, 0.556787, 0.1287, 0.311394, 0.0875723, 2.98638, 4.13678, 2.47981, 1.4922, 0.503053, 0.48133, 0.804824, 1.59049, 0.753793, 0.621058, -0.0559351, 1.33345, 0.165412, 1.48847, -0.00933815, -0.553151, -0.270605, 0.44141, -1.42977, -0.351249, -0.828906, -0.132818, -0.135567, -0.355915, -1.38533
0.62, 0.0319375, 0.378828, 0.739483, 0.259261, 0.572264, 0.630764, 3.39922, 4.35257, 1.9925, 1.13744, 1.17167, 0.585794, 1.17731, 1.1766, 0.934143, 0.963785, -0.354228, 0.656704, 0.00398235, 1.43887, -0.380811, -0.866331, -0.351948, 0.0814265, -0.818974, -0.407101, -1.28089, -0.776715, -0.605306, -0.685944, -1.10365
0.64, 0.0319375, 0.187372, 0.11758, 0.075615, 0.0562383, 0.106917, 3.53774, 4.20196, 2.6929, 1.46772, 0.79848, 0.30751, 0.835843, 0.849891, 0.851734, 0.825772, 0.110506, 0.965633, -0.154015, 1.4509, -0.345706, -1.07376, -0.472853, 0.242865, -0.848017, -0.676302, -0.856087, -0.73256, -1.61192, -1.67891, -1.23652
0.66, 0.0319375, 0.0120144, 0.389605, -0.126469, -0.272236, 0.486458, 3.78334, 4.46119, 2.38801, 1.51409, 0.996447, 0.450896, 0.581596, 0.595698, 1.05161, 1.16733, 0.130016, 1.03128, -0.137929, 1.13895, -0.666895, -0.445485, -0.0566535, 0.118534, -0.787695, -0.995964, -1.50122, -1.25135, -1.24952, -1.37126, -1.23154
0.68, 0.0319375, 0.462202, -0.354322, 0.0357753, -0.557939, -0.162992, 2.22571, 4.00115, 2.71575, 1.25941, -0.0337304, 0.36428, 0.64391, 1.4392, 1.53101, 1.77325, -0.385205, 1.78428, 1.00177, 0.235517, -0.431126, -0.767491, -0.465173, 0.824232, -0.292213, -0.560653, -0.831947, -0.637966, -1.20547, -1.35948, -1.14295
0.7, 0.0319375, 0.63285, 0.54524, -0.265602, -0.143444, -0.945786, 1.22713, 4.36977, 4.12567, 1.40584, 0.5064, 0.51753, 0.784295, 1.17899, 1.33067, 0.639753, -0.119984, 0.633403, 1.62712, 1.04626, -0.810915, -0.518741, -0.307078, -0.147573, 0.333861, -0.848257, -0.510872, -1.06586, -1.04072, -1.45037, -1.62613
0.72, 0.0319375, 0.239317, 0.299274, 0.0850212, -0.522703, -0.880997, 2.25813, 3.71763, 4.19953, 2.44406, 1.65494, 0.432575, 0.645628, 0.957064, 1.40527, 0.864367, 0.162016, 0.569445, 1.16962, 1.73601, -0.558589, -0.236734, -0.455803, -0.454718, -0.0721094, -0.269294, -0.918588, -0.838827, -1.44867, -1.6485, -1.42562
0.74, 0.0319375, 0.636066, 0.646963, 0.569096, -0.168581, 0.622306, 2.07186, 2.94374, 4.05148, 3.30399, 1.86797, 1.22378, 0.8134, 0.777928, 0.968787, 0.648741, 0.562745, 0.888968, 0.80933, 1.16047, -0.22102, 0.246244, -0.257188, -0.055172, -0.294279, -0.00960676, -0.991605, -0.862535, -0.926114, -0.974895, -1.10973
0.76, 0.0319375, 0.775629, 0.336551, 0.105801, 0.909635, -0.163568, 1.1596, 2.29288, 3.79067, 4.10484, 2.05505, 1.79366, 2.3017, 1.72423, 1.53088, 1.52947, 0.653983, 0.975609, 1.13434, 0.884795, 0.607829, 0.400191, -0.0146244, 0.194593, 0.285877, 0.0975449, -0.217743, -0.330906, -0.444367, -0.702863, -0.836634
0.78, 0.0319375, 0.548667, 0.0872227, -0.195567, 0.536996, 0.158849, 1.31265, 2.27736, 3.35781, 4.49918, 1.96685, 1.86556, 2.25133, 0.868562, 1.48407, 1.48597, 0.639565, 0.659119, 0.662964, 1.17227, 1.10176, 0.147375, -0.152687, -0.296051, -0.374095, -0.289195, -0.00639092, -0.386907, -0.570939, -1.13978, -1.12399
