# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.29031, -3.66113, -3.78329, -2.98827, -2.40995, -0.891264, 3.10763, 4.37214, 1.21404, -1.21785, -2.21256, -2.99602, -2.81255, -3.29781, -2.58022, -2.1572, -2.05821, 3.20246, 2.37692, -1.37328, -1.76495, -2.31613, -2.0331, 1.31591, 0.523051, -1.71604, -1.66946, 0.532668, 0.621417, -1.26748
0.02, 0.0319375, -4.81303, -4.74198, -4.71217, -3.63055, -2.99721, -1.46235, 3.32296, 4.22643, 0.458902, -1.61851, -2.74674, -3.53482, -3.62214, -3.17583, -2.94715, -2.35789, -1.22948, 3.08318, 1.64262, -1.34553, -2.1984, -2.57954, -2.55489, 1.38621, -0.117252, -2.3066, -2.24024, 0.808806, 0.400008, -1.57923
0.04, 0.0319375, -5.01858, -4.52629, -4.4232, -2.92989, -2.85655, -1.24429, 3.18048, 4.08055, 0.126739, -1.77385, -2.76016, -3.50715, -3.924, -3.5527, -3.21212, -2.75169, -1.48026, 3.32966, 2.06519, -1.48679, -2.37753, -2.80799, -2.37191, 1.28538, -0.0731528, -2.55417, -2.47208, 0.643675, 0.25086, -2.14776
0.06, 0.0319375, -5.07288, -4.82466, -4.41453, -3.1906, -2.52726, -1.00034, 2.95774, 4.24768, 1.10584, -1.53708, -2.73541, -3.11571, -2.94646, -3.41028, -3.61428, -3.05239, -1.84705, 3.11854, 2.29827, -1.55148, -2.2617, -2.20785, -2.37739, 1.1677, 0.41702, -2.197, -1.97898, 0.60207, 0.636738, -1.36873
0.08, 0.0319375, -4.61983, -4.5742, -4.30578, -3.14905, -2.62759, -1.3189, 2.7307, 4.41905, 1.62943, -1.69999, -2.55267, -3.28056, -2.97871, -2.82649, -2.24575, -2.28149, -1.81608, 3.02105, 2.63385, -1.5162, -2.06449, -2.25811, -2.21261, 1.09188, 0.827069, -1.85956, -2.08604, 0.205376, 0.808036, -0.976743
0.1, 0.0319375, -4.6023, -3.80103, -4.14873, -3.59816, -3.60944, -2.81033, 2.16553, 4.40338, 1.94291, -2.21746, -3.37302, -3.18497, -2.94514, -2.97042, -3.60181, -2.03095, -2.11172, 2.54487, 2.62324, -1.38344, -2.38108, -2.53678, -2.65782, 0.682948, 0.978703, -1.94662, -2.13153, -0.153278, 1.06343, -1.33518
0.12, 0.0319375, -3.97185, -4.43368, -4.13348, -3.70696, -2.86273, -1.69399, 1.68826, 4.31427, 2.38703, -1.54652, -2.96868, -3.33619, -3.41289, -3.55136, -2.37319, -2.69382, -2.46938, 2.47796, 2.98653, -1.43379, -1.65057, -2.29598, -2.22155, 0.462944, 1.20505, -1.90684, -1.88254, -1.19861, 1.04784, -1.44868
0.14, 0.0319375, -3.90954, -4.1656, -4.17512, -3.26391, -2.69074, -1.73313, 1.03166, 4.26154, 2.76203, -1.54324, -2.7324, -3.36439, -3.54049, -2.67636, -2.14847, -3.13145, -2.55332, 2.24115, 3.20879, -1.38075, -1.80106, -1.24255, -2.18381, -0.240514, 1.20675, -1.92072, -1.14916, -1.70824, 1.2177, -0.658501
0.16, 0.0319375, -4.15809, -4.99572, -4.63371, -3.77549, -3.39283, -2.71139, -0.124046, 4.22904, 3.0434, -2.02976, -2.68206, -3.4547, -3.57847, -2.13655, -2.53631, -3.3497, -2.80497, 1.72969, 3.25123, -1.3394, -2.49191, -1.95931, -1.3949, -0.75828, 1.49188, -1.5042, -1.56134, -1.71846, 0.886025, -0.0184263
0.18, 0.0319375, -4.47725, -3.74497, -4.49962, -3.9143, -3.46291, -2.56899, -0.361332, 4.22114, 3.34407, -1.68338, -2.59983, -3.57563, -3.10087, -2.19206, -2.83776, -3.11882, -2.87462, 0.957964, 3.14498, -0.680056, -2.85052, -2.37568, -1.93835, -1.57625, 1.53194, -0.660744, -1.99354, -1.67378, 0.819693, 0.323011
0.2, 0.0319375, -4.13656, -3.98977, -3.46364, -3.58639, -2.62968, -2.00686, 0.0129551, 4.16993, 3.63734, -0.991326, -2.50161, -3.33282, -3.14388, -2.17119, -2.86173, -3.05765, -3.06079, 0.056904, 3.36948, 0.989969, -2.33996, -2.27621, -1.89581, -1.69208, 1.29951, 0.153646, -1.77122, -1.60108, 0.566904, 0.405354
