# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.07596, 1.92566, 2.46202, -1.12263, -2.95463, -3.61168, -4.12003, -3.78638, -2.84117, 0.354404, -0.940178, -4.23419, -3.13498, -3.10727, -0.80758, -2.31577, -3.42916, -2.57385, -1.74963, -3.45416, -2.15388, -2.29905, -2.83536, -2.12188, -2.70219, -2.85919, -2.77632, -3.17895, -3.24189, -2.98719
0.02, 0.0319375, -2.25206, 2.30871, 2.97795, -1.95449, -2.67943, -3.06723, -3.11493, -2.9442, -3.44707, 0.765725, -0.306452, -2.99308, -3.21186, -3.33555, -0.403299, -1.53499, -3.16976, -2.48254, -1.08252, -2.58664, -2.66117, -1.43944, -1.85903, -1.89354, -1.68662, -2.17357, -2.59181, -2.60974, -2.83134, -2.82605
0.04, 0.0319375, -3.05794, 2.23482, 3.01534, -1.4397, -3.04843, -3.28998, -3.88107, -2.91807, -2.93953, 0.688892, -0.0497126, -3.11087, -3.13818, -3.06078, -0.510743, -1.30184, -3.08054, -2.47179, -1.12233, -2.63876, -1.94322, -1.81796, -2.00883, -1.74524, -2.15028, -1.74348, -2.5795, -2.64808, -2.94451, -2.71898
0.06, 0.0319375, -2.36157, 2.11631, 2.97943, -0.719727, -2.81857, -3.91589, -3.51562, -3.05308, -2.82206, 0.614548, 0.151086, -3.11812, -2.94196, -2.63121, -0.632127, -0.959176, -2.97364, -2.69468, -1.14063, -2.55147, -2.41466, -1.57236, -2.51966, -2.12008, -1.79102, -2.36162, -1.98861, -2.37661, -2.5719, -2.29694
0.08, 0.0319375, -1.70027, 1.59123, 2.78456, -0.122369, -2.31682, -3.59305, -3.61838, -3.44459, -3.06705, 0.632866, 0.39855, -3.18245, -3.17312, -2.76769, -0.592296, -0.702346, -2.39123, -2.28058, -1.00344, -2.06547, -2.74417, -1.79722, -2.63047, -2.54802, -2.03634, -1.86809, -2.06296, -2.08146, -2.44291, -2.36573
0.1, 0.0319375, -2.43164, 2.36002, 3.32322, 0.117363, -2.19372, -2.97972, -4.00502, -3.77075, -3.05519, 0.500176, 0.32996, -2.57697, -2.63414, -3.1807, -0.670376, -0.614126, -2.88783, -3.03653, -1.22155, -2.11995, -2.87608, -1.80515, -2.08872, -2.46987, -2.34283, -2.33781, -2.22099, -2.09078, -2.27779, -1.88565
0.12, 0.0319375, -1.73423, 2.28273, 3.41003, 0.514895, -1.92735, -2.82454, -3.47999, -2.8986, -2.75661, 0.90562, 0.807978, -2.19163, -2.41304, -2.78004, -0.572605, -0.400728, -2.86625, -2.69602, -1.13737, -2.00139, -3.19674, -1.87048, -2.26638, -2.37998, -2.32764, -2.44515, -1.88247, -1.97202, -1.8962, -1.88139
0.14, 0.0319375, -1.92201, 2.07456, 3.31056, 0.694541, -1.89994, -2.14875, -2.33649, -2.53346, -2.49638, 0.0463647, 0.56276, -3.07176, -2.79349, -2.85447, -0.706126, -0.23977, -3.05194, -2.86403, -1.08554, -1.70309, -2.65625, -1.73102, -2.21942, -2.64944, -2.08641, -2.62919, -2.07243, -1.7476, -1.53545, -1.66361
0.16, 0.0319375, -2.80752, 1.15898, 2.75778, 0.685654, -2.1945, -2.44024, -3.00387, -2.57717, -2.48114, 0.18844, 0.795008, -2.81131, -2.88801, -2.86118, -1.04683, -0.18114, -2.82545, -2.78218, -1.19543, -1.5217, -3.06685, -1.77531, -2.10993, -2.49613, -2.00216, -2.49749, -2.12529, -1.66154, -1.56281, -1.4807
0.18, 0.0319375, -2.89218, 1.54086, 3.04456, 0.898642, -2.11271, -2.62379, -2.57069, -2.99852, -2.87104, 0.346804, 1.00142, -2.3387, -2.58766, -2.45769, -0.658937, 0.0843362, -2.51335, -2.49972, -1.03879, -1.43298, -2.87659, -1.9467, -1.90926, -2.64439, -2.22668, -2.28295, -1.87401, -1.69555, -1.9051, -1.34334
