# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.0364552, -0.156822, 0.239434, 0.260203, -0.0307435, -0.451295, 2.09049, 1.31839, 0.116301, 2.9065, 3.08068, 0.451804, 3.21118, 2.51548, -0.140317, 0.718477, 0.0689365, 0.179683, 0.785676, 0.470134, 0.842766, 1.2442, 0.940262, 0.166099, 0.0948356, -0.332213, -0.281123, -0.35635, -0.0110125, -0.381576
0.02, 0.0319375, -0.855025, -0.662426, 0.467328, 0.378201, -0.247017, -0.35141, 1.9899, 1.22214, 0.363917, 2.96467, 2.9819, -0.68958, 3.16915, 2.31411, -0.0468751, 0.956779, 0.255902, 0.280749, 0.450649, 0.105033, 0.865603, 1.33748, 0.742268, 0.530961, 0.323865, -0.0440792, -0.218898, -0.435596, -0.501457, -0.383853
0.04, 0.0319375, 0.323693, 0.64674, 0.737064, -0.457681, -0.61948, -0.376219, 1.96836, 1.02014, -0.0399875, 3.0042, 3.07433, -0.105251, 2.99098, 2.08194, -0.511049, 1.48232, 0.854742, 0.0327676, 0.179522, 0.748325, 1.59049, 1.03218, 0.575202, 0.739179, 0.0613278, -0.211424, -0.162469, -0.335957, -0.424917, -0.436387
0.06, 0.0319375, 0.571951, 0.445003, 0.338083, 0.26957, -0.186865, -0.0890223, 1.67171, 0.792299, -0.193875, 3.04087, 3.07809, -0.424473, 2.78425, 1.82157, 0.445102, 1.48936, 0.696398, 0.345737, 0.383766, 0.512776, 1.51331, 0.993482, 0.675506, 0.713756, 0.478088, 0.446943, -0.0131179, -0.357264, -0.357735, -0.418386
0.08, 0.0319375, 0.608328, 0.763606, 0.212712, 0.048219, 0.0255051, -0.307626, 1.89707, 1.17208, 0.393024, 3.0342, 3.1817, -0.551498, 2.6086, 1.87526, 0.558011, 1.13333, 0.450826, 0.236082, 0.493011, 0.67517, 1.1029, 0.639234, 0.461702, 0.452425, 0.11783, 0.0190678, -0.306455, -0.343298, -0.371564, -0.350752
0.1, 0.0319375, 0.767869, 0.170835, 0.646163, 0.669843, -0.517527, -0.472616, 1.72095, 1.04598, 0.824822, 3.09629, 3.20792, -0.290782, 2.48679, 1.83356, -0.289691, 0.743934, 0.585614, 0.430946, 0.342943, 0.555122, 1.28941, 0.129163, 0.408347, 0.594172, 0.238001, -0.0667994, -0.0731327, -0.401347, -0.301049, -0.660922
0.12, 0.0319375, 1.02217, 0.912454, 0.395242, -0.251732, -0.142804, -0.639435, 1.86283, 1.09673, 0.166877, 3.09968, 3.23869, -0.447924, 2.61962, 1.85148, 0.0898164, 1.29075, 0.530691, -0.0731254, -0.143801, 0.208612, 0.457724, 0.608833, 0.597554, 0.34575, 0.313307, 0.36294, 0.308285, -0.450694, -0.429464, -0.398932
0.14, 0.0319375, 0.752425, 0.875427, 0.516753, -0.0138141, -0.545431, 0.170909, 1.8562, 0.871718, -0.789082, 3.12942, 3.15987, -0.645496, 2.71435, 1.79121, 0.513192, 1.44568, 0.842098, 0.205665, 0.379092, 0.882687, 1.8106, 0.942743, 0.905691, 0.360461, 0.181111, 0.28453, 0.0163729, -0.23947, -0.152725, -0.305074
0.16, 0.0319375, -1.07611, 0.354674, 0.166932, -0.0809307, -0.157961, -0.375603, 1.94194, 1.1231, 0.545065, 3.16204, 3.16837, -0.323703, 2.83993, 1.9086, 0.436714, 0.896421, 0.607529, 0.231391, 0.659964, 1.25002, 2.13346, 1.13459, 0.52679, 0.0186958, 0.152915, 0.346995, -0.0806528, -0.365232, -0.468323, -0.562319
0.18, 0.0319375, 0.21688, 0.753441, 0.595539, -0.0621857, -1.00813, -1.05258, 2.02918, 1.15131, 0.194819, 3.1853, 3.28121, -0.0320698, 2.70512, 1.90134, 0.235682, 0.682613, 0.299228, 0.362751, 0.667531, 0.57532, 0.782356, 0.794276, 0.653971, 0.659978, 0.376028, 0.202395, 0.0585327, -0.49707, -0.511106, -0.415303
