# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.125227, 0.945623, 0.854664, -0.133606, 0.403964, 0.900746, 0.570008, 1.08242, 1.39554, 1.20311, 1.6471, 1.04728, -0.646913, -0.420226, -0.595262, -0.619464, -0.876847, -0.595775, -0.605352, -1.35927, -1.17148, -0.97178, -1.22479, -1.2771, -1.08286, -1.66785, -1.44522, -1.25657, -1.24043, -1.48918
0.02, 0.0319375, 0.0801996, 1.00301, 0.97617, -0.0837948, 0.000361854, 0.967405, 0.876702, 0.943242, 0.831215, 0.997166, 1.37248, 0.901693, -0.0285262, -0.282752, -0.116998, -0.648006, -0.613604, -0.440871, -0.534976, -0.501303, -0.698338, -1.03423, -1.2955, -0.963104, -1.11682, -1.24125, -1.26271, -1.23653, -1.093, -1.48245
0.04, 0.0319375, 0.338283, 1.06787, 0.904016, 1.57534, 1.44388, 1.38732, 0.9173, 1.10994, 0.27052, 0.821372, 1.30879, 0.41677, 0.505157, 0.881125, 1.08076, 1.47714, 0.815422, -0.260609, 0.380142, 1.08649, 0.880144, 0.503902, 1.03543, -0.00459539, 0.522562, 0.913784, 0.579891, 1.23656, 1.3706, 1.6052
0.06, 0.0319375, 0.0674287, 0.679658, 1.64928, 0.533055, 0.494624, 1.63732, 0.561603, 0.828031, 0.98989, 0.829362, 0.940603, 0.165534, -0.160693, -0.319349, 0.0456642, -0.641156, -0.520915, -0.409119, -0.370626, -0.798575, -0.871445, -0.946613, -1.02397, -0.888582, -0.577583, -0.837556, -1.04867, -1.05779, -1.08633, -0.539141
0.08, 0.0319375, 1.15909, 0.481876, 1.03339, 0.131576, 1.09273, 1.48183, 0.469889, 0.333131, 0.876269, -0.26854, 0.326474, 0.316142, -0.189572, -0.30274, -0.0412259, -0.374762, -0.468273, -0.848442, -0.681139, -1.00172, -0.87215, -1.43143, -1.31813, -1.38849, -1.34383, -1.63833, -1.77306, -1.44592, -1.52978, -1.14841
0.1, 0.0319375, 0.629343, 1.43439, 1.16648, 0.399438, 0.330864, 0.515264, 0.734492, 0.728908, 0.297911, 1.04251, 1.08637, 0.0296021, 0.00964517, 0.396449, 0.326712, -0.774653, -0.365416, -0.427258, -0.509061, -0.768861, -1.21785, -1.7649, -1.52573, -1.19485, -1.50824, -1.77965, -1.63246, -1.24111, -1.08277, -1.49625
0.12, 0.0319375, 0.427681, 1.149, 0.43965, -0.142757, 0.539038, 1.67714, 0.385287, 1.20872, 1.35313, 0.726495, 0.502009, 0.572571, -0.491211, -0.393399, -0.363174, -0.0778845, -0.504775, -0.621381, -0.567968, -1.1671, -1.03409, -1.49891, -1.55446, -1.2348, -1.46309, -1.41453, -1.75944, -1.82828, -1.77213, -1.92005
0.14, 0.0319375, 0.0443311, 0.469806, 0.25722, -0.48007, 0.283498, 0.305684, 0.477408, 0.154009, 0.890459, 1.28886, 0.64359, -0.390012, -0.460681, -0.391178, -0.241066, -0.561574, -0.718099, -0.947406, -1.08647, -1.08844, -1.49064, -1.2065, -1.45212, -1.3241, -1.60229, -1.32835, -1.34792, -1.52885, -1.70891, -1.6806
0.16, 0.0319375, 0.3262, 0.190096, 0.928084, 0.415551, 0.284078, 0.566581, 0.0536409, 0.273959, 0.901976, 1.1101, 2.33289, 1.14228, -0.464925, -0.124574, -0.0929645, -0.951888, -0.642441, -0.232956, -0.565461, -1.12235, -1.43145, -1.13394, -1.43061, -1.50371, -1.44859, -1.39842, -1.85174, -1.84466, -1.59279, -1.67406
0.18, 0.0319375, 0.673475, 0.162414, 0.09067, -0.549236, 0.67542, 0.680181, 0.30199, 0.654338, 0.456369, 1.46283, 1.58166, 1.07643, -0.286021, -0.815982, 0.129071, -0.654151, -0.719358, -0.350744, -0.467055, -1.08664, -1.33005, -1.45879, -1.27555, -1.25719, -1.32212, -1.38971, -1.84202, -1.90958, -1.80507, -1.58192
