# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.64354, -7.9899, -7.61775, -7.66467, -7.45076, -7.36149, -7.05078, -7.73141, -7.23097, -6.74618, -7.28127, -7.22033, -6.87292, -6.71077, -6.87934, -6.65409, -6.63747, -6.44007, -6.47713, -6.18812, -6.56675, -6.39056, -6.08401, -6.45879, -6.38773, -6.14094, -6.04354, -5.8686, -5.65707, -5.57969
0.02, 0.0319375, -6.55667, -6.67986, -7.09081, -6.73715, -6.45511, -7.17564, -6.62985, -6.70348, -6.71929, -7.13721, -6.7612, -5.99539, -6.13636, -6.88481, -6.08281, -6.03634, -6.01626, -5.85942, -6.04435, -6.09699, -6.40838, -6.0829, -5.72341, -5.56792, -5.94116, -6.05802, -5.8589, -5.86727, -5.87238, -5.71997
0.04, 0.0319375, -6.59834, -5.94441, -6.59966, -6.77033, -6.15094, -6.48385, -6.089, -6.16416, -6.28939, -6.27135, -6.41572, -6.61381, -6.46429, -6.41372, -5.98153, -6.13435, -6.16156, -5.65774, -5.66807, -6.13599, -6.049, -6.308, -6.05403, -5.85354, -5.74626, -5.91129, -5.84057, -6.05252, -5.73848, -5.83483
0.06, 0.0319375, -5.96644, -5.9531, -6.30055, -6.28, -6.09521, -6.4873, -6.46115, -5.71136, -6.79583, -6.42928, -6.75719, -6.5127, -5.99912, -6.47868, -6.53511, -5.58876, -5.50226, -5.59977, -5.56391, -5.57265, -5.58522, -5.67639, -5.83763, -5.96295, -5.66521, -5.75599, -5.8891, -5.52578, -5.73001, -5.41302
0.08, 0.0319375, -5.87945, -5.75446, -6.32716, -6.75423, -5.76961, -5.63321, -6.04605, -6.32392, -6.27864, -6.13328, -6.63495, -5.73592, -5.28895, -5.51029, -5.63337, -5.47707, -5.6244, -5.27828, -5.46956, -5.07143, -5.3232, -5.51405, -5.93105, -5.68382, -5.40205, -5.40251, -5.73502, -5.49366, -5.61329, -5.5009
0.1, 0.0319375, -5.98938, -5.8894, -5.63488, -5.20872, -5.36822, -5.56043, -4.97886, -4.91537, -5.49351, -5.28414, -5.8922, -5.49702, -5.58074, -5.09646, -4.84611, -5.40987, -5.30254, -5.47768, -5.08404, -5.20714, -5.21806, -5.40096, -5.5431, -5.55308, -5.63059, -5.39543, -5.5449, -5.57303, -5.55842, -5.43282
0.12, 0.0319375, -5.74249, -4.97015, -5.36718, -5.70702, -4.76926, -5.06074, -4.73261, -4.27734, -3.48976, -3.85554, -4.44686, -4.61673, -4.28575, -4.0542, -4.22771, -4.46116, -4.64692, -4.38151, -4.19241, -4.11174, -4.89755, -4.60711, -4.31281, -4.06679, -4.52994, -3.98137, -3.59886, -4.26255, -3.60772, -3.41004
0.14, 0.0319375, -5.01131, -5.19008, -5.13093, -5.32071, -4.98448, -4.58911, -4.87587, -4.12768, -4.39107, -4.45465, -4.71812, -4.91881, -4.43214, -4.45882, -4.19444, -4.59154, -4.01369, -4.42474, -4.59067, -4.26489, -4.77841, -4.58581, -4.88213, -4.51576, -4.4378, -4.56191, -4.35599, -4.91338, -4.35842, -3.72784
0.16, 0.0319375, -4.13448, -4.44918, -4.86963, -5.08656, -4.86796, -4.74022, -4.67387, -4.73645, -4.23534, -4.38157, -4.87517, -4.7129, -4.76174, -4.59578, -4.56491, -4.98326, -5.31307, -5.26679, -4.96899, -4.76689, -4.7168, -4.85126, -4.92498, -4.70885, -4.52324, -4.43511, -4.77749, -4.6855, -4.51998, -4.40559
0.18, 0.0319375, -4.4166, -4.99668, -5.03938, -5.80072, -5.31735, -4.98369, -4.55105, -4.50559, -4.5805, -4.76602, -5.65645, -5.01464, -4.63159, -4.4565, -4.76582, -5.26179, -5.16302, -4.89161, -4.69289, -5.07239, -5.13404, -5.18037, -4.83304, -4.87043, -4.74021, -4.94215, -5.05656, -4.75617, -4.78634, -4.98208
