# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.54633, -3.95457, -3.45896, -2.67053, -1.26198, 1.76492, 4.68498, 3.4033, -0.562015, -2.37373, -3.48306, -3.98398, -2.94362, -3.75704, -4.96044, -3.98432, 1.23566, 0.953814, -4.53829, -4.58378, -4.22623, -5.48961, -0.117836, -0.681518, -5.0533, -4.7853, -1.46959, -1.2858, -4.82217, -3.06244
0.02, 0.0319375, -5.18846, -4.55839, -4.06903, -3.34903, -2.06126, 0.552745, 4.6194, 3.79704, -1.11088, -3.17838, -4.29641, -4.73903, -2.94462, -3.4223, -5.27018, -4.64986, 0.852853, 1.25765, -4.09885, -4.95169, -4.03552, -5.77275, -0.449898, -0.316999, -5.15871, -4.59395, -1.96139, -1.03414, -5.16101, -4.28391
0.04, 0.0319375, -5.31333, -4.59214, -4.05082, -3.30269, -2.00998, 0.303113, 4.51459, 4.11951, -0.454313, -2.52756, -3.64219, -4.33398, -3.14558, -3.22222, -4.97872, -5.15022, 0.268844, 1.47464, -3.199, -5.3471, -4.05175, -5.2523, -0.941084, -0.0558836, -5.47219, -4.57434, -2.89941, -0.85351, -4.84517, -5.06514
0.06, 0.0319375, -4.58671, -3.97592, -3.49942, -2.79937, -1.6117, 0.328762, 4.329, 4.42596, 0.321196, -1.98115, -3.16811, -3.90174, -3.32428, -3.05229, -4.77224, -5.41878, -0.781188, 1.59636, -1.75457, -5.47931, -4.14149, -5.11255, -1.84525, 0.132591, -4.32997, -4.6271, -4.70948, -0.852784, -3.14413, -4.95973
0.08, 0.0319375, -5.64028, -5.17517, -4.72555, -4.10765, -2.99247, -1.09251, 4.05752, 4.64011, -0.0693, -3.31534, -4.79965, -5.58419, -3.72875, -3.00528, -4.9729, -5.60458, -2.51694, 1.54848, -0.460782, -6.06256, -4.40808, -4.88235, -3.76756, 0.146925, -2.24622, -4.82482, -5.00799, -1.07283, -2.10719, -4.7867
0.1, 0.0319375, -5.07348, -4.41237, -3.91739, -3.22711, -2.10524, -0.462234, 3.77718, 4.80469, 1.17718, -1.78689, -3.04415, -3.81945, -3.64447, -2.85033, -4.30438, -5.57244, -3.99489, 1.37725, 0.259602, -5.89984, -4.5372, -4.50291, -5.24063, -0.0438256, -1.20644, -4.9436, -4.84171, -1.3787, -1.60344, -5.00054
0.12, 0.0319375, -4.8059, -4.23801, -3.80133, -3.17045, -2.12002, -0.642732, 3.30562, 4.91986, 2.07427, -1.62772, -2.98509, -3.82524, -3.96601, -2.86296, -3.99065, -5.41141, -5.0323, 1.15364, 0.683212, -5.74417, -4.80999, -4.3722, -5.64788, -0.312078, -0.691945, -5.33826, -4.8975, -1.82031, -1.28531, -5.01812
0.14, 0.0319375, -6.86054, -6.36898, -5.85639, -5.04463, -3.87366, -2.15498, 2.68079, 4.96299, 2.58972, -2.53775, -3.94585, -4.61322, -4.53466, -2.87107, -3.76728, -5.27506, -5.10029, 0.871172, 0.977621, -5.09507, -5.39938, -4.18628, -5.60728, -0.675497, -0.356934, -5.27033, -4.60888, -2.55308, -1.05619, -5.13744
0.16, 0.0319375, -5.12607, -4.4318, -3.93401, -3.28986, -2.28354, -0.975683, 2.10211, 4.9546, 3.25383, -1.06171, -2.54294, -3.42464, -4.00681, -2.81244, -3.42584, -5.45711, -5.61571, 0.484165, 1.2004, -4.18207, -5.48248, -4.10588, -5.26738, -1.23275, -0.114882, -5.33037, -4.45927, -4.19615, -0.958623, -3.77682
0.18, 0.0319375, -5.41303, -4.88452, -4.49717, -3.96887, -3.05165, -1.8468, 0.828079, 4.87892, 3.66822, -1.64055, -3.34766, -4.32684, -5.08363, -3.08047, -3.34159, -6.07587, -5.50643, -0.122881, 1.3698, -3.22556, -5.74252, -4.20168, -5.12742, -2.36838, 0.0478337, -3.88701, -4.89762, -5.1772, -1.13747, -2.4641
0.2, 0.0319375, -5.43798, -4.84061, -4.43509, -3.84666, -2.89749, -1.73085, 0.540123, 4.7649, 3.99691, -0.896897, -2.58613, -3.51585, -4.21719, -3.2267, -3.05008, -5.45198, -5.44582, -1.28714, 1.45397, -1.66129, -5.99484, -4.45722, -4.75508, -4.52753, -0.00700177, -1.98762, -4.93239, -5.0837, -1.4271, -1.86053
0.22, 0.0319375, -5.16852, -4.647, -4.21293, -3.66414, -2.76686, -1.6907, 0.208769, 4.59096, 4.28945, -0.496733, -2.36762, -3.3908, -4.08823, -3.37934, -2.93629, -4.93816, -5.62243, -3.17282, 1.35368, -0.313253, -6.03131, -4.65818, -4.46913, -5.86219, -0.227682, -1.15012, -5.15322, -4.95815, -1.82682, -1.49232
0.24, 0.0319375, -6.89318, -6.32225, -5.85692, -5.2408, -4.24325, -3.07658, -1.05195, 4.39279, 4.46475, -0.999201, -3.13662, -4.13523, -4.59492, -3.69233, -3.00494, -4.31158, -5.59157, -4.29739, 1.11874, 0.404571, -5.44972, -4.85986, -4.29047, -5.80406, -0.523362, -0.694819, -5.26406, -4.76857, -2.45521, -1.22995
0.26, 0.0319375, -5.44737, -4.7893, -4.34076, -3.79084, -2.91907, -1.93274, -0.368913, 4.16172, 4.6428, 0.264498, -1.93678, -3.02666, -3.76291, -3.74979, -2.97551, -4.13935, -5.51968, -4.75811, 0.787635, 0.787642, -4.9027, -5.23661, -4.20419, -5.49543, -0.947235, -0.445123, -5.39913, -4.71715, -3.87173, -1.12029
0.28, 0.0319375, -5.96135, -5.27981, -4.8595, -4.32857, -3.49107, -2.56675, -1.12655, 3.89345, 4.7453, 0.131661, -2.45538, -3.63727, -4.45633, -4.17432, -3.01164, -4.00952, -5.78816, -5.21608, 0.456631, 0.99649, -4.51402, -5.44601, -4.26244, -5.43906, -1.4121, -0.296394, -5.73136, -4.83132, -5.41416, -1.21195
0.3, 0.0319375, -6.5475, -6.16839, -5.68784, -5.17859, -4.29568, -3.32512, -1.84307, 3.63238, 4.81902, 0.266526, -2.59934, -3.72398, -4.47255, -4.50625, -3.20773, -3.99338, -5.62051, -5.62361, 0.0136323, 1.16365, -3.92714, -5.52817, -4.38528, -5.37187, -2.12322, -0.162232, -4.76282, -4.79616, -5.40044, -1.37201
0.32, 0.0319375, -5.4323, -4.89105, -4.51748, -4.02069, -3.2222, -2.34132, -1.04076, 3.34016, 4.88907, 1.51258, -1.60325, -2.83681, -3.69092, -4.31401, -3.12199, -3.63817, -5.6762, -5.5579, -0.712952, 1.28959, -2.93964, -5.49723, -4.38759, -5.11153, -3.59405, -0.114732, -3.20701, -4.93435, -5.23683, -1.55986
0.34, 0.0319375, -5.50403, -4.98977, -4.69207, -4.2536, -3.50464, -2.68244, -1.47091, 2.86888, 4.92237, 2.10279, -1.82795, -3.14701, -4.08666, -4.68307, -3.22789, -3.45227, -5.76751, -5.82696, -1.94007, 1.32163, -1.51776, -5.86596, -4.54348, -4.83348, -5.08527, -0.228646, -1.94758, -5.04639, -5.26003, -1.79936
