# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -8.05905, -8.05905, -7.92769, -8.02674, -8.05905, -7.52513, -8.01985, -7.74994, -7.27622, -7.51166, -7.45352, -7.00063, -7.01364, -6.83398, -6.92672, -6.74659, -6.84928, -6.69457, -6.74454, -6.86213, -6.41507, -6.18796, -6.35443, -6.21003, -6.15835, -5.94212, -6.23397, -6.16429, -5.60383
0.02, 0.0319375, -7.56849, -8.05905, -8.00553, -7.75131, -6.74793, -7.49212, -7.44979, -7.40252, -6.75648, -6.93706, -6.912, -7.36241, -7.02099, -6.83248, -7.00386, -6.81348, -6.83767, -7.0459, -7.02046, -6.99801, -6.4915, -6.33875, -6.4721, -6.31501, -5.96757, -5.90917, -5.88885, -5.95228, -5.72366, -5.59687
0.04, 0.0319375, -7.53544, -6.72294, -7.25132, -7.33149, -7.21398, -7.97228, -7.36505, -6.83756, -6.49258, -6.53604, -6.44821, -6.85597, -7.03625, -6.93573, -7.01308, -6.54989, -6.40595, -6.62702, -6.36213, -6.29337, -6.30223, -6.25996, -5.98849, -6.0048, -5.95432, -5.8325, -6.06016, -5.98242, -6.16715, -5.58103
0.06, 0.0319375, -8.05905, -7.35589, -7.47437, -8.05905, -7.52936, -7.42383, -7.12847, -6.9181, -7.29744, -7.54871, -7.61033, -6.80758, -6.76632, -6.98387, -6.96698, -6.54786, -6.6334, -6.63197, -6.66204, -6.77521, -6.13907, -6.09949, -5.8566, -5.87621, -5.99237, -6.18106, -6.03035, -5.62157, -5.48093, -5.6219
0.08, 0.0319375, -0.968125, -1.00028, -1.18737, -1.31243, -1.30776, -1.51409, -1.65685, -1.58768, -2.01237, -1.82862, -1.93112, -1.9411, -1.4182, -0.984078, -0.571646, -0.117555, -1.34302, -0.450272, -0.58158, -0.942087, -1.84022, -1.00964, -1.0408, -1.49405, -1.05409, -1.22497, -1.71228, -1.92258, -1.21431, -1.78137
0.1, 0.0319375, -2.13827, -2.24299, -2.27928, -2.50349, -2.86596, -2.67559, -2.42707, -2.57298, -0.447179, -1.37644, -2.34889, -0.999938, 1.05398, -1.14933, 0.112607, 2.44704, 0.178864, 1.18191, 0.707905, 0.20312, -0.0946379, -0.338166, -0.559421, 0.385798, 0.214317, -0.0764994, -0.11168, -0.752972, 0.187858, -0.820742
0.12, 0.0319375, -1.75479, -2.15785, -2.23044, -2.38085, -2.32436, -2.79952, -2.34878, -2.05569, -0.28488, -1.12933, -1.6581, -0.699103, 1.17665, -0.487029, 0.197579, 2.06567, 0.626272, 1.56304, 0.888068, 1.4187, 1.35814, 0.474663, 0.128146, 0.715262, 0.571118, 0.524175, 0.509795, 0.072264, 0.121857, -0.700725
0.14, 0.0319375, -1.47683, -2.05737, -1.70418, -2.45824, -2.41372, -2.37377, -1.82865, -1.56928, -0.212265, -0.492731, -0.683175, -0.520307, 1.12232, 0.0391003, 0.868386, 2.67118, 1.0106, 1.06589, 0.371241, 0.697389, 0.423042, 0.566867, 0.640812, 0.925356, 0.72082, 0.482601, 0.24572, -0.0121165, 0.0781851, -0.262048
0.16, 0.0319375, -1.20409, -1.36465, -1.89271, -2.36066, -2.26226, -2.10341, -1.42858, -1.28922, -0.196928, -0.3908, 0.0403702, 0.490808, 2.44779, 0.733268, 1.37798, 3.0038, 1.4629, 0.780477, 0.562285, 0.902812, 0.673129, 0.836777, 0.759974, 0.905564, 0.629036, 0.251599, 0.124953, 0.0545469, 0.529118, -0.559497
0.18, 0.0319375, -1.27853, -1.2697, -1.69167, -2.90487, -2.53521, -2.1607, -1.49719, -1.7572, -0.477583, -0.474849, -0.690543, 0.810219, 2.90921, 0.942482, 1.42466, 2.29136, 1.49396, 1.02777, 0.768172, 0.756725, 0.548409, 1.28951, 1.04477, 1.20146, 1.17678, 0.803566, 0.19807, -0.375185, 0.519235, -0.445792
0.2, 0.0319375, -1.17342, -1.70553, -1.96996, -2.10807, -2.30942, -1.68911, -0.995677, -1.71696, -0.937125, 0.653665, 0.290789, 0.364934, 2.67832, 1.15848, 1.89627, 2.68412, 2.17331, 1.36494, 0.98178, 0.564299, 0.30276, 1.09576, 1.01113, 0.801862, 1.02924, 1.00935, 0.0240324, -0.093919, 0.170335, -0.53821
0.22, 0.0319375, -1.56148, -1.97354, -2.49866, -2.09055, -1.82507, -2.28146, -0.938217, -1.79247, -1.18488, 0.67415, 0.137154, 0.417691, 1.96075, 0.70889, 2.5224, 3.3945, 2.14927, 1.64544, 1.49665, 0.425007, 0.312215, 1.20629, 1.06935, 1.0819, 1.35916, 1.25144, 0.429869, -0.129927, 0.441803, -0.595497
0.24, 0.0319375, -1.56004, -1.15732, -1.03111, -1.19874, -1.87713, -1.92037, -0.795213, -1.51615, -0.56798, 0.354224, 0.0753356, 0.356396, 1.94302, 0.173227, 2.08174, 2.42296, 1.82608, 1.84402, 1.57676, 1.17609, 0.996685, 0.955882, 0.582872, 1.05374, 0.987273, 0.706722, 0.460045, 0.341647, 0.472729, -0.0022697
0.26, 0.0319375, -1.57682, -1.85627, -1.73564, -1.88724, -2.308, -1.46266, -0.991729, -1.28256, -0.503881, -0.386175, -0.249111, 1.18323, 3.06002, 0.717158, 1.39522, 2.9808, 2.16347, 1.5703, 1.77537, 1.39168, 1.43357, 1.24526, 0.997947, 0.643205, 0.916206, 0.78401, 0.208602, -0.380924, -0.14217, -1.11045
0.28, 0.0319375, -1.01489, -1.5953, -1.58964, -1.86615, -1.52673, -1.49346, -0.377242, -1.17375, -0.671099, 0.183033, -0.487222, 0.830389, 3.42325, 1.28189, 1.65794, 2.61029, 2.21802, 1.67275, 1.12093, 0.993473, 1.15194, 1.25037, 0.638136, 0.635704, 1.07487, 0.936939, 0.453412, -0.169638, 0.489731, -0.790847
0.3, 0.0319375, -1.58377, -1.9119, -1.91289, -2.14647, -1.98242, -1.84418, -0.691973, -1.5509, -0.404747, -0.0488943, -0.621733, 0.488469, 3.46824, 1.45042, 1.87586, 2.58321, 1.67528, 1.19007, 1.13827, 0.815337, 0.83437, 1.17975, 0.939767, 0.952065, 1.32975, 0.985099, 0.0760672, -0.412016, 0.0844417, -0.920348
0.32, 0.0319375, -1.15705, -1.66468, -1.69649, -2.2566, -2.53087, -1.73287, -0.971925, -1.22412, -0.323456, 0.525147, -0.0357765, 1.00247, 3.35642, 1.14304, 2.27547, 2.05647, 1.8441, 1.27027, 1.36672, 1.021, 0.796535, 1.22331, 0.85563, 0.429357, 1.08067, 1.13722, 0.372921, -0.589677, -0.0411546, -0.838602
0.34, 0.0319375, -1.72648, -2.70307, -1.4227, -2.61348, -2.41908, -1.95364, -1.17044, -0.843799, -0.369867, 0.500927, -0.337494, 0.559635, 2.90274, 0.943491, 2.52331, 2.24406, 2.49255, 1.59948, 2.00974, 1.23974, 1.2444, 1.37049, 1.07981, 0.753738, 1.27847, 1.08094, 0.151632, -0.492435, -0.0480127, -1.04231
0.36, 0.0319375, -1.53122, -1.42963, -1.81942, -2.35605, -2.54131, -1.46612, 0.042404, -0.902498, -1.49772, 0.139662, -0.0670563, 0.940349, 3.32155, 1.05059, 2.1739, 2.79884, 2.12522, 1.34024, 1.7771, 1.37737, 1.39306, 1.23053, 0.828285, 0.787374, 1.41972, 1.32656, -0.0277272, -0.665793, -0.842312, -0.986209
0.38, 0.0319375, -1.4131, -1.95839, -1.51658, -1.97736, -2.11756, -1.80484, -0.198893, -0.803227, -0.898326, 0.476893, -0.332965, 0.355134, 2.74159, 0.933557, 1.74839, 2.18256, 1.65048, 1.25077, 1.86742, 1.40472, 1.21479, 0.760434, 0.948565, 0.914927, 1.15995, 0.925771, -0.0730482, -0.7649, -0.530126, -1.27654
0.4, 0.0319375, -1.04566, -1.53408, -2.09884, -2.65226, -2.27927, -1.81369, -0.723489, -1.39062, -0.853206, 0.504473, -0.477932, 0.777813, 3.16267, 0.945528, 1.27207, 1.99457, 1.95044, 1.27538, 1.71592, 1.37819, 1.24554, 1.32368, 0.6666, 0.782892, 1.0759, 0.709998, -0.617477, -0.669944, -0.802937, -1.31837
0.42, 0.0319375, -1.92985, -2.16975, -1.83106, -2.5837, -2.68553, -2.08051, -0.40693, -0.665733, -0.92404, 0.356955, -0.344092, 0.932516, 2.08475, 0.300611, 1.32985, 2.25663, 1.67809, 1.27444, 1.67477, 0.763515, 0.600767, 0.735883, 0.841565, 0.460923, 0.674126, 0.65435, -0.358068, -0.920299, 0.0382935, -0.903841
0.44, 0.0319375, -1.78222, -1.95741, -2.25574, -2.47031, -2.44872, -2.26564, -0.806747, -1.0343, -0.88474, 0.135396, -0.612509, -0.0987175, 2.35982, 0.682852, 2.11111, 2.73895, 2.16867, 1.32803, 1.25896, 0.0386878, 0.169898, 1.09564, 0.0531215, 0.173997, 1.36239, 1.19929, -0.154913, -0.797198, -1.06298, -1.03211
0.46, 0.0319375, -1.24465, -1.48923, -1.51978, -2.44235, -2.45078, -2.6823, -1.54931, -0.685204, -0.581107, 0.603639, -0.104272, 0.799552, 3.44421, 1.31747, 2.31786, 1.66274, 2.13623, 1.15233, 1.99045, 0.783939, 0.827646, 0.974576, 0.854596, 0.985027, 1.59654, 1.24903, -0.277087, -0.944373, -0.33423, -1.02312
0.48, 0.0319375, -1.66162, -2.18959, -2.20796, -2.40427, -2.21212, -1.87276, -1.34216, -1.59056, -0.942637, -0.16838, -0.632957, 1.07304, 3.48461, 0.878159, 1.3324, 1.55405, 1.49846, 0.858885, 2.00526, 0.8464, 0.844311, 0.951275, 0.618185, 0.809457, 0.704347, 0.633165, -0.210024, -1.0874, -0.568444, -1.27489
0.5, 0.0319375, -1.09209, -2.366, -1.93717, -3.08963, -3.05754, -2.81069, -1.66162, -1.12244, -0.630138, 0.818187, -0.384162, 0.634415, 3.01063, 0.924995, 1.74717, 1.70103, 1.93791, 1.24706, 1.57982, 0.983483, 0.871914, 0.557281, 0.973458, 0.59452, 0.423823, 0.511996, -0.296652, -0.986034, -0.387507, -1.2146
0.52, 0.0319375, -1.24624, -1.51982, -2.17122, -2.37361, -2.28643, -1.93505, -0.707697, -1.57936, -1.01234, 1.04591, -0.0100252, 0.690915, 2.69147, 0.759703, 1.36325, 2.2426, 1.41623, 0.739138, 2.04292, 0.70145, 0.711883, 1.18116, 0.689232, 0.436812, 0.737164, 0.736083, -0.149655, -0.735298, -0.232777, -0.855864
0.54, 0.0319375, -1.08011, -2.01141, -1.97471, -1.99935, -1.76184, -1.64896, -0.29642, -0.900307, -1.06336, 0.447408, -0.711106, 1.09607, 3.36189, 1.02268, 2.17806, 1.59974, 1.52009, 0.948186, 1.90369, 1.17019, 1.26507, 1.19511, 0.43413, 0.35441, 1.24415, 1.15636, -0.131404, -1.10056, -0.914196, -0.923402
0.56, 0.0319375, -1.53155, -2.31684, -2.21066, -2.10004, -2.03158, -1.90525, -0.0313908, -0.764897, -0.860264, -0.164582, -0.743008, 1.02902, 3.17108, 1.01763, 2.24046, 1.71642, 1.21924, 0.803359, 1.7713, 0.9735, 0.893091, 0.849861, 0.749905, 0.837876, 1.39841, 1.15772, -0.247154, -1.07221, -0.458985, -1.20199
0.58, 0.0319375, -1.77732, -1.47035, -2.26849, -2.41353, -2.7676, -2.23471, -0.425846, -0.661064, -0.826776, -0.0789942, -1.17471, 1.16219, 2.71626, 0.609963, 1.70488, 1.90421, 2.16969, 1.18531, 2.06186, 1.04252, 0.878737, 0.540248, 0.906174, 0.468231, 1.27416, 1.10123, -0.0887231, -0.61764, -0.44993, -1.02878
0.6, 0.0319375, -1.16828, -1.4298, -2.04859, -1.7704, -3.08683, -1.93124, -0.450969, -1.08968, -0.866984, -0.276675, -0.936462, 0.871444, 2.79056, 0.758443, 1.87343, 1.87504, 1.88823, 0.9712, 1.30552, 0.891041, 0.880581, 0.585221, 0.600497, 0.448549, 1.27037, 0.989321, -0.184036, -1.05997, -0.47769, -1.16437
0.62, 0.0319375, -1.10985, -2.43805, -3.19588, -2.60305, -2.31145, -1.87471, -0.907216, -1.49787, -0.927272, -0.519188, -1.00357, 1.03534, 3.14734, 1.18053, 1.77321, 1.49294, 1.67793, 1.12585, 1.53477, 1.07396, 1.11439, 1.58851, 0.965349, 0.571859, 1.22894, 1.00574, -0.356587, -1.04877, -1.0082, -1.40098
