# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.115127, 0.0144928, -0.89111, 0.302549, 0.949145, 2.23501, 1.68293, 1.80876, 2.67118, 2.88465, 2.82374, 2.93317, 3.30967, 2.51526, 0.793009, 1.03797, 0.739902, 1.00844, 0.594362, 0.69739, 0.55537, 0.178037, 0.3211, 0.333168, 0.234686, 0.289, 0.16155, -0.13275, -0.44387, -0.174137
0.02, 0.0319375, 0.148199, 0.643827, -0.0636648, 0.0703675, 0.542608, 2.10614, 3.12404, 3.12518, 2.53284, 2.2962, 2.40556, 3.06752, 2.99213, 2.32218, 1.44137, 0.0441844, 0.849241, 0.170493, 0.391736, 0.495806, 0.951294, 0.527507, 0.157983, 0.568001, 0.408309, 0.705981, 0.650367, -0.0819527, -0.218041, -0.297632
0.04, 0.0319375, 0.225378, 0.659848, -0.396078, 0.170608, 0.705702, 2.35992, 2.4096, 2.57487, 2.68229, 2.69029, 2.32876, 2.80071, 2.83669, 2.83529, 1.56236, 0.026468, 0.964292, 0.286367, 0.41268, 0.812484, 1.13181, 0.714522, 0.371363, 0.426602, 0.293687, 0.312174, 0.323256, -0.0702642, -0.0987832, -0.108467
0.06, 0.0319375, 0.858135, 1.36881, 0.283668, 0.650808, 0.582323, 1.40947, 2.02599, 1.85843, 1.92555, 2.3319, 3.44795, 4.07685, 3.46885, 2.83823, 1.53717, 0.750938, 0.600228, 0.708549, 0.997953, 0.716576, 0.773145, 0.563187, 0.280302, 0.62896, 0.277324, 0.386793, 0.247084, -0.110585, -0.391318, -0.328797
0.08, 0.0319375, 0.473131, 0.590535, -0.342049, -0.279496, 0.559215, 1.50835, 1.0582, 1.752, 2.60475, 3.80809, 3.66985, 2.84406, 3.08846, 2.56018, 1.34023, 0.0873138, 0.381196, 0.477446, 0.547448, 0.306115, 0.875595, 0.652282, 0.331329, 0.379831, 0.150168, 0.0861464, 0.285112, -0.282266, -0.147298, -0.51064
0.1, 0.0319375, 0.911886, 0.755868, 0.0949526, -0.707831, 0.151017, 0.82536, 1.94338, 2.67933, 2.90803, 2.77728, 3.13177, 3.04089, 2.64375, 2.39507, 0.879604, 0.454687, 0.586569, 0.664775, 0.352045, 1.04348, 0.947253, 0.309695, 0.21191, 0.01981, 0.133663, 0.392448, 0.422793, -0.213572, -0.376671, -0.362057
0.12, 0.0319375, 0.499657, 0.424449, -0.168274, -0.0932682, 0.456823, 2.44772, 4.26193, 4.02819, 3.43319, 3.13373, 2.53065, 2.44987, 2.53644, 2.1479, 1.1854, 0.38076, 0.615646, 1.27534, 0.81519, 0.629347, 0.673189, 0.114561, 0.658328, 0.819046, 0.157334, 0.315239, 0.512153, -0.389434, -0.52261, -0.115381
0.14, 0.0319375, 1.00207, -0.0786709, -0.248858, -0.664376, 2.00897, 4.36547, 3.63029, 3.22287, 3.32976, 3.07732, 2.6976, 2.87745, 2.79476, 2.5913, 1.30562, 0.922058, 0.732158, 0.983826, 0.806885, 0.521969, 0.493386, 0.257194, 0.363426, 0.70757, 0.370774, 0.148497, -0.262955, -0.349072, -0.137255, -0.252483
0.16, 0.0319375, 0.787461, 1.0367, -0.283072, 0.0595878, 0.520501, 2.85905, 4.08792, 4.24475, 3.07746, 2.88471, 2.69145, 2.76665, 2.34164, 2.49267, 0.993635, 0.301924, 1.16579, 1.3087, 0.881632, 0.593248, 0.684349, 0.657584, 0.427576, 0.37315, 0.00241381, -0.107603, 0.167427, -0.12959, -0.32942, -0.372626
0.18, 0.0319375, 0.873722, 0.914806, -0.00425139, -0.144932, 1.36103, 2.86929, 2.96608, 2.71671, 3.52975, 3.04212, 1.90085, 1.80724, 2.33081, 2.57348, 1.0101, 0.845127, 0.73577, 0.512538, 0.66267, 0.738734, 0.825292, 0.381476, 0.538212, 0.514814, 0.269827, -0.114553, 0.386629, -0.123566, -0.369706, 0.154875
0.2, 0.0319375, 0.294299, 0.695484, 0.00518217, 0.264614, 0.489627, 2.93284, 2.4601, 2.64841, 3.09447, 2.97456, 2.60043, 1.69403, 1.8276, 1.74139, 0.942923, 0.173356, 0.645054, 0.553919, 0.538723, 0.454316, 0.31801, 0.691284, 0.22069, 0.0912895, -0.0765632, 0.23818, 0.275595, 0.0926059, 0.0443979, -0.19086
0.22, 0.0319375, 0.368577, 0.474947, -0.281893, 0.205478, 0.457956, 2.74869, 3.05844, 2.34424, 2.65355, 3.21046, 3.37453, 3.39924, 2.20457, 2.27681, 0.564584, 0.338488, 0.976683, 0.877869, 0.464607, 0.793126, 0.251713, 0.0590723, 0.550232, 0.530954, -0.0567417, 0.0570747, -0.020387, -0.441116, -0.244668, -0.235806
0.24, 0.0319375, -0.203242, 0.437538, 0.275592, 0.260064, 0.953974, 2.66014, 2.78014, 2.73855, 2.37831, 1.93007, 2.70106, 4.29343, 3.55982, 2.42672, 1.05879, 0.862485, 0.802813, 0.481319, 0.520996, 0.776133, 1.14689, 0.547102, 0.695146, 0.395632, 0.207389, 0.165116, 0.586271, 0.0844207, -0.170422, -0.36066
0.26, 0.0319375, -0.519877, 0.299286, -0.347531, 0.193992, 0.00339586, 2.07961, 2.5692, 2.71094, 2.86495, 2.73981, 2.03633, 3.09757, 3.54982, 2.46394, 1.38908, 0.147043, 0.544123, 0.345306, 0.365601, 0.794854, 0.85269, 0.229275, 0.3781, 0.259238, 0.071307, 0.228098, 0.445999, -0.0955335, -0.621707, -0.334831
0.28, 0.0319375, -0.263604, 0.513828, -0.41553, -0.0415864, 0.43738, 1.19461, 2.13469, 2.24657, 2.35864, 2.70807, 2.5072, 2.76645, 2.77245, 2.69824, 1.36171, 0.804153, 0.599745, 0.625598, 0.682524, 0.592671, 0.810506, 0.0677531, 0.607924, 0.702656, 0.358479, 0.176303, -0.013147, -0.232102, 0.0314233, 0.0392987
