# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.504357, -0.212616, 0.276466, -0.178357, -0.160657, -0.354129, -0.148256, -0.0156773, -0.294964, -0.030116, 0.121268, 0.0253102, 0.0868668, 0.287253, 0.251669, -0.137073, -0.749807, -0.900241, -0.771589, -0.575845, -0.457325, -1.07814, -1.18149, -1.03836, -1.41362, -1.6531, -1.66028, -1.93975, -2.07779, -1.77663
0.02, 0.0319375, 0.293092, -0.407587, -0.483171, -0.702999, -0.180019, -0.360898, -0.501937, 0.0654196, 0.102001, 0.397469, 0.131261, 0.526479, 0.0796191, 0.157811, -0.296334, -0.329557, -0.922347, -0.490105, -0.808056, -0.980759, -0.877914, -1.26834, -1.18554, -1.29827, -1.36565, -1.74237, -1.84339, -1.89854, -1.87962, -1.79424
0.04, 0.0319375, -0.135259, -0.772328, -0.110992, -0.479183, 0.161356, -0.213286, -0.83256, 0.362486, 0.478206, 0.263188, 0.0882486, 0.093107, -0.0968818, -0.314536, -0.322273, -0.180344, -0.570317, -1.031, -1.02147, -0.647709, -1.02227, -0.996967, -1.14581, -1.52356, -1.78585, -1.63448, -1.85, -1.63455, -1.8792, -1.88918
0.06, 0.0319375, -0.928306, -0.933586, -0.242676, -0.150055, -0.319222, -0.79578, -0.113992, 0.192097, 0.284525, 0.18611, -0.340822, 0.0756828, -0.0419612, -0.184023, -0.195948, -0.218537, -0.62705, -0.636029, -0.614719, -0.625752, -1.03041, -1.21709, -0.890523, -1.19787, -1.53774, -1.88231, -1.47422, -1.75237, -1.70266, -1.75104
0.08, 0.0319375, -0.239184, -0.18447, -0.242963, -0.119889, -0.0833307, 0.196645, 0.308847, 0.379279, -0.229497, 0.617729, 0.051793, -0.046737, -0.0569414, -0.370042, -0.530497, -0.0890485, -0.476017, -0.599017, -0.544802, -0.807535, -0.753923, -1.13807, -1.08588, -1.33581, -1.65703, -1.94891, -1.88577, -1.86128, -2.09222, -2.00889
0.1, 0.0319375, 0.0630315, -0.484427, -0.687345, -0.49972, -0.687536, 0.151369, 0.334512, -0.0613245, 0.327133, -0.745786, -0.260102, -0.200707, 0.105545, 0.107499, -0.480354, -0.356886, -0.180131, -0.208455, -0.902843, -0.469439, -0.797808, -1.08562, -1.21435, -1.57845, -1.35215, -1.36537, -1.83663, -1.70045, -1.76026, -1.72968
0.12, 0.0319375, 0.373714, 0.17651, -0.752802, -0.359723, 0.0968304, -0.184187, 0.407685, 0.622526, 0.125517, 0.468491, 0.109039, 0.506252, 0.231368, -0.0835965, 0.0173234, -0.147772, -0.287063, -0.398148, -0.441191, -0.469221, -0.695563, -0.916312, -0.964233, -1.18856, -1.26822, -1.79533, -1.65048, -1.52498, -1.51966, -2.04309
0.14, 0.0319375, -0.470258, -0.35491, -0.639581, -0.499361, 0.153101, 0.212132, 0.260378, 0.289332, -0.367539, -0.336916, -0.315949, 0.187307, -0.23116, -0.0330496, -0.031566, -0.263334, -0.462933, -0.552774, -0.665126, -0.979387, -1.03611, -0.59845, -1.04733, -1.3276, -1.80665, -1.71276, -1.60559, -1.89507, -1.99353, -2.05738
0.16, 0.0319375, -0.063507, 0.138584, -0.771366, -1.21965, -0.464533, -0.229717, 0.384963, 0.481962, 0.101445, 0.235933, -0.0728043, 0.196794, -0.0411056, -0.351585, -0.0534118, 0.0286607, -0.503042, -0.557442, -0.462775, -0.522364, -0.968027, -1.15707, -1.32916, -1.57062, -1.63765, -2.1284, -1.59631, -1.66952, -1.91505, -1.95738
0.18, 0.0319375, 0.0487997, -0.382539, -0.454712, -0.376352, 0.17425, -0.0693586, -0.212618, -0.292721, 0.508794, 0.249294, -0.291307, 0.461277, 0.752961, 0.0403043, -0.490731, -0.105368, -0.446714, -0.365504, -1.10735, -0.580509, -0.637279, -0.987598, -1.11765, -1.42985, -1.5072, -1.38469, -1.90415, -1.76181, -1.8895, -1.97785
0.2, 0.0319375, -0.890927, -0.643522, -0.948184, -0.977042, -0.581061, -0.332809, -0.694481, -0.273271, 0.224546, 0.451611, -0.27121, -0.148966, -0.0464501, -0.459449, -0.456215, -0.499563, -0.478813, -0.0883375, -0.507047, -0.785593, -1.23085, -1.26657, -1.08332, -1.37309, -1.62702, -1.46716, -2.25066, -1.95392, -1.67445, -1.89254
0.22, 0.0319375, -0.315928, -0.599645, -0.742613, -0.262682, -0.169034, -0.525164, -0.750639, 0.184826, -0.0391544, 0.578716, 0.476077, 0.17474, -0.125448, -0.418578, -0.0803962, -0.136958, -0.336093, -0.975751, -0.987091, -0.903664, -1.01569, -1.02705, -0.866462, -1.30833, -1.69811, -1.63481, -1.64324, -1.82561, -1.96412, -1.86731
0.24, 0.0319375, 0.225517, -0.438759, -1.07384, -0.498655, 0.00340798, 0.364698, 0.537407, -0.292233, 0.684638, 0.530983, 0.22559, 0.396658, -0.15147, -0.695389, -0.438809, -0.883501, -0.521548, -0.690521, -0.64313, -0.450806, -0.713219, -1.22597, -1.10829, -1.50297, -1.65062, -1.63084, -1.91513, -1.73293, -1.70761, -1.75217
