# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.2142, -0.844706, -0.757409, -1.19924, -1.77196, -2.44135, -3.04918, -2.19248, -1.59241, -1.58177, -2.23774, -2.71801, -3.23146, -2.35493, -2.28455, -2.67391, -3.19335, -2.71501, -3.13707, -2.79177, -2.9812, -2.9506, -2.97618, -3.08327, -2.71224, -2.64352, -2.78082, -3.11424, -2.79259, -2.5311
0.02, 0.0319375, -1.96484, -1.4007, -1.61037, -1.74762, -1.8415, -2.1412, -2.88205, -2.6521, -1.96908, -2.09162, -2.59788, -2.90852, -2.91256, -3.23019, -3.14797, -2.54691, -2.63618, -3.03757, -3.38, -3.07938, -2.86002, -2.89668, -2.97588, -3.28331, -2.98002, -2.84686, -3.12803, -3.1182, -3.01752, -2.76814
0.04, 0.0319375, -1.70844, -1.62524, -1.83757, -2.39586, -2.1935, -2.85084, -3.11041, -3.57944, -2.42326, -2.54009, -3.00047, -3.08278, -2.84005, -3.12692, -3.32674, -2.92613, -3.35016, -3.30358, -3.27286, -3.31113, -3.2291, -3.20975, -2.71173, -3.01612, -2.83965, -2.851, -2.87374, -3.18822, -3.03428, -2.54134
0.06, 0.0319375, -0.795895, -0.485689, -0.570056, -0.919173, -1.1572, -1.89487, -2.3827, -1.93646, -1.4725, -1.50125, -1.96228, -2.68828, -2.45185, -2.21773, -1.92261, -2.75049, -2.95831, -2.38304, -2.9245, -2.76208, -2.8156, -2.85553, -2.601, -2.63142, -2.92652, -2.69618, -2.6896, -2.8497, -3.04918, -2.86775
0.08, 0.0319375, -2.45667, -2.36681, -2.99865, -3.28435, -3.53404, -3.39629, -3.21972, -3.2993, -3.01519, -3.04659, -3.32467, -3.00171, -3.2521, -3.24584, -3.34411, -3.03276, -3.10249, -3.02646, -3.58501, -3.69563, -3.11108, -2.87862, -2.97959, -3.1632, -3.2966, -3.0794, -3.1905, -3.22037, -3.57136, -3.27195
0.1, 0.0319375, -1.24889, -0.716072, -0.722138, -0.945339, -1.22288, -2.29024, -3.01132, -2.073, -1.61742, -1.90637, -2.39871, -2.74325, -2.97925, -2.25001, -2.32643, -3.14987, -3.06059, -2.32411, -2.88711, -2.9134, -2.53748, -3.09453, -3.08697, -2.66772, -2.89522, -2.85045, -3.16034, -2.99463, -3.20833, -2.82829
0.12, 0.0319375, -1.79776, -1.4508, -1.48437, -1.73087, -1.75495, -2.33971, -2.99959, -2.41374, -2.39436, -2.48387, -2.78313, -2.96213, -2.86474, -2.98679, -2.65972, -3.33364, -3.52995, -3.278, -2.94335, -2.92909, -2.98308, -2.76068, -3.00272, -3.18195, -2.98628, -3.1038, -3.08897, -2.96956, -3.00382, -3.02756
0.14, 0.0319375, -2.29474, -1.81503, -1.90028, -2.03754, -2.5226, -2.78408, -3.2369, -2.93536, -2.559, -3.08127, -3.13114, -2.89507, -3.37928, -2.94738, -3.39112, -3.4288, -3.35555, -3.29326, -2.83926, -2.79915, -2.94177, -2.81726, -2.99188, -2.96123, -3.16499, -3.03835, -2.73789, -2.84353, -2.84977, -2.72191
0.16, 0.0319375, -0.794696, -0.424294, -0.602164, -0.839698, -1.39655, -2.16674, -2.96335, -2.10768, -1.52225, -1.35558, -1.74598, -2.49445, -3.18844, -2.30894, -2.08693, -2.50271, -3.34596, -3.2039, -3.1068, -2.96888, -2.75773, -2.93321, -2.61983, -2.84954, -2.78844, -2.55418, -2.99483, -2.72719, -2.5182, -2.61875
0.18, 0.0319375, -2.34455, -2.31563, -2.79016, -2.67254, -3.43681, -3.18006, -3.19544, -4.24491, -3.50957, -3.83497, -3.21331, -3.12314, -3.03415, -3.42451, -3.05846, -3.25031, -3.50971, -3.26248, -3.12567, -3.03266, -3.28452, -3.4091, -2.92498, -2.89928, -3.29184, -2.80502, -2.82951, -2.96524, -2.75618, -2.86164
0.2, 0.0319375, -1.0933, -0.81266, -0.864312, -1.00868, -1.24287, -2.09758, -3.39934, -1.93653, -1.59728, -1.77513, -2.35294, -3.14859, -2.71699, -2.5755, -2.34714, -2.58888, -3.03647, -2.98177, -2.88902, -2.89227, -3.03489, -3.09659, -3.08662, -3.17827, -2.91001, -2.83381, -2.86538, -2.88685, -2.79688, -2.61211
0.22, 0.0319375, -1.71122, -1.45525, -1.56033, -1.62422, -1.8837, -2.55306, -2.58147, -2.40915, -2.3542, -2.15164, -1.90077, -2.63079, -2.69065, -2.45813, -2.63468, -2.92947, -3.32323, -2.95843, -3.21365, -2.97517, -2.67954, -3.24656, -3.34465, -2.99961, -2.95206, -3.03727, -3.36729, -2.85065, -3.16122, -2.75524
0.24, 0.0319375, -2.37722, -1.92781, -1.78703, -2.36079, -2.37061, -3.31763, -3.36897, -3.31778, -3.13732, -2.93799, -2.71414, -3.13222, -3.21718, -2.65802, -3.0165, -2.89968, -3.29283, -3.28816, -3.1903, -3.41898, -3.40512, -3.64315, -3.26915, -3.03615, -3.08164, -3.11847, -3.16929, -2.92335, -3.11804, -2.87396
0.26, 0.0319375, -0.858201, -0.615317, -0.596699, -0.730175, -1.17694, -2.03592, -2.5467, -1.62866, -1.11777, -1.20622, -1.64543, -2.5076, -2.65374, -1.82477, -2.02533, -2.32881, -2.58216, -2.82479, -2.66561, -2.39161, -2.34288, -2.62924, -2.66701, -2.77845, -3.45266, -3.05343, -3.06079, -3.42254, -2.98883, -2.93759
0.28, 0.0319375, -2.79622, -2.45822, -2.75687, -3.75262, -3.42836, -3.14318, -3.28728, -3.31273, -2.87172, -3.24486, -3.1886, -3.44203, -3.35493, -2.98475, -3.23006, -3.10354, -2.75633, -2.97891, -3.37843, -3.0777, -2.89783, -2.916, -3.08048, -3.22151, -2.84548, -3.03165, -2.86346, -3.26462, -2.95392, -2.58307
0.3, 0.0319375, -1.06294, -0.741703, -0.859232, -1.29068, -1.56649, -3.05648, -3.1556, -1.80838, -1.44678, -1.34914, -1.92435, -2.58141, -3.23103, -2.62897, -2.62789, -2.92579, -3.04676, -2.7656, -2.85624, -3.00562, -3.05491, -2.81799, -2.91559, -2.88262, -3.12168, -2.87032, -2.76951, -2.92445, -2.77718, -2.97037
0.32, 0.0319375, -1.9135, -1.44705, -1.30961, -1.49901, -1.95969, -3.16823, -2.94931, -2.42351, -1.85969, -1.82291, -2.33806, -2.66915, -3.18071, -2.87002, -2.51292, -2.80585, -2.95914, -2.96077, -3.07504, -3.11492, -3.32655, -3.00184, -3.26223, -2.68123, -2.9197, -2.88182, -2.81257, -2.87931, -3.05982, -2.64377
0.34, 0.0319375, -2.33912, -2.00487, -1.93927, -2.09398, -2.36304, -3.12786, -3.30972, -3.27894, -2.68201, -2.56706, -2.69999, -2.95441, -3.05525, -2.87735, -2.63104, -3.03399, -3.29481, -3.38117, -3.17144, -3.35497, -3.5783, -2.66831, -2.76679, -3.12184, -2.67025, -2.86252, -2.99394, -3.42656, -3.29832, -2.51418
0.36, 0.0319375, -0.850933, -0.677949, -0.744161, -1.03112, -1.12318, -1.82093, -2.43072, -2.04465, -1.49333, -1.49764, -1.66396, -2.40297, -2.74135, -2.31212, -2.191, -2.60191, -3.24965, -2.97301, -3.56114, -2.75805, -2.59003, -3.01302, -2.98406, -2.68174, -2.69211, -2.42347, -3.12681, -3.0022, -3.2548, -2.76
0.38, 0.0319375, -2.74405, -2.43679, -2.82744, -2.78871, -2.47137, -2.55336, -3.15917, -3.09993, -3.37826, -2.9444, -2.78556, -3.11714, -3.01011, -3.3561, -3.22304, -2.98437, -2.92016, -3.15832, -3.07349, -3.55183, -3.39463, -3.06847, -3.37801, -2.99778, -3.12843, -3.18478, -3.02361, -3.01035, -2.98898, -2.80727
0.4, 0.0319375, -0.906574, -0.593513, -0.796797, -0.994343, -1.30373, -2.46881, -2.70215, -2.03896, -1.68211, -1.70994, -1.96221, -2.47361, -2.99208, -2.27431, -2.25555, -2.80316, -3.32469, -3.37355, -3.19029, -2.88054, -2.656, -3.16612, -2.90091, -2.69666, -3.23585, -3.07894, -2.90068, -2.78601, -2.74478, -2.84991
0.42, 0.0319375, -1.58221, -1.52222, -1.59055, -1.67067, -1.97855, -2.96026, -3.81315, -2.32807, -1.90788, -2.15853, -2.26797, -2.84978, -2.91142, -2.73033, -2.7605, -2.86507, -3.26787, -3.46508, -2.82368, -3.07059, -3.0725, -3.1214, -3.34234, -3.20728, -3.25189, -3.08449, -2.79824, -2.9849, -2.80933, -2.56279
0.44, 0.0319375, -2.37405, -2.23892, -2.3406, -2.31382, -2.77067, -2.96539, -3.1082, -3.01578, -2.71952, -2.80822, -2.83063, -2.92746, -3.0252, -3.4452, -3.58798, -3.33756, -3.25125, -3.34046, -2.88628, -2.90746, -2.86261, -3.15055, -3.08377, -3.47743, -3.04146, -3.10109, -3.07317, -3.23801, -2.79729, -2.90465
0.46, 0.0319375, -1.15815, -0.715742, -0.650985, -0.726921, -1.11547, -2.36548, -2.72204, -1.93265, -1.40513, -1.43647, -1.58916, -2.70311, -2.07027, -2.206, -2.1925, -2.41231, -3.26289, -2.81696, -3.06806, -2.89755, -2.72018, -2.98232, -2.63454, -2.45395, -2.78019, -2.64646, -2.92971, -2.76758, -2.72658, -2.33139
0.48, 0.0319375, -1.76738, -2.2579, -3.25519, -2.11116, -2.40616, -3.11828, -3.74013, -3.56628, -3.60328, -3.23124, -3.17332, -3.74972, -3.24258, -2.94512, -3.12779, -3.34178, -3.47071, -3.42936, -2.9967, -2.83376, -2.84408, -3.00694, -3.17989, -2.89602, -3.0039, -3.32966, -3.44318, -3.19455, -3.10614, -2.83086
0.5, 0.0319375, -1.10309, -0.859421, -0.941136, -1.29805, -1.33117, -1.99606, -2.77494, -1.95066, -1.63972, -1.61496, -1.9606, -2.76507, -3.32597, -2.53414, -2.37125, -2.82283, -3.52783, -2.79283, -2.6786, -3.15791, -3.037, -2.98223, -2.95106, -2.87101, -3.00141, -3.06291, -3.30443, -3.52221, -2.90075, -2.53624
0.52, 0.0319375, -1.69905, -1.25958, -1.44325, -1.53568, -2.07476, -2.53589, -2.7443, -2.3405, -1.83531, -1.95982, -2.55698, -2.97268, -3.27747, -2.88135, -2.77266, -3.06496, -3.33178, -3.19331, -2.95362, -2.90763, -2.93845, -2.90548, -3.09454, -3.00075, -3.3095, -3.24274, -3.25885, -3.57074, -3.00992, -2.55044
0.54, 0.0319375, -2.06884, -2.16352, -2.11388, -2.61834, -2.641, -3.07151, -3.47061, -3.21535, -3.03925, -2.95342, -2.98791, -3.16281, -3.45674, -2.98774, -3.42903, -2.99077, -3.56739, -3.65165, -3.22568, -3.20522, -2.80876, -2.66556, -3.13787, -3.34203, -2.78583, -2.73038, -3.06572, -3.13159, -3.02376, -2.69855
0.56, 0.0319375, -1.15398, -0.564877, -0.595981, -0.763395, -1.03426, -2.4242, -3.03303, -2.15311, -1.5878, -1.45848, -1.80551, -2.24936, -3.08017, -2.17934, -2.39325, -2.32907, -2.64172, -2.63061, -2.73791, -2.61238, -2.67456, -3.12671, -2.70636, -2.35058, -3.02167, -2.81178, -2.94372, -2.65639, -2.90451, -2.78714
0.58, 0.0319375, -3.19154, -2.34822, -2.1518, -2.43694, -2.57136, -3.4106, -3.56765, -2.92053, -2.67761, -2.83375, -2.78522, -3.66724, -3.14908, -3.34624, -3.44001, -3.08359, -3.25771, -3.03639, -3.0455, -3.2898, -3.37459, -3.1716, -3.34689, -3.07895, -3.16352, -3.01146, -3.23159, -3.22867, -3.32772, -2.72932
0.6, 0.0319375, -1.17136, -0.703851, -0.880689, -1.01688, -1.42885, -2.18534, -3.26989, -2.14796, -1.92205, -1.92502, -2.38988, -2.74669, -2.90955, -2.26952, -2.62539, -3.04454, -3.34014, -2.9774, -3.24304, -2.81504, -2.6778, -2.97066, -2.96378, -2.91097, -2.88557, -3.00482, -3.4009, -3.17096, -3.19542, -2.79525
0.62, 0.0319375, -1.98812, -1.11929, -1.43601, -1.45864, -1.54504, -2.49375, -3.08415, -2.21095, -2.11438, -1.93705, -2.31047, -2.89996, -3.12607, -2.59843, -2.62944, -2.79964, -3.27322, -3.06134, -2.74004, -2.98356, -2.701, -2.98427, -3.08271, -2.69988, -2.81984, -2.90303, -3.03912, -3.00118, -2.85025, -2.69224
0.64, 0.0319375, -1.69788, -1.95081, -2.54201, -2.4104, -2.42915, -3.54605, -3.18195, -3.50926, -3.16504, -2.83786, -2.58192, -3.06273, -2.90873, -2.59024, -3.05192, -3.12993, -3.06474, -3.08051, -3.1816, -2.83844, -2.64466, -2.89318, -2.77721, -2.69433, -2.8185, -2.85304, -2.91185, -3.09371, -2.90093, -2.6573
0.66, 0.0319375, -1.06343, -0.688375, -0.873827, -0.938803, -1.1236, -2.08616, -2.88597, -2.01208, -1.36168, -1.38252, -1.71672, -2.641, -2.66737, -2.10258, -2.46588, -2.6377, -2.81253, -2.99406, -2.98184, -3.16309, -2.64659, -2.8797, -2.85438, -2.64115, -2.95159, -2.74083, -2.8013, -2.73657, -2.76891, -2.42304
0.68, 0.0319375, -2.52473, -2.15648, -2.01023, -3.13661, -2.71199, -3.66609, -3.55892, -2.96167, -3.23569, -2.7344, -2.55654, -2.91038, -3.31113, -3.22642, -3.21375, -3.29282, -2.68343, -2.92402, -3.24861, -3.15555, -3.25002, -2.72913, -2.95073, -3.02005, -2.96926, -3.08365, -2.93797, -3.3421, -2.88242, -2.67647
0.7, 0.0319375, -0.985382, -0.671589, -0.81311, -0.989484, -1.5788, -2.34708, -2.97212, -1.98341, -1.59571, -1.54794, -1.94946, -2.47854, -3.23434, -2.10991, -2.12133, -2.5677, -3.40818, -2.58531, -3.04607, -3.07041, -2.85895, -3.11263, -2.54036, -2.53042, -2.90375, -2.69621, -2.75974, -2.76826, -2.77498, -2.73801
0.72, 0.0319375, -1.56512, -1.21205, -1.33442, -1.32291, -1.8397, -2.74303, -3.42211, -2.2137, -2.03517, -1.76646, -2.15864, -2.68593, -2.75485, -2.33798, -2.474, -3.16027, -3.56902, -2.86054, -2.72823, -3.59268, -3.63469, -2.86929, -2.84567, -3.09378, -2.86969, -3.02254, -3.26005, -3.06556, -3.35401, -2.7622
0.74, 0.0319375, -2.264, -2.33361, -1.9305, -2.42651, -2.62598, -2.75974, -2.94388, -2.9681, -2.79059, -2.43426, -3.00408, -3.08937, -3.01758, -2.51875, -2.82708, -3.03274, -3.11257, -2.72683, -2.65884, -3.59732, -2.90996, -2.89615, -3.03157, -2.83644, -2.79072, -2.66738, -3.2232, -3.28036, -2.91551, -2.80871
0.76, 0.0319375, -0.834931, -0.54927, -0.503374, -0.798104, -1.16158, -2.21891, -2.28867, -1.6927, -1.31366, -1.35443, -1.97709, -2.38456, -2.51765, -2.14436, -1.80423, -2.44604, -3.04917, -3.03263, -2.59684, -3.14102, -2.90179, -2.88872, -2.81599, -2.60221, -3.05953, -3.07366, -2.73978, -2.73148, -2.73782, -2.56805
0.78, 0.0319375, -3.0502, -2.53975, -2.51052, -2.18372, -2.09762, -3.32931, -3.47902, -3.345, -2.8042, -3.84556, -3.25871, -3.17723, -3.06795, -2.98905, -3.02155, -3.24186, -3.31431, -3.18683, -3.19708, -3.44677, -3.23006, -2.95379, -3.07845, -3.09375, -2.96423, -2.92661, -3.04334, -3.1749, -2.88496, -2.48673
0.8, 0.0319375, -1.16207, -0.71429, -0.77909, -1.14522, -1.36747, -2.14126, -2.53592, -2.14489, -1.81485, -1.76945, -2.08643, -2.92987, -2.45565, -2.22842, -2.2987, -3.00443, -3.27625, -3.11024, -3.20756, -2.91011, -2.64615, -2.65051, -2.6805, -3.41097, -3.31503, -2.88008, -2.82591, -2.86644, -2.96862, -2.90178
0.82, 0.0319375, -1.96772, -1.39604, -1.39233, -1.38503, -1.68691, -2.46093, -3.00889, -2.41024, -2.00795, -1.80138, -1.91451, -2.30267, -3.24096, -2.86544, -2.71554, -2.24616, -1.97561, -1.94444, -2.43745, -2.01861, -2.78161, -3.08228, -2.94406, -2.87371, -2.76068, -2.70332, -2.68203, -2.84791, -2.81338, -2.59892
0.84, 0.0319375, -2.59371, -2.19739, -2.36838, -2.80268, -2.30435, -2.58, -3.08322, -2.6448, -3.28209, -3.09716, -2.54133, -3.28869, -3.68244, -2.8463, -2.82366, -2.94877, -2.70854, -2.2853, -2.66294, -2.73914, -2.73561, -2.96877, -3.07123, -3.19252, -3.12063, -3.05405, -3.31171, -2.93034, -2.97723, -2.56686
0.86, 0.0319375, -1.03476, -0.490776, -0.835265, -1.19739, -1.13864, -1.73523, -2.32506, -1.58057, -1.15749, -1.5397, -1.69794, -2.45671, -2.38521, -1.81197, -1.98916, -2.57468, -2.72236, -2.10749, -1.97275, -1.87886, -2.3367, -3.1512, -3.02349, -2.52053, -2.23454, -2.90875, -3.05133, -2.9268, -2.88002, -2.47782
0.88, 0.0319375, -2.61223, -2.43434, -2.64588, -2.56977, -2.56371, -3.0613, -3.03413, -2.84358, -2.51625, -2.38284, -3.08296, -3.51578, -2.9548, -2.32322, -3.3024, -3.31342, -2.81084, -3.02346, -2.36046, -2.7966, -2.86872, -3.17965, -3.1968, -2.65044, -2.91328, -3.10873, -3.3478, -3.16557, -3.27777, -2.97981
0.9, 0.0319375, -1.18175, -0.742485, -1.0319, -1.05753, -1.64241, -2.40111, -3.001, -2.06712, -1.79899, -1.99625, -2.74829, -3.08843, -2.94497, -2.30322, -2.23927, -2.66165, -3.36476, -2.9773, -2.6289, -2.65157, -2.66674, -3.06466, -2.88055, -2.48911, -2.94751, -2.93972, -3.13906, -2.92737, -3.05384, -2.82374
0.92, 0.0319375, -1.51425, -1.44632, -0.963223, -1.37446, -1.91288, -2.29596, -3.01136, -2.26948, -1.96913, -1.73727, -2.39373, -2.88252, -2.79878, -2.55064, -2.59605, -2.56997, -2.56747, -2.85485, -3.02495, -2.62207, -2.78587, -3.05201, -3.0938, -2.93254, -3.07579, -3.26111, -3.41062, -3.17092, -3.12071, -2.63469
