# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.89145, -7.32978, -7.6112, -7.72362, -8.01687, -7.65483, -7.44369, -7.65689, -7.26916, -7.51745, -7.36857, -7.29785, -7.1524, -6.70664, -6.95752, -6.83327, -6.96274, -6.61628, -6.87972, -6.79851, -6.43278, -6.24629, -5.98346, -6.12429, -6.4696, -6.3406, -6.1201, -5.92658, -6.29032, -6.01484
0.02, 0.0319375, -1.79406, -1.8702, -2.4976, -2.83053, -3.13889, -3.34176, -3.53065, -3.75834, -3.16599, -2.49586, -3.03173, -3.96942, -3.40505, -3.57927, -3.35489, -3.38043, -4.24872, -4.36585, -3.77589, -3.37065, -3.26574, -3.475, -3.54234, -3.58577, -3.7608, -3.32872, -2.97744, -3.19558, -3.38566, -3.31241
0.04, 0.0319375, 0.392956, -0.0563477, -1.22248, -1.7506, -1.4435, -1.36157, -1.38533, -1.52904, -1.07166, -1.16136, -1.95697, -2.7007, -2.2195, -2.07665, -1.87612, -2.09993, -2.82532, -2.52599, -2.22976, -2.03922, -1.92373, -1.84137, -2.09935, -2.22911, -2.14468, -1.70289, -1.65515, -1.79655, -2.11443, -1.85956
0.06, 0.0319375, 0.435485, 0.0644304, -1.12596, -1.08993, -1.25086, -0.987695, -1.53365, -0.95833, -0.988368, -1.27395, -1.42546, -1.98438, -1.78496, -2.21878, -2.9066, -2.35154, -2.21877, -2.51789, -1.9222, -1.9462, -1.95983, -2.21674, -2.27183, -2.08257, -1.79293, -1.7834, -2.09581, -1.8312, -1.73451, -1.95394
0.08, 0.0319375, 0.532677, 0.0321172, -1.01507, -1.35141, -1.10047, -1.23007, -1.88749, -1.35454, -1.68504, -1.46726, -1.79039, -1.60561, -2.17294, -2.05008, -1.9086, -1.61376, -1.77994, -2.16128, -2.2887, -2.46416, -2.15475, -2.38594, -2.31203, -1.99948, -1.9574, -1.71573, -1.58665, -1.94922, -2.14879, -1.84754
0.1, 0.0319375, 0.0889762, 0.0341058, -0.606674, -1.02876, -1.52683, -1.88525, -1.70315, -1.10662, -1.34253, -1.74415, -1.9013, -2.00046, -1.75569, -2.19264, -1.96142, -2.02903, -2.02569, -2.28775, -2.29208, -2.34082, -2.58331, -2.28508, -2.41302, -2.61619, -1.63245, -1.40927, -1.74443, -2.03127, -2.2241, -1.8621
0.12, 0.0319375, -0.154525, -0.197426, -0.944907, -1.09538, -1.52335, -1.50507, -1.63542, -1.9007, -1.61336, -1.86852, -1.54274, -1.62154, -2.13001, -2.07432, -1.93731, -2.42312, -2.7565, -2.73632, -2.38033, -2.25745, -2.19619, -2.44421, -1.72859, -1.88571, -1.80361, -1.94098, -1.92747, -1.69362, -1.82359, -1.63934
0.14, 0.0319375, 0.122684, -0.229113, -1.10947, -1.15267, -1.83743, -1.65212, -1.17621, -1.65355, -1.46894, -1.2891, -0.965768, -1.40115, -2.1736, -2.10973, -2.30429, -2.52684, -2.11003, -2.25124, -2.04538, -2.54567, -2.2145, -2.21288, -2.02131, -1.88693, -1.87685, -1.87149, -1.64502, -1.78003, -1.54532, -1.8001
0.16, 0.0319375, -0.387287, -0.268938, -0.865601, -2.07774, -0.683798, -1.36192, -1.73425, -1.10366, -1.44866, -1.72249, -2.27817, -1.96646, -1.94473, -1.95503, -1.50226, -2.00005, -1.92936, -2.30476, -1.6451, -2.37339, -2.56363, -2.31823, -2.3536, -2.44945, -2.00839, -1.91841, -1.80884, -1.79411, -2.10524, -1.77316
0.18, 0.0319375, -0.91833, -0.485205, -0.836, -0.551186, -0.873304, -1.9667, -1.67734, -2.59607, -1.78793, -1.70653, -1.64199, -1.23133, -1.77478, -1.65549, -1.72842, -2.50497, -2.35309, -2.05593, -2.29679, -2.45534, -2.63611, -2.27835, -2.08315, -2.30444, -2.10198, -1.95547, -1.74003, -1.96712, -2.14425, -1.59366
0.2, 0.0319375, -0.675716, -0.911438, -1.52643, -1.4222, -1.53457, -1.59654, -1.16744, -1.11877, -1.40023, -1.35838, -1.30495, -1.9213, -2.28123, -1.57022, -1.92386, -1.90194, -2.30978, -2.2085, -2.38005, -1.90336, -2.12069, -2.22547, -2.01145, -1.99258, -2.39758, -2.03198, -1.60137, -2.12136, -2.14117, -1.66286
0.22, 0.0319375, -1.41297, -0.518993, -1.10716, -1.89283, -1.09883, -0.732122, -1.05915, -0.733779, -0.98925, -1.87511, -2.43692, -1.79873, -2.01317, -1.85011, -1.86757, -2.16454, -2.22453, -2.49796, -2.00439, -2.18852, -2.38868, -1.98608, -1.85848, -1.80515, -1.95504, -1.77623, -1.78825, -1.69776, -2.31638, -1.53025
0.24, 0.0319375, -0.39575, -0.413699, -1.161, -1.32801, -1.13977, -0.930719, -1.04865, -0.932924, -1.4806, -1.7714, -1.89175, -1.52346, -1.89014, -2.5739, -2.43769, -2.06006, -2.02115, -2.00307, -2.07254, -2.14556, -2.08009, -2.0765, -1.98575, -1.64014, -2.00317, -1.64233, -1.60571, -1.65544, -2.09433, -1.82375
0.26, 0.0319375, 0.204624, 0.19576, -0.585471, -1.25624, -1.78088, -1.82007, -1.64496, -0.895252, -1.07854, -1.82969, -1.83339, -1.88701, -2.01429, -2.285, -2.39523, -2.20722, -2.66315, -2.55273, -2.33651, -2.11173, -2.20709, -2.53721, -2.44828, -2.3269, -2.34448, -1.88343, -1.51521, -1.72071, -2.03999, -2.09697
