# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 2.56851, 1.23581, 2.27841, 2.20782, 0.849224, 0.439163, 1.02292, 1.29971, 0.549916, 0.749843, 1.16224, 1.16461, 1.16533, 1.04678, 1.00191, 0.962279, 1.05863, 1.34947, 1.41671, 0.819734, 0.664629, 0.449681, 0.585104, 0.543742, 0.192833, 0.0733741, -0.0234019, -0.402897, -0.201637, -0.0755391
0.02, 0.0319375, 2.33899, 1.89094, 2.12605, 2.42466, 2.73552, 1.99521, 1.24107, 1.91535, 1.83542, 1.53595, 2.77647, 1.66949, 1.40215, 1.76436, 1.783, 1.41229, 2.29464, 1.66163, 1.88126, 1.83691, 1.82443, 0.963752, 1.07504, 1.08277, 0.879606, 1.06034, 0.521682, 0.282251, 0.180554, -0.211897
0.04, 0.0319375, 2.01646, 1.87543, 2.17717, 2.29832, 2.44416, 1.81055, 1.0759, 1.89927, 1.33898, 1.19965, 1.82184, 1.14435, 0.847538, 1.20576, 1.20542, 0.887951, 1.38252, 0.782154, 1.21246, 0.937178, 0.942097, 0.475868, 0.201309, 0.392184, 0.42555, 0.44322, -0.175392, -0.411341, -0.439288, -0.496824
0.06, 0.0319375, 2.42114, 1.84435, 2.09058, 2.29573, 2.33611, 1.49126, 0.600386, 1.41805, 1.06894, 1.3235, 1.74992, 0.722376, 0.663406, 0.8906, 0.701736, 1.36059, 1.72689, 1.9634, 1.25233, 1.09794, 1.84455, 0.628284, 0.123721, 0.466421, 0.208634, 0.0127273, 0.114204, 0.0845597, -0.0436028, -0.434804
0.08, 0.0319375, 1.84594, 1.67274, 1.67349, 1.96221, 1.91517, 1.18843, 1.1095, 1.44646, 0.816194, 1.02615, 1.08999, 0.739334, 0.517356, 1.30262, 1.23531, 1.11512, 1.50231, 1.02112, 0.378731, 0.74285, 0.79923, 0.506335, 0.307783, 0.506092, -0.220169, -0.0994992, -0.173069, -0.123581, 0.164667, -0.180155
0.1, 0.0319375, 1.80731, 1.84867, 1.31969, 1.24746, 1.3522, 1.06791, 0.944238, 1.32499, 1.13678, 0.484931, 0.652338, 0.14746, 0.213841, 1.47612, 1.48601, 1.19134, 1.73094, 2.62728, 2.05381, 1.09084, 1.21109, 1.07472, 0.169489, 0.457803, -0.0642977, 0.241608, 0.0400982, -0.174063, -0.0704541, -0.111274
0.12, 0.0319375, 1.58522, 1.56541, 0.965495, 0.731595, 1.29829, 0.679075, 1.24259, 1.46993, 0.691649, 0.869053, 1.31901, 1.34644, 0.90309, 0.963965, 1.01827, 0.899842, 1.09526, 1.19058, 1.18673, 0.798595, 0.834992, 0.363439, 0.186512, 0.112166, 0.0713318, 0.454807, 0.624088, 0.880545, 0.681761, 0.660521
0.14, 0.0319375, 1.56728, 2.02279, 1.2873, 1.14452, 1.38514, 1.37244, 1.30676, 1.18373, 1.42545, 1.04974, 1.85076, 1.87946, 0.969306, 1.61346, 1.60046, 1.80217, 1.59747, 2.18895, 2.73177, 1.69328, 1.24346, 1.209, 0.987924, 1.19569, 1.10998, 1.25124, 1.25778, 1.29067, 1.36397, 1.20465
0.16, 0.0319375, 2.47287, 1.40854, 1.96851, 1.8912, 0.580374, 2.11752, 0.898918, 0.66851, 1.1498, 1.39883, 1.41191, 1.42557, 1.56605, 1.40961, 1.6556, 1.74406, 1.41448, 1.58736, 1.23278, 1.34072, 1.13929, 0.37985, 0.168254, 0.858196, 1.04132, 1.14448, 1.03069, 1.08547, 0.894536, 1.05933
0.18, 0.0319375, 2.422, 0.385931, 1.5818, 1.73487, 0.614957, 1.39964, 0.312757, 0.714736, 0.81984, 1.22593, 1.39269, 0.834313, 0.489106, 1.28895, 1.14731, 0.473723, 0.962775, 1.36412, 2.25082, 2.60454, 1.18312, 0.52737, 0.205693, 0.375727, 0.43068, 0.545967, 0.640511, 0.17244, 0.357075, 0.81208
0.2, 0.0319375, 2.1518, 0.614332, 1.33878, 1.60756, 0.921993, 1.08561, 0.869239, 0.806846, 0.317666, 0.347998, 1.07757, 0.883147, 0.830116, 1.30421, 1.21119, 1.16743, 1.28224, 1.02456, 0.953489, 0.88351, 0.558968, 0.381357, 0.201732, 0.483994, 0.505956, 0.13074, 0.215389, 0.396168, 0.167488, 0.601327
0.22, 0.0319375, 2.32265, 1.23243, 1.22076, 1.29941, 0.684459, 0.602122, -0.226534, 0.957903, 0.780394, 0.931852, 1.02004, 1.06248, 0.83181, 1.19569, 0.917828, 0.427639, 1.44453, 0.860867, 1.28411, 2.77976, 2.10229, 0.625576, 0.495379, 0.749122, 0.498661, 0.603341, 0.499981, 0.153313, 0.244115, 0.667122
0.24, 0.0319375, 2.23233, 1.06844, 1.14057, 1.20689, 0.852031, 0.691056, 0.900383, 1.04333, 1.00011, 1.31891, 1.36211, 1.23388, 0.445651, 1.23676, 0.954805, 0.488819, 1.27937, 1.04272, 1.00945, 0.597458, 0.530831, 0.502364, 0.616032, 0.8107, 0.540243, 0.705744, 0.915128, 0.710774, 0.847671, 0.915614
0.26, 0.0319375, 2.86042, 2.35276, 1.29355, 1.04835, 2.63554, 2.34956, 0.919581, 2.03321, 1.947, 1.95423, 2.98138, 2.45461, 1.88416, 2.13992, 2.12082, 2.08821, 1.94717, 2.24161, 2.71537, 2.40596, 2.93412, 1.30581, 1.29815, 1.00099, 0.988873, 1.28703, 1.35752, 0.721463, 0.87646, 0.966498
0.28, 0.0319375, 2.71771, 1.60132, 1.68464, 1.29666, 2.68039, 2.41342, 1.03821, 1.64295, 1.61411, 2.02461, 2.55867, 1.50312, 1.21859, 1.57378, 1.67038, 1.394, 1.17575, 1.67263, 1.19462, 1.10221, 1.05312, 0.857876, 0.643068, 0.846902, 0.888014, 1.13985, 1.23614, 0.901158, 0.788576, 0.818156
0.3, 0.0319375, 2.72677, 1.73365, 0.677, 0.514117, 2.55264, 1.98265, 0.0978206, 1.32637, 0.928409, 1.3788, 1.65565, 1.05413, 0.917341, 1.06148, 1.33703, 1.04958, 1.35485, 1.54706, 1.58301, 1.5696, 2.07409, 2.1184, 0.645464, 0.478576, 0.621823, 0.907453, 1.01438, 1.00739, 0.906426, 0.935194
