# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -6.09798, -6.56594, -7.09681, -6.74386, -6.73423, -6.65155, -6.35206, -6.09994, -5.90866, -6.51459, -5.92357, -6.23595, -5.97406, -6.28142, -6.17353, -6.05251, -6.40683, -6.14476, -5.55863, -5.60574, -5.48354, -5.58728, -5.47432, -5.53686, -5.59583, -5.29079, -5.30014, -5.54651, -5.6506, -5.28777
0.02, 0.0319375, -6.40446, -5.76286, -6.18667, -7.25878, -6.496, -5.88523, -6.62562, -6.3439, -6.52347, -6.20039, -5.92573, -5.71727, -6.13977, -5.83787, -6.07927, -6.01818, -6.02501, -5.72982, -5.75967, -5.80988, -5.68563, -5.70613, -5.57405, -5.70323, -5.58574, -5.50254, -5.37633, -5.33553, -5.30329, -5.38103
0.04, 0.0319375, -6.71777, -5.61481, -6.09237, -6.62973, -6.61509, -6.70187, -6.72239, -5.9486, -6.00121, -5.35596, -5.77349, -5.95725, -5.64064, -5.97597, -5.80042, -6.13664, -6.45788, -5.96052, -5.87879, -6.01459, -5.61994, -5.29019, -5.2965, -5.5549, -5.61033, -5.21892, -5.5475, -5.48741, -5.57819, -5.45688
0.06, 0.0319375, -6.32586, -6.18616, -6.57931, -6.6364, -5.91897, -5.74721, -5.85668, -5.88994, -5.61866, -5.47549, -5.73065, -5.33649, -5.89082, -5.75316, -6.00287, -6.12809, -5.74141, -5.31986, -5.4914, -5.81407, -5.45564, -5.3026, -5.59187, -5.46773, -5.41431, -5.32103, -5.03834, -5.06848, -5.18585, -5.3035
0.08, 0.0319375, -6.47078, -6.39217, -6.1939, -6.87415, -5.96993, -6.13149, -5.92292, -6.05829, -6.48339, -5.768, -5.85375, -5.84314, -6.01899, -5.79385, -6.39913, -6.0094, -5.96173, -6.19208, -6.04593, -5.49871, -5.47011, -5.50784, -5.77384, -5.40107, -5.18708, -5.42528, -5.4197, -5.41823, -5.39175, -5.33054
0.1, 0.0319375, -7.05544, -7.1548, -6.58404, -6.61948, -6.66916, -7.37442, -6.75961, -6.23422, -6.01669, -6.34061, -6.06815, -6.07987, -5.86777, -5.88457, -6.29227, -6.51423, -6.35704, -5.9915, -5.64156, -6.16113, -6.30541, -5.74529, -5.66741, -5.84372, -5.45109, -5.5737, -5.08972, -5.33838, -5.62742, -5.62905
0.12, 0.0319375, -6.10269, -6.72743, -7.19903, -6.56582, -6.20401, -6.50064, -6.25252, -6.40237, -5.48539, -5.66692, -6.30705, -6.07214, -6.15947, -6.25778, -5.96675, -6.54562, -6.30468, -6.05265, -6.58865, -6.12157, -5.85515, -5.87486, -5.56159, -5.7161, -5.31047, -5.24099, -5.46221, -5.39403, -5.2094, -5.15167
0.14, 0.0319375, -7.11982, -6.93233, -6.55025, -6.89064, -6.85579, -6.51177, -6.32881, -6.41168, -6.19697, -6.42896, -6.67522, -5.99623, -5.69877, -6.12725, -6.02423, -6.35756, -5.93138, -6.04001, -5.99493, -5.50947, -5.5487, -5.81035, -6.17928, -6.02509, -5.58976, -5.53406, -5.05552, -5.22967, -5.45636, -5.25992
0.16, 0.0319375, -7.46123, -6.32945, -6.47827, -6.28881, -7.5172, -6.656, -6.67671, -6.03587, -6.12262, -6.4461, -6.0136, -6.20384, -6.22193, -5.66082, -6.07085, -6.27811, -6.48551, -6.31479, -5.97098, -5.63009, -5.67223, -5.47551, -5.53034, -5.75546, -5.59171, -5.70193, -5.27337, -5.39417, -5.35219, -5.25872
0.18, 0.0319375, -6.24424, -7.00062, -6.46705, -6.56646, -6.94512, -6.20745, -6.05333, -6.31442, -5.52765, -5.77914, -6.07328, -5.81296, -5.73693, -6.24166, -6.07996, -5.96488, -6.11693, -6.05616, -5.92529, -5.44199, -5.45812, -5.53886, -5.52615, -5.9573, -5.6721, -5.3902, -5.24438, -5.20588, -5.44668, -5.22497
