# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.0719963, 2.1745, 2.06472, 1.865, 1.22689, -0.33165, 2.1314, 2.94361, 2.3772, 1.50515, 1.70658, 1.88207, 2.01675, 0.416519, 0.311653, 0.108869, 0.371426, 1.17919, 0.123664, -0.196735, -0.202259, -0.310128, -0.455178, -1.08323, -1.48699, -1.51625, -1.94315, -2.42645, -2.86059, -3.34842
0.02, 0.0319375, 0.0714264, 2.24489, 2.13424, 2.03478, 1.09086, -1.27607, 2.27414, 3.01328, 2.45955, 1.38319, 1.54059, 1.75902, 1.7622, 0.692729, 1.64494, 0.435739, 0.900579, 1.81213, 0.501192, -0.117665, -0.347873, -0.726893, -0.641704, -0.835577, -1.61608, -1.39949, -1.57978, -1.76839, -2.46526, -3.07698
0.04, 0.0319375, -0.241829, 2.35018, 2.25677, 2.16105, 1.2148, -1.09924, 2.26021, 2.93046, 2.45917, 1.39299, 1.39445, 1.30515, 1.4543, 1.10288, 2.18373, 0.129043, 0.627674, 1.68296, 0.415533, -0.574264, -0.457446, -0.374306, -0.40386, -0.37877, -1.05628, -1.43452, -1.2838, -1.71371, -2.62813, -3.16915
0.06, 0.0319375, -0.529949, 2.40792, 2.28096, 2.24821, 1.29002, -1.37051, 2.16308, 2.96783, 2.5682, 1.41094, 1.16441, 0.843774, 1.09892, 1.13299, 2.35019, 0.115727, 0.264308, 1.38211, 0.211134, -0.0582068, -0.463491, -0.27354, -0.273961, -0.658003, -0.979518, -1.37816, -1.60118, -1.94464, -2.92976, -3.29452
0.08, 0.0319375, -0.21778, 2.49142, 2.37431, 2.25216, 1.39954, -1.31189, 1.87196, 2.91158, 2.49087, 1.13006, 0.784262, 0.102767, 0.795221, 1.29615, 2.55323, 0.0713569, 0.798521, 1.81347, 0.0590605, -0.253886, -0.380171, -0.352103, -0.461501, -0.635296, -1.15805, -1.60712, -2.04909, -2.04292, -3.64908, -3.28353
0.1, 0.0319375, -0.121273, 2.51962, 2.35687, 2.32298, 1.17888, -1.21574, 1.68216, 2.84137, 2.43713, 0.963427, 0.906072, 0.634738, 1.13799, 1.27914, 2.56607, 0.492267, 1.14066, 2.06751, 0.45348, -0.0624683, -0.746492, -0.606096, -0.47348, -0.788209, -1.44308, -1.86662, -1.85169, -2.41198, -3.47878, -3.50207
0.12, 0.0319375, -0.12196, 2.53094, 2.44642, 2.393, 1.10994, -1.24632, 1.51803, 2.71357, 2.45234, 1.00657, 1.12571, 0.898382, 1.00971, 1.20955, 2.58212, 0.455771, 0.944874, 1.66762, 0.149212, -0.0504724, -0.502861, -0.451625, -0.423445, -0.890879, -1.44506, -1.79936, -2.63388, -2.46893, -3.50017, -3.53326
0.14, 0.0319375, -0.0968103, 2.52175, 2.39084, 2.44486, 1.43557, -1.34344, 1.60639, 2.8815, 2.44563, 1.07028, 1.15322, 1.053, 1.44767, 1.20894, 2.49532, 0.591065, 0.384222, 1.0653, -0.184168, -0.393508, -0.844538, -0.22272, -0.456367, -1.12379, -1.74399, -1.80971, -2.29676, -2.77785, -3.29408, -3.76301
0.16, 0.0319375, 0.0185133, 2.44926, 2.39057, 2.524, 1.59358, -0.750613, 1.74126, 2.8157, 2.34588, 1.16207, 1.3563, 0.753689, 0.884484, 0.910383, 2.16985, 0.709482, 0.675467, 1.56301, -0.167638, -0.474424, -0.460733, -0.886985, -0.847385, -1.45383, -2.37681, -2.14294, -2.30154, -2.87636, -3.72569, -3.66594
0.18, 0.0319375, -0.210762, 2.34613, 2.23941, 2.48897, 1.39634, -0.162517, 1.62885, 2.74838, 2.3441, 1.13412, 1.39325, 0.670778, 1.25289, 0.0816713, 1.0616, 0.606032, 0.99679, 1.92164, 0.207515, -0.265962, -0.465596, -0.391159, -0.615474, -1.19417, -2.08144, -2.61607, -2.4907, -2.6999, -3.79413, -3.93512
