# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.83747, -7.01928, -7.13513, -7.83493, -7.7565, -8.05905, -7.4978, -8.05905, -7.33972, -7.2645, -7.60086, -6.79355, -6.61264, -6.98868, -6.85352, -6.83807, -6.68809, -6.62699, -6.56786, -6.64498, -6.38774, -6.65823, -6.43566, -6.14944, -6.46401, -6.14034, -5.82672, -5.78662, -5.98094, -5.92477
0.02, 0.0319375, -8.05905, -8.05905, -7.67564, -7.57256, -7.62412, -7.51157, -7.81957, -7.3393, -7.70331, -7.43787, -7.37858, -7.16914, -7.13976, -6.9212, -7.31503, -6.53221, -6.73797, -6.71389, -6.70746, -6.7048, -6.5091, -6.56301, -6.0738, -6.43512, -6.30925, -6.20526, -6.07345, -6.12771, -5.94127, -5.92023
0.04, 0.0319375, -8.05905, -7.54221, -7.86324, -7.35187, -7.42133, -7.3889, -7.22362, -7.95414, -7.38592, -7.45188, -7.62294, -6.81184, -6.63475, -6.48825, -6.89737, -6.74201, -6.76165, -6.97557, -7.3714, -6.84769, -6.05655, -6.61423, -6.47349, -6.43572, -6.0838, -6.34314, -6.16284, -5.96951, -5.97447, -5.85472
0.06, 0.0319375, -7.37123, -6.81044, -7.50279, -7.67619, -7.41332, -7.50516, -7.39248, -6.69542, -7.13953, -7.33242, -7.51333, -8.03517, -6.9233, -7.0648, -6.68749, -6.39472, -6.5813, -6.65562, -6.26246, -6.4248, -6.61353, -6.58952, -6.52761, -6.19928, -5.9337, -6.17549, -6.30327, -5.89307, -5.89058, -5.75465
0.08, 0.0319375, -7.22239, -7.87985, -8.05905, -7.47234, -7.91287, -7.75414, -8.05905, -7.00133, -6.98004, -7.36876, -7.31652, -6.90887, -6.57386, -6.58374, -6.80865, -6.85842, -6.4609, -6.81506, -6.40201, -6.03897, -6.39313, -5.95338, -6.08523, -6.0761, -6.28532, -6.12972, -5.9674, -5.87425, -6.01946, -6.02098
0.1, 0.0319375, -6.78624, -6.63258, -6.30924, -6.65543, -6.50752, -6.44962, -6.47818, -6.03394, -5.68884, -6.82852, -7.33718, -6.65307, -6.20477, -5.96846, -6.51319, -6.04692, -6.32056, -6.00627, -6.17355, -5.89113, -5.90055, -5.87159, -5.751, -5.9121, -6.11535, -6.00654, -5.83232, -5.51663, -5.55419, -5.34232
0.12, 0.0319375, -2.42233, -3.06668, -3.19833, -2.39755, -2.07132, -2.48398, -3.54402, -3.29672, -3.2286, -3.89805, -3.86249, -4.07805, -3.77829, -3.70728, -3.67227, -3.5837, -3.67253, -3.35332, -3.10061, -3.45155, -3.40212, -3.43717, -3.7167, -3.2922, -3.38851, -3.41946, -3.44374, -3.05796, -3.09354, -3.24637
0.14, 0.0319375, -2.47895, -2.1203, -1.69709, -1.26386, -1.21281, -0.981369, -1.0955, -1.34835, -1.29095, -1.20038, -1.21051, -1.35845, -1.55011, -1.807, -1.71868, -1.69652, -1.5655, -1.86259, -2.08902, -1.97656, -1.74389, -1.96536, -2.54487, -2.87941, -3.02448, -3.1869, -3.19917, -3.34738, -3.03583, -3.17181
0.16, 0.0319375, -0.875533, -0.684654, 0.827444, 2.34963, 2.77845, 2.2702, 2.09839, 2.58029, 2.10038, 1.42368, 1.16261, 0.762706, 0.32141, -0.0595568, 0.722766, 0.820981, 0.245437, 0.563621, 2.05798, 1.2328, 0.720781, 0.882989, 0.496883, -0.572, -0.109037, -0.461943, -1.39694, -2.75446, -0.883273, -1.24162
0.18, 0.0319375, -1.86397, -1.51898, -0.288716, 1.8233, 1.87059, 0.745101, 0.251439, 3.20436, 2.65725, -0.131319, -0.947722, -1.3405, -1.23182, 0.684417, 1.08606, -1.27421, -1.13955, 0.59104, 2.95259, 0.555493, -1.10528, 0.150596, -0.28124, -1.91588, 0.627293, -0.17761, -2.46261, -2.89922, -0.31952, -0.446236
0.2, 0.0319375, -2.40774, -2.84704, -1.30452, 0.467196, 0.860087, 0.0819601, -0.486975, 3.21083, 2.65353, -0.987967, -1.90154, -1.58242, -1.91336, 0.434467, 1.03007, -2.14073, -2.03389, -0.225592, 3.07266, 0.624488, -1.34263, 0.0118824, -0.120027, -2.32523, 0.478453, -0.949985, -2.90079, -2.90949, -0.944847, -1.10133
0.22, 0.0319375, -2.72768, -2.24194, -1.57669, -1.67112, -0.870104, -0.792217, -0.12117, 3.14395, 2.5767, -0.691708, -1.99711, -2.32326, -2.2296, 0.428918, 1.02751, -1.9008, -2.18018, -0.2644, 3.09766, 0.64352, -2.01341, -0.103772, -0.191457, -2.79045, 0.255404, -1.13386, -3.35988, -3.56052, -0.952943, -1.05527
0.24, 0.0319375, -2.57988, -2.56527, -1.52632, -0.329498, -0.219981, -0.513467, -0.641281, 3.12956, 2.57952, -1.50946, -2.28814, -2.75566, -2.6296, 0.447692, 1.01026, -1.90655, -2.05015, -0.286594, 3.1719, 0.696492, -1.56643, -0.0209242, -0.208596, -2.74123, 0.222531, -1.17014, -2.55041, -2.59322, -1.09643, -1.19457
0.26, 0.0319375, -2.80833, -2.69929, -1.56835, -1.06128, -0.650567, -1.49789, -0.786981, 3.10402, 2.5573, -1.66709, -2.69266, -3.14272, -3.02085, 0.389789, 0.959815, -2.2166, -2.51176, -0.314026, 3.17931, 0.72584, -1.85889, -0.32888, -0.471082, -3.32521, 0.478995, -0.951417, -2.49096, -2.66316, -1.12349, -1.23172
0.28, 0.0319375, -4.11633, -3.28105, -2.76581, -1.5421, -1.13067, -0.990869, -1.25133, 3.03343, 2.47539, -1.41388, -2.47971, -3.30024, -2.97862, 0.396048, 0.963146, -2.87525, -2.08394, -0.139415, 3.1476, 0.690887, -2.22067, -0.384935, -0.585411, -3.32139, 0.244269, -1.21866, -2.87167, -3.11731, -1.11803, -1.24557
0.3, 0.0319375, -2.65584, -3.02244, -2.79915, -1.738, -1.73076, -1.90647, -1.11167, 2.96655, 2.4167, -1.66082, -2.30688, -3.65652, -2.98299, 0.290022, 0.888529, -2.52389, -2.05516, -0.281303, 3.10161, 0.657414, -2.29236, -0.563043, -0.711794, -3.54216, 0.222158, -1.19894, -2.89122, -3.04451, -1.37643, -1.45941
0.32, 0.0319375, -2.37033, -2.59552, -3.82323, -2.42309, -1.39659, -2.32188, -1.38142, 2.87306, 2.31865, -2.02601, -2.88172, -3.19762, -2.73976, 0.177109, 0.79759, -2.4066, -2.21768, -0.378118, 3.05071, 0.555508, -2.31291, -0.924916, -1.05212, -3.44345, 0.296202, -1.14894, -3.08968, -3.11758, -1.15883, -1.27789
0.34, 0.0319375, -3.22737, -3.20752, -3.64746, -2.74737, -2.26839, -2.39763, -1.24651, 2.75609, 2.20251, -2.33058, -3.25956, -3.86257, -3.05954, 0.218016, 0.717075, -2.74888, -2.29818, -0.203451, 3.00766, 0.595701, -2.08402, -0.706456, -0.961256, -3.33528, 0.171428, -1.33043, -3.17874, -3.19909, -1.26266, -1.37773
0.36, 0.0319375, -3.17843, -2.95559, -2.57809, -2.64374, -2.95331, -2.24892, -1.41774, 2.6773, 2.11783, -2.22096, -2.57948, -3.39679, -3.50929, -0.01742, 0.582379, -2.70714, -2.87682, -0.383517, 2.90744, 0.423566, -2.33487, -0.888383, -0.991045, -3.4871, 0.201736, -1.26045, -3.79482, -3.99672, -1.54627, -1.63769
0.38, 0.0319375, -2.68076, -3.46113, -3.43727, -2.98739, -2.56723, -2.84784, -1.5039, 2.65194, 2.09881, -2.00734, -2.5843, -3.12936, -3.41627, -0.14259, 0.493167, -2.47881, -2.12932, -0.497602, 2.86591, 0.425842, -2.53711, -0.914819, -1.08959, -3.87373, 0.0752023, -1.36367, -3.14815, -3.34133, -1.60155, -1.72177
