# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.604694, -0.482111, -0.996057, -1.54428, -2.15593, -2.23077, -1.94371, -1.77751, -1.11501, -1.79771, -1.99559, -2.82604, -2.4086, -2.899, -2.5463, -3.14183, -2.28823, -2.40992, -2.85213, -3.0577, -3.58268, -3.35594, -3.30977, -3.41353, -3.29586, -3.64068, -3.30344, -3.45802, -3.56095, -3.33341
0.02, 0.0319375, -0.852053, -0.661916, -1.31532, -1.98479, -2.43538, -2.31878, -3.20644, -1.95876, -1.32387, -2.3853, -2.56541, -3.33026, -2.38427, -3.13821, -3.31537, -3.43837, -2.63987, -2.78267, -3.30806, -3.12429, -3.4676, -3.38373, -3.46742, -3.42897, -3.64413, -3.61698, -3.54452, -3.59103, -3.66452, -3.74605
0.04, 0.0319375, -0.644485, -0.734711, -1.23246, -1.76491, -1.89198, -1.65104, -1.98537, -2.0861, -2.09636, -1.50343, -2.61707, -3.10634, -2.30464, -2.5795, -2.63297, -2.72832, -2.37179, -2.32806, -2.83346, -3.31006, -3.2046, -3.2269, -3.35468, -3.10829, -3.46114, -3.54228, -3.58099, -3.26281, -3.43723, -3.39588
0.06, 0.0319375, -1.91127, -0.874097, -1.48398, -2.02937, -1.93267, -2.08316, -2.0652, -2.12319, -2.24225, -2.77334, -2.28686, -2.97268, -2.77944, -2.65916, -2.18572, -2.86246, -2.38548, -2.57662, -3.29084, -2.78872, -2.99289, -3.25471, -3.21248, -3.39734, -3.22002, -3.49395, -3.62155, -3.48932, -3.31498, -3.53276
0.08, 0.0319375, -1.69226, -1.53966, -1.29921, -2.54774, -2.38431, -2.72212, -2.51292, -2.12491, -2.62456, -2.4039, -2.45662, -3.38286, -3.39277, -3.12576, -2.82093, -2.92948, -2.55905, -2.52206, -3.12537, -2.98496, -3.33164, -2.84031, -3.32114, -3.65995, -3.26325, -3.44604, -3.52931, -3.76397, -3.71089, -3.85676
0.1, 0.0319375, -1.61547, -1.34932, -1.22222, -2.20876, -2.29104, -1.88095, -2.38802, -2.69218, -2.08114, -2.08867, -3.10341, -3.02284, -2.68169, -3.10359, -3.09306, -3.20704, -3.1379, -3.21101, -3.17175, -3.08043, -3.45752, -3.50868, -3.53352, -3.34183, -3.30865, -3.37393, -3.56614, -3.49694, -3.47579, -3.45862
0.12, 0.0319375, -1.52963, -1.1646, -1.18324, -1.79157, -2.04231, -2.47919, -3.00298, -2.06378, -2.07736, -3.24535, -2.57478, -2.99801, -2.67376, -3.01334, -2.54873, -3.38879, -3.05318, -2.9418, -2.97662, -2.95006, -3.13699, -3.58136, -3.7603, -3.90754, -3.50818, -3.62701, -3.78217, -3.61512, -3.64473, -3.57007
0.14, 0.0319375, -2.05741, -1.12804, -1.86341, -2.20309, -2.26051, -1.82007, -2.81496, -3.38309, -3.07631, -2.71559, -2.78984, -3.36527, -3.35321, -3.25185, -2.76343, -3.47241, -3.40443, -3.32145, -3.42357, -3.59343, -3.47693, -3.30451, -3.65788, -3.47926, -3.69289, -3.97936, -3.75229, -3.58237, -3.81835, -3.67563
0.16, 0.0319375, -1.64396, -1.60517, -1.98628, -2.37371, -2.51003, -2.39232, -3.13134, -2.63989, -2.60254, -2.9902, -2.92386, -3.1398, -3.27644, -2.99165, -3.32918, -3.04464, -3.21334, -3.24909, -3.36413, -3.23322, -3.7898, -3.33495, -3.67485, -3.63818, -3.66011, -4.04876, -3.39105, -3.61711, -3.66976, -3.62972
0.18, 0.0319375, -1.79786, -2.0317, -1.78132, -1.94815, -2.57125, -2.21338, -2.22256, -2.51423, -2.31723, -1.99491, -2.39625, -2.30692, -2.60188, -2.6641, -2.72279, -2.76275, -2.55946, -2.75225, -2.50103, -2.8736, -2.93025, -2.82295, -3.26075, -2.9649, -2.87112, -3.12155, -3.07927, -3.32441, -3.1776, -3.41849
0.2, 0.0319375, -1.46167, -1.73969, -1.69424, -1.69867, -3.0325, -2.61031, -2.76099, -2.45995, -2.84717, -2.5021, -2.51828, -2.40924, -2.48193, -2.11168, -2.81546, -2.30354, -1.90153, -2.04133, -2.30136, -2.2268, -2.39424, -2.37889, -2.39166, -2.70806, -2.70429, -2.92502, -2.98104, -2.9271, -2.87807, -2.67923
0.22, 0.0319375, -1.40261, -1.61486, -1.67368, -2.64551, -2.5404, -1.85275, -1.75435, -2.76724, -2.77751, -2.41574, -2.58958, -2.81989, -2.54401, -2.74926, -2.5415, -2.5179, -3.01762, -2.86458, -3.12398, -3.33188, -2.75177, -2.82881, -2.9111, -2.90336, -2.83091, -2.79404, -3.04771, -2.94974, -2.89329, -2.88239
0.24, 0.0319375, -1.91799, -1.78756, -1.96895, -1.6852, -2.31144, -2.39438, -2.48881, -2.80083, -3.24127, -2.8728, -2.85754, -2.85836, -2.92992, -2.77622, -3.06422, -3.63776, -3.32072, -2.65981, -2.91089, -3.01073, -3.04326, -3.33966, -3.11711, -3.33749, -3.38643, -3.32583, -3.54518, -3.34998, -3.44804, -3.21182
0.26, 0.0319375, -1.56542, -1.82517, -1.7054, -2.79387, -2.37476, -2.35685, -2.53443, -2.44338, -2.82618, -2.67812, -2.85476, -2.68806, -2.83568, -2.90041, -3.10622, -3.36965, -3.43833, -3.4237, -3.19081, -2.8815, -3.10838, -3.41643, -3.06964, -3.56225, -3.59955, -3.87471, -3.62553, -3.59799, -3.52625, -3.85768
0.28, 0.0319375, -2.52912, -2.45729, -2.26861, -2.5143, -2.9142, -2.83859, -2.62469, -3.18865, -2.8626, -2.87624, -3.24144, -3.17776, -2.69363, -3.27998, -3.1125, -3.48539, -3.11091, -3.16946, -3.29955, -2.94735, -3.56279, -3.47033, -3.47459, -3.56785, -3.72627, -3.79138, -3.43853, -3.75546, -3.75702, -3.91244
0.3, 0.0319375, -1.81825, -2.15312, -2.15567, -2.9219, -2.53833, -2.64277, -3.10835, -2.82063, -3.31515, -3.16846, -3.07752, -3.09209, -2.644, -2.61337, -3.12449, -3.82521, -3.28488, -3.18375, -2.87327, -2.89477, -3.64343, -3.66457, -3.75719, -3.48007, -3.50513, -3.90766, -3.93971, -3.67079, -3.74139, -3.68122
0.32, 0.0319375, -1.83462, -2.04615, -3.22687, -3.3966, -2.83812, -2.52543, -3.24189, -3.07092, -3.1304, -2.61949, -3.8043, -2.99635, -2.58342, -2.72781, -3.23267, -3.37037, -3.68744, -3.34051, -3.41737, -3.31441, -3.71711, -3.43781, -3.46989, -3.57484, -3.54674, -3.71377, -3.80436, -3.73564, -3.70398, -3.43394
0.34, 0.0319375, -2.12805, -1.58878, -2.10545, -2.5804, -2.30519, -3.28922, -3.20423, -2.98883, -2.57757, -3.12978, -3.0143, -3.23384, -2.30523, -2.83993, -3.45189, -3.12178, -3.38657, -3.03485, -3.14427, -3.12388, -3.47721, -3.39862, -3.72507, -3.78408, -3.61867, -4.22828, -3.85446, -3.7311, -3.93161, -3.88962
0.36, 0.0319375, -2.85765, -2.30659, -2.08358, -2.48797, -2.72812, -2.64988, -3.04246, -3.7298, -3.04091, -2.5807, -2.87378, -3.23096, -2.87869, -3.26116, -3.26774, -3.20086, -3.46578, -3.15363, -3.28145, -2.99181, -3.4623, -3.86061, -3.57306, -4.01379, -3.56936, -3.82822, -3.98498, -3.92999, -3.87527, -3.73843
0.38, 0.0319375, -1.12258, -1.92211, -2.10702, -2.13069, -2.38846, -2.39652, -2.97299, -3.12678, -3.14534, -3.02885, -2.95956, -3.42791, -3.16609, -3.32953, -3.28832, -3.81711, -3.49351, -3.37565, -3.51313, -3.47248, -3.70136, -3.56551, -3.49477, -3.76426, -3.38798, -3.72367, -3.70933, -4.00752, -3.91809, -3.67289
0.4, 0.0319375, -1.70506, -1.33915, -1.57275, -2.02254, -2.59641, -2.37705, -2.5294, -2.59266, -3.09653, -3.03982, -2.93597, -2.83405, -3.16566, -2.7759, -2.98833, -3.34954, -3.45602, -3.53468, -3.81325, -3.43157, -3.53127, -3.70742, -3.16759, -3.4729, -3.67361, -3.94493, -3.84757, -3.6487, -3.81628, -3.60666
0.42, 0.0319375, -1.55041, -2.20182, -2.30689, -2.46759, -2.44273, -2.22574, -2.08812, -2.55286, -2.90338, -2.92302, -3.33966, -3.43649, -3.015, -3.84174, -3.25993, -3.16479, -3.87594, -3.41523, -3.38438, -3.37803, -3.54924, -3.63083, -4.09823, -3.61009, -3.71712, -3.789, -3.86564, -3.57021, -3.80211, -3.61146
0.44, 0.0319375, -2.44321, -1.81493, -2.21924, -3.16913, -2.49917, -2.41481, -2.48463, -3.21923, -3.13802, -2.62987, -2.85984, -2.93515, -3.37466, -3.19638, -3.2701, -2.99771, -3.60967, -3.64221, -3.4936, -3.22102, -3.47861, -3.64386, -3.9537, -3.7683, -3.74975, -3.92796, -3.6902, -3.45159, -3.54064, -3.7767
0.46, 0.0319375, -2.41473, -2.26405, -2.14025, -2.30383, -2.39573, -2.83305, -2.78491, -2.69026, -3.08266, -2.77898, -2.74315, -3.05716, -2.98616, -2.94386, -3.32759, -3.90246, -3.73825, -3.90318, -3.80093, -3.51707, -3.26619, -3.81069, -3.63883, -3.52853, -3.71707, -3.85417, -3.81923, -3.72705, -3.82678, -3.58709
0.48, 0.0319375, -2.37072, -2.49897, -2.52181, -2.21625, -2.51913, -2.39736, -2.66289, -2.67666, -2.48094, -2.62742, -2.81899, -3.03825, -3.22618, -3.11773, -3.32156, -3.31668, -3.21507, -3.51845, -3.7044, -3.65814, -3.97391, -3.98449, -3.83971, -4.01732, -3.63877, -3.77802, -3.76584, -3.54638, -3.83761, -3.81864
0.5, 0.0319375, -2.32842, -2.02101, -2.57052, -2.44249, -2.87257, -2.51533, -2.50887, -2.52061, -3.01913, -2.51956, -3.08527, -2.94277, -2.87571, -3.45139, -2.93519, -3.36429, -3.74998, -3.75221, -3.36221, -3.37174, -3.57186, -3.70487, -3.55095, -3.49395, -3.81001, -3.76611, -3.80477, -3.76153, -3.99592, -3.51075
0.52, 0.0319375, -1.68959, -1.8108, -2.05857, -2.11069, -2.23886, -2.72465, -2.79114, -2.99245, -3.59642, -3.65509, -3.27429, -3.10111, -3.05945, -2.97285, -3.36602, -3.29081, -3.23985, -3.6645, -3.59257, -3.49081, -3.49894, -3.75927, -3.88164, -3.54291, -3.55076, -3.60656, -3.55508, -3.90066, -3.70359, -3.51261
