# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.9679, -1.31196, -1.50154, -1.73113, -1.70485, -1.35357, -1.65705, -0.615685, -0.830065, -1.96069, -1.67779, -1.29794, -1.44764, -1.71342, -2.08816, -3.01714, -3.33751, -3.25193, -3.59279, -3.36242, -3.80297, -3.2627, -4.34788, -3.99517, -4.57013, -5.00364, -4.93881, -4.66891, -4.8247, -4.86062
0.02, 0.0319375, -1.4995, -1.6956, -2.6255, -1.03521, -1.05291, -1.13302, -1.48158, -0.66142, -0.637541, -1.55637, -1.86011, -1.19357, -1.67167, -1.65777, -1.80778, -2.71157, -2.36308, -2.79746, -3.60254, -3.14476, -3.36432, -2.85418, -3.89407, -3.95384, -4.12277, -4.34692, -4.90719, -4.84886, -4.99228, -4.7494
0.04, 0.0319375, -1.0966, -1.18476, -1.21455, -0.910683, -0.635964, -1.07562, -1.37074, -0.766345, -0.911235, -1.92799, -2.00984, -1.1578, -1.58372, -1.63882, -2.05521, -2.39605, -2.36719, -2.71706, -3.2365, -2.7296, -3.19812, -3.05804, -3.58711, -3.9315, -4.2179, -4.34743, -4.93926, -4.90222, -5.1602, -5.26615
0.06, 0.0319375, -0.633981, -0.888892, -2.18963, -1.03664, -1.06584, -1.57803, -1.68372, -0.802508, -1.34085, -2.59684, -2.6565, -1.57307, -1.70757, -1.84507, -2.19667, -2.06824, -2.40937, -2.75134, -3.06458, -2.91751, -3.54534, -3.36879, -3.74978, -4.13026, -4.50172, -4.82098, -4.81876, -4.7215, -4.73949, -4.80935
0.08, 0.0319375, -0.826446, -1.19139, -1.38823, -0.675924, -0.934066, -1.36277, -1.46035, -1.15097, -1.21989, -1.7355, -2.49313, -1.79998, -1.54519, -1.37266, -1.84506, -2.63983, -2.4581, -2.33429, -2.94003, -3.19737, -3.2405, -3.63413, -3.58248, -4.09922, -4.35038, -4.50459, -4.73652, -4.98292, -4.9016, -5.03287
0.1, 0.0319375, -0.318096, 0.255152, 0.387334, 0.90442, 0.429478, 0.944708, 0.303213, 0.406341, 0.355383, 0.539445, 0.251508, 0.10602, 0.253408, -0.100276, -1.01334, -1.63425, -1.3835, -1.0531, -1.11234, -1.45484, -2.17442, -2.79873, -3.12626, -3.3791, -3.17286, -3.57442, -3.72007, -3.92101, -4.49948, -4.58005
0.12, 0.0319375, -0.338787, 1.20688, 1.67539, 1.38308, 1.27354, 1.81496, 0.866149, 1.48321, 1.55347, 0.917358, -0.0411526, 0.391384, 0.171415, 0.111752, 0.0495873, -0.581047, -0.966779, -0.758628, -0.720859, -0.896398, -1.64647, -1.64648, -2.26702, -2.60719, -2.10408, -2.6185, -3.18539, -3.35533, -4.1675, -4.18563
0.14, 0.0319375, 0.949687, 1.82552, 1.62806, 1.92637, 1.19853, 1.85087, 1.24908, 1.61271, 1.38274, 0.938156, 0.0506487, 0.762393, 0.979954, 0.652198, 0.350115, -0.647644, -0.524863, -0.749493, -0.993405, -0.958022, -1.21766, -1.74506, -2.29408, -2.46398, -2.36622, -2.46432, -3.28883, -3.37911, -3.80553, -3.99196
0.16, 0.0319375, 0.792627, 1.98365, 1.91802, 1.85204, 1.24951, 1.76491, 1.18412, 1.56374, 1.45024, 1.01843, 0.493722, 0.646387, 1.03712, 0.700456, 0.625956, -0.192828, -0.225635, -0.208661, -1.13994, -1.06321, -1.51529, -2.25382, -2.29074, -2.51653, -2.54986, -2.8776, -3.16533, -3.04146, -3.60626, -3.92817
0.18, 0.0319375, 0.695463, 1.65647, 1.44134, 2.02189, 1.57692, 2.22154, 1.64606, 1.90662, 1.16903, 0.631274, 0.615522, 0.45451, 1.07494, 0.638755, 0.262488, -0.395084, -0.672888, -0.449082, -0.66209, -0.940205, -1.27722, -1.96999, -2.20423, -2.53405, -2.1922, -2.96054, -3.22567, -3.55425, -3.73024, -4.01913
