# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.83689, -4.8538, -4.76061, -4.33114, -3.89692, -4.72054, -4.60567, -4.52178, -4.1659, -4.18937, -3.96511, -3.93516, -3.78597, -3.46945, -3.39927, -3.32754, -2.87446, -2.58397, -2.27046, -1.62501, 0.423034, 1.53801, -1.03807, -1.78481, -2.15621, -2.45884, -2.46819, -2.45403, -2.44591, -1.14108
0.02, 0.0319375, -8.05905, -7.98088, -7.12935, -5.1097, -3.87817, -6.06629, -7.13327, -7.33163, -6.82719, -6.27346, -6.58443, -6.41744, -6.17922, -5.45373, -5.891, -6.36124, -5.59985, -5.32427, -4.58487, -3.39984, 0.161288, 1.3815, -2.56988, -3.91032, -4.3873, -5.1507, -5.69714, -5.68075, -5.63244, -1.5343
0.04, 0.0319375, -7.74251, -7.67124, -7.75527, -5.23953, -4.02113, -6.68351, -7.82062, -7.23866, -6.99075, -6.11853, -7.05436, -6.91574, -6.60911, -5.39411, -6.46971, -6.76764, -5.3407, -5.02487, -4.78309, -3.42289, 0.166637, 1.43882, -2.60058, -4.29589, -4.38523, -5.44488, -6.08721, -5.72355, -5.06968, -1.57816
0.06, 0.0319375, -8.05905, -8.05905, -7.28337, -4.83907, -3.8736, -5.8077, -6.72672, -7.15837, -6.73616, -5.71197, -6.81848, -7.13643, -7.24304, -5.39092, -6.61987, -6.30678, -5.3203, -5.11087, -4.26459, -1.7507, 0.786282, 1.72533, -0.726297, -3.66415, -4.64175, -5.55368, -5.87498, -5.83493, -5.10828, -1.40424
0.08, 0.0319375, -7.72669, -6.72582, -7.27557, -5.02415, -3.63498, -5.79109, -7.14813, -7.48556, -6.93081, -5.85885, -6.95915, -6.92455, -6.72274, -5.43838, -6.49376, -6.39844, -6.01836, -5.2772, -4.23242, -2.95997, 0.348697, 1.50588, -1.59558, -2.9905, -4.24934, -5.19846, -5.89822, -5.50826, -4.42613, -1.46025
0.1, 0.0319375, -7.83383, -7.99975, -7.05025, -4.92066, -3.55593, -6.06623, -7.73045, -7.59962, -7.35108, -5.98587, -7.20462, -7.28199, -6.50767, -5.44539, -6.22648, -6.77166, -6.62219, -5.02657, -4.10987, -3.14724, 0.280853, 1.47996, -1.81788, -2.95808, -4.39551, -5.39961, -6.24858, -5.73203, -4.41108, -1.66207
0.12, 0.0319375, -7.88334, -7.55385, -7.57579, -5.3175, -3.90742, -6.5433, -7.52453, -6.79851, -7.00087, -6.38051, -7.42271, -7.32344, -6.73652, -6.37921, -6.77764, -6.43937, -6.03497, -5.73655, -4.83131, -4.1177, 0.120784, 1.31689, -2.06456, -3.23218, -4.74963, -5.51074, -5.81141, -5.96285, -4.61032, -1.69157
0.14, 0.0319375, -8.05905, -7.64509, -7.35115, -5.28858, -3.87451, -6.50362, -7.01336, -7.11435, -7.1174, -6.0795, -6.99062, -7.22608, -7.09708, -5.95168, -6.58288, -6.50377, -5.7096, -5.38714, -4.7203, -3.65599, 0.219512, 1.43555, -2.22807, -3.36294, -4.69456, -5.54105, -5.83565, -5.78058, -4.87623, -1.61553
0.16, 0.0319375, -8.05905, -7.95983, -7.40948, -5.35126, -3.86153, -6.27947, -7.50711, -7.24251, -6.88844, -6.36471, -6.84156, -6.97971, -6.85864, -6.68557, -6.59918, -6.6898, -5.50504, -5.4682, -4.62846, -3.64522, 0.266502, 1.46592, -2.59757, -3.73459, -4.63269, -5.47927, -6.18721, -5.74059, -4.42459, -1.56138
0.18, 0.0319375, -6.75325, -6.59374, -7.01502, -5.14427, -3.8306, -6.29228, -7.70946, -6.91131, -6.48112, -6.2858, -7.65522, -6.93198, -6.38443, -6.3996, -6.37968, -5.99578, -5.43225, -4.76785, -4.54423, -3.3149, 0.197965, 1.43688, -1.92399, -3.19464, -4.10481, -4.62595, -4.62173, -4.50182, -4.43395, -1.65307
0.2, 0.0319375, -3.68797, -3.51953, -3.55288, -3.5266, -2.99755, -3.059, -3.11718, -2.93517, -2.74203, -2.67013, -2.60472, -2.44678, -2.25818, -2.05495, -1.91173, -1.66923, -1.41488, -1.15646, -0.656744, -0.127958, 1.14353, 1.85752, 0.547829, -0.193053, -0.533329, -0.696047, -0.87127, -0.978487, -1.09311, -0.846996
0.22, 0.0319375, -6.71467, -7.4272, -6.67453, -5.50742, -4.35561, -6.43038, -6.91494, -6.24551, -6.22953, -6.07431, -6.54873, -6.55764, -6.26171, -5.95203, -5.5654, -5.46873, -5.75302, -2.68938, -2.47433, -2.87473, -0.0839267, 1.11905, -1.98726, -3.41414, -2.79965, -2.78325, -2.81852, -3.20766, -3.75275, -2.49436
0.24, 0.0319375, -7.71769, -6.6392, -6.1158, -5.78266, -5.12121, -5.46793, -6.27506, -5.65668, -5.35274, -5.61179, -5.7624, -5.12771, -4.78693, -4.8155, -4.33162, -4.20812, -4.10139, -3.44672, -3.1687, -2.59948, -0.360563, 0.338121, -2.20559, -2.98626, -3.11167, -3.3726, -3.51806, -3.61616, -3.78217, -3.21974
0.26, 0.0319375, -7.09362, -6.4858, -6.54877, -7.60475, -6.67712, -6.91501, -7.173, -6.75867, -7.09162, -7.17775, -7.26788, -7.18669, -6.65409, -6.15709, -5.70172, -5.99682, -6.00858, -4.65773, -4.45815, -3.47498, -2.72285, -2.87033, -4.01522, -4.41084, -5.06144, -5.3179, -5.62511, -5.68973, -5.44123, -5.21019
0.28, 0.0319375, -7.60785, -7.84306, -7.6986, -7.02342, -6.47984, -6.8619, -6.65561, -6.99602, -6.68027, -6.65047, -6.70101, -7.16051, -6.76139, -6.80192, -6.72119, -6.64703, -6.62405, -6.12749, -6.07193, -5.98601, -4.39486, -3.5, -5.13187, -5.86768, -5.73404, -5.66321, -5.88477, -5.84509, -5.76953, -5.51975
0.3, 0.0319375, -6.76215, -7.08729, -7.06068, -7.41465, -6.33913, -6.61214, -7.03591, -6.907, -6.46165, -6.84215, -7.03777, -7.30198, -6.69306, -6.83785, -6.29163, -6.48364, -6.73252, -6.45983, -5.96654, -6.0737, -4.87329, -4.00132, -6.01137, -5.90241, -5.79337, -6.24506, -5.93877, -5.64904, -5.62886, -5.77441
0.32, 0.0319375, -7.57185, -6.97707, -6.80052, -6.85681, -6.82105, -7.67905, -7.16219, -6.28838, -7.03933, -6.82616, -6.75924, -6.57382, -6.73353, -6.66056, -6.30971, -6.34042, -6.21084, -6.26029, -6.33022, -6.13475, -5.51736, -5.00882, -5.79165, -5.93859, -5.87917, -5.66837, -5.60307, -5.92494, -6.00999, -5.55546
0.34, 0.0319375, -7.97194, -7.49991, -7.12623, -6.66294, -6.71522, -6.69389, -7.32783, -6.7665, -6.67381, -7.10135, -7.1089, -6.60141, -6.55896, -6.56483, -6.07531, -5.85879, -6.43823, -5.86175, -6.20246, -5.8888, -4.82108, -5.40604, -6.08667, -5.4785, -5.30088, -5.51402, -5.78287, -5.63589, -5.83318, -5.54971
0.36, 0.0319375, -7.06898, -7.08038, -7.25464, -6.47963, -6.72644, -6.83488, -6.70127, -6.73562, -6.7636, -6.73725, -6.83916, -6.97368, -6.72319, -6.13174, -6.03078, -6.32225, -6.30372, -6.24729, -6.27633, -6.2028, -5.24003, -5.39753, -5.92603, -5.53437, -5.59077, -5.5892, -5.90787, -5.33807, -5.38877, -5.42573
0.38, 0.0319375, -6.88137, -6.891, -7.41556, -6.89453, -6.45745, -6.70395, -6.64921, -6.97667, -6.34324, -6.55972, -7.1426, -7.08008, -7.491, -6.53036, -6.21546, -6.03678, -6.0195, -5.82413, -6.07852, -6.2107, -6.05398, -6.04854, -5.87767, -5.83268, -5.67654, -5.73839, -5.64026, -5.36293, -5.34475, -5.35717
0.4, 0.0319375, -7.2695, -6.79133, -7.1587, -6.66842, -6.22076, -6.65666, -6.85178, -6.75023, -6.33373, -6.53333, -6.47573, -6.54123, -6.52062, -6.65412, -6.17841, -5.98224, -5.99616, -5.68116, -5.82032, -5.97575, -5.58695, -5.4984, -5.77443, -5.82103, -5.83046, -5.64134, -5.3266, -5.79982, -5.56923, -5.55789
0.42, 0.0319375, -7.95043, -6.96162, -6.98187, -6.87789, -6.52032, -6.94319, -6.88875, -6.7678, -6.08646, -6.20142, -5.91353, -6.01507, -6.38272, -6.24044, -5.97468, -6.04204, -6.06519, -5.7772, -5.46853, -6.06912, -5.75916, -5.9268, -5.72284, -5.44279, -5.59355, -5.62575, -5.40101, -5.15335, -5.45753, -5.25646
0.44, 0.0319375, -6.30935, -6.2596, -6.4409, -6.4597, -6.86743, -6.26159, -6.03516, -6.05204, -5.61758, -5.82652, -6.10699, -6.01671, -6.33733, -5.76698, -5.91857, -5.84071, -6.63002, -5.85462, -5.53656, -5.71656, -5.82156, -5.47106, -5.3119, -5.18033, -5.47503, -5.35573, -5.51377, -5.29638, -5.1666, -5.06761
0.46, 0.0319375, -6.56192, -6.06107, -5.96023, -6.27317, -5.65288, -5.7763, -6.34042, -6.01104, -5.04338, -5.57275, -5.66351, -6.37771, -5.53612, -5.74836, -6.04639, -5.41489, -5.8105, -5.75097, -5.83095, -5.48455, -5.23987, -5.22186, -5.23813, -5.18492, -5.3234, -5.18007, -4.95503, -5.11656, -5.01957, -4.9212
0.48, 0.0319375, -6.80318, -6.01284, -6.16304, -6.53879, -6.90981, -5.49711, -5.87251, -6.23508, -5.5911, -5.70272, -6.15486, -5.47434, -5.83347, -6.08556, -6.31819, -5.90947, -6.24344, -6.16056, -5.95683, -5.71485, -5.56841, -5.45357, -5.59938, -5.23358, -5.22919, -5.35012, -5.18794, -5.30346, -5.04158, -5.13204
0.5, 0.0319375, -8.05905, -6.70276, -6.10517, -5.51203, -6.03826, -6.20647, -6.89079, -5.88919, -5.19612, -5.60941, -5.62485, -5.5491, -6.02201, -6.11818, -6.00708, -5.74158, -6.09766, -5.7696, -5.88514, -5.85032, -5.57858, -5.4883, -5.54052, -5.40165, -5.51689, -5.41045, -5.31217, -5.28087, -4.94582, -4.86917
0.52, 0.0319375, -7.37253, -6.49829, -6.5456, -5.53739, -5.83238, -5.62191, -6.45331, -5.92339, -5.19241, -5.36702, -5.96378, -5.70954, -5.93394, -5.88958, -6.22777, -5.86893, -5.68976, -5.74472, -5.83752, -5.72378, -5.45189, -5.57589, -5.5494, -5.20924, -5.22854, -5.01423, -4.98058, -5.02819, -5.02942, -5.0619
0.54, 0.0319375, -6.43751, -6.25475, -5.96752, -6.00764, -5.13581, -6.0824, -6.23248, -5.56376, -5.78951, -5.97006, -6.03681, -6.04165, -5.61738, -5.08931, -5.99144, -5.43409, -5.67494, -5.42927, -5.38706, -5.51707, -5.90883, -5.86949, -5.79604, -5.30842, -5.55285, -5.18075, -5.04442, -5.03937, -4.94885, -4.72713
0.56, 0.0319375, -6.70558, -7.00184, -6.38346, -5.54288, -5.43592, -5.5636, -6.10812, -6.03319, -5.55509, -5.98637, -6.11606, -5.67966, -5.82676, -5.45769, -5.74042, -5.41253, -5.84987, -5.39325, -5.11556, -4.85347, -5.65642, -5.11747, -5.10695, -5.67872, -5.602, -5.08526, -4.85001, -4.71434, -4.76167, -4.42262
0.58, 0.0319375, -7.12168, -6.66504, -6.0656, -5.31354, -5.65423, -5.61009, -5.42306, -6.45689, -5.33355, -5.67782, -5.75454, -5.38977, -5.21707, -6.00633, -5.91039, -5.41449, -5.75547, -5.29437, -5.40945, -5.03979, -5.46126, -5.26658, -5.22525, -5.5436, -5.09691, -5.00141, -4.8618, -5.05502, -4.92989, -4.56392
0.6, 0.0319375, -7.63116, -6.87578, -5.78783, -5.6935, -5.07086, -5.34643, -5.35747, -5.87709, -5.81898, -5.09341, -5.27444, -5.4905, -5.32769, -5.87245, -5.75075, -5.39835, -5.69627, -5.49012, -5.19718, -5.0597, -5.28129, -5.25149, -5.02484, -5.5298, -4.90848, -5.21764, -4.82854, -4.87445, -4.88802, -4.77189
0.62, 0.0319375, -7.11704, -6.17585, -5.77918, -5.81463, -5.7963, -5.98689, -6.2597, -6.33034, -5.07035, -5.4094, -5.55341, -5.58235, -5.58754, -5.60475, -5.65941, -5.16577, -5.33617, -4.801, -5.31165, -5.2703, -5.26096, -5.4837, -5.1931, -5.29659, -5.34193, -5.45502, -5.06976, -5.30771, -5.0677, -4.65913
0.64, 0.0319375, -6.71981, -6.04328, -5.82562, -5.7201, -5.27157, -5.8941, -6.23189, -6.17761, -6.30903, -5.72952, -5.74137, -5.75129, -5.59371, -5.84698, -5.69984, -5.15548, -5.70858, -5.12807, -5.53444, -5.19427, -4.89339, -5.45821, -4.98129, -5.26972, -5.44139, -5.58543, -5.33446, -5.18643, -4.80898, -4.6799
0.66, 0.0319375, -7.32835, -7.06897, -6.74898, -6.18123, -5.84405, -5.95386, -6.62023, -6.11895, -5.71974, -5.38721, -5.76562, -6.0877, -6.69786, -6.30982, -5.70669, -5.44832, -6.24735, -5.44646, -5.35363, -5.42103, -5.53876, -5.69623, -5.53246, -6.03227, -5.55242, -5.13017, -5.32715, -5.15908, -5.04603, -5.08003
