# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.1237, -7.66658, -7.74738, -7.57316, -7.22112, -7.33279, -7.81208, -7.17515, -7.66958, -7.26217, -7.30749, -7.18344, -6.90996, -6.83396, -6.90398, -6.76103, -6.92728, -6.42621, -6.61628, -6.58237, -6.43496, -6.3455, -6.35161, -6.2802, -5.95671, -5.95435, -5.99214, -6.20853, -5.70809, -5.68698
0.02, 0.0319375, -8.05905, -8.05905, -7.27505, -7.57609, -7.4312, -7.0996, -6.76376, -7.54814, -6.90124, -6.7377, -7.11859, -7.41687, -7.34669, -7.01028, -6.6254, -7.02152, -6.62535, -6.53811, -6.42805, -6.85597, -6.6257, -6.40489, -6.44273, -6.50175, -6.23575, -5.93502, -5.86394, -6.02234, -5.78565, -5.60241
0.04, 0.0319375, -8.05905, -8.05905, -7.84632, -7.79577, -7.81975, -7.27326, -7.44014, -7.61339, -7.77523, -7.71515, -6.72036, -7.40493, -7.03911, -6.58949, -6.72628, -6.68549, -6.3843, -6.39127, -6.10299, -6.32936, -6.40677, -6.50021, -6.39035, -6.47853, -6.02975, -6.22687, -5.89162, -5.81737, -5.47329, -5.76275
0.06, 0.0319375, -8.05905, -7.27426, -8.0515, -7.63663, -7.2181, -7.32946, -7.16171, -7.41267, -6.82556, -7.52309, -7.33774, -7.05024, -6.89998, -6.60638, -7.23908, -7.00915, -6.7651, -6.50151, -6.76262, -6.95754, -6.49237, -6.37957, -6.00503, -6.24408, -6.17767, -6.27162, -6.19768, -5.91425, -5.70582, -5.62613
0.08, 0.0319375, -7.582, -7.59269, -7.41281, -7.68201, -7.48067, -7.81696, -7.6323, -7.66089, -7.20349, -7.75555, -7.33857, -6.5614, -6.64458, -6.81082, -6.61341, -6.73768, -6.65576, -6.41675, -6.31822, -6.63195, -6.48985, -6.39537, -6.33382, -6.63348, -6.00873, -6.26252, -6.01485, -5.55002, -5.77787, -5.82867
0.1, 0.0319375, -8.05905, -7.7042, -8.01943, -7.42697, -8.05905, -7.71374, -7.37522, -7.51829, -7.21282, -7.30377, -7.6626, -7.35022, -6.78316, -6.61551, -7.1929, -6.87608, -6.67002, -6.93058, -7.13291, -6.12557, -6.39897, -6.58198, -6.41737, -6.30652, -6.20789, -6.11732, -6.10474, -5.6925, -5.81543, -6.04192
0.12, 0.0319375, -7.93427, -7.78033, -7.37609, -7.47754, -7.37148, -7.80667, -7.21036, -6.93986, -6.75953, -6.8414, -7.23393, -7.10161, -6.93985, -7.03363, -7.1672, -6.35461, -6.11321, -6.59896, -6.67032, -6.42529, -6.57047, -6.24698, -6.17097, -6.19241, -5.95318, -5.85482, -5.81406, -6.09579, -6.17194, -5.98292
0.14, 0.0319375, -7.2065, -7.41327, -7.47687, -7.09675, -7.41002, -7.18939, -7.33441, -7.72832, -7.41158, -7.14909, -7.56583, -6.98847, -7.35865, -6.70335, -7.10556, -6.62006, -6.69245, -6.9762, -6.57796, -6.41108, -6.47986, -6.40884, -6.23535, -6.35834, -6.21549, -6.07694, -5.91192, -6.11433, -6.09131, -5.77301
0.16, 0.0319375, -7.73954, -8.00912, -7.75017, -8.05905, -7.46726, -7.36792, -7.55233, -7.02288, -7.20323, -7.28015, -7.8767, -7.45482, -7.24201, -6.6399, -7.1807, -7.02084, -6.50462, -6.54509, -6.80818, -6.2966, -6.39894, -6.64143, -6.37257, -6.37301, -5.81981, -5.8713, -6.11559, -5.96206, -5.95921, -5.79865
0.18, 0.0319375, -8.05905, -7.7917, -8.05905, -8.05905, -7.93136, -8.05905, -7.55173, -7.30453, -7.25166, -7.15845, -7.47231, -7.94165, -7.15657, -7.34171, -7.4069, -6.59374, -6.19103, -6.8232, -7.0612, -6.49597, -6.37808, -6.0972, -5.97577, -6.2758, -5.95467, -6.3341, -6.05312, -6.24696, -6.02952, -5.79904
