# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.614172, 0.545025, -0.138786, -1.2756, -0.492273, -0.0680063, -1.05047, -0.590861, -0.403913, -0.521499, -0.973372, -1.74336, -1.8412, -1.69086, -1.75713, -2.05334, -2.01017, -1.61305, -1.41798, -1.31283, -1.47886, 0.127142, 1.12502, -1.6044, -1.66683, -1.71596, -1.61293, -1.65595, -1.17978, -0.389215
0.02, 0.0319375, -0.36463, 0.408498, -0.254953, -1.46979, -0.753938, -0.227391, -1.7631, -1.2716, -0.932814, -1.27339, -1.90062, -2.10458, -1.8272, -1.71807, -1.6416, -1.61567, -1.72249, -1.58915, -2.29767, -1.70164, -1.70048, 0.696813, 1.61078, -1.36421, -2.0668, -1.74432, -1.39267, -1.18185, -1.04376, -0.599937
0.04, 0.0319375, -0.564413, 0.228484, -0.288606, -1.64377, -0.528987, -0.42313, -1.51547, -1.42318, -1.01213, -1.2309, -1.83523, -2.35971, -2.02007, -1.65817, -1.97761, -1.7434, -1.82611, -1.61834, -1.81208, -2.03998, -1.69134, 0.678375, 1.62247, -1.78454, -1.85731, -2.09119, -1.75943, -1.40038, -1.35667, -0.576654
0.06, 0.0319375, -0.27722, -0.5856, -1.70081, -1.63865, -1.24971, -0.938611, -1.96053, -1.33923, -0.68307, -1.44623, -1.93007, -1.50757, -1.80138, -1.68037, -2.12524, -1.90943, -1.99098, -1.72832, -1.65613, -2.01811, -1.49555, 0.163196, 0.904228, -1.57833, -1.77727, -1.89673, -1.8323, -1.51765, -1.12635, -0.558868
0.08, 0.0319375, -0.60223, 0.285155, -0.833286, -1.7127, -1.08218, -1.47967, -2.14853, -0.874118, -0.847466, -1.78548, -2.23323, -2.56443, -1.39944, -1.48413, -1.99381, -1.54992, -1.6181, -1.92054, -1.73038, -2.06156, -1.85873, -0.952427, -0.534646, -1.54035, -2.17432, -1.98545, -1.70768, -1.82607, -1.23701, -0.771265
0.1, 0.0319375, -0.528102, 0.312838, -1.3884, -2.42116, -1.29268, -0.721166, -1.56791, -1.411, -1.0009, -2.17612, -2.52016, -2.32094, -1.84046, -1.67474, -1.9951, -1.80166, -1.78454, -1.94639, -2.33251, -2.05342, -2.32433, -0.569972, 0.319698, -1.59024, -2.21582, -2.3123, -1.76694, -1.69807, -1.15052, -0.928983
0.12, 0.0319375, -0.350894, 0.286961, -1.34097, -2.80521, -0.68849, -0.568525, -1.62889, -2.90722, -1.38827, -1.95229, -1.79556, -2.15313, -2.28039, -1.83684, -2.12064, -2.10008, -2.08937, -2.18007, -2.19708, -2.31721, -2.2183, -0.505976, 0.291637, -1.99494, -2.24169, -2.26957, -1.84763, -1.68503, -1.17635, -0.845904
0.14, 0.0319375, -0.822051, -0.174467, -1.62358, -2.70649, -1.15383, -0.957821, -2.37153, -2.50678, -2.1949, -2.26298, -2.43064, -2.5453, -2.10562, -2.29327, -2.01743, -2.23625, -2.69317, -2.03418, -1.69427, -2.05985, -1.60039, -0.615283, 0.110311, -1.49454, -2.03839, -2.1991, -2.07759, -1.74503, -1.11465, -0.740195
0.16, 0.0319375, -0.654684, -0.033415, -1.56889, -1.86651, -1.05847, -1.1869, -2.08008, -1.84163, -1.72378, -2.15523, -2.06039, -2.3658, -1.80523, -1.76765, -2.18418, -2.3095, -2.39843, -2.20091, -2.34845, -2.54714, -2.00055, -0.274906, 0.568388, -1.50076, -1.95805, -1.95485, -2.09227, -2.09465, -1.47391, -0.467794
0.18, 0.0319375, -0.793412, 0.345668, -1.30976, -1.91276, -1.43112, -1.58137, -1.37665, -1.85792, -1.58827, -1.61123, -1.81339, -1.77789, -2.11336, -1.87573, -1.88814, -2.36557, -2.24576, -2.06192, -1.92857, -2.03794, -1.76721, 0.296008, 1.05358, -1.97079, -2.11234, -2.06683, -1.62796, -1.27746, -1.27774, -0.883976
