# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.891447, 1.45511, 1.86869, 1.65128, 2.50771, 2.67636, 2.4698, 2.39215, 2.1964, 2.56883, 2.82911, 2.13067, 2.94037, 2.84721, 2.85948, 2.66867, 3.04334, 2.81327, 2.91682, 2.55201, 2.83123, 2.82154, 3.15364, 3.38569, 3.26298, 3.12737, 3.00392, 2.8034, 2.63347, 2.62608
0.02, 0.0319375, 1.87038, 2.38438, 2.42843, 2.15707, 2.23743, 2.22856, 2.22562, 1.93613, 2.10177, 2.06393, 2.09145, 2.6133, 2.93284, 2.5414, 2.72013, 2.82076, 2.6517, 2.23028, 2.00871, 2.45108, 2.76381, 2.38766, 2.19728, 2.56496, 2.6189, 2.39629, 2.19082, 2.26346, 2.12531, 2.16403
0.04, 0.0319375, 0.978519, 2.27346, 1.88113, 1.44854, 2.41835, 2.30404, 1.55562, 1.7161, 1.77464, 2.10576, 1.65508, 1.21694, 1.62597, 1.99687, 1.8266, 2.29333, 2.411, 1.93858, 1.83503, 1.85087, 1.83563, 2.36713, 2.09965, 2.22192, 2.64039, 1.97992, 2.02898, 1.6273, 1.8168, 1.7898
0.06, 0.0319375, 1.02242, 2.22633, 2.05049, 1.22057, 1.73465, 1.41349, 1.27806, 1.56154, 1.67666, 1.41194, 1.11179, 1.38141, 2.12969, 1.65272, 1.40984, 1.11925, 1.62866, 1.94157, 1.79324, 1.61656, 1.58956, 2.13715, 1.66685, 2.09627, 2.35544, 1.66372, 1.58647, 1.43596, 1.76542, 1.65451
0.08, 0.0319375, -0.32531, 2.27616, 2.34093, 0.885222, 1.81893, 1.95337, 1.49097, 1.00167, 1.43749, 1.18214, 1.49346, 1.39511, 1.69319, 1.69017, 1.41269, 1.6316, 1.79537, 1.83377, 1.41749, 1.24799, 1.68483, 1.5978, 2.10409, 2.49209, 2.68514, 1.8026, 1.46509, 1.44916, 1.59046, 1.9848
0.1, 0.0319375, 1.28753, 2.62044, 2.34142, 1.20772, 1.12868, 0.892276, 1.66463, 1.72205, 1.56545, 1.38071, 1.37868, 1.60085, 1.96185, 2.46537, 2.04901, 1.50855, 1.51741, 1.30495, 1.44382, 1.23721, 1.49175, 1.26616, 2.104, 2.2601, 2.67224, 2.06768, 1.80382, 1.57165, 1.58539, 1.72815
0.12, 0.0319375, 1.08667, 1.94405, 2.10251, 1.35955, 1.91213, 2.01213, 1.8703, 1.62099, 1.86024, 1.18936, 1.16406, 1.46543, 2.06075, 2.13468, 1.88683, 1.74001, 1.98864, 1.82408, 1.66439, 1.34379, 1.2772, 1.70273, 2.22235, 2.66828, 3.02965, 2.09339, 1.86197, 1.38132, 1.48106, 1.71363
0.14, 0.0319375, 0.741873, 1.20229, 1.41142, 1.21489, 0.948903, 1.06959, 1.71864, 1.14982, 1.20832, 1.86066, 1.62775, 1.78699, 1.9417, 2.2981, 1.7446, 1.45633, 1.9936, 1.74169, 1.37133, 1.07806, 1.15444, 1.52621, 2.11584, 2.58516, 2.90402, 2.32738, 1.96196, 1.53833, 1.95549, 1.99514
0.16, 0.0319375, 0.308514, 0.483485, 1.02491, 0.756388, 2.21868, 1.62254, 1.99449, 1.24656, 1.50035, 1.15028, 0.874277, 1.82198, 1.82555, 1.90656, 1.21212, 1.62071, 1.86984, 1.14219, 1.50138, 1.08171, 1.63387, 1.87263, 2.202, 2.23265, 2.42098, 2.34415, 1.96758, 1.792, 1.86825, 1.81011
0.18, 0.0319375, 0.773672, 2.00091, 1.93202, 0.458381, 1.15943, 1.70857, 1.37819, 0.975274, 1.36675, 1.36468, 1.07864, 1.80811, 1.6003, 1.60999, 1.66207, 1.4516, 2.10753, 1.29195, 1.09039, 1.37805, 0.856027, 1.60265, 2.20988, 2.46378, 2.65958, 2.02569, 1.87913, 1.35145, 1.69932, 1.59817
0.2, 0.0319375, 1.44152, 1.75349, 1.68613, 0.766232, 2.47542, 1.9391, 1.89933, 1.29682, 1.45641, 1.41468, 1.09696, 1.47082, 1.64816, 1.45787, 1.16303, 1.89156, 2.00924, 1.57561, 1.352, 1.41684, 1.73827, 2.21337, 2.29483, 2.10589, 2.77267, 2.23769, 1.87425, 1.4911, 1.69047, 1.86186
0.22, 0.0319375, 1.78498, 1.62255, 2.07149, 0.848436, 1.50613, 1.60098, 1.55319, 1.7009, 1.78375, 0.978658, 1.51736, 1.66774, 1.97941, 2.29135, 1.58283, 1.66889, 1.76982, 1.52508, 1.59689, 1.49489, 1.80922, 1.94527, 2.39438, 2.49265, 2.81122, 2.39793, 2.00926, 1.88761, 1.92778, 1.93946
0.24, 0.0319375, 1.49566, 2.08759, 2.27071, 1.9418, 1.78662, 1.69548, 2.88888, 2.27798, 1.96875, 2.14346, 2.17754, 2.20104, 2.92674, 2.70278, 2.43351, 2.81083, 3.02382, 2.89466, 1.99267, 2.41598, 2.68571, 2.47773, 2.38944, 2.68177, 2.73821, 2.64045, 2.4067, 1.98064, 2.56992, 2.60949
0.26, 0.0319375, 1.15751, 2.35082, 2.7505, 1.91726, 2.13827, 2.5928, 2.45025, 2.13056, 2.2599, 2.05478, 1.72524, 2.01569, 2.27086, 2.18263, 2.27457, 2.28553, 2.20263, 2.28477, 1.84065, 1.73345, 1.85997, 2.29962, 2.44661, 2.58364, 2.45663, 2.22892, 2.28343, 1.77373, 2.10891, 1.89576
0.28, 0.0319375, 2.07826, 2.62937, 2.58187, 1.26586, 1.72674, 2.12873, 1.82317, 1.16497, 1.88758, 1.33084, 1.90512, 1.71015, 2.18522, 1.74693, 1.50774, 2.00077, 2.12682, 2.04186, 1.46546, 1.71426, 2.03229, 2.00935, 2.27898, 2.341, 2.625, 2.17167, 2.16423, 1.619, 1.78603, 1.85415
0.3, 0.0319375, 1.78365, 2.1627, 1.55178, 0.866809, 2.10875, 1.72485, 1.6263, 1.32586, 1.76478, 1.68402, 1.46924, 1.26636, 1.84077, 2.20159, 1.60456, 1.80925, 1.64967, 1.23125, 1.2799, 1.43297, 1.85787, 1.97216, 2.1544, 2.40271, 2.79001, 2.37868, 1.95083, 1.75286, 2.14344, 2.11273
0.32, 0.0319375, 1.01005, 2.45564, 1.93281, 1.03773, 2.05009, 2.02294, 1.66932, 1.28457, 1.38711, 1.59866, 1.34746, 1.61218, 1.93362, 1.90884, 1.66163, 1.5444, 1.83762, 1.29046, 1.51667, 1.72675, 1.86801, 2.40453, 2.31384, 2.49279, 2.64851, 2.24423, 2.04203, 1.53846, 2.32626, 1.85669
