# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 1.80257, 0.573195, 1.01098, 1.91831, 1.29645, 0.637946, 1.1742, 0.782784, 1.25358, 0.695674, 0.730334, 0.676975, 0.578423, 0.399758, 0.665535, 0.796375, 0.956002, 1.02471, 0.93556, 0.9229, 0.333292, 0.196703, -0.187839, -0.381177, -0.225591, -1.05043, -1.23519, -1.02096, -1.36982, -1.61129
0.02, 0.0319375, 1.11883, 0.857936, 1.59025, 2.44346, 1.42393, 1.07059, 0.531329, 1.00259, 0.606851, -0.0780116, 0.332207, 1.00809, 0.867385, 0.655814, 1.06169, 0.507391, 0.836548, 0.803629, 0.574815, 0.556875, 0.319293, 0.0174628, -0.373709, -0.307877, -0.484085, -1.05959, -1.29468, -1.18918, -1.36098, -1.21437
0.04, 0.0319375, 0.551758, 0.992644, 1.45082, 2.24217, 1.30093, 1.01848, 0.389588, 0.546646, 0.841399, 0.464749, -0.126076, 0.989284, 0.586235, 0.397664, 1.16371, 0.10675, 0.285537, 0.412855, 0.347436, 0.671042, 0.227746, -0.0839505, -0.136193, -0.553091, -0.800135, -1.66261, -1.02154, -1.24482, -1.48287, -1.7066
0.06, 0.0319375, 0.931076, 0.718578, 1.01049, 1.36953, 1.36027, 0.844608, -0.340173, 0.489661, 1.22594, -0.191712, -0.460391, 0.579345, 0.392723, -0.0148386, 0.686918, -0.0369387, 0.0603966, -0.063797, 0.516576, 0.718005, 0.0207939, -0.190124, -0.107052, -0.31315, -0.465996, -1.03079, -1.3836, -1.39048, -1.63195, -1.94959
0.08, 0.0319375, 0.607158, 0.630599, 1.20201, 2.30076, 1.6259, 0.452, 0.0425975, 0.636003, 1.20598, 0.544534, -0.626342, 0.896831, 0.63498, -0.333705, 0.71892, -0.0102006, -0.369802, -0.0100333, -0.0634534, 0.106213, -0.107524, -0.275129, -0.417591, -0.805713, -0.698153, -1.29386, -1.49532, -1.62448, -1.54456, -2.07838
0.1, 0.0319375, 0.619093, 0.264882, 1.44931, 2.7698, 1.62611, 1.10465, 0.384404, 1.31797, 1.61587, 0.278468, -0.806755, 0.484003, 0.148369, -0.336443, 0.634032, -0.332424, -0.72286, -1.03074, -0.304324, 0.444804, -0.0296399, -0.185161, -0.189727, -0.372364, -0.515816, -1.27397, -1.3826, -1.69242, -1.90301, -1.85819
0.12, 0.0319375, 0.337503, 0.783515, 1.23195, 2.6263, 1.37085, 1.50828, 0.359878, 1.28816, 1.37084, 0.218046, -1.57233, 0.262593, -0.193334, -0.555479, 0.856488, -0.0340838, -0.436362, -0.622212, 0.0334995, 0.326954, -0.428288, -0.613473, -0.745378, -1.07473, -1.02477, -1.3249, -1.51453, -1.57032, -2.15217, -1.85473
0.14, 0.0319375, 0.63269, 0.67812, 0.903096, 2.00372, 0.961137, 1.66341, 0.567083, 1.00066, 0.871593, 0.0227248, -0.477619, 1.07383, 0.465159, -0.349833, 0.740003, 0.171543, -0.325784, 0.0626688, -0.231199, 0.101833, -0.355672, -0.587543, -0.157753, -0.342774, -0.523166, -1.45593, -1.69485, -1.89761, -2.02981, -2.2169
0.16, 0.0319375, 0.817612, 0.9995, 0.594994, 1.20831, 1.10723, 1.71562, 0.732985, 0.950306, 1.18134, -0.0906163, -0.963962, 0.735298, 0.225101, -0.186866, 0.552358, -0.127384, -1.00733, -0.547837, -0.186527, 0.644446, -0.208575, -0.18866, -0.611216, -0.963206, -0.849207, -1.19109, -1.61255, -1.71567, -1.79885, -2.30205
0.18, 0.0319375, 3.43685, 2.3373, 1.27902, 1.75721, 2.10631, 2.60923, 2.0251, 1.89989, 1.57277, 1.02074, 0.769026, 1.17992, 1.08902, 1.16654, 1.13755, 0.657658, 0.928608, 1.20985, 1.15943, 1.67259, 1.49961, 1.52328, 1.47624, 2.40249, 1.76301, 1.20734, 2.60077, 2.42946, 1.6026, 2.0755
