# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.81254, -7.45925, -7.8072, -6.98991, -6.57391, -6.87676, -7.10715, -7.37447, -7.31683, -7.06226, -7.55169, -7.25612, -6.90674, -6.68959, -6.92254, -6.87662, -6.75547, -6.71131, -6.36566, -6.27929, -6.36549, -6.40336, -6.0963, -5.912, -5.87665, -5.81791, -5.63412, -5.52118, -5.46286, -5.69473
0.02, 0.0319375, -8.05905, -7.13118, -7.24618, -7.82411, -7.26606, -7.44889, -6.94177, -7.07066, -6.76084, -6.64016, -6.94564, -6.90248, -6.80642, -6.28469, -6.95149, -6.72117, -6.40959, -6.68703, -6.28806, -6.36728, -6.10878, -6.16155, -5.73036, -6.09065, -5.91638, -6.04523, -5.93078, -5.5786, -5.79206, -5.37417
0.04, 0.0319375, -7.8284, -7.57468, -7.23255, -7.11185, -7.21457, -7.18206, -7.91827, -7.01726, -6.94195, -6.62481, -6.91712, -6.72539, -6.64238, -7.22724, -6.71939, -6.35153, -6.2834, -6.95674, -6.6006, -6.64289, -6.11796, -6.31441, -6.03304, -6.11182, -5.65779, -5.76935, -5.47423, -5.61142, -5.49237, -5.5964
0.06, 0.0319375, -7.86937, -7.56556, -7.67628, -7.02279, -7.10686, -7.65906, -7.33695, -7.19535, -6.79663, -7.02188, -6.95987, -6.59296, -6.68607, -6.35692, -6.53765, -6.57675, -6.57979, -7.00343, -6.30679, -6.15422, -6.30822, -6.44513, -6.25279, -5.80374, -5.90785, -5.99407, -5.87898, -6.07848, -5.67254, -5.58268
0.08, 0.0319375, -7.89524, -7.52176, -7.2402, -7.08895, -6.99448, -7.28112, -7.15996, -7.09322, -6.92938, -7.30668, -6.72277, -6.67566, -6.39926, -6.90491, -7.22173, -6.7219, -6.69242, -6.54227, -6.45529, -6.05547, -6.54881, -6.21145, -6.08499, -6.0745, -5.67678, -5.6377, -5.52299, -5.71153, -5.66803, -5.41608
0.1, 0.0319375, -7.84168, -7.21082, -7.16114, -7.28844, -7.51639, -7.83808, -7.84228, -7.97471, -7.43859, -7.52334, -7.08861, -7.16303, -7.14321, -6.79301, -6.28914, -6.21431, -6.57553, -6.63596, -6.25564, -6.505, -6.24244, -6.08835, -6.25837, -6.2809, -6.08287, -5.86606, -5.62147, -5.54867, -5.63135, -5.36885
0.12, 0.0319375, -7.46836, -8.05905, -8.05905, -7.68356, -7.54759, -7.22334, -7.10539, -7.48744, -7.23554, -6.8731, -6.61168, -6.94578, -6.76075, -6.73456, -7.0166, -6.81521, -6.43349, -6.42, -6.22912, -6.36701, -6.19387, -6.01285, -5.80328, -5.87743, -6.09839, -6.03372, -5.83858, -5.45757, -5.66092, -5.34962
0.14, 0.0319375, -7.74284, -6.81911, -6.8123, -7.34022, -7.27297, -7.63315, -7.29538, -7.01581, -7.04125, -6.74495, -6.75532, -6.70177, -7.26235, -6.53486, -6.63069, -6.61512, -6.64497, -6.53733, -6.5134, -6.5557, -6.44876, -6.03531, -6.29565, -6.09355, -5.94236, -5.87561, -5.79118, -5.41342, -5.215, -5.31431
0.16, 0.0319375, -8.05905, -6.90238, -7.52907, -7.45152, -6.70999, -7.76665, -7.33821, -6.99869, -6.79692, -7.11927, -6.94762, -6.38623, -6.12389, -6.1927, -6.68949, -6.42531, -6.53384, -6.71767, -6.6315, -6.21857, -6.45536, -6.3252, -6.01258, -6.07061, -6.25928, -5.5202, -5.60129, -5.85129, -5.67566, -5.37681
0.18, 0.0319375, -7.83135, -7.18882, -7.13563, -7.59829, -8.05905, -8.05905, -7.89198, -7.49516, -7.15117, -6.57748, -6.94138, -6.80642, -6.81238, -6.58439, -6.66155, -6.32969, -6.19803, -6.37127, -6.33079, -6.14549, -5.81384, -6.07483, -5.98369, -6.1275, -6.032, -5.90087, -6.02494, -5.46058, -5.66852, -5.40877
0.2, 0.0319375, -8.05905, -7.45064, -7.09096, -7.59062, -7.39664, -7.98658, -6.93022, -6.86438, -7.73808, -7.84125, -7.28441, -6.70001, -6.58183, -6.37701, -6.90834, -6.69046, -6.64631, -6.64731, -6.48071, -6.17626, -6.10911, -6.24208, -6.03705, -6.03995, -6.14899, -5.93605, -5.7609, -5.68872, -5.54077, -5.39649
0.22, 0.0319375, -7.85515, -6.62303, -7.35552, -7.70457, -7.43635, -7.2842, -7.39077, -7.00982, -7.44387, -6.54006, -6.98298, -7.47265, -7.32194, -6.30565, -6.72658, -6.69318, -6.39614, -6.37488, -6.77699, -6.42747, -6.3111, -6.72256, -6.21198, -6.20367, -5.8714, -6.0528, -5.84981, -5.37501, -5.83163, -5.7525
0.24, 0.0319375, -7.64316, -7.24802, -7.31246, -8.05905, -7.34507, -7.65613, -7.63429, -6.95141, -6.73316, -7.19301, -6.64632, -6.13026, -6.81452, -6.57524, -6.50524, -6.79683, -6.56836, -6.22467, -6.02653, -6.34335, -6.09001, -6.17651, -6.01444, -5.83848, -5.78682, -6.29292, -5.76175, -5.77332, -5.66744, -5.59297
0.26, 0.0319375, -7.26694, -7.17112, -7.68, -7.6291, -7.39461, -7.90685, -7.12402, -6.53095, -6.62136, -7.37315, -7.08725, -6.94992, -6.91255, -6.66431, -6.63217, -7.19776, -6.36201, -6.37513, -6.56239, -6.27185, -6.15856, -6.18468, -6.23566, -6.34962, -5.85172, -5.83402, -5.87452, -5.6746, -5.40289, -5.51359
0.28, 0.0319375, -8.03628, -8.00453, -7.98199, -8.05905, -7.72807, -7.32357, -7.20231, -6.3903, -6.93945, -6.98874, -6.98978, -6.66154, -6.65743, -6.60219, -6.27001, -6.56698, -6.28135, -6.25246, -6.21587, -6.1311, -6.02224, -6.17111, -6.36983, -5.94515, -5.95727, -5.73506, -5.73482, -5.62769, -5.27932, -5.28875
0.3, 0.0319375, -7.68093, -7.55673, -7.8141, -7.50537, -7.26492, -7.41901, -7.97852, -6.93819, -7.04699, -7.88649, -6.93264, -6.42086, -6.29898, -6.45466, -6.90598, -6.40543, -6.27398, -6.27708, -6.33594, -6.42287, -6.27791, -6.20785, -5.92587, -6.18364, -6.15028, -5.87262, -6.00354, -5.7911, -5.43738, -5.48076
0.32, 0.0319375, -7.84812, -7.56014, -7.82517, -7.79775, -6.9357, -7.10436, -7.19689, -6.97688, -6.82163, -6.84255, -6.65106, -7.02497, -6.70609, -6.72862, -6.46919, -6.8216, -6.64678, -6.83626, -6.5302, -6.45617, -6.41657, -6.61052, -6.47808, -6.24394, -6.08183, -5.87168, -5.63796, -5.42766, -5.52877, -5.72847
0.34, 0.0319375, -7.15344, -8.05905, -8.02059, -7.48682, -7.02833, -7.25738, -6.92004, -7.5799, -7.15714, -6.99881, -6.87484, -6.68922, -6.73801, -6.41315, -6.86005, -6.74054, -6.60476, -6.58303, -6.40211, -6.21262, -6.29446, -6.13992, -6.61939, -6.11987, -5.72951, -6.05, -6.02092, -5.51393, -5.5716, -5.44368
0.36, 0.0319375, -7.50457, -7.55338, -7.30798, -7.37979, -7.57057, -7.08381, -8.05905, -6.74096, -6.86901, -7.43699, -6.6067, -6.89085, -7.65806, -6.92364, -6.82574, -6.44131, -6.7168, -6.3683, -6.4979, -6.62532, -5.96035, -6.31287, -6.31152, -5.99673, -6.12878, -5.87081, -5.65637, -5.58517, -5.36549, -5.5808
0.38, 0.0319375, -7.51177, -7.5477, -7.05854, -7.40309, -6.86079, -7.18957, -7.61284, -7.13852, -6.73156, -6.60712, -7.13066, -7.11834, -6.84714, -6.47836, -6.57448, -6.6858, -6.29322, -6.56152, -6.13561, -6.17524, -6.67687, -6.10624, -6.04819, -5.87, -6.06774, -5.87365, -5.81308, -5.6086, -5.61099, -5.44326
0.4, 0.0319375, -8.05905, -7.25781, -7.43787, -7.27084, -7.25335, -6.72654, -7.39008, -7.66349, -7.22033, -6.88704, -7.06939, -6.63673, -6.58365, -6.74218, -6.42394, -6.37848, -6.72551, -6.70656, -6.19193, -6.09594, -6.11275, -6.22521, -6.26603, -5.95082, -5.88987, -5.94105, -5.80859, -5.80806, -5.56073, -5.39953
0.42, 0.0319375, -8.05905, -7.45853, -7.36454, -8.05905, -7.17881, -7.04401, -7.06101, -6.90332, -6.97505, -6.75702, -6.98505, -6.9414, -6.77034, -7.14721, -6.58504, -6.55241, -6.40939, -6.4904, -6.2853, -6.21935, -6.29578, -6.07166, -6.16483, -6.05752, -6.18426, -5.83545, -5.86638, -5.72351, -5.62412, -5.46135
0.44, 0.0319375, -7.53032, -7.6703, -7.03904, -7.28892, -7.18606, -8.05905, -7.58333, -6.80828, -6.67114, -7.55886, -7.17015, -6.67596, -6.96988, -7.32722, -6.89961, -6.90686, -6.63724, -6.19038, -6.11097, -6.11755, -6.18675, -6.3963, -6.45802, -6.08522, -6.38009, -5.72479, -5.69876, -5.57862, -5.83083, -5.75053
0.46, 0.0319375, -7.55642, -7.44745, -7.44931, -7.07486, -7.39476, -7.41249, -7.33638, -6.5771, -6.63108, -7.33445, -6.90063, -7.05154, -7.04588, -6.83052, -6.87663, -7.09004, -6.70278, -6.79121, -6.42575, -6.50327, -6.34989, -6.09934, -5.76687, -5.8557, -5.92045, -5.98878, -6.03373, -5.71898, -5.68501, -5.3926
0.48, 0.0319375, -7.14265, -7.30095, -7.1279, -6.66641, -7.22338, -7.2706, -7.53742, -7.58177, -7.02414, -6.79346, -7.43279, -6.7187, -6.57447, -6.62289, -7.04246, -6.52123, -6.34007, -6.49952, -6.22069, -6.48355, -6.50145, -6.04514, -6.0184, -5.84381, -6.02764, -5.94022, -5.94035, -5.67895, -5.54504, -5.43499
0.5, 0.0319375, -7.49855, -7.25305, -7.93663, -7.41446, -7.22887, -7.56055, -7.92657, -7.0828, -7.49266, -6.96033, -6.73457, -6.42475, -7.03372, -6.81438, -6.98944, -6.61098, -6.80468, -6.76049, -6.29669, -6.25711, -6.57552, -6.06253, -5.9725, -5.96795, -5.92047, -5.65977, -5.53821, -5.38583, -5.42069, -5.44218
