# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.27348, -2.97275, -3.35952, -4.01703, -3.80356, -3.84266, -3.65483, -4.0334, -4.80369, -4.5309, -4.35926, -3.84045, -4.207, -4.18567, -3.67202, -3.65304, -3.65833, -3.61475, -4.04938, -4.19308, -4.25203, -3.79478, -3.70738, -3.34539, -3.67982, -3.7854, -3.79169, -3.55943, -3.70521, -3.79771
0.02, 0.0319375, -2.81588, -2.59806, -3.06277, -3.18093, -3.64143, -4.00149, -3.87613, -4.5589, -4.5014, -4.14755, -4.31193, -4.1321, -3.46045, -3.32711, -3.5865, -3.5753, -3.46362, -3.36436, -3.80597, -3.71753, -3.73144, -3.80016, -3.71101, -3.79172, -3.92724, -3.72197, -3.97229, -3.50321, -3.69282, -3.64531
0.04, 0.0319375, -2.5742, -3.66348, -3.32417, -3.93051, -3.68784, -3.97327, -4.01749, -4.28475, -4.18249, -4.05785, -4.6101, -4.0832, -3.78813, -3.91773, -3.7818, -3.28126, -3.54546, -3.49832, -3.72287, -3.82091, -3.90241, -3.57965, -3.46964, -3.52751, -3.50648, -3.63548, -3.92497, -3.91361, -4.04131, -3.77702
0.06, 0.0319375, -3.12664, -3.52412, -3.50822, -3.55163, -3.47395, -3.79545, -3.63441, -3.8943, -4.45942, -4.44509, -4.53534, -3.91074, -4.02347, -4.20385, -3.46112, -3.00985, -3.64369, -3.63306, -3.99167, -3.61161, -3.65932, -3.2132, -3.52276, -3.48836, -3.38013, -3.891, -3.58303, -3.67533, -3.6066, -3.49179
0.08, 0.0319375, -3.06151, -3.66052, -3.72005, -3.98288, -2.96521, -3.30627, -3.7578, -4.00078, -4.40647, -3.86476, -4.13464, -3.75027, -3.86742, -4.17963, -3.41413, -3.35711, -3.45841, -3.66598, -3.8962, -3.86409, -4.31362, -3.53147, -3.58167, -3.77177, -4.06106, -4.06027, -3.54349, -3.6111, -3.48874, -3.81962
0.1, 0.0319375, -3.33178, -3.43993, -3.05481, -3.39292, -3.97169, -3.69402, -3.67751, -4.24339, -5.21908, -4.64771, -4.32929, -4.1457, -4.19873, -4.13193, -3.51995, -3.81794, -3.80161, -3.77862, -4.05567, -3.64454, -3.88375, -3.42489, -3.53764, -3.79502, -3.64573, -3.74004, -3.81304, -3.53987, -3.56793, -3.31106
0.12, 0.0319375, -2.89425, -3.89049, -3.51069, -3.34352, -3.70429, -4.40988, -4.44843, -4.26406, -4.26271, -3.89885, -4.28535, -4.17323, -4.06797, -3.99658, -3.30388, -3.79927, -3.34391, -3.81277, -4.01154, -3.89616, -4.06632, -3.56818, -3.6262, -3.78159, -3.65603, -3.86452, -3.7832, -3.88912, -3.8407, -3.53019
0.14, 0.0319375, -3.69001, -3.28496, -3.18816, -3.90464, -3.37697, -4.17774, -4.00335, -4.37578, -4.47415, -4.19501, -3.9773, -3.99574, -3.91997, -3.86002, -4.03752, -3.99661, -4.096, -4.08363, -3.74256, -4.20929, -4.14527, -3.8053, -3.77454, -4.47193, -3.70856, -4.06069, -3.82353, -3.75206, -3.82439, -3.75441
0.16, 0.0319375, -3.97474, -3.45968, -3.49001, -3.70948, -3.37032, -4.02725, -4.3058, -4.43494, -5.03391, -4.47234, -3.98395, -4.32643, -3.93248, -3.77916, -3.90627, -4.00129, -3.71977, -3.80884, -3.71777, -3.65032, -4.13763, -4.12927, -3.66757, -3.63219, -3.76114, -3.94763, -3.92212, -3.65993, -3.84825, -3.73335
0.18, 0.0319375, -3.02425, -3.04231, -2.58434, -3.12186, -4.16259, -3.88203, -3.92642, -4.77018, -4.55162, -4.67039, -4.38459, -3.8614, -3.72652, -3.74282, -3.66691, -3.99161, -3.87756, -4.73051, -4.10421, -4.05244, -3.99739, -3.97317, -4.14668, -3.87574, -3.72123, -3.54647, -3.76112, -3.61405, -3.67493, -3.79846
