# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.50925, -1.52226, -1.21829, -1.43005, -1.26522, -1.78907, -1.47257, -1.2157, -1.11579, -1.33066, -1.45686, -1.56463, -2.02742, -2.15601, -1.92963, -2.23493, -2.12977, -2.27402, -1.83429, -1.80267, -1.45235, -1.95925, -1.86536, -1.60157, -1.69917, -1.68141, -1.89622, -1.51451, -1.44762, -1.36695
0.02, 0.0319375, -2.07484, -1.19455, -0.93731, -1.88575, -2.0351, -2.0899, -1.61368, -1.05593, -1.04877, -1.27081, -2.24141, -2.19529, -1.7154, -1.91241, -2.65097, -2.24413, -2.3778, -1.7798, -2.11885, -2.14228, -2.07817, -1.90184, -2.05986, -1.9833, -1.74635, -1.86519, -1.40259, -1.71162, -1.42706, -1.36904
0.04, 0.0319375, -0.942224, -0.568697, -1.17594, -1.80759, -1.16886, -1.19037, -1.91282, -1.12997, -1.10285, -1.40914, -1.98537, -1.36786, -1.42732, -1.56213, -1.60555, -1.15475, -1.31561, -1.73154, -1.51242, -1.12779, -1.23229, -1.69443, -1.5795, -1.21185, -0.975863, -1.49237, -0.624245, -0.51793, -0.397111, -0.369727
0.06, 0.0319375, -1.70994, -1.04841, -1.35802, -1.14228, -1.63789, -1.75468, -1.65496, -1.225, -1.50748, -1.24286, -1.65316, -1.4644, -1.34256, -1.30833, -1.44335, -1.74098, -1.4872, -1.50068, -1.55589, -1.74558, -1.81122, -1.53625, -1.57967, -0.798423, -0.665321, -0.903599, -0.902511, -0.952482, -1.01121, -0.825211
0.08, 0.0319375, -0.540859, -0.975514, -1.47835, -2.1961, -1.82957, -1.44341, -2.19609, -1.31374, -0.858564, -1.42649, -1.97812, -1.84875, -1.55541, -1.52994, -1.83979, -2.30593, -2.31061, -1.39794, -1.20543, -0.782231, -1.18515, -1.17663, -1.41356, -0.197324, 0.157863, 0.299201, -0.0368164, -0.226963, -0.028863, 1.0811
0.1, 0.0319375, -1.79766, -0.820592, -1.07432, -1.33732, -0.936702, -1.28551, -1.79073, -1.17749, -0.825669, -1.11496, -1.4706, -1.85487, -2.4318, -1.89231, -1.7703, -2.1297, -1.60309, -1.42185, -1.14039, -0.945763, -0.931161, -1.43968, -1.686, -1.40988, -0.876514, -0.807422, -1.09026, -0.597597, -0.588872, -0.483727
0.12, 0.0319375, -1.37996, -0.985688, -0.908633, -1.9651, -1.40004, -1.38047, -1.55549, -1.46446, -0.925411, -1.72814, -1.80287, -1.55596, -1.40164, -1.7914, -2.33871, -2.44356, -1.85615, -1.7593, -1.29638, -1.29714, -1.62447, -0.952152, -1.10329, -1.18936, -1.15706, -1.24677, -0.865337, -0.851661, -1.09747, -0.696474
0.14, 0.0319375, -1.39428, -1.58747, -1.49369, -1.70487, -1.86988, -2.20354, -1.69504, -0.852669, -0.866019, -0.919398, -1.30165, -1.73426, -1.55953, -1.70571, -2.39508, -1.90455, -1.66941, -1.36458, -2.01899, -1.89821, -1.51571, -1.23797, -1.27674, -1.3389, -1.3006, -1.16178, -0.797622, -0.704199, -0.893355, -0.992523
0.16, 0.0319375, -1.19258, -1.46151, -1.72404, -1.4462, -1.56986, -1.45911, -2.21954, -1.79978, -1.26627, -1.93801, -1.92175, -1.72251, -1.70422, -1.86059, -1.59291, -2.28353, -2.0479, -1.83523, -1.83906, -1.64051, -1.52886, -1.39478, -1.17003, -1.42065, -1.53944, -1.36733, -1.24364, -1.00496, -0.609505, -0.651231
0.18, 0.0319375, -0.851428, -1.0363, -1.01709, -1.82548, -1.17553, -1.52235, -1.7646, -1.9005, -1.11506, -1.43333, -1.93241, -1.61201, -2.06756, -2.14361, -2.074, -2.13049, -1.86442, -1.79871, -1.75502, -1.87526, -1.69449, -1.36482, -1.29891, -1.72852, -1.12817, -1.1456, -1.03996, -1.07438, -1.21904, -1.0866
