# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.05905, -8.0527, -7.48167, -7.99788, -7.45998, -7.67701, -8.05905, -7.37861, -7.47601, -6.90066, -6.87797, -6.91509, -6.90315, -6.99074, -7.27975, -6.61938, -6.40846, -6.85626, -6.78997, -6.53236, -6.26345, -6.51218, -6.18249, -6.36112, -5.85978, -5.87824, -6.22952, -5.60918, -5.74801, -5.95956
0.02, 0.0319375, -8.03863, -7.54795, -7.45218, -7.09897, -7.20352, -7.63182, -7.97009, -6.80176, -6.97218, -6.88412, -7.47494, -6.84598, -6.66842, -6.93982, -6.51491, -6.62819, -6.22618, -6.65707, -6.71432, -6.80075, -6.44345, -6.26377, -6.4986, -6.35806, -5.95858, -6.12435, -6.01425, -5.87427, -6.09685, -5.95472
0.04, 0.0319375, -7.18154, -7.21433, -7.51853, -7.11075, -7.63486, -7.50964, -7.24045, -7.1792, -7.25226, -7.16452, -6.83415, -7.49474, -7.05343, -6.78496, -6.58416, -6.52267, -6.87068, -6.65032, -6.43606, -6.37424, -6.43078, -6.56704, -6.34493, -6.19569, -6.13937, -6.27119, -5.91405, -5.84875, -5.82237, -5.7208
0.06, 0.0319375, -8.05905, -7.39118, -7.54684, -7.81651, -7.55473, -7.41272, -7.29264, -6.53567, -6.52727, -7.34586, -6.83823, -7.13615, -6.72714, -7.04478, -7.21227, -6.58909, -6.27453, -6.45632, -6.59148, -6.82445, -6.52086, -6.3757, -6.37826, -6.24815, -6.23106, -6.13315, -6.11881, -6.00622, -5.82298, -5.78745
0.08, 0.0319375, -7.59619, -7.69308, -7.84004, -8.05905, -7.73787, -6.97532, -7.30001, -6.97784, -6.90812, -6.86608, -7.23683, -6.93758, -7.38909, -6.82156, -6.87909, -6.85555, -7.0987, -6.99907, -6.55461, -6.41167, -6.18138, -6.01591, -6.35438, -6.30939, -6.05552, -5.9413, -5.91593, -5.74629, -5.58249, -6.00665
0.1, 0.0319375, -7.75207, -8.05905, -8.05905, -8.05905, -7.1371, -7.0807, -7.16362, -7.13068, -6.77513, -7.18224, -6.95456, -7.10746, -7.51875, -6.81087, -6.3483, -6.22095, -6.72318, -6.60939, -6.72062, -6.63383, -6.18825, -6.40642, -5.95655, -5.91916, -5.88106, -6.13814, -6.02734, -5.82507, -6.01652, -5.53479
0.12, 0.0319375, -7.96274, -7.74959, -7.65342, -7.58432, -6.96322, -7.54502, -7.83084, -6.82617, -7.25224, -7.29985, -7.42103, -7.384, -7.15577, -7.26316, -6.89128, -6.87622, -6.85681, -6.98017, -7.00662, -6.49673, -6.63853, -6.46241, -6.39849, -6.21782, -6.15334, -6.24269, -5.93941, -5.78223, -5.83434, -5.63938
0.14, 0.0319375, -8.05905, -7.65099, -7.38965, -7.37853, -7.06903, -7.5968, -8.05905, -7.61449, -7.39869, -7.03328, -7.30198, -6.97355, -7.22031, -7.34628, -6.53876, -6.65562, -7.12648, -6.68693, -6.50869, -6.54023, -6.37932, -6.34163, -6.19938, -5.9072, -5.88634, -6.28038, -6.05302, -5.9352, -6.0294, -5.60413
0.16, 0.0319375, -8.05905, -8.05905, -7.82454, -7.14312, -7.88014, -8.05905, -7.31544, -7.39337, -6.85111, -7.27137, -7.38459, -7.65217, -6.95963, -7.09431, -7.08824, -6.986, -6.89788, -6.50863, -6.38998, -6.20657, -6.49608, -6.77948, -6.48812, -6.33153, -6.28283, -6.11265, -5.98035, -6.07315, -5.89758, -5.73486
0.18, 0.0319375, -7.3672, -7.20608, -7.45431, -8.05905, -7.6393, -7.42973, -7.72119, -7.64553, -7.67117, -7.07336, -7.21445, -7.39455, -7.35792, -7.24806, -6.72453, -6.47315, -7.15246, -6.70288, -6.51155, -6.3457, -6.76096, -5.98338, -6.28611, -6.11449, -6.04467, -6.27588, -6.55692, -5.98673, -5.76516, -5.82172
0.2, 0.0319375, -7.85265, -7.73337, -8.01835, -7.8462, -8.05905, -8.05905, -7.50399, -7.55051, -7.67951, -7.18008, -7.60363, -7.43331, -7.16312, -6.66378, -6.92918, -6.81592, -6.67651, -6.63844, -6.52974, -6.69507, -6.66599, -6.39432, -6.59793, -6.33169, -6.11734, -6.23226, -6.09869, -5.84135, -5.9809, -5.66208
0.22, 0.0319375, -8.05905, -7.44517, -7.74323, -7.69702, -7.65762, -8.05905, -8.05905, -7.96874, -7.53109, -6.98137, -7.07446, -7.39285, -7.00514, -7.28571, -7.06937, -6.71714, -6.73144, -6.70916, -6.89166, -6.44187, -6.31131, -6.41187, -6.43358, -6.11598, -6.20647, -5.88419, -6.08379, -6.10415, -5.81076, -5.82825
0.24, 0.0319375, -8.05905, -8.05905, -7.93113, -7.77164, -7.60494, -7.32001, -7.63763, -7.73208, -7.47696, -7.30219, -7.06344, -6.83255, -6.95219, -7.29629, -6.90753, -6.51163, -7.00983, -6.83327, -6.4062, -6.77302, -6.73603, -6.19299, -6.75333, -6.29012, -6.25415, -6.11183, -6.03632, -6.10579, -6.03989, -5.99685
0.26, 0.0319375, -8.05905, -7.67335, -7.32038, -7.64393, -7.41117, -8.05905, -7.74842, -7.31275, -7.53885, -7.62566, -7.50389, -6.8778, -7.12297, -7.15703, -6.93856, -6.43526, -6.44477, -6.35846, -6.50778, -6.63535, -6.41606, -6.23523, -6.19848, -6.26049, -6.212, -6.24665, -5.88807, -5.94022, -5.95107, -5.71737
0.28, 0.0319375, -8.05905, -8.05905, -7.34571, -6.78499, -7.01799, -7.97854, -7.95812, -8.05905, -7.48457, -6.96564, -7.20589, -7.11859, -7.64474, -6.876, -6.77946, -6.58385, -6.48114, -6.59844, -6.54914, -6.48076, -6.63175, -6.42482, -6.51676, -6.00881, -5.79162, -6.05143, -6.12836, -6.0142, -5.81158, -5.76139
