# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -7.61592, -7.87869, -8.05905, -7.51893, -7.58525, -7.32298, -7.2908, -7.76321, -7.18188, -7.25372, -7.64175, -7.3147, -7.36029, -7.15223, -6.31403, -6.4125, -6.7293, -6.97728, -6.57523, -6.55464, -6.49246, -6.31987, -6.48976, -6.2396, -6.14377, -6.1047, -5.89625, -5.81945, -5.75167, -5.50381
0.02, 0.0319375, -8.05905, -7.60189, -7.28601, -7.15132, -7.70865, -7.78662, -7.04653, -7.44576, -7.63614, -7.20635, -7.46139, -7.31938, -7.05147, -6.92687, -7.33436, -6.73658, -6.38937, -6.70997, -6.67971, -6.75738, -6.25329, -6.27762, -6.33628, -6.30577, -5.82983, -6.09453, -6.10792, -5.94534, -5.81874, -5.89954
0.04, 0.0319375, -7.35214, -8.05905, -8.05905, -7.48876, -7.84959, -7.64497, -7.49082, -7.88239, -6.9236, -6.93498, -7.31654, -7.12769, -7.54106, -6.81131, -6.47855, -6.63444, -6.70726, -6.76048, -6.78302, -6.45628, -6.49212, -6.6632, -6.32771, -6.16292, -6.19382, -6.12703, -6.15675, -6.07715, -5.95265, -5.69927
0.06, 0.0319375, -7.50642, -7.87238, -7.30706, -7.63807, -7.74173, -7.06292, -7.3295, -8.05905, -7.34771, -7.58429, -7.29181, -7.0798, -7.36592, -7.63531, -6.60526, -6.54507, -6.91337, -6.63882, -6.40514, -6.23548, -6.22078, -6.45492, -6.0561, -5.90312, -6.08359, -6.04468, -6.2231, -5.97407, -6.15597, -5.74482
0.08, 0.0319375, -8.05905, -8.05905, -7.31603, -7.21779, -7.62036, -7.19072, -7.0365, -6.87957, -6.72137, -7.09507, -6.87211, -6.78716, -7.02247, -7.00646, -6.85192, -6.73954, -6.69689, -6.20899, -6.75079, -6.28393, -6.22143, -6.44323, -6.42692, -6.15521, -6.2111, -5.8851, -5.83257, -5.68776, -6.06105, -5.93175
0.1, 0.0319375, -7.78228, -7.13803, -7.09544, -7.56777, -7.27548, -7.56221, -7.37584, -7.17834, -6.93375, -7.40918, -7.90097, -7.25076, -7.11266, -6.77001, -6.90241, -6.76466, -6.6601, -6.92256, -6.6478, -6.634, -6.42782, -6.39523, -6.21241, -6.4837, -6.37341, -6.10333, -5.9048, -5.94685, -5.86146, -5.85843
0.12, 0.0319375, -8.05905, -7.11339, -7.11199, -7.2695, -7.54712, -7.99257, -7.73796, -7.4314, -7.11108, -6.99696, -7.50382, -7.3573, -6.76254, -6.67313, -6.8773, -7.21162, -6.80563, -6.52233, -6.4511, -6.28342, -6.07521, -6.23128, -6.21524, -6.14056, -6.12414, -5.74549, -5.84576, -5.67594, -5.80354, -6.00167
0.14, 0.0319375, -6.67822, -7.41929, -6.97896, -6.2981, -6.16745, -6.48488, -6.76707, -6.9643, -7.42801, -7.12117, -6.96449, -6.73458, -7.25766, -6.52706, -6.90289, -7.0019, -6.55124, -6.47339, -6.24148, -6.80088, -6.33225, -5.97762, -6.2782, -6.40837, -6.40497, -5.96027, -5.85935, -5.69308, -5.79763, -5.54411
0.16, 0.0319375, -0.267025, -0.184785, -0.106461, -1.23074, -1.50285, -1.73811, -1.83584, -2.27334, -2.57181, -2.35963, -2.38154, -3.43856, -2.41427, -1.46312, -1.53138, -1.8773, -1.84337, -2.19257, -2.4495, -2.65897, -2.20238, -2.35003, -2.62858, -1.82439, -1.86826, -2.94591, -3.78777, -3.95478, -3.7101, -3.76843
0.18, 0.0319375, -1.36302, -1.03344, -1.79492, -2.16219, -1.60584, -1.3234, -0.801965, -1.23995, -1.97382, -1.966, -2.01027, -2.39782, -1.83706, -1.82403, -1.64663, -1.86722, -1.5907, -1.1676, -1.42379, -1.04675, -1.00992, -1.08199, -1.00503, -0.785659, -0.781483, -0.728949, -0.537553, -0.62394, -0.608166, -0.434282
0.2, 0.0319375, -1.38463, -1.30965, -0.752692, -0.670664, -1.91904, -2.00832, -1.43586, -2.06968, -2.11, -1.6596, -1.39199, -1.57905, -1.74258, -0.86991, -1.58572, -1.24333, -1.53764, -1.1723, -1.13726, -0.945821, -1.06366, -1.39306, -1.5022, -1.26193, -0.766575, -0.0343763, -0.257856, 0.0569463, 0.316462, -0.0125541
0.22, 0.0319375, -1.63105, -1.49008, -1.0156, -1.51043, -1.38174, -1.59793, -1.61265, -1.37364, -1.74819, -2.07792, -2.08153, -2.18991, -2.50503, -2.2567, -2.26542, -2.09677, -2.23007, -1.98228, -2.21163, -1.7822, -1.80916, -1.93673, -1.77415, -1.93101, -1.77278, -2.9414, -3.49819, -3.74265, -3.18347, -3.14036
0.24, 0.0319375, -1.81823, -1.92151, -1.25296, -1.79623, -1.57417, -2.38961, -2.09412, -2.00178, -2.22441, -2.62013, -2.72001, -2.11585, -2.0377, -2.12858, -2.24457, -2.27425, -2.32496, -2.24488, -1.86632, -1.56996, -2.29799, -1.92467, -1.56448, -1.73849, -2.07198, -2.22879, -1.82685, -1.90913, -1.83472, -1.8302
0.26, 0.0319375, -1.05505, -0.7985, -0.549965, -1.42347, -2.10975, -1.50647, -1.72588, -2.39488, -1.94014, -2.04882, -2.21836, -2.15419, -2.41595, -1.92764, -2.05442, -1.87549, -2.10652, -2.10038, -2.10427, -2.3464, -1.94346, -2.28732, -1.81777, -1.82935, -1.93805, -2.13354, -2.04977, -1.89428, -1.70265, -1.78498
0.28, 0.0319375, -2.80935, -3.23367, -2.03373, -1.81207, -1.33284, -1.64302, -1.32491, -1.93246, -1.83171, -1.92028, -2.07211, -2.35884, -1.98529, -2.30029, -2.44138, -2.03529, -2.14514, -2.05067, -2.06683, -1.93033, -1.78378, -2.44032, -2.1269, -2.00296, -2.16439, -1.98346, -1.78688, -1.39036, -1.72922, -2.00624
0.3, 0.0319375, -0.946043, -0.699356, -1.20071, -1.41185, -2.29676, -1.89678, -2.00962, -2.13237, -2.13694, -1.91168, -2.29509, -2.39046, -2.28152, -2.519, -2.23742, -2.25985, -1.81033, -1.85, -2.11273, -2.10546, -1.79194, -1.96669, -2.03983, -1.98216, -1.89728, -2.06503, -2.0804, -1.66949, -1.46609, -1.63819
0.32, 0.0319375, -1.72479, -1.782, -1.67547, -1.14729, -1.40766, -1.6168, -1.94822, -1.58059, -2.36117, -1.92161, -1.85661, -2.13269, -2.00103, -2.05168, -1.80839, -2.11137, -2.0743, -2.39456, -2.06072, -2.11979, -2.42132, -2.06375, -1.76759, -1.96628, -2.03525, -2.21714, -2.20282, -2.1423, -1.79089, -1.90748
0.34, 0.0319375, -2.10912, -0.750407, -1.37082, -1.55219, -1.52935, -1.23695, -1.32018, -1.77239, -2.18653, -2.3249, -2.19751, -1.83837, -1.82496, -1.87563, -2.50161, -1.9763, -2.06141, -2.09707, -2.06014, -1.81337, -2.28857, -1.831, -1.73059, -1.75037, -1.77024, -1.9043, -1.68216, -1.76881, -1.95013, -1.67362
0.36, 0.0319375, -1.52244, -1.07422, -0.667832, -1.30793, -1.96626, -1.47223, -1.94223, -2.09521, -2.02774, -2.45711, -2.00945, -1.58739, -1.65408, -1.97465, -1.88788, -1.91678, -2.43835, -1.76676, -1.67162, -1.89452, -2.13424, -1.94136, -1.7982, -1.90038, -2.21938, -2.1246, -1.80378, -1.48159, -1.83046, -2.23325
