# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.050525, -0.0445751, 0.170694, -0.671941, -0.818385, -0.770323, -0.453419, -1.21401, -2.50939, -2.68821, -3.03374, -2.99319, -3.60466, -3.2229, -2.79054, -2.85233, -3.11762, -2.87128, -2.69843, -2.47038, -2.14239, -2.02662, -2.40001, -2.08667, -2.30401, -2.36112, -2.6725, -2.34228, -2.20589, -2.23063
0.02, 0.0319375, -0.2847, -0.544448, -0.147323, -0.894659, -0.518136, -0.587776, -0.608207, -1.53265, -1.83945, -1.38841, -1.82472, -2.17283, -3.03775, -3.29459, -2.95505, -2.75342, -2.49901, -2.23715, -2.89321, -2.27837, -2.29715, -2.31796, -2.0221, -1.75704, -2.27307, -2.33267, -2.1629, -2.14589, -2.26848, -2.15793
0.04, 0.0319375, -1.20924, -1.07697, -0.841905, -0.913756, -0.616515, -0.501821, -0.720698, -1.76335, -1.81277, -2.10795, -2.53359, -2.92318, -2.84909, -3.52812, -3.3373, -3.04845, -3.06281, -2.89592, -3.01552, -2.86974, -2.30877, -2.05463, -1.73529, -2.07045, -2.02444, -1.75968, -1.66266, -1.73088, -1.64433, -1.80855
0.06, 0.0319375, -0.95752, -1.51402, -1.52702, -1.60094, -1.50665, -0.886952, -1.12851, -1.75175, -2.41019, -2.11203, -1.96109, -2.51596, -3.08459, -3.15187, -2.97527, -3.10998, -3.14517, -2.49423, -2.34757, -2.82638, -2.52247, -1.95492, -1.55243, -2.04892, -2.28599, -1.91182, -1.322, -1.43107, -0.943096, -1.3072
0.08, 0.0319375, -1.40365, -1.35506, -1.53916, -1.23508, -1.30665, -1.15718, -1.36913, -1.7726, -1.42444, -1.16776, -1.09734, -1.69221, -2.69292, -3.42122, -2.48829, -2.06298, -2.07718, -3.08475, -2.67711, -2.51769, -2.51614, -2.22445, -2.19495, -1.70568, -1.83781, -1.92467, -1.13151, -0.876382, -0.521668, -0.898967
0.1, 0.0319375, -1.59018, -1.10393, -1.54993, -1.46424, -1.61426, -1.547, -1.91791, -2.37369, -2.70141, -2.38049, -2.39535, -2.79194, -3.6644, -3.42994, -3.27686, -2.66271, -2.71783, -2.7016, -2.92221, -2.60494, -2.79898, -2.56432, -2.18657, -1.40606, -1.50843, -1.4544, -1.22407, -0.898426, 0.0481717, -0.213567
0.12, 0.0319375, -2.59288, -1.85605, -1.71679, -2.31026, -2.23065, -2.29943, -1.98495, -2.26456, -2.63182, -2.19912, -1.9072, -2.18456, -2.9584, -3.72352, -3.27469, -3.39649, -2.83099, -2.79306, -2.91358, -2.7374, -2.775, -2.37863, -1.9808, -2.02966, -2.00358, -1.76058, -1.34143, -1.08814, -0.363427, -0.921749
0.14, 0.0319375, -2.77714, -3.02841, -3.13259, -3.74914, -3.01143, -2.99283, -2.4876, -2.74838, -2.94507, -3.32806, -3.3482, -3.39047, -3.39726, -3.25056, -3.73485, -3.83101, -3.74351, -2.98006, -3.01527, -2.9678, -2.89734, -2.91394, -2.93403, -2.51556, -2.5365, -2.8116, -2.32833, -2.41649, -2.52439, -2.71253
0.16, 0.0319375, -4.37908, -3.12901, -2.84528, -2.79432, -3.35548, -3.32913, -2.91206, -3.45512, -3.50257, -3.37379, -3.15944, -3.65394, -3.45623, -3.57, -3.89309, -3.82965, -3.50523, -3.07882, -3.75922, -3.49764, -3.3002, -2.99716, -2.30048, -2.71902, -3.3015, -2.55514, -2.35138, -2.66108, -2.59915, -2.51939
0.18, 0.0319375, -3.60563, -3.19241, -4.24015, -3.42003, -4.00164, -3.50336, -3.51981, -3.7018, -3.10804, -3.38616, -3.51543, -4.11075, -3.67698, -3.75743, -3.65997, -3.51126, -3.60981, -3.29718, -2.91751, -3.35412, -2.98372, -3.29298, -2.9914, -2.782, -2.59847, -2.21011, -1.98485, -2.57381, -2.594, -2.50029
0.2, 0.0319375, -3.52619, -3.36891, -3.15235, -3.2919, -3.47125, -3.45652, -3.50019, -3.77324, -3.4971, -3.23825, -3.29457, -3.54701, -3.43247, -3.15873, -3.30762, -3.48412, -3.26271, -3.03591, -3.02593, -3.23321, -3.03937, -2.70532, -2.96202, -3.16004, -2.91873, -2.64708, -2.24163, -2.51402, -2.51527, -2.44231
0.22, 0.0319375, -3.43707, -3.49192, -3.72391, -4.03882, -4.00851, -3.2862, -3.29918, -3.66802, -3.56262, -3.79978, -3.41605, -3.75701, -3.20401, -2.57566, -2.78212, -3.14926, -2.58987, -3.10178, -3.49601, -3.14107, -3.0266, -3.04893, -2.61657, -2.54241, -2.82054, -2.5646, -2.21095, -2.47429, -2.496, -2.44296
0.24, 0.0319375, -3.39887, -3.10003, -2.62231, -2.1576, -2.11416, -3.08452, -3.66013, -3.6522, -2.56968, -2.83476, -3.20982, -3.60115, -2.82389, -2.30148, -2.59727, -2.98445, -2.96405, -3.41738, -3.3227, -3.32817, -3.322, -3.01711, -2.56589, -2.076, -2.66534, -2.54722, -2.5905, -2.30488, -2.43462, -2.70455
0.26, 0.0319375, -3.32808, -2.95111, -2.5273, -2.77878, -2.95026, -3.81379, -3.85594, -3.52448, -3.18255, -3.18992, -3.08163, -3.06545, -2.97936, -2.30406, -3.29862, -3.37364, -3.04997, -3.24068, -3.08491, -3.08563, -2.92323, -2.89324, -2.51879, -2.23502, -2.74017, -2.5506, -2.54332, -2.81818, -2.61628, -2.50771
0.28, 0.0319375, -3.17975, -2.38933, -2.46246, -2.83413, -2.89965, -2.98901, -2.81362, -3.20959, -2.47957, -2.7951, -2.88768, -3.02329, -2.5201, -1.4594, -1.94561, -1.99529, -2.0285, -2.66378, -3.18814, -3.04126, -2.8167, -2.36276, -1.96679, -2.41049, -2.41475, -2.42862, -2.27692, -2.18904, -2.50081, -2.34892
0.3, 0.0319375, -2.9307, -2.67827, -2.41655, -2.54575, -2.4773, -3.17448, -3.10301, -3.42346, -2.82096, -3.5531, -3.20928, -3.3795, -3.32712, -2.56333, -2.271, -2.56772, -3.01126, -3.20317, -2.98305, -3.05243, -2.54379, -2.53308, -2.38455, -2.47765, -2.93067, -2.54167, -2.44455, -2.32776, -2.72967, -2.25094
0.32, 0.0319375, -4.00743, -2.29922, -2.58674, -3.25648, -2.91653, -3.72451, -3.68025, -3.40202, -3.06538, -2.8816, -2.85314, -3.26237, -3.82041, -2.73147, -2.66158, -2.78774, -3.20592, -3.10029, -3.55774, -3.47224, -3.00778, -2.64092, -2.53401, -2.26091, -2.1394, -2.36497, -2.64496, -2.60502, -2.48459, -2.75931
0.34, 0.0319375, -3.0525, -2.68151, -1.94567, -1.92381, -2.74586, -3.02077, -3.65617, -2.80067, -2.509, -2.04457, -2.1695, -2.50547, -3.24676, -1.99141, -2.12947, -2.13076, -2.67056, -2.66959, -2.98203, -3.16873, -2.7613, -2.44379, -2.64871, -2.44801, -2.2709, -2.71065, -2.59084, -2.54566, -2.57939, -2.45371
0.36, 0.0319375, -3.16328, -3.51035, -2.43649, -3.13582, -3.1852, -3.18396, -3.45502, -3.28199, -3.69218, -4.00873, -3.1235, -3.22352, -3.05053, -2.06228, -1.47003, -2.10465, -2.62101, -2.83775, -3.54185, -3.34018, -2.8091, -2.39816, -2.32848, -2.14262, -2.70058, -2.61662, -2.58505, -2.59378, -2.47711, -2.47536
