# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 1.87302, 3.31424, 3.19876, 1.4104, 0.695065, 1.17791, 0.904059, 0.388047, 0.220841, 0.561007, -0.451247, -0.428403, -0.358344, -1.07897, -1.476, -0.765928, -1.24816, -1.56969, -1.26387, -1.66804, -1.05935, -1.32704, -0.762899, -1.2338, -2.1439, -2.66791, -1.94527, -2.59379, -5.61254, -5.56995
0.02, 0.0319375, 1.85615, 3.16868, 2.82234, 1.81129, 1.09927, 0.981007, 1.09288, 0.581448, 0.298023, 0.243771, 0.086865, -0.0544949, -0.454664, -1.17478, -1.20161, -0.920147, -1.35707, -2.0985, -1.67112, -1.91916, -1.24786, -1.4656, -1.20588, -2.27697, -2.73707, -2.90194, -2.64128, -3.19292, -5.34241, -5.81081
0.04, 0.0319375, 1.70101, 2.71315, 2.30475, 1.45959, 1.7579, 1.25149, 1.63635, 0.0786293, 0.315683, -0.246938, -0.00365298, -0.29668, -0.91613, -0.870573, -1.01319, -1.31281, -1.58295, -1.27781, -1.89396, -1.99163, -1.8744, -0.98028, -1.0439, -1.37144, -2.224, -2.35119, -2.28785, -2.80113, -5.61022, -5.73191
0.06, 0.0319375, 2.09647, 2.67733, 2.53385, 1.14014, 1.51722, 1.18841, 1.53244, -0.197928, -0.309275, -0.409833, -0.153458, -0.803903, -1.01695, -0.690162, -1.35949, -1.341, -1.77695, -2.09689, -2.66973, -2.23591, -1.67548, -1.42879, -1.45046, -2.20972, -3.38227, -4.11723, -4.21911, -4.41851, -5.77239, -5.72396
0.08, 0.0319375, 1.85128, 2.44841, 2.26688, 0.786388, 0.955527, 0.426258, 0.439735, -0.206342, -0.472363, 0.08782, -1.18777, -1.35138, -1.58187, -1.02077, -1.11581, -1.10611, -1.60026, -1.71143, -1.75873, -2.26005, -1.87956, -1.76569, -1.43137, -1.77207, -3.13719, -4.7405, -5.75187, -4.41825, -5.4913, -5.31267
0.1, 0.0319375, 1.97935, 2.32503, 2.01741, 0.597034, 0.825031, 0.50158, -0.0750255, 0.247897, -0.143616, -0.101712, -0.777009, -1.00059, -0.968985, -0.713695, -1.16803, -1.614, -1.70806, -1.89811, -2.53463, -2.12509, -1.97486, -1.53794, -1.19486, -1.80862, -3.04064, -3.40078, -4.39828, -3.48713, -4.97709, -5.55782
0.12, 0.0319375, 1.63832, 2.70513, 2.05315, 1.52102, 1.43413, 0.463924, 0.169136, 0.206017, -0.0844427, -0.532194, -1.56517, -1.46872, -1.32095, -1.30347, -1.46582, -1.53895, -1.65474, -1.76586, -1.74323, -2.17853, -1.70769, -1.48927, -1.48241, -1.58694, -1.93906, -2.17397, -2.82057, -4.18157, -5.30125, -5.4765
0.14, 0.0319375, 3.29769, 2.95747, 2.73886, 2.81642, 2.16813, 1.51736, 0.988853, 1.36772, 0.918285, 0.340849, 0.11259, 0.314964, -0.0391558, -0.239524, -0.251329, -0.209145, -0.0901241, -0.298401, -0.689794, -0.402192, -0.44724, 0.321394, -0.197463, -0.0914064, -0.247706, -0.873934, -2.37375, -4.32631, -5.65272, -5.52328
0.16, 0.0319375, 4.44642, 3.05165, 3.13141, 2.99969, 2.10892, 2.63964, 1.88568, 2.03625, 1.50643, 0.697768, 0.244591, 1.18007, 0.504325, 0.626689, 0.152256, 0.387991, -0.0117653, 0.219872, -0.0331568, -0.135067, 0.319786, 0.0338512, -0.635161, -0.641215, -1.40959, -1.99546, -3.53455, -5.47955, -5.25761, -4.93512
0.18, 0.0319375, 4.89368, 3.25098, 3.18177, 3.35754, 2.46699, 2.44405, 1.40931, 1.56135, 1.22073, 1.2505, 0.0819011, 0.588326, 0.0452581, 0.56925, 0.307879, 0.431199, -0.0512831, -0.612415, -0.590996, -0.378552, -0.0870179, -0.155504, -1.11447, -0.402972, -0.760016, -3.27224, -4.94148, -4.95665, -4.67676, -5.00537
