# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.08772, -4.80901, -2.68402, -0.831482, -1.69554, -2.87655, -2.92354, -1.00158, 0.311392, -1.35071, -1.60448, 0.887705, 1.96813, -1.22432, -0.477916, -0.614753, -0.848277, -0.48956, -0.934425, -0.714883, -1.68435, -2.09998, -2.60297, -2.43127, -1.96087, -1.13135, -1.07968, -2.17039, -1.92594, -2.36161
0.02, 0.0319375, -3.07449, -3.778, -2.46112, -0.678372, -1.8311, -3.82528, -2.43245, -1.01714, 0.190986, -1.20192, -1.7303, 1.32265, 1.664, -1.6228, -1.07902, -1.32021, -1.697, -0.896759, -0.743982, -0.644193, -1.65564, -2.31354, -2.57929, -2.46522, -2.21088, -1.23689, -1.51636, -2.07055, -2.01925, -1.95356
0.04, 0.0319375, -2.81472, -2.81106, -2.66989, -1.08572, -2.28994, -3.21845, -2.85919, -1.00413, -0.363073, -1.21935, -1.07898, 1.56934, 1.43441, -1.36057, -0.617382, -0.566398, -1.23358, -0.997864, -0.581295, -0.637235, -1.76294, -1.78925, -2.33852, -2.41433, -1.91466, -0.983741, -1.45968, -2.00939, -1.82808, -2.18941
0.06, 0.0319375, -3.07873, -3.44344, -2.23734, -0.397148, -1.24233, -3.1241, -2.63928, -0.687592, 0.997495, -0.894685, -1.57332, 1.08379, 0.690257, -0.846408, -0.20638, -0.332543, -1.21181, -0.501509, -0.927646, -0.710956, -1.54091, -2.53114, -2.54834, -2.2095, -1.65143, -1.31981, -1.80901, -1.89863, -1.79444, -2.08083
0.08, 0.0319375, -2.124, -2.51999, -2.60043, -1.00324, -1.86913, -3.0407, -2.89465, -0.679667, 0.401397, -1.02559, -1.37552, 1.47463, 1.62573, -1.28526, -0.310537, -0.512273, -1.39213, -0.98196, -1.35682, -1.33007, -1.95924, -2.11238, -2.46291, -2.30182, -1.73947, -1.29776, -1.41149, -1.698, -1.65227, -1.73073
0.1, 0.0319375, -2.51891, -3.34956, -2.01537, -0.740107, -1.8493, -3.14413, -2.27556, -0.37352, 0.138568, -1.44572, -0.958589, 1.59376, 1.73194, -1.47657, -0.257211, -0.481541, -0.978281, -0.820618, -0.995891, -1.37088, -1.8709, -2.14147, -2.21309, -2.46714, -1.53026, -1.41106, -1.65212, -1.82927, -1.76568, -1.6008
0.12, 0.0319375, -3.6448, -3.0076, -1.91845, -0.506499, -1.6096, -3.35443, -3.58711, -0.710451, 0.812853, -0.87188, -1.12289, 0.776725, 1.53291, -1.06857, 0.093928, -0.447863, -1.3187, -0.93845, -0.670407, -1.54186, -1.93826, -2.37786, -2.33176, -2.5465, -1.92492, -1.2043, -1.37032, -2.0183, -2.23732, -1.82839
0.14, 0.0319375, -2.98584, -3.37955, -2.15497, -0.303078, -1.4734, -2.59557, -2.35423, -0.142582, 1.28458, -0.784287, -0.0135163, 1.07421, 1.53711, -1.09132, -1.06152, -0.43786, -0.811847, -0.352439, -0.904161, -1.59511, -1.94213, -2.50038, -2.63211, -2.42816, -1.35654, -1.38184, -1.6406, -1.75075, -1.81192, -1.87349
0.16, 0.0319375, -3.71443, -3.57617, -2.50651, -0.588604, -1.80267, -3.46829, -2.54564, -0.630566, 0.574436, -1.6307, -0.351585, 1.06082, 1.30632, -1.11424, -0.101352, -0.817264, -0.965882, -0.318118, -1.60866, -1.70049, -1.89818, -2.40531, -2.91369, -2.50831, -1.73222, -0.947459, -1.70766, -1.61371, -1.68362, -2.25973
0.18, 0.0319375, -2.75479, -2.72315, -2.38417, -0.82609, -2.45512, -3.16761, -2.58718, -0.578481, 0.603519, -1.18328, -0.720821, 1.03443, 1.29971, -2.31141, -1.56324, -1.23769, -1.12997, -0.550832, -1.53793, -1.66832, -2.1176, -2.32751, -2.82581, -2.54021, -1.45706, -1.15102, -1.5921, -1.78654, -1.59867, -1.89597
0.2, 0.0319375, -3.11245, -3.983, -2.923, -0.861406, -2.08007, -2.97313, -2.37391, -0.868884, 0.014906, -1.12835, -0.922766, 0.589426, 0.827002, -2.34295, -0.82703, -1.06939, -0.83622, -0.669891, -1.24813, -1.76135, -2.09449, -2.49268, -2.74613, -2.40972, -1.82651, -1.18841, -1.76592, -1.64297, -1.69049, -2.33181
0.22, 0.0319375, -3.58523, -3.70149, -2.51716, -1.32051, -2.67458, -3.07292, -3.68623, -1.00613, 0.216111, -0.705945, -0.872097, 0.718894, 0.650053, -1.49635, -0.282041, -0.546578, -1.01439, -0.40753, -1.86735, -2.05014, -2.1783, -3.02412, -2.80321, -2.07159, -1.32113, -0.815118, -2.09196, -1.89925, -1.78347, -1.73786
0.24, 0.0319375, -2.58032, -3.05586, -2.55951, -1.16146, -2.08268, -3.42686, -3.09327, -0.10054, 1.11553, -0.521133, -1.09196, 0.452143, 0.289194, -1.74164, -0.310441, -1.2118, -1.40028, -1.09437, -2.45731, -2.55799, -2.69922, -2.85642, -2.92389, -2.15718, -1.46167, -1.08703, -1.91745, -1.68548, -1.94767, -2.12387
0.26, 0.0319375, -2.529, -3.88799, -2.32542, -1.1259, -2.27504, -3.17983, -2.81383, 0.0434907, 1.14375, -0.88238, -0.69188, -0.330365, -0.596201, -1.63103, -0.819526, -1.21354, -0.593367, 0.0112816, -1.43668, -2.0482, -1.86114, -2.66096, -2.86817, -2.44672, -1.57899, -0.936972, -1.8611, -2.18936, -2.1393, -1.93031
0.28, 0.0319375, -3.3474, -3.08075, -2.17377, -1.14997, -2.51971, -3.31057, -2.71454, 0.400936, 0.98479, -0.978968, -1.02956, -0.355664, -1.02337, -1.34128, -0.56823, -1.35282, -0.467474, -0.254877, -1.48971, -2.61985, -2.4201, -2.68393, -2.41047, -2.20474, -1.39275, -1.14072, -2.13563, -1.96822, -1.83661, -1.93056
0.3, 0.0319375, -3.12716, -3.35642, -1.86321, -1.02923, -2.54754, -3.92097, -2.7569, 0.810919, 1.51232, -1.11545, -1.99238, -0.179611, -0.190655, -1.37333, -0.134388, -1.29445, -0.662177, -0.768721, -2.09149, -2.37924, -2.6859, -2.60197, -2.85367, -1.94238, -1.20997, -1.47035, -2.42067, -2.03334, -1.94442, -1.83212
